State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
42,45,2,11101,1,39.835556,-75.3725,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,45,74,N,45,61,0,0,,,Certification not required,0,61.133333,21.090282,113.0,1980-02-21 00:00,109.0,1980-01-04 00:00,105.0,1980-08-01 00:00,95.0,1980-08-25 00:00,,,,,113.0,113.0,105.0,93.0,71.0,59.0,38.0,A420450002LAT/LON POINT IS OF CORNER OF TRAILER,FRONT ST & NORRIS ST,Pennsylvania,Delaware,Chester,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2010-04-25,[ 39.835556 -75.3725  ],"{'Residential': 0.08, 'Streams and canals': 0.5, 'Industrial': 0.28, 'Transitional areas': 0.14}"
42,45,2,11201,1,39.835556,-75.3725,WGS84,Soil index (COH),1 HOUR,,Observed Values,TAPE-SAMPLER - TRANSMITTANCE,1980,"COHS/1,000 linear feet",No Events,5869,67,N,220,366,0,0,,,Certification not required,0,0.298313,0.259605,4.8,1980-11-24 12:00,3.5,1980-12-16 00:00,3.4,1980-11-22 03:00,2.3,1980-02-20 08:00,,,,,1.3,1.1,0.8,0.6,0.4,0.2,0.1,A420450002LAT/LON POINT IS OF CORNER OF TRAILER,FRONT ST & NORRIS ST,Pennsylvania,Delaware,Chester,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2016-03-09,[ 39.835556 -75.3725  ],"{'Residential': 0.08, 'Streams and canals': 0.5, 'Industrial': 0.28, 'Transitional areas': 0.14}"
42,45,2,12403,2,39.835556,-75.3725,WGS84,Sulfate (TSP) STP,24 HOUR,,Observed Values,HI-VOL - TURBIDIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,56,92,N,56,61,0,0,,,Certification not required,0,11.310714,5.672732,22.2,1980-09-06 00:00,21.8,1980-09-30 00:00,21.1,1980-08-01 00:00,20.1,1980-02-15 00:00,,,,,22.2,21.8,21.1,19.2,14.4,12.6,0.0,A420450002LAT/LON POINT IS OF CORNER OF TRAILER,FRONT ST & NORRIS ST,Pennsylvania,Delaware,Chester,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2016-04-05,[ 39.835556 -75.3725  ],"{'Residential': 0.08, 'Streams and canals': 0.5, 'Industrial': 0.28, 'Transitional areas': 0.14}"
42,45,2,42101,1,39.835556,-75.3725,WGS84,Carbon monoxide,1 HOUR,CO 1-hour 1971,Obseved hourly values,INSTRUMENTAL - GAS CHROMATOGRAPHIC,1980,Parts per million,No Events,400,5,N,16,366,0,0,0.0,0.0,Certification not required,0,0.26325,0.337207,3.0,1980-01-10 08:00,2.5,1980-01-16 21:00,2.3,1980-01-16 20:00,2.1,1980-01-08 23:00,,,,,2.1,1.8,0.7,0.4,0.3,0.2,0.1,A420450002LAT/LON POINT IS OF CORNER OF TRAILER,FRONT ST & NORRIS ST,Pennsylvania,Delaware,Chester,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2016-04-19,[ 39.835556 -75.3725  ],"{'Residential': 0.08, 'Streams and canals': 0.5, 'Industrial': 0.28, 'Transitional areas': 0.14}"
42,45,2,42101,1,39.835556,-75.3725,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,,1980,Parts per million,No Events,396,5,Y,15,366,0,0,0.0,0.0,Certification not required,0,0.263889,0.217428,1.4,1980-01-10 12:00,1.2,1980-01-10 11:00,1.2,1980-01-14 14:00,1.1,1980-01-10 10:00,1.4,1980-01-10 12:00,1.2,1980-01-14 14:00,1.1,1.0,0.8,0.4,0.3,0.2,0.1,A420450002LAT/LON POINT IS OF CORNER OF TRAILER,FRONT ST & NORRIS ST,Pennsylvania,Delaware,Chester,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2016-04-19,[ 39.835556 -75.3725  ],"{'Residential': 0.08, 'Streams and canals': 0.5, 'Industrial': 0.28, 'Transitional areas': 0.14}"
42,45,2,42401,1,39.835556,-75.3725,WGS84,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - PULSED FLUORESCENT,1980,Parts per billion,No Events,7411,84,N,286,366,0,0,42.0,,Certification not required,0,40.678322,40.376578,314.0,1980-08-07 13:00,300.0,1980-10-16 14:00,214.0,1980-08-12 09:00,202.0,1980-08-05 13:00,,,,,221.0,174.0,117.0,85.0,52.0,29.0,3.0,A420450002LAT/LON POINT IS OF CORNER OF TRAILER,FRONT ST & NORRIS ST,Pennsylvania,Delaware,Chester,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2013-02-16,[ 39.835556 -75.3725  ],"{'Residential': 0.08, 'Streams and canals': 0.5, 'Industrial': 0.28, 'Transitional areas': 0.14}"
42,45,2,42401,1,39.835556,-75.3725,WGS84,Sulfur dioxide,1 HOUR,SO2 Annual 1971,Observed Values,INSTRUMENTAL - PULSED FLUORESCENT,1980,Parts per billion,No Events,7411,84,Y,286,366,0,0,,,Certification not required,0,14.26771,18.67687,314.0,1980-08-07 13:00,300.0,1980-10-16 14:00,262.0,1980-08-14 14:00,235.0,1980-08-07 14:00,,,,,86.0,64.0,45.0,32.0,18.0,9.0,1.0,A420450002LAT/LON POINT IS OF CORNER OF TRAILER,FRONT ST & NORRIS ST,Pennsylvania,Delaware,Chester,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2013-02-16,[ 39.835556 -75.3725  ],"{'Residential': 0.08, 'Streams and canals': 0.5, 'Industrial': 0.28, 'Transitional areas': 0.14}"
42,45,2,42401,1,39.835556,-75.3725,WGS84,Sulfur dioxide,24-HR BLK AVG,SO2 24-hour 1971,Daily Average of observed values,,1980,Parts per billion,No Events,286,78,N,286,366,0,0,0.0,,Certification not required,0,14.318881,11.096365,59.8,1980-08-08 00:00,56.3,1980-08-07 00:00,55.5,1980-10-16 00:00,51.0,1980-12-27 00:00,,,,,55.5,49.2,34.7,27.4,19.5,11.8,2.0,A420450002LAT/LON POINT IS OF CORNER OF TRAILER,FRONT ST & NORRIS ST,Pennsylvania,Delaware,Chester,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2013-02-16,[ 39.835556 -75.3725  ],"{'Residential': 0.08, 'Streams and canals': 0.5, 'Industrial': 0.28, 'Transitional areas': 0.14}"
42,45,2,42401,1,39.835556,-75.3725,WGS84,Sulfur dioxide,3-HR BLK AVG,SO2 3-hour 1971,3-Hour block average of observed hourly values,,1980,Parts per billion,No Events,2347,80,N,273,366,0,0,,0.0,Certification not required,0,14.307968,16.548553,208.0,1980-10-16 14:00,207.6,1980-08-07 14:00,155.6,1980-08-08 14:00,150.0,1980-08-14 14:00,,,,,78.6,60.3,42.6,31.6,18.3,10.0,1.0,A420450002LAT/LON POINT IS OF CORNER OF TRAILER,FRONT ST & NORRIS ST,Pennsylvania,Delaware,Chester,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2013-02-16,[ 39.835556 -75.3725  ],"{'Residential': 0.08, 'Streams and canals': 0.5, 'Industrial': 0.28, 'Transitional areas': 0.14}"
42,45,2,42602,1,39.835556,-75.3725,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Daily Maximum 1-hour average,INSTRUMENTAL - CHEMILUMINESCENCE,1980,Parts per billion,No Events,5349,61,N,208,366,0,0,3.0,,Certification not required,0,50.379808,19.999396,170.0,1980-02-20 10:00,161.0,1980-10-16 11:00,120.0,1980-11-21 08:00,98.0,1980-11-20 23:00,,,,,120.0,96.0,85.0,69.0,59.0,48.0,30.0,A420450002LAT/LON POINT IS OF CORNER OF TRAILER,FRONT ST & NORRIS ST,Pennsylvania,Delaware,Chester,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2013-05-16,[ 39.835556 -75.3725  ],"{'Residential': 0.08, 'Streams and canals': 0.5, 'Industrial': 0.28, 'Transitional areas': 0.14}"
