State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
42,69,18,11101,1,41.371667,-75.742122,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,55,90,Y,55,61,0,0,,,Certification not required,0,56.0,21.174758,103.0,1980-01-22 00:00,99.0,1980-06-26 00:00,96.0,1980-03-04 00:00,96.0,1980-07-20 00:00,,,,,103.0,99.0,96.0,91.0,74.0,51.0,32.0,,MARION STREET,Pennsylvania,Lackawanna,Old Forge,"Scranton--Wilkes-Barre--Hazleton, PA",2010-04-25,[ 41.371667 -75.742122],"{'Commercial and Services': 0.3150684931506849, 'Residential': 0.684931506849315}"
42,69,18,12403,2,41.371667,-75.742122,WGS84,Sulfate (TSP) STP,24 HOUR,,Observed Values,HI-VOL - TURBIDIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,47,77,N,47,61,0,0,,,Certification not required,0,12.461702,4.724292,28.8,1980-08-01 00:00,27.2,1980-09-30 00:00,20.0,1980-07-02 00:00,19.8,1980-08-19 00:00,,,,,28.8,28.8,20.0,18.0,13.6,11.8,7.8,,MARION STREET,Pennsylvania,Lackawanna,Old Forge,"Scranton--Wilkes-Barre--Hazleton, PA",2010-04-25,[ 41.371667 -75.742122],"{'Commercial and Services': 0.3150684931506849, 'Residential': 0.684931506849315}"
42,69,20,11101,1,41.485276,-75.57906,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,53,87,Y,53,61,0,0,,,Certification not required,0,64.773585,23.852626,137.0,1980-03-04 00:00,119.0,1980-11-23 00:00,110.0,1980-01-16 00:00,110.0,1980-08-01 00:00,,,,,137.0,119.0,110.0,99.0,76.0,64.0,39.0,,901 MAIN ST.,Pennsylvania,Lackawanna,Blakely,"Scranton--Wilkes-Barre--Hazleton, PA",2010-04-25,[ 41.485276 -75.57906 ],"{'Residential': 0.76, 'Other urban or built-up land': 0.24}"
42,69,20,12403,2,41.485276,-75.57906,WGS84,Sulfate (TSP) STP,24 HOUR,,Observed Values,HI-VOL - TURBIDIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,45,74,N,45,61,0,0,,,Certification not required,0,13.624444,5.671065,33.8,1980-07-20 00:00,32.6,1980-08-01 00:00,22.9,1980-08-19 00:00,20.7,1980-07-26 00:00,,,,,33.8,33.8,22.9,19.0,15.8,12.2,9.3,,901 MAIN ST.,Pennsylvania,Lackawanna,Blakely,"Scranton--Wilkes-Barre--Hazleton, PA",2010-04-25,[ 41.485276 -75.57906 ],"{'Residential': 0.76, 'Other urban or built-up land': 0.24}"
42,69,100,44201,1,41.570553,-75.511002,WGS84,Ozone,1 HOUR,Ozone 1-hour Daily 2005,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - CHEMILUMINESCENCE,1980,Parts per million,No Events,1401,14,N,30,214,0,0,0.0,0.0,Certification not required,0,0.021,0.008408,0.042,1980-10-01 13:00,0.04,1980-10-17 12:00,0.039,1980-10-08 15:00,0.035,1980-06-04 10:00,,,,,0.042,0.042,0.04,0.039,0.024,0.02,0.017,,SEVENTH AVE,Pennsylvania,Lackawanna,Carbondale,"Scranton--Wilkes-Barre--Hazleton, PA",2016-08-18,[ 41.570553 -75.511002],"{'Commercial and Services': 0.04, 'Residential': 0.24, 'Industrial': 0.5, 'Strip mines, quarries and gravel pits': 0.22}"
42,69,100,44201,1,41.570553,-75.511002,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,1980,Parts per million,No Events,1365,10,N,22,214,0,0,0.0,0.0,Certification not required,0,0.017545,0.007143,0.035,1980-10-17 10:00,0.034,1980-10-01 11:00,0.032,1980-06-04 10:00,0.02,1980-10-11 13:00,,,,,0.035,0.035,0.034,0.032,0.018,0.017,0.016,,SEVENTH AVE,Pennsylvania,Lackawanna,Carbondale,"Scranton--Wilkes-Barre--Hazleton, PA",2016-08-18,[ 41.570553 -75.511002],"{'Commercial and Services': 0.04, 'Residential': 0.24, 'Industrial': 0.5, 'Strip mines, quarries and gravel pits': 0.22}"
42,69,100,44201,1,41.570553,-75.511002,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,1980,Parts per million,No Events,1365,10,N,22,214,0,0,0.0,0.0,Certification not required,0,0.017545,0.007143,0.035,1980-10-17 10:00,0.034,1980-10-01 11:00,0.032,1980-06-04 10:00,0.02,1980-10-11 13:00,,,,,0.035,0.035,0.034,0.032,0.018,0.017,0.016,,SEVENTH AVE,Pennsylvania,Lackawanna,Carbondale,"Scranton--Wilkes-Barre--Hazleton, PA",2016-08-18,[ 41.570553 -75.511002],"{'Commercial and Services': 0.04, 'Residential': 0.24, 'Industrial': 0.5, 'Strip mines, quarries and gravel pits': 0.22}"
42,69,100,44201,1,41.570553,-75.511002,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,1980,Parts per million,No Events,1003,11,N,24,214,0,0,0.0,0.0,Certification not required,0,0.017417,0.007083,0.035,1980-10-17 10:00,0.034,1980-10-01 11:00,0.032,1980-06-04 10:00,0.022,1980-10-16 11:00,,,,,0.035,0.035,0.034,0.032,0.02,0.017,0.015,,SEVENTH AVE,Pennsylvania,Lackawanna,Carbondale,"Scranton--Wilkes-Barre--Hazleton, PA",2016-08-18,[ 41.570553 -75.511002],"{'Commercial and Services': 0.04, 'Residential': 0.24, 'Industrial': 0.5, 'Strip mines, quarries and gravel pits': 0.22}"
42,69,100,61102,1,41.570553,-75.511002,WGS84,Wind Direction - Scalar,1 HOUR,,Observed Values,INSTRUMENTAL - SPOT READING,1980,Degrees Compass,No Events,1131,22,N,37,214,0,0,,,Certification not required,0,16.587975,11.804979,76.0,1980-09-13 18:00,69.0,1980-09-13 19:00,64.0,1980-09-13 20:00,62.0,1980-09-13 16:00,,,,,50.0,46.0,38.0,33.0,23.0,15.0,2.0,,SEVENTH AVE,Pennsylvania,Lackawanna,Carbondale,"Scranton--Wilkes-Barre--Hazleton, PA",2016-05-23,[ 41.570553 -75.511002],"{'Commercial and Services': 0.04, 'Residential': 0.24, 'Industrial': 0.5, 'Strip mines, quarries and gravel pits': 0.22}"
42,69,208,11101,1,41.411667,-75.655833,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,55,90,Y,55,61,0,0,,,Certification not required,0,64.090909,25.469134,132.0,1980-03-04 00:00,128.0,1980-11-23 00:00,120.0,1980-12-23 00:00,114.0,1980-08-01 00:00,,,,,132.0,128.0,120.0,103.0,73.0,59.0,38.0,A420690208LAT/LON POINT IS OF SAMPLING INLET,601 JEFFERSON AVE,Pennsylvania,Lackawanna,Scranton,"Scranton--Wilkes-Barre--Hazleton, PA",2010-04-25,[ 41.411667 -75.655833],"{'Commercial and Services': 0.79, 'Residential': 0.21}"
