State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
42,71,7,11201,1,40.046667,-76.283333,WGS84,Soil index (COH),1 HOUR,,Observed Values,TAPE-SAMPLER - TRANSMITTANCE,1980,"COHS/1,000 linear feet",No Events,7110,81,Y,275,366,0,0,,,Certification not required,0,0.336203,0.309888,5.0,1980-02-28 22:00,4.8,1980-10-31 09:00,3.8,1980-11-30 18:00,3.5,1980-02-27 19:00,,,,,1.5,1.2,1.0,0.7,0.4,0.2,0.1,A420710007LAT/LON POINT AT CORNER OF TRAILER,ABRAHAM LINCOLN JR HIGH GROFFTOWN RD,Pennsylvania,Lancaster,Lancaster,"Lancaster, PA",2016-03-09,[ 40.046667 -76.283333],"{'Commercial and Services': 0.44, 'Residential': 0.44, 'Other urban or built-up land': 0.12}"
42,71,7,42101,1,40.046667,-76.283333,WGS84,Carbon monoxide,1 HOUR,CO 1-hour 1971,Obseved hourly values,INSTRUMENTAL - GAS CHROMATOGRAPHIC,1980,Parts per million,No Events,1097,12,N,45,366,0,0,0.0,0.0,Certification not required,0,1.577575,0.661223,7.5,1980-02-14 08:00,5.9,1980-02-14 09:00,5.4,1980-02-14 07:00,4.8,1980-01-01 23:00,,,,,4.0,3.4,2.8,2.3,1.8,1.5,0.9,A420710007LAT/LON POINT AT CORNER OF TRAILER,ABRAHAM LINCOLN JR HIGH GROFFTOWN RD,Pennsylvania,Lancaster,Lancaster,"Lancaster, PA",2010-04-25,[ 40.046667 -76.283333],"{'Commercial and Services': 0.44, 'Residential': 0.44, 'Other urban or built-up land': 0.12}"
42,71,7,42101,1,40.046667,-76.283333,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,,1980,Parts per million,No Events,1087,12,Y,44,366,0,0,0.0,0.0,Certification not required,0,1.577185,0.525741,4.4,1980-02-14 09:00,4.3,1980-01-02 00:00,4.3,1980-01-02 01:00,4.3,1980-02-14 10:00,4.4,1980-02-14 09:00,4.3,1980-01-02 00:00,3.6,2.9,2.6,2.2,1.8,1.5,1.0,A420710007LAT/LON POINT AT CORNER OF TRAILER,ABRAHAM LINCOLN JR HIGH GROFFTOWN RD,Pennsylvania,Lancaster,Lancaster,"Lancaster, PA",2010-04-25,[ 40.046667 -76.283333],"{'Commercial and Services': 0.44, 'Residential': 0.44, 'Other urban or built-up land': 0.12}"
42,71,7,42401,1,40.046667,-76.283333,WGS84,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - PULSED FLUORESCENT,1980,Parts per billion,No Events,8109,92,Y,333,366,0,0,2.0,,Certification not required,0,24.96997,15.643785,82.0,1980-11-20 16:00,79.0,1980-08-27 18:00,75.0,1980-10-15 10:00,72.0,1980-06-14 20:00,,,,,72.0,65.0,56.0,48.0,34.0,22.0,8.0,A420710007LAT/LON POINT AT CORNER OF TRAILER,ABRAHAM LINCOLN JR HIGH GROFFTOWN RD,Pennsylvania,Lancaster,Lancaster,"Lancaster, PA",2013-02-16,[ 40.046667 -76.283333],"{'Commercial and Services': 0.44, 'Residential': 0.44, 'Other urban or built-up land': 0.12}"
42,71,7,42401,1,40.046667,-76.283333,WGS84,Sulfur dioxide,1 HOUR,SO2 Annual 1971,Observed Values,INSTRUMENTAL - PULSED FLUORESCENT,1980,Parts per billion,No Events,8109,92,Y,333,366,0,0,,,Certification not required,0,9.833518,9.425344,82.0,1980-11-20 16:00,79.0,1980-08-27 18:00,75.0,1980-10-15 10:00,73.0,1980-11-20 17:00,,,,,45.0,37.0,28.0,23.0,13.0,7.0,2.0,A420710007LAT/LON POINT AT CORNER OF TRAILER,ABRAHAM LINCOLN JR HIGH GROFFTOWN RD,Pennsylvania,Lancaster,Lancaster,"Lancaster, PA",2013-02-16,[ 40.046667 -76.283333],"{'Commercial and Services': 0.44, 'Residential': 0.44, 'Other urban or built-up land': 0.12}"
42,71,7,42401,1,40.046667,-76.283333,WGS84,Sulfur dioxide,24-HR BLK AVG,SO2 24-hour 1971,Daily Average of observed values,,1980,Parts per billion,No Events,333,91,Y,333,366,0,0,0.0,,Certification not required,0,9.938438,6.644997,36.9,1980-11-20 00:00,36.6,1980-02-14 00:00,33.1,1980-02-13 00:00,31.0,1980-12-27 00:00,,,,,31.0,28.5,23.2,18.5,13.5,8.2,3.1,A420710007LAT/LON POINT AT CORNER OF TRAILER,ABRAHAM LINCOLN JR HIGH GROFFTOWN RD,Pennsylvania,Lancaster,Lancaster,"Lancaster, PA",2013-02-16,[ 40.046667 -76.283333],"{'Commercial and Services': 0.44, 'Residential': 0.44, 'Other urban or built-up land': 0.12}"
42,71,7,42401,1,40.046667,-76.283333,WGS84,Sulfur dioxide,3-HR BLK AVG,SO2 3-hour 1971,3-Hour block average of observed hourly values,,1980,Parts per billion,No Events,2596,89,Y,320,366,0,0,,0.0,Certification not required,0,9.908475,8.839859,69.3,1980-11-20 17:00,61.3,1980-03-14 11:00,58.3,1980-12-28 05:00,56.3,1980-08-27 20:00,,,,,41.0,36.3,27.6,22.0,13.6,7.3,1.6,A420710007LAT/LON POINT AT CORNER OF TRAILER,ABRAHAM LINCOLN JR HIGH GROFFTOWN RD,Pennsylvania,Lancaster,Lancaster,"Lancaster, PA",2013-02-16,[ 40.046667 -76.283333],"{'Commercial and Services': 0.44, 'Residential': 0.44, 'Other urban or built-up land': 0.12}"
42,71,7,42602,1,40.046667,-76.283333,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Daily Maximum 1-hour average,INSTRUMENTAL - CHEMILUMINESCENCE,1980,Parts per billion,No Events,7308,83,N,296,366,0,0,0.0,,Certification not required,0,36.983108,12.394766,88.0,1980-09-12 09:00,74.0,1980-06-14 21:00,73.0,1980-09-03 21:00,72.0,1980-11-14 18:00,,,,,73.0,69.0,59.0,54.0,44.0,35.0,23.0,A420710007LAT/LON POINT AT CORNER OF TRAILER,ABRAHAM LINCOLN JR HIGH GROFFTOWN RD,Pennsylvania,Lancaster,Lancaster,"Lancaster, PA",2013-05-16,[ 40.046667 -76.283333],"{'Commercial and Services': 0.44, 'Residential': 0.44, 'Other urban or built-up land': 0.12}"
42,71,7,42602,1,40.046667,-76.283333,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 Annual 1971,Observed values,INSTRUMENTAL - CHEMILUMINESCENCE,1980,Parts per billion,No Events,7308,83,Y,296,366,0,0,,,Certification not required,0,18.340312,11.754611,88.0,1980-09-12 09:00,74.0,1980-06-14 21:00,73.0,1980-09-03 21:00,72.0,1980-11-14 18:00,,,,,52.0,47.0,40.0,34.0,25.0,17.0,5.0,A420710007LAT/LON POINT AT CORNER OF TRAILER,ABRAHAM LINCOLN JR HIGH GROFFTOWN RD,Pennsylvania,Lancaster,Lancaster,"Lancaster, PA",2013-05-16,[ 40.046667 -76.283333],"{'Commercial and Services': 0.44, 'Residential': 0.44, 'Other urban or built-up land': 0.12}"
42,71,7,43102,1,40.046667,-76.283333,WGS84,Total NMOC (non-methane organic compound),1 HOUR,,Observed Values,INSTRUMENTAL - FLAME IONIZATION,1980,Parts per billion Carbon,No Events,4161,47,N,168,366,0,0,,,Certification not required,0,314.871425,324.507303,3900.0,1980-05-05 00:00,3380.0,1980-05-05 05:00,3380.0,1980-10-16 23:00,3370.0,1980-03-05 00:00,,,,,1550.0,1270.0,940.0,650.0,400.0,220.0,60.0,A420710007LAT/LON POINT AT CORNER OF TRAILER,ABRAHAM LINCOLN JR HIGH GROFFTOWN RD,Pennsylvania,Lancaster,Lancaster,"Lancaster, PA",2016-03-02,[ 40.046667 -76.283333],"{'Commercial and Services': 0.44, 'Residential': 0.44, 'Other urban or built-up land': 0.12}"
