State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
42,79,204,11101,1,41.321944,-75.789167,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,49,80,Y,49,61,0,0,,,Certification not required,0,69.408163,27.03849,144.0,1980-11-23 00:00,131.0,1980-07-08 00:00,115.0,1980-03-04 00:00,108.0,1980-08-01 00:00,,,,,144.0,144.0,115.0,107.0,86.0,63.0,35.0,A420790204LAT/LON POINT IS OF SAMPLING INLET,BROAD ST.,Pennsylvania,Luzerne,Pittston,"Scranton--Wilkes-Barre--Hazleton, PA",2010-04-25,[ 41.321944 -75.789167],"{'Commercial and Services': 0.46, 'Residential': 0.5, 'Other urban or built-up land': 0.02, 'Mixed urban or built-up land': 0.02}"
42,79,204,12403,2,41.321944,-75.789167,WGS84,Sulfate (TSP) STP,24 HOUR,,Observed Values,HI-VOL - TURBIDIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,44,72,N,44,61,0,0,,,Certification not required,0,13.547727,5.759461,35.1,1980-07-20 00:00,30.9,1980-08-01 00:00,25.7,1980-09-30 00:00,19.7,1980-11-23 00:00,,,,,35.1,35.1,25.7,19.1,15.5,12.3,8.6,A420790204LAT/LON POINT IS OF SAMPLING INLET,BROAD ST.,Pennsylvania,Luzerne,Pittston,"Scranton--Wilkes-Barre--Hazleton, PA",2010-04-25,[ 41.321944 -75.789167],"{'Commercial and Services': 0.46, 'Residential': 0.5, 'Other urban or built-up land': 0.02, 'Mixed urban or built-up land': 0.02}"
42,79,207,11101,1,41.202224,-75.990742,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,54,89,Y,54,61,0,0,,,Certification not required,0,47.814815,17.432429,89.0,1980-01-16 00:00,87.0,1980-07-02 00:00,84.0,1980-03-10 00:00,81.0,1980-06-26 00:00,,,,,89.0,87.0,84.0,79.0,58.0,47.0,25.0,,KOSCIUSZKO ST E. NOBLE ST.,Pennsylvania,Luzerne,Nanticoke,"Scranton--Wilkes-Barre--Hazleton, PA",2010-04-25,[ 41.202224 -75.990742],"{'Commercial and Services': 0.23, 'Residential': 0.61, 'Other urban or built-up land': 0.09, 'Strip mines, quarries and gravel pits': 0.07}"
42,79,207,12403,2,41.202224,-75.990742,WGS84,Sulfate (TSP) STP,24 HOUR,,Observed Values,HI-VOL - TURBIDIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,48,79,N,48,61,0,0,,,Certification not required,0,11.847917,5.07983,31.0,1980-08-07 00:00,24.0,1980-12-29 00:00,20.9,1980-07-26 00:00,20.7,1980-07-02 00:00,,,,,31.0,31.0,20.9,19.5,13.0,10.6,7.5,,KOSCIUSZKO ST E. NOBLE ST.,Pennsylvania,Luzerne,Nanticoke,"Scranton--Wilkes-Barre--Hazleton, PA",2016-04-05,[ 41.202224 -75.990742],"{'Commercial and Services': 0.23, 'Residential': 0.61, 'Other urban or built-up land': 0.09, 'Strip mines, quarries and gravel pits': 0.07}"
42,79,1206,11101,1,41.294723,-75.869626,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,54,89,Y,54,61,0,0,,,Certification not required,0,61.444444,22.922072,111.0,1980-07-20 00:00,106.0,1980-03-04 00:00,101.0,1980-07-02 00:00,100.0,1980-12-23 00:00,,,,,111.0,106.0,101.0,96.0,74.0,59.0,30.0,,SCOTT AND DANA STREETS,Pennsylvania,Luzerne,Swoyersville (corporate name for Swoyerville),"Scranton--Wilkes-Barre--Hazleton, PA",2010-04-25,[ 41.294723 -75.869626],"{'Commercial and Services': 0.24, 'Residential': 0.74, 'Cropland and pasture': 0.02}"
42,79,1206,12403,2,41.294723,-75.869626,WGS84,Sulfate (TSP) STP,24 HOUR,,Observed Values,HI-VOL - TURBIDIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,49,80,N,49,61,0,0,,,Certification not required,0,12.285714,5.779814,33.9,1980-07-20 00:00,29.8,1980-08-01 00:00,22.7,1980-12-29 00:00,21.0,1980-08-19 00:00,,,,,33.9,33.9,22.7,20.7,13.1,11.0,7.0,,SCOTT AND DANA STREETS,Pennsylvania,Luzerne,Swoyersville (corporate name for Swoyerville),"Scranton--Wilkes-Barre--Hazleton, PA",2010-04-25,[ 41.294723 -75.869626],"{'Commercial and Services': 0.24, 'Residential': 0.74, 'Cropland and pasture': 0.02}"
42,79,1207,11101,1,41.248056,-75.880278,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,56,92,Y,56,61,0,0,,,Certification not required,0,76.071429,31.426021,180.0,1980-01-16 00:00,158.0,1980-11-23 00:00,132.0,1980-05-15 00:00,132.0,1980-06-02 00:00,,,,,180.0,158.0,132.0,118.0,91.0,71.0,44.0,A420791207LAT/LON POINT IS OF SAMPLING INLET,71 NORTH FRANKLIN AVE.,Pennsylvania,Luzerne,Wilkes-Barre,"Scranton--Wilkes-Barre--Hazleton, PA",2010-04-25,[ 41.248056 -75.880278],"{'Commercial and Services': 0.88, 'Residential': 0.01, 'Streams and canals': 0.06, 'Industrial': 0.01, 'Transportation, communications and services': 0.04}"
42,79,1207,12128,1,41.248056,-75.880278,WGS84,Lead (TSP) STP,24 HOUR,Lead Quarterly 1978,Observed Values,HI-VOL - ATOMIC ABSORPTION,1980,Micrograms/cubic meter (25 C),No Events,48,79,N,48,61,0,0,,,Certification not required,0,0.395208,0.228966,1.15,1980-01-16 00:00,1.06,1980-11-23 00:00,0.82,1980-10-06 00:00,0.8,1980-01-22 00:00,,,,,1.15,1.15,0.82,0.63,0.48,0.39,0.15,A420791207LAT/LON POINT IS OF SAMPLING INLET,71 NORTH FRANKLIN AVE.,Pennsylvania,Luzerne,Wilkes-Barre,"Scranton--Wilkes-Barre--Hazleton, PA",2013-06-29,[ 41.248056 -75.880278],"{'Commercial and Services': 0.88, 'Residential': 0.01, 'Streams and canals': 0.06, 'Industrial': 0.01, 'Transportation, communications and services': 0.04}"
42,79,1207,12403,2,41.248056,-75.880278,WGS84,Sulfate (TSP) STP,24 HOUR,,Observed Values,HI-VOL - TURBIDIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,48,79,N,48,61,0,0,,,Certification not required,0,12.352083,4.728276,23.9,1980-09-30 00:00,23.4,1980-07-26 00:00,23.1,1980-08-19 00:00,20.9,1980-11-23 00:00,,,,,23.9,23.9,23.1,20.8,14.4,11.2,7.3,A420791207LAT/LON POINT IS OF SAMPLING INLET,71 NORTH FRANKLIN AVE.,Pennsylvania,Luzerne,Wilkes-Barre,"Scranton--Wilkes-Barre--Hazleton, PA",2010-04-25,[ 41.248056 -75.880278],"{'Commercial and Services': 0.88, 'Residential': 0.01, 'Streams and canals': 0.06, 'Industrial': 0.01, 'Transportation, communications and services': 0.04}"
42,79,2016,11201,1,41.237779,-75.89546,WGS84,Soil index (COH),1 HOUR,,Observed Values,TAPE-SAMPLER - TRANSMITTANCE,1980,"COHS/1,000 linear feet",No Events,6152,70,N,235,366,0,0,,,Certification not required,0,0.443921,0.298588,4.0,1980-12-24 18:00,3.2,1980-03-12 19:00,2.9,1980-02-27 06:00,2.9,1980-03-11 22:00,,,,,1.5,1.3,1.0,0.8,0.5,0.4,0.2,,ATWATER THROWING CO 454 SOUTH MAIN ST,Pennsylvania,Luzerne,Wilkes-Barre,"Scranton--Wilkes-Barre--Hazleton, PA",2016-03-09,[ 41.237779 -75.89546 ],"{'Commercial and Services': 0.1, 'Residential': 0.71, 'Transportation, communications and services': 0.19}"
