State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
42,91,1,11101,1,40.245566,-75.290446,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,59,97,Y,59,61,0,0,,,Certification not required,0,63.576271,25.292907,121.0,1980-10-06 00:00,119.0,1980-02-09 00:00,113.0,1980-06-08 00:00,108.0,1980-11-23 00:00,,,,,121.0,119.0,113.0,99.0,84.0,60.0,31.0,,421 WEST MAIN ST,Pennsylvania,Montgomery,Lansdale,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2010-04-25,[ 40.245566 -75.290446],"{'Commercial and Services': 0.35, 'Residential': 0.65}"
42,91,1,12128,1,40.245566,-75.290446,WGS84,Lead (TSP) STP,24 HOUR,Lead Quarterly 1978,Observed Values,HI-VOL - ATOMIC ABSORPTION,1980,Micrograms/cubic meter (25 C),No Events,1,2,N,1,61,0,0,,,Certification not required,0,0.034,0.0,0.034,1980-02-27 00:00,,,,,,,,,,,0.034,0.034,0.034,0.034,0.034,0.034,0.034,,421 WEST MAIN ST,Pennsylvania,Montgomery,Lansdale,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2015-07-22,[ 40.245566 -75.290446],"{'Commercial and Services': 0.35, 'Residential': 0.65}"
42,91,1,12403,2,40.245566,-75.290446,WGS84,Sulfate (TSP) STP,24 HOUR,,Observed Values,HI-VOL - TURBIDIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,60,98,Y,60,61,0,0,,,Certification not required,0,12.828333,4.925551,30.1,1980-08-01 00:00,24.1,1980-07-20 00:00,24.0,1980-06-08 00:00,20.8,1980-02-09 00:00,,,,,30.1,24.1,24.0,20.0,15.5,11.5,7.9,,421 WEST MAIN ST,Pennsylvania,Montgomery,Lansdale,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2010-04-25,[ 40.245566 -75.290446],"{'Commercial and Services': 0.35, 'Residential': 0.65}"
42,91,13,11201,1,40.112222,-75.309167,WGS84,Soil index (COH),1 HOUR,,Observed Values,TAPE-SAMPLER - TRANSMITTANCE,1980,"COHS/1,000 linear feet",No Events,7215,82,Y,282,366,0,0,,,Certification not required,0,0.397907,0.313184,5.3,1980-03-13 10:00,3.1,1980-02-27 20:00,2.9,1980-12-03 07:00,2.8,1980-10-09 09:00,,,,,1.5,1.3,1.0,0.8,0.5,0.3,0.1,A420910013LAT/LON POINT IS OF CORNER OF TRAILER,STATE ARMORY - 1046 BELVOIR RD,Pennsylvania,Montgomery,Norristown,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2016-03-09,[ 40.112222 -75.309167],"{'Residential': 0.38317757009345793, 'Industrial': 0.14953271028037382, 'Other urban or built-up land': 0.06542056074766354, 'Transportation, communications and services': 0.16822429906542055, 'Cropland and pasture': 0.2336448598130841}"
42,91,13,42101,2,40.112222,-75.309167,WGS84,Carbon monoxide,1 HOUR,CO 1-hour 1971,Obseved hourly values,INSTRUMENTAL - GAS CHROMATOGRAPHIC,1980,Parts per million,No Events,582,7,N,24,366,0,0,0.0,0.0,Certification not required,0,0.465979,0.591457,6.6,1980-01-22 07:00,4.5,1980-01-10 07:00,4.3,1980-01-01 04:00,3.5,1980-01-01 03:00,,,,,2.9,2.3,1.4,0.8,0.5,0.4,0.0,A420910013LAT/LON POINT IS OF CORNER OF TRAILER,STATE ARMORY - 1046 BELVOIR RD,Pennsylvania,Montgomery,Norristown,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2016-04-19,[ 40.112222 -75.309167],"{'Residential': 0.38317757009345793, 'Industrial': 0.14953271028037382, 'Other urban or built-up land': 0.06542056074766354, 'Transportation, communications and services': 0.16822429906542055, 'Cropland and pasture': 0.2336448598130841}"
42,91,13,42101,2,40.112222,-75.309167,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,,1980,Parts per million,No Events,571,7,Y,24,366,0,0,0.0,0.0,Certification not required,0,0.460946,0.407558,2.3,1980-01-01 05:00,2.3,1980-01-01 08:00,2.3,1980-01-01 09:00,2.2,1980-01-01 06:00,2.3,1980-01-01 05:00,2.0,1980-01-10 12:00,2.1,1.7,1.3,1.0,0.5,0.4,0.0,A420910013LAT/LON POINT IS OF CORNER OF TRAILER,STATE ARMORY - 1046 BELVOIR RD,Pennsylvania,Montgomery,Norristown,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2016-04-19,[ 40.112222 -75.309167],"{'Residential': 0.38317757009345793, 'Industrial': 0.14953271028037382, 'Other urban or built-up land': 0.06542056074766354, 'Transportation, communications and services': 0.16822429906542055, 'Cropland and pasture': 0.2336448598130841}"
42,91,13,42401,2,40.112222,-75.309167,WGS84,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - PULSED FLUORESCENT,1980,Parts per billion,No Events,7874,90,N,313,366,0,0,2.0,,Certification not required,0,27.607029,16.699711,105.0,1980-01-22 08:00,90.0,1980-03-10 08:00,74.0,1980-01-17 18:00,73.0,1980-03-08 02:00,,,,,74.0,72.0,64.0,50.0,35.0,23.0,9.0,A420910013LAT/LON POINT IS OF CORNER OF TRAILER,STATE ARMORY - 1046 BELVOIR RD,Pennsylvania,Montgomery,Norristown,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2013-02-16,[ 40.112222 -75.309167],"{'Residential': 0.38317757009345793, 'Industrial': 0.14953271028037382, 'Other urban or built-up land': 0.06542056074766354, 'Transportation, communications and services': 0.16822429906542055, 'Cropland and pasture': 0.2336448598130841}"
42,91,13,42401,2,40.112222,-75.309167,WGS84,Sulfur dioxide,1 HOUR,SO2 Annual 1971,Observed Values,INSTRUMENTAL - PULSED FLUORESCENT,1980,Parts per billion,No Events,7874,90,Y,313,366,0,0,,,Certification not required,0,11.793498,11.086374,105.0,1980-01-22 08:00,90.0,1980-03-10 08:00,82.0,1980-03-10 06:00,82.0,1980-03-10 09:00,,,,,52.0,46.0,34.0,26.0,16.0,8.0,2.0,A420910013LAT/LON POINT IS OF CORNER OF TRAILER,STATE ARMORY - 1046 BELVOIR RD,Pennsylvania,Montgomery,Norristown,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2013-02-16,[ 40.112222 -75.309167],"{'Residential': 0.38317757009345793, 'Industrial': 0.14953271028037382, 'Other urban or built-up land': 0.06542056074766354, 'Transportation, communications and services': 0.16822429906542055, 'Cropland and pasture': 0.2336448598130841}"
42,91,13,42401,2,40.112222,-75.309167,WGS84,Sulfur dioxide,24-HR BLK AVG,SO2 24-hour 1971,Daily Average of observed values,,1980,Parts per billion,No Events,313,86,Y,313,366,0,0,0.0,,Certification not required,0,11.961022,8.063288,49.7,1980-01-10 00:00,44.3,1980-02-20 00:00,42.8,1980-12-27 00:00,38.8,1980-02-14 00:00,,,,,38.8,35.6,28.4,23.0,15.4,10.1,4.0,A420910013LAT/LON POINT IS OF CORNER OF TRAILER,STATE ARMORY - 1046 BELVOIR RD,Pennsylvania,Montgomery,Norristown,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2013-02-16,[ 40.112222 -75.309167],"{'Residential': 0.38317757009345793, 'Industrial': 0.14953271028037382, 'Other urban or built-up land': 0.06542056074766354, 'Transportation, communications and services': 0.16822429906542055, 'Cropland and pasture': 0.2336448598130841}"
42,91,13,42401,2,40.112222,-75.309167,WGS84,Sulfur dioxide,3-HR BLK AVG,SO2 3-hour 1971,3-Hour block average of observed hourly values,,1980,Parts per billion,No Events,2526,86,Y,306,366,0,0,,0.0,Certification not required,0,11.863935,10.54409,81.3,1980-03-10 08:00,66.0,1980-01-22 08:00,62.6,1980-12-27 20:00,60.0,1980-12-02 02:00,,,,,51.0,45.0,33.0,26.0,15.6,8.6,2.3,A420910013LAT/LON POINT IS OF CORNER OF TRAILER,STATE ARMORY - 1046 BELVOIR RD,Pennsylvania,Montgomery,Norristown,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2013-02-16,[ 40.112222 -75.309167],"{'Residential': 0.38317757009345793, 'Industrial': 0.14953271028037382, 'Other urban or built-up land': 0.06542056074766354, 'Transportation, communications and services': 0.16822429906542055, 'Cropland and pasture': 0.2336448598130841}"
