State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
42,99,301,11101,1,40.456944,-77.165556,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,56,92,Y,56,61,0,0,,,Certification not required,0,37.821429,17.043375,101.0,1980-08-01 00:00,84.0,1980-11-17 00:00,76.0,1980-08-07 00:00,68.0,1980-07-26 00:00,,,,,101.0,84.0,76.0,57.0,44.0,36.0,18.0,A420990301LAT/LON POINT IS AT CORNER OF TRAILER,ROUTE 34 LITTLE BUFFALO STATE PARK,Pennsylvania,Perry,,"Harrisburg-Carlisle, PA",2010-04-25,[ 40.456944 -77.165556],"{'Cropland and pasture': 0.49, 'Deciduous forest land': 0.51}"
42,99,301,12403,1,40.456944,-77.165556,WGS84,Sulfate (TSP) STP,24 HOUR,,Observed Values,HI-VOL - COLORIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,57,93,Y,57,61,0,0,,,Certification not required,0,10.731579,4.688518,26.1,1980-08-01 00:00,24.8,1980-09-30 00:00,23.1,1980-08-07 00:00,19.1,1980-07-26 00:00,,,,,26.1,24.8,23.1,16.3,12.8,9.3,6.3,A420990301LAT/LON POINT IS AT CORNER OF TRAILER,ROUTE 34 LITTLE BUFFALO STATE PARK,Pennsylvania,Perry,,"Harrisburg-Carlisle, PA",2010-04-25,[ 40.456944 -77.165556],"{'Cropland and pasture': 0.49, 'Deciduous forest land': 0.51}"
42,99,301,42401,1,40.456944,-77.165556,WGS84,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - PULSED FLUORESCENT,1980,Parts per billion,No Events,6779,77,N,254,366,0,0,2.0,,Certification not required,0,13.783465,12.031101,91.0,1980-12-16 12:00,88.0,1980-12-28 05:00,61.0,1980-11-13 10:00,54.0,1980-12-29 14:00,,,,,61.0,40.0,35.0,27.0,18.0,11.0,3.0,A420990301LAT/LON POINT IS AT CORNER OF TRAILER,ROUTE 34 LITTLE BUFFALO STATE PARK,Pennsylvania,Perry,,"Harrisburg-Carlisle, PA",2013-02-16,[ 40.456944 -77.165556],"{'Cropland and pasture': 0.49, 'Deciduous forest land': 0.51}"
42,99,301,42401,1,40.456944,-77.165556,WGS84,Sulfur dioxide,1 HOUR,SO2 Annual 1971,Observed Values,INSTRUMENTAL - PULSED FLUORESCENT,1980,Parts per billion,No Events,6779,77,N,254,366,0,0,,,Certification not required,0,4.689187,6.846094,91.0,1980-12-16 12:00,91.0,1980-12-16 13:00,88.0,1980-12-28 05:00,87.0,1980-12-28 10:00,,,,,31.0,24.0,17.0,12.0,6.0,2.0,0.0,A420990301LAT/LON POINT IS AT CORNER OF TRAILER,ROUTE 34 LITTLE BUFFALO STATE PARK,Pennsylvania,Perry,,"Harrisburg-Carlisle, PA",2013-02-16,[ 40.456944 -77.165556],"{'Cropland and pasture': 0.49, 'Deciduous forest land': 0.51}"
42,99,301,42401,1,40.456944,-77.165556,WGS84,Sulfur dioxide,24-HR BLK AVG,SO2 24-hour 1971,Daily Average of observed values,,1980,Parts per billion,No Events,254,69,N,254,366,0,0,0.0,,Certification not required,0,4.835433,4.789919,47.8,1980-12-28 00:00,24.8,1980-12-16 00:00,22.8,1980-12-29 00:00,17.3,1980-11-20 00:00,,,,,22.8,15.7,12.6,9.7,6.5,3.9,0.7,A420990301LAT/LON POINT IS AT CORNER OF TRAILER,ROUTE 34 LITTLE BUFFALO STATE PARK,Pennsylvania,Perry,,"Harrisburg-Carlisle, PA",2013-02-16,[ 40.456944 -77.165556],"{'Cropland and pasture': 0.49, 'Deciduous forest land': 0.51}"
42,99,301,42401,1,40.456944,-77.165556,WGS84,Sulfur dioxide,3-HR BLK AVG,SO2 3-hour 1971,3-Hour block average of observed hourly values,,1980,Parts per billion,No Events,2042,70,N,223,366,0,0,,0.0,Certification not required,0,4.839079,6.595759,80.3,1980-12-28 11:00,74.6,1980-12-28 05:00,71.3,1980-12-16 14:00,65.0,1980-12-28 08:00,,,,,28.3,23.3,16.0,12.0,6.6,2.6,0.0,A420990301LAT/LON POINT IS AT CORNER OF TRAILER,ROUTE 34 LITTLE BUFFALO STATE PARK,Pennsylvania,Perry,,"Harrisburg-Carlisle, PA",2013-02-16,[ 40.456944 -77.165556],"{'Cropland and pasture': 0.49, 'Deciduous forest land': 0.51}"
42,99,301,44201,1,40.456944,-77.165556,WGS84,Ozone,1 HOUR,Ozone 1-hour Daily 2005,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - CHEMILUMINESCENCE,1980,Parts per million,No Events,5379,71,N,152,214,0,0,1.0,1.0,Certification not required,0,0.062967,0.021165,0.128,1980-08-27 18:00,0.122,1980-08-29 17:00,0.115,1980-05-30 15:00,0.111,1980-06-23 14:00,,,,,0.122,0.111,0.105,0.09,0.078,0.058,0.043,A420990301LAT/LON POINT IS AT CORNER OF TRAILER,ROUTE 34 LITTLE BUFFALO STATE PARK,Pennsylvania,Perry,,"Harrisburg-Carlisle, PA",2016-08-18,[ 40.456944 -77.165556],"{'Cropland and pasture': 0.49, 'Deciduous forest land': 0.51}"
42,99,301,44201,1,40.456944,-77.165556,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,1980,Parts per million,No Events,5350,69,N,147,214,0,0,9.0,9.0,Certification not required,0,0.055231,0.018555,0.116,1980-08-27 11:00,0.107,1980-05-30 13:00,0.106,1980-08-29 11:00,0.101,1980-09-13 12:00,,,,,0.107,0.106,0.09,0.081,0.067,0.053,0.039,A420990301LAT/LON POINT IS AT CORNER OF TRAILER,ROUTE 34 LITTLE BUFFALO STATE PARK,Pennsylvania,Perry,,"Harrisburg-Carlisle, PA",2016-08-18,[ 40.456944 -77.165556],"{'Cropland and pasture': 0.49, 'Deciduous forest land': 0.51}"
42,99,301,44201,1,40.456944,-77.165556,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,1980,Parts per million,No Events,5350,69,N,147,214,0,0,22.0,22.0,Certification not required,0,0.055231,0.018555,0.116,1980-08-27 11:00,0.107,1980-05-30 13:00,0.106,1980-08-29 11:00,0.101,1980-09-13 12:00,,,,,0.107,0.106,0.09,0.081,0.067,0.053,0.039,A420990301LAT/LON POINT IS AT CORNER OF TRAILER,ROUTE 34 LITTLE BUFFALO STATE PARK,Pennsylvania,Perry,,"Harrisburg-Carlisle, PA",2016-08-18,[ 40.456944 -77.165556],"{'Cropland and pasture': 0.49, 'Deciduous forest land': 0.51}"
42,99,301,44201,1,40.456944,-77.165556,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,1980,Parts per million,No Events,3815,70,N,150,214,0,0,29.0,29.0,Certification not required,0,0.054993,0.018518,0.116,1980-08-27 11:00,0.107,1980-05-30 13:00,0.106,1980-08-29 11:00,0.101,1980-09-13 12:00,,,,,0.107,0.106,0.09,0.081,0.066,0.052,0.039,A420990301LAT/LON POINT IS AT CORNER OF TRAILER,ROUTE 34 LITTLE BUFFALO STATE PARK,Pennsylvania,Perry,,"Harrisburg-Carlisle, PA",2016-08-18,[ 40.456944 -77.165556],"{'Cropland and pasture': 0.49, 'Deciduous forest land': 0.51}"
