State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
42,101,4,11101,1,40.008889,-75.09778,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,351,100,Y,61,61,0,0,,,Certification not required,0,66.868946,26.549252,152.0,1980-04-24 00:00,151.0,1980-06-24 00:00,150.0,1980-04-25 00:00,144.0,1980-10-16 00:00,,,,,144.0,133.0,113.0,105.0,84.0,63.0,36.0,Air Management Services Laboratory (AMS LAB),1501 E. LYCOMING AVE.,Pennsylvania,Philadelphia,Philadelphia,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2010-04-25,[ 40.008889 -75.09778 ],"{'Commercial and Services': 0.65, 'Residential': 0.35}"
42,101,4,11201,1,40.008889,-75.09778,WGS84,Soil index (COH),1 HOUR,,Observed Values,TAPE-SAMPLER - TRANSMITTANCE,1980,"COHS/1,000 linear feet",No Events,1954,89,Y,79,91,0,0,,,Certification not required,0,0.51479,0.429591,4.1,1980-01-07 03:00,4.0,1980-01-07 02:00,3.5,1980-01-07 05:00,3.2,1980-01-07 06:00,,,,,2.1,1.8,1.3,1.0,0.7,0.4,0.1,Air Management Services Laboratory (AMS LAB),1501 E. LYCOMING AVE.,Pennsylvania,Philadelphia,Philadelphia,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2016-03-09,[ 40.008889 -75.09778 ],"{'Commercial and Services': 0.65, 'Residential': 0.35}"
42,101,4,12128,4,40.008889,-75.09778,WGS84,Lead (TSP) STP,24 HOUR,Lead Quarterly 1978,Observed Values,HI-VOL - ATOMIC ABSORPTION,1980,Micrograms/cubic meter (25 C),No Events,349,100,Y,61,61,0,0,,,Certification not required,0,0.41384,0.202459,1.37,1980-12-02 00:00,1.26,1980-10-16 00:00,1.25,1980-11-21 00:00,1.17,1980-01-18 00:00,,,,,1.17,0.97,0.83,0.67,0.48,0.38,0.22,Air Management Services Laboratory (AMS LAB),1501 E. LYCOMING AVE.,Pennsylvania,Philadelphia,Philadelphia,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2015-03-04,[ 40.008889 -75.09778 ],"{'Commercial and Services': 0.65, 'Residential': 0.35}"
42,101,4,42101,1,40.008889,-75.09778,WGS84,Carbon monoxide,1 HOUR,CO 1-hour 1971,Obseved hourly values,INSTRUMENTAL - NONDISPERSIVE INFRARED,1980,Parts per million,No Events,4996,57,N,207,366,0,0,0.0,0.0,Certification not required,0,1.284227,1.151784,14.0,1980-12-08 07:00,10.0,1980-11-21 07:00,10.0,1980-12-08 08:00,9.0,1980-10-11 20:00,,,,,6.0,5.0,3.0,3.0,2.0,1.0,0.0,Air Management Services Laboratory (AMS LAB),1501 E. LYCOMING AVE.,Pennsylvania,Philadelphia,Philadelphia,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2016-04-19,[ 40.008889 -75.09778 ],"{'Commercial and Services': 0.65, 'Residential': 0.35}"
42,101,4,42101,1,40.008889,-75.09778,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,,1980,Parts per million,No Events,4969,57,Y,202,366,0,0,0.0,0.0,Certification not required,0,1.29358,0.900667,7.3,1980-12-01 23:00,7.1,1980-12-08 11:00,7.1,1980-12-08 12:00,6.9,1980-12-01 22:00,7.3,1980-12-01 23:00,7.1,1980-12-08 11:00,4.9,4.1,3.0,2.3,1.6,1.1,0.4,Air Management Services Laboratory (AMS LAB),1501 E. LYCOMING AVE.,Pennsylvania,Philadelphia,Philadelphia,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2016-04-19,[ 40.008889 -75.09778 ],"{'Commercial and Services': 0.65, 'Residential': 0.35}"
42,101,4,42101,2,40.008889,-75.09778,WGS84,Carbon monoxide,1 HOUR,CO 1-hour 1971,Obseved hourly values,INSTRUMENTAL - GAS CHROMATOGRAPHIC,1980,Parts per million,No Events,2096,24,N,90,366,0,0,0.0,0.0,Certification not required,0,0.643607,0.855356,8.0,1980-02-20 07:00,8.0,1980-02-20 08:00,6.0,1980-02-20 01:00,6.0,1980-02-20 06:00,,,,,4.0,3.0,2.0,1.0,1.0,0.0,0.0,Air Management Services Laboratory (AMS LAB),1501 E. LYCOMING AVE.,Pennsylvania,Philadelphia,Philadelphia,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2016-04-19,[ 40.008889 -75.09778 ],"{'Commercial and Services': 0.65, 'Residential': 0.35}"
42,101,4,42101,2,40.008889,-75.09778,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,,1980,Parts per million,No Events,2087,24,Y,84,366,0,0,0.0,0.0,Certification not required,0,0.644609,0.663981,5.6,1980-02-20 08:00,5.6,1980-02-20 09:00,5.6,1980-02-20 10:00,5.4,1980-02-20 11:00,5.6,1980-02-20 08:00,4.6,1980-02-20 04:00,3.1,2.3,1.8,1.4,1.0,0.5,0.0,Air Management Services Laboratory (AMS LAB),1501 E. LYCOMING AVE.,Pennsylvania,Philadelphia,Philadelphia,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2016-04-19,[ 40.008889 -75.09778 ],"{'Commercial and Services': 0.65, 'Residential': 0.35}"
42,101,4,42401,4,40.008889,-75.09778,WGS84,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - FLAME PHOTOMETRIC,1980,Parts per billion,No Events,8453,96,Y,350,366,0,0,54.0,,Certification not required,0,41.285714,32.28284,190.0,1980-03-04 08:00,180.0,1980-11-14 08:00,160.0,1980-02-19 10:00,150.0,1980-05-05 23:00,,,,,160.0,140.0,110.0,90.0,50.0,30.0,10.0,Air Management Services Laboratory (AMS LAB),1501 E. LYCOMING AVE.,Pennsylvania,Philadelphia,Philadelphia,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2013-02-16,[ 40.008889 -75.09778 ],"{'Commercial and Services': 0.65, 'Residential': 0.35}"
42,101,4,42401,4,40.008889,-75.09778,WGS84,Sulfur dioxide,1 HOUR,SO2 Annual 1971,Observed Values,INSTRUMENTAL - FLAME PHOTOMETRIC,1980,Parts per billion,No Events,8453,96,Y,350,366,0,0,,,Certification not required,0,16.778658,17.497829,190.0,1980-03-04 08:00,180.0,1980-09-19 22:00,180.0,1980-11-14 08:00,160.0,1980-02-19 10:00,,,,,90.0,70.0,50.0,40.0,20.0,10.0,0.0,Air Management Services Laboratory (AMS LAB),1501 E. LYCOMING AVE.,Pennsylvania,Philadelphia,Philadelphia,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2013-02-16,[ 40.008889 -75.09778 ],"{'Commercial and Services': 0.65, 'Residential': 0.35}"
42,101,4,42401,4,40.008889,-75.09778,WGS84,Sulfur dioxide,24-HR BLK AVG,SO2 24-hour 1971,Daily Average of observed values,,1980,Parts per billion,No Events,350,96,Y,350,366,0,0,0.0,,Certification not required,0,16.707429,11.896974,72.1,1980-02-19 00:00,63.3,1980-03-04 00:00,57.1,1980-01-22 00:00,56.4,1980-11-07 00:00,,,,,56.4,53.3,42.9,32.9,20.9,12.2,5.8,Air Management Services Laboratory (AMS LAB),1501 E. LYCOMING AVE.,Pennsylvania,Philadelphia,Philadelphia,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2013-02-16,[ 40.008889 -75.09778 ],"{'Commercial and Services': 0.65, 'Residential': 0.35}"
