State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
42,125,5,11101,1,40.146667,-79.902222,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,58,95,Y,58,61,0,0,,,Certification not required,0,73.103448,25.83598,136.0,1980-01-16 00:00,121.0,1980-03-28 00:00,113.0,1980-06-26 00:00,112.0,1980-07-26 00:00,,,,,136.0,121.0,113.0,106.0,92.0,76.0,39.0,,CHARLER01 WASTE TREATMENT PLANT,Pennsylvania,Washington,Charleroi,"Pittsburgh, PA",2010-04-25,[ 40.146667 -79.902222],"{'Residential': 0.21, 'Streams and canals': 0.23, 'Industrial': 0.38, 'Deciduous forest land': 0.01, 'Transportation, communications and services': 0.17}"
42,125,5,11201,1,40.146667,-79.902222,WGS84,Soil index (COH),1 HOUR,,Observed Values,TAPE-SAMPLER - TRANSMITTANCE,1980,"COHS/1,000 linear feet",No Events,6811,78,Y,282,366,0,0,,,Certification not required,0,0.441198,0.389962,5.8,1980-11-14 11:00,4.3,1980-12-24 17:00,2.8,1980-01-10 09:00,2.7,1980-01-10 05:00,,,,,1.9,1.6,1.2,0.9,0.6,0.3,0.1,,CHARLER01 WASTE TREATMENT PLANT,Pennsylvania,Washington,Charleroi,"Pittsburgh, PA",2016-03-09,[ 40.146667 -79.902222],"{'Residential': 0.21, 'Streams and canals': 0.23, 'Industrial': 0.38, 'Deciduous forest land': 0.01, 'Transportation, communications and services': 0.17}"
42,125,5,12403,2,40.146667,-79.902222,WGS84,Sulfate (TSP) STP,24 HOUR,,Observed Values,HI-VOL - TURBIDIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,45,74,N,45,61,0,0,,,Certification not required,0,16.217778,6.437931,38.7,1980-07-26 00:00,33.5,1980-08-07 00:00,26.8,1980-07-20 00:00,24.0,1980-04-03 00:00,,,,,38.7,38.7,26.8,23.2,19.6,15.5,9.5,,CHARLER01 WASTE TREATMENT PLANT,Pennsylvania,Washington,Charleroi,"Pittsburgh, PA",2010-04-25,[ 40.146667 -79.902222],"{'Residential': 0.21, 'Streams and canals': 0.23, 'Industrial': 0.38, 'Deciduous forest land': 0.01, 'Transportation, communications and services': 0.17}"
42,125,5,42401,1,40.146667,-79.902222,WGS84,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - PULSED FLUORESCENT,1980,Parts per billion,No Events,8132,93,Y,329,366,0,0,25.0,,Certification not required,0,40.367781,23.969906,165.0,1980-10-22 10:00,142.0,1980-10-27 17:00,139.0,1980-09-12 15:00,135.0,1980-01-09 15:00,,,,,135.0,119.0,85.0,68.0,51.0,35.0,17.0,,CHARLER01 WASTE TREATMENT PLANT,Pennsylvania,Washington,Charleroi,"Pittsburgh, PA",2013-02-16,[ 40.146667 -79.902222],"{'Residential': 0.21, 'Streams and canals': 0.23, 'Industrial': 0.38, 'Deciduous forest land': 0.01, 'Transportation, communications and services': 0.17}"
42,125,5,42401,1,40.146667,-79.902222,WGS84,Sulfur dioxide,1 HOUR,SO2 Annual 1971,Observed Values,INSTRUMENTAL - PULSED FLUORESCENT,1980,Parts per billion,No Events,8132,93,Y,329,366,0,0,,,Certification not required,0,15.773119,13.909411,165.0,1980-10-22 10:00,142.0,1980-10-27 17:00,139.0,1980-09-12 15:00,135.0,1980-01-09 15:00,,,,,66.0,55.0,42.0,32.0,22.0,12.0,3.0,,CHARLER01 WASTE TREATMENT PLANT,Pennsylvania,Washington,Charleroi,"Pittsburgh, PA",2013-02-16,[ 40.146667 -79.902222],"{'Residential': 0.21, 'Streams and canals': 0.23, 'Industrial': 0.38, 'Deciduous forest land': 0.01, 'Transportation, communications and services': 0.17}"
42,125,5,42401,1,40.146667,-79.902222,WGS84,Sulfur dioxide,24-HR BLK AVG,SO2 24-hour 1971,Daily Average of observed values,,1980,Parts per billion,No Events,329,90,Y,329,366,0,0,0.0,,Certification not required,0,15.893617,8.578262,52.6,1980-01-01 00:00,45.0,1980-01-09 00:00,42.0,1980-06-23 00:00,40.8,1980-12-04 00:00,,,,,40.8,37.0,32.4,27.9,20.5,14.5,6.7,,CHARLER01 WASTE TREATMENT PLANT,Pennsylvania,Washington,Charleroi,"Pittsburgh, PA",2013-02-16,[ 40.146667 -79.902222],"{'Residential': 0.21, 'Streams and canals': 0.23, 'Industrial': 0.38, 'Deciduous forest land': 0.01, 'Transportation, communications and services': 0.17}"
42,125,5,42401,1,40.146667,-79.902222,WGS84,Sulfur dioxide,3-HR BLK AVG,SO2 3-hour 1971,3-Hour block average of observed hourly values,,1980,Parts per billion,No Events,2623,90,Y,323,366,0,0,,0.0,Certification not required,0,15.747693,12.585536,113.3,1980-10-22 11:00,98.6,1980-01-01 08:00,96.0,1980-12-04 17:00,95.3,1980-06-23 17:00,,,,,60.6,52.3,39.6,31.3,21.0,12.6,4.0,,CHARLER01 WASTE TREATMENT PLANT,Pennsylvania,Washington,Charleroi,"Pittsburgh, PA",2013-02-16,[ 40.146667 -79.902222],"{'Residential': 0.21, 'Streams and canals': 0.23, 'Industrial': 0.38, 'Deciduous forest land': 0.01, 'Transportation, communications and services': 0.17}"
42,125,5,42602,1,40.146667,-79.902222,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Daily Maximum 1-hour average,INSTRUMENTAL - CHEMILUMINESCENCE,1980,Parts per billion,No Events,5327,61,N,209,366,0,0,0.0,,Certification not required,0,36.15311,13.907161,82.0,1980-12-29 16:00,74.0,1980-02-20 09:00,72.0,1980-11-14 08:00,70.0,1980-10-30 09:00,,,,,72.0,69.0,62.0,57.0,44.0,34.0,18.0,,CHARLER01 WASTE TREATMENT PLANT,Pennsylvania,Washington,Charleroi,"Pittsburgh, PA",2013-05-16,[ 40.146667 -79.902222],"{'Residential': 0.21, 'Streams and canals': 0.23, 'Industrial': 0.38, 'Deciduous forest land': 0.01, 'Transportation, communications and services': 0.17}"
42,125,5,42602,1,40.146667,-79.902222,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 Annual 1971,Observed values,INSTRUMENTAL - CHEMILUMINESCENCE,1980,Parts per billion,No Events,5327,61,N,209,366,0,0,,,Certification not required,0,20.042989,13.433702,94.0,1980-12-06 02:00,82.0,1980-12-29 16:00,74.0,1980-02-20 09:00,74.0,1980-02-20 10:00,,,,,59.0,53.0,45.0,38.0,29.0,18.0,5.0,,CHARLER01 WASTE TREATMENT PLANT,Pennsylvania,Washington,Charleroi,"Pittsburgh, PA",2013-05-16,[ 40.146667 -79.902222],"{'Residential': 0.21, 'Streams and canals': 0.23, 'Industrial': 0.38, 'Deciduous forest land': 0.01, 'Transportation, communications and services': 0.17}"
42,125,5,44201,1,40.146667,-79.902222,WGS84,Ozone,1 HOUR,Ozone 1-hour Daily 2005,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - CHEMILUMINESCENCE,1980,Parts per million,No Events,7778,86,Y,184,214,0,0,5.0,5.0,Certification not required,0,0.066821,0.027494,0.141,1980-06-26 17:00,0.131,1980-08-26 15:00,0.128,1980-09-13 16:00,0.126,1980-08-14 19:00,,,,,0.131,0.126,0.117,0.105,0.087,0.064,0.042,,CHARLER01 WASTE TREATMENT PLANT,Pennsylvania,Washington,Charleroi,"Pittsburgh, PA",2016-08-18,[ 40.146667 -79.902222],"{'Residential': 0.21, 'Streams and canals': 0.23, 'Industrial': 0.38, 'Deciduous forest land': 0.01, 'Transportation, communications and services': 0.17}"
