State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
42,133,8,11101,1,39.965278,-76.699444,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,60,98,Y,60,61,0,0,,,Certification not required,0,89.583333,32.106967,171.0,1980-03-04 00:00,165.0,1980-12-23 00:00,145.0,1980-05-27 00:00,142.0,1980-01-16 00:00,,,,,171.0,165.0,145.0,137.0,113.0,90.0,52.0,A421330008LAT/LON POINT AT CORNER OF TRAILER,HILL ST.,Pennsylvania,York,York,"York-Hanover, PA",2010-04-25,[ 39.965278 -76.699444],"{'Commercial and Services': 0.01, 'Residential': 0.57, 'Industrial': 0.42}"
42,133,8,11201,1,39.965278,-76.699444,WGS84,Soil index (COH),1 HOUR,,Observed Values,TAPE-SAMPLER - TRANSMITTANCE,1980,"COHS/1,000 linear feet",No Events,7359,84,Y,297,366,0,0,,,Certification not required,0,0.315614,0.248003,3.1,1980-11-14 09:00,2.9,1980-03-04 07:00,2.5,1980-03-04 06:00,2.5,1980-11-14 07:00,,,,,1.2,1.1,0.8,0.6,0.4,0.2,0.1,A421330008LAT/LON POINT AT CORNER OF TRAILER,HILL ST.,Pennsylvania,York,York,"York-Hanover, PA",2016-03-09,[ 39.965278 -76.699444],"{'Commercial and Services': 0.01, 'Residential': 0.57, 'Industrial': 0.42}"
42,133,8,12128,1,39.965278,-76.699444,WGS84,Lead (TSP) STP,24 HOUR,Lead Quarterly 1978,Observed Values,HI-VOL - ATOMIC ABSORPTION,1980,Micrograms/cubic meter (25 C),No Events,60,98,Y,60,61,0,0,,,Certification not required,0,0.414,0.206629,1.22,1980-01-16 00:00,0.81,1980-03-04 00:00,0.8,1980-01-22 00:00,0.74,1980-12-23 00:00,,,,,1.22,0.81,0.8,0.7,0.51,0.39,0.18,A421330008LAT/LON POINT AT CORNER OF TRAILER,HILL ST.,Pennsylvania,York,York,"York-Hanover, PA",2013-06-29,[ 39.965278 -76.699444],"{'Commercial and Services': 0.01, 'Residential': 0.57, 'Industrial': 0.42}"
42,133,8,12403,2,39.965278,-76.699444,WGS84,Sulfate (TSP) STP,24 HOUR,,Observed Values,HI-VOL - TURBIDIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,60,98,Y,60,61,0,0,,,Certification not required,0,13.245,5.398915,30.8,1980-08-01 00:00,30.0,1980-09-06 00:00,26.7,1980-08-07 00:00,24.2,1980-08-19 00:00,,,,,30.8,30.0,26.7,21.0,14.3,11.6,8.9,A421330008LAT/LON POINT AT CORNER OF TRAILER,HILL ST.,Pennsylvania,York,York,"York-Hanover, PA",2010-04-25,[ 39.965278 -76.699444],"{'Commercial and Services': 0.01, 'Residential': 0.57, 'Industrial': 0.42}"
42,133,8,42101,2,39.965278,-76.699444,WGS84,Carbon monoxide,1 HOUR,CO 1-hour 1971,Obseved hourly values,INSTRUMENTAL - GAS CHROMATOGRAPHIC,1980,Parts per million,No Events,994,11,N,41,366,0,0,0.0,0.0,Certification not required,0,1.357646,0.766945,9.0,1980-02-11 07:00,8.4,1980-01-16 07:00,6.5,1980-01-16 08:00,5.8,1980-02-11 08:00,,,,,4.3,3.6,2.8,2.2,1.5,1.1,0.8,A421330008LAT/LON POINT AT CORNER OF TRAILER,HILL ST.,Pennsylvania,York,York,"York-Hanover, PA",2010-04-25,[ 39.965278 -76.699444],"{'Commercial and Services': 0.01, 'Residential': 0.57, 'Industrial': 0.42}"
42,133,8,42101,2,39.965278,-76.699444,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,,1980,Parts per million,No Events,991,11,Y,39,366,0,0,0.0,0.0,Certification not required,0,1.367104,0.556366,4.0,1980-02-11 11:00,3.9,1980-02-11 12:00,3.9,1980-02-11 13:00,3.6,1980-01-16 09:00,4.0,1980-02-11 11:00,3.6,1980-01-16 09:00,3.5,3.1,2.5,2.1,1.6,1.2,0.8,A421330008LAT/LON POINT AT CORNER OF TRAILER,HILL ST.,Pennsylvania,York,York,"York-Hanover, PA",2010-04-25,[ 39.965278 -76.699444],"{'Commercial and Services': 0.01, 'Residential': 0.57, 'Industrial': 0.42}"
42,133,8,42401,1,39.965278,-76.699444,WGS84,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - PULSED FLUORESCENT,1980,Parts per billion,No Events,7854,89,Y,324,366,0,0,33.0,,Certification not required,0,37.839506,30.823861,232.0,1980-05-23 10:00,191.0,1980-07-18 11:00,172.0,1980-08-26 08:00,144.0,1980-03-04 09:00,,,,,144.0,129.0,96.0,74.0,50.0,29.0,11.0,A421330008LAT/LON POINT AT CORNER OF TRAILER,HILL ST.,Pennsylvania,York,York,"York-Hanover, PA",2013-02-16,[ 39.965278 -76.699444],"{'Commercial and Services': 0.01, 'Residential': 0.57, 'Industrial': 0.42}"
42,133,8,42401,1,39.965278,-76.699444,WGS84,Sulfur dioxide,1 HOUR,SO2 Annual 1971,Observed Values,INSTRUMENTAL - PULSED FLUORESCENT,1980,Parts per billion,No Events,7854,89,Y,324,366,0,0,,,Certification not required,0,12.475554,13.409291,232.0,1980-05-23 10:00,191.0,1980-07-18 11:00,172.0,1980-08-26 08:00,144.0,1980-03-04 09:00,,,,,64.0,51.0,36.0,27.0,16.0,8.0,2.0,A421330008LAT/LON POINT AT CORNER OF TRAILER,HILL ST.,Pennsylvania,York,York,"York-Hanover, PA",2013-02-16,[ 39.965278 -76.699444],"{'Commercial and Services': 0.01, 'Residential': 0.57, 'Industrial': 0.42}"
42,133,8,42401,1,39.965278,-76.699444,WGS84,Sulfur dioxide,24-HR BLK AVG,SO2 24-hour 1971,Daily Average of observed values,,1980,Parts per billion,No Events,324,89,Y,324,366,0,0,0.0,,Certification not required,0,12.446605,7.751218,43.1,1980-02-14 00:00,39.5,1980-02-13 00:00,35.3,1980-01-02 00:00,34.6,1980-05-23 00:00,,,,,34.6,33.5,28.1,24.3,15.9,10.6,4.1,A421330008LAT/LON POINT AT CORNER OF TRAILER,HILL ST.,Pennsylvania,York,York,"York-Hanover, PA",2013-02-16,[ 39.965278 -76.699444],"{'Commercial and Services': 0.01, 'Residential': 0.57, 'Industrial': 0.42}"
42,133,8,42401,1,39.965278,-76.699444,WGS84,Sulfur dioxide,3-HR BLK AVG,SO2 3-hour 1971,3-Hour block average of observed hourly values,,1980,Parts per billion,No Events,2517,86,Y,313,366,0,0,,0.0,Certification not required,0,12.486889,11.81024,133.6,1980-05-23 11:00,111.0,1980-07-18 11:00,91.6,1980-03-04 11:00,87.3,1980-01-08 23:00,,,,,56.3,46.3,34.6,26.3,16.6,8.6,2.6,A421330008LAT/LON POINT AT CORNER OF TRAILER,HILL ST.,Pennsylvania,York,York,"York-Hanover, PA",2013-02-16,[ 39.965278 -76.699444],"{'Commercial and Services': 0.01, 'Residential': 0.57, 'Industrial': 0.42}"
