State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
6,7,8,12102,7,39.761538,-121.84162,WGS84,Antimony (TSP) STP,24 HOUR,,Observed Values,"Lo-Vol-Xontech 920 or 924, Teflon - ICP/Mass Spectrometer",2016,Micrograms/cubic meter (25 C),No Events,32,100,Y,29,31,0,4,,,Certification not required,0,0.001094,0.000296,0.002,2016-08-04 00:00,0.002,2016-08-16 00:00,0.002,2016-09-09 00:00,0.001,2016-01-01 00:00,,,,,0.002,0.002,0.002,0.001,0.001,0.001,0.001,Chico-East Avenue,"984 East Avenue, Chico",California,Butte,Chico,"Chico, CA",2017-04-07,[  39.761538 -121.84162 ],"{'Commercial and Services': 0.38461538461538464, 'Residential': 0.6153846153846154}"
6,7,8,12103,7,39.761538,-121.84162,WGS84,Arsenic (TSP) STP,24 HOUR,,Observed Values,"Lo-Vol-Xontech 920 or 924, Teflon - ICP/Mass Spectrometer",2016,Micrograms/cubic meter (25 C),No Events,32,100,Y,29,31,0,4,,,Certification not required,0,0.001,0.0,0.001,2016-01-01 00:00,0.001,2016-01-13 00:00,0.001,2016-01-25 00:00,0.001,2016-02-06 00:00,,,,,0.001,0.001,0.001,0.001,0.001,0.001,0.001,Chico-East Avenue,"984 East Avenue, Chico",California,Butte,Chico,"Chico, CA",2017-04-07,[  39.761538 -121.84162 ],"{'Commercial and Services': 0.38461538461538464, 'Residential': 0.6153846153846154}"
6,7,8,12105,7,39.761538,-121.84162,WGS84,Beryllium (TSP) STP,24 HOUR,,Observed Values,"Lo-Vol-Xontech 920 or 924, Teflon - ICP/Mass Spectrometer",2016,Nanograms/cubic meter (25 C),No Events,32,52,N,31,61,0,4,,,Certification not required,0,0.152,0.0,0.152,2016-01-01 00:00,0.152,2016-01-13 00:00,0.152,2016-01-25 00:00,0.152,2016-02-06 00:00,,,,,0.152,0.152,0.152,0.152,0.152,0.152,0.152,Chico-East Avenue,"984 East Avenue, Chico",California,Butte,Chico,"Chico, CA",2017-04-07,[  39.761538 -121.84162 ],"{'Commercial and Services': 0.38461538461538464, 'Residential': 0.6153846153846154}"
6,7,8,12110,7,39.761538,-121.84162,WGS84,Cadmium (TSP) STP,24 HOUR,,Observed Values,"Lo-Vol-Xontech 920 or 924, Teflon - ICP/Mass Spectrometer",2016,Micrograms/cubic meter (25 C),No Events,32,100,Y,29,31,0,4,,,Certification not required,0,0.001,0.0,0.001,2016-01-01 00:00,0.001,2016-01-13 00:00,0.001,2016-01-25 00:00,0.001,2016-02-06 00:00,,,,,0.001,0.001,0.001,0.001,0.001,0.001,0.001,Chico-East Avenue,"984 East Avenue, Chico",California,Butte,Chico,"Chico, CA",2017-04-07,[  39.761538 -121.84162 ],"{'Commercial and Services': 0.38461538461538464, 'Residential': 0.6153846153846154}"
6,7,8,12112,7,39.761538,-121.84162,WGS84,Chromium (TSP) STP,24 HOUR,,Observed Values,"Lo-Vol-Xontech 920 or 924, Teflon - ICP/Mass Spectrometer",2016,Micrograms/cubic meter (25 C),No Events,32,100,Y,29,31,0,4,,,Certification not required,0,0.005,0.002973,0.018,2016-09-09 00:00,0.011,2016-08-16 00:00,0.01,2016-09-21 00:00,0.009,2016-08-04 00:00,,,,,0.018,0.018,0.011,0.009,0.004,0.004,0.004,Chico-East Avenue,"984 East Avenue, Chico",California,Butte,Chico,"Chico, CA",2017-04-07,[  39.761538 -121.84162 ],"{'Commercial and Services': 0.38461538461538464, 'Residential': 0.6153846153846154}"
6,7,8,12113,7,39.761538,-121.84162,WGS84,Cobalt (TSP) STP,24 HOUR,,Observed Values,"Lo-Vol-Xontech 920 or 924, Teflon - ICP/Mass Spectrometer",2016,Micrograms/cubic meter (25 C),No Events,32,100,Y,29,31,0,4,,,Certification not required,0,0.001031,0.000177,0.002,2016-09-09 00:00,0.001,2016-01-01 00:00,0.001,2016-01-13 00:00,0.001,2016-01-25 00:00,,,,,0.002,0.002,0.001,0.001,0.001,0.001,0.001,Chico-East Avenue,"984 East Avenue, Chico",California,Butte,Chico,"Chico, CA",2017-04-07,[  39.761538 -121.84162 ],"{'Commercial and Services': 0.38461538461538464, 'Residential': 0.6153846153846154}"
6,7,8,12114,7,39.761538,-121.84162,WGS84,Copper (TSP) STP,24 HOUR,,Observed Values,"Lo-Vol-Xontech 920 or 924, Teflon - ICP/Mass Spectrometer",2016,Micrograms/cubic meter (25 C),No Events,32,100,Y,29,31,0,4,,,Certification not required,0,0.009594,0.009154,0.044,2016-04-06 00:00,0.034,2016-04-18 00:00,0.022,2016-09-09 00:00,0.022,2016-09-21 00:00,,,,,0.044,0.044,0.034,0.022,0.01,0.007,0.003,Chico-East Avenue,"984 East Avenue, Chico",California,Butte,Chico,"Chico, CA",2017-04-07,[  39.761538 -121.84162 ],"{'Commercial and Services': 0.38461538461538464, 'Residential': 0.6153846153846154}"
6,7,8,12126,7,39.761538,-121.84162,WGS84,Iron (TSP) STP,24 HOUR,,Observed Values,"Lo-Vol-Xontech 920 or 924, Teflon - ICP/Mass Spectrometer",2016,Micrograms/cubic meter (25 C),No Events,32,100,Y,29,31,0,4,,,Certification not required,0,0.916875,1.119274,5.67,2016-09-09 00:00,3.12,2016-09-21 00:00,2.34,2016-08-16 00:00,1.93,2016-04-18 00:00,,,,,5.67,5.67,3.12,1.93,1.17,0.585,0.164,Chico-East Avenue,"984 East Avenue, Chico",California,Butte,Chico,"Chico, CA",2017-04-07,[  39.761538 -121.84162 ],"{'Commercial and Services': 0.38461538461538464, 'Residential': 0.6153846153846154}"
6,7,8,12128,7,39.761538,-121.84162,WGS84,Lead (TSP) STP,24 HOUR,Lead Quarterly 1978,Observed Values,"Lo-Vol-Xontech 920 or 924, Teflon - ICP/Mass Spectrometer",2016,Micrograms/cubic meter (25 C),Events Inclucded,32,100,N,29,31,32,4,,,Certification not required,0,0.001572,0.001097,0.0048,2016-09-09 00:00,0.0035,2016-11-08 00:00,0.0034,2016-08-16 00:00,0.0034,2016-09-21 00:00,,,,,0.0048,0.0048,0.0035,0.0034,0.0022,0.0014,0.0006,Chico-East Avenue,"984 East Avenue, Chico",California,Butte,Chico,"Chico, CA",2017-04-07,[  39.761538 -121.84162 ],"{'Commercial and Services': 0.38461538461538464, 'Residential': 0.6153846153846154}"
6,7,8,12132,7,39.761538,-121.84162,WGS84,Manganese (TSP) STP,24 HOUR,,Observed Values,"Lo-Vol-Xontech 920 or 924, Teflon - ICP/Mass Spectrometer",2016,Micrograms/cubic meter (25 C),No Events,32,100,Y,29,31,0,4,,,Certification not required,0,0.018375,0.021324,0.101,2016-09-09 00:00,0.07,2016-09-21 00:00,0.047,2016-08-16 00:00,0.037,2016-04-18 00:00,,,,,0.101,0.101,0.07,0.037,0.025,0.012,0.003,Chico-East Avenue,"984 East Avenue, Chico",California,Butte,Chico,"Chico, CA",2017-04-07,[  39.761538 -121.84162 ],"{'Commercial and Services': 0.38461538461538464, 'Residential': 0.6153846153846154}"
6,7,8,12134,7,39.761538,-121.84162,WGS84,Molybdenum (TSP) STP,24 HOUR,,Observed Values,"Lo-Vol-Xontech 920 or 924, Teflon - ICP/Mass Spectrometer",2016,Micrograms/cubic meter (25 C),No Events,32,100,Y,29,31,0,4,,,Certification not required,0,0.001,0.0,0.001,2016-01-01 00:00,0.001,2016-01-13 00:00,0.001,2016-01-25 00:00,0.001,2016-02-06 00:00,,,,,0.001,0.001,0.001,0.001,0.001,0.001,0.001,Chico-East Avenue,"984 East Avenue, Chico",California,Butte,Chico,"Chico, CA",2017-04-07,[  39.761538 -121.84162 ],"{'Commercial and Services': 0.38461538461538464, 'Residential': 0.6153846153846154}"
6,7,8,12136,7,39.761538,-121.84162,WGS84,Nickel (TSP) STP,24 HOUR,,Observed Values,"Lo-Vol-Xontech 920 or 924, Teflon - ICP/Mass Spectrometer",2016,Micrograms/cubic meter (25 C),No Events,32,100,Y,29,31,0,4,,,Certification not required,0,0.002063,0.002488,0.012,2016-09-09 00:00,0.01,2016-09-21 00:00,0.004,2016-08-16 00:00,0.003,2016-04-18 00:00,,,,,0.012,0.012,0.01,0.003,0.002,0.001,0.001,Chico-East Avenue,"984 East Avenue, Chico",California,Butte,Chico,"Chico, CA",2017-04-07,[  39.761538 -121.84162 ],"{'Commercial and Services': 0.38461538461538464, 'Residential': 0.6153846153846154}"
