,Parameter Name,Latitude,Longitude,LU,Arithmetic Mean
14,PM2.5 - Local Conditions,35.385574,-119.015009,"{'Commercial and Services': 0.55, 'Residential': 0.32, 'Transportation, communications and services': 0.13}",0.014849573000000001
154,PM2.5 - Local Conditions,35.356092,-119.04120900000001,"{'Commercial and Services': 0.16, 'Residential': 0.6, 'Other urban or built-up land': 0.18, 'Transportation, communications and services': 0.06}",0.014490826
158,PM2.5 - Local Conditions,35.356092,-119.04120900000001,"{'Commercial and Services': 0.16, 'Residential': 0.6, 'Other urban or built-up land': 0.18, 'Transportation, communications and services': 0.06}",0.017005714
299,PM2.5 - Local Conditions,35.322928000000005,-118.99916699999999,"{'Commercial and Services': 0.09, 'Mixed urban or built-up land': 0.03, 'Cropland and pasture': 0.87, 'Transportation, communications and services': 0.01}",0.016035
64,PM2.5 - Local Conditions,39.761538,-121.84161999999999,"{'Commercial and Services': 0.38461538461538464, 'Residential': 0.6153846153846154}",0.007600915
14,PM2.5 - Local Conditions,39.202935,-122.017728,"{'Commercial and Services': 0.1, 'Residential': 0.14, 'Orchards, groves, vineyards, nurseries..': 0.76}",0.0062816669999999995
82,PM2.5 - Local Conditions,36.785322,-119.774174,"{'Commercial and Services': 0.1935483870967742, 'Residential': 0.8064516129032258}",0.012728451
86,PM2.5 - Local Conditions,36.785322,-119.774174,"{'Commercial and Services': 0.1935483870967742, 'Residential': 0.8064516129032258}",0.012356667
208,PM2.5 - Local Conditions,36.819111,-119.71735600000001,"{'Residential': 0.87, 'Cropland and pasture': 0.13}",0.011571900999999999
221,PM2.5 - Local Conditions,36.72639,-119.73299999999999,"{'Commercial and Services': 0.19, 'Residential': 0.66, 'Cropland and pasture': 0.13, 'Orchards, groves, vineyards, nurseries..': 0.02}",0.012981667
5,PM2.5 - Local Conditions,40.776944,-124.1775,"{'Commercial and Services': 0.27, 'Residential': 0.71, 'Other urban or built-up land': 0.02}",0.0060542370000000005
11,PM2.5 - Local Conditions,40.71528,-124.20138999999999,"{'Residential': 0.17, 'Cropland and pasture': 0.73, 'Mixed forest land': 0.09, 'Evergreen forest land': 0.01}",0.0034615379999999997
80,PM2.5 - Local Conditions,32.676186,-115.484144,"{'Commercial and Services': 0.5, 'Residential': 0.28, 'Cropland and pasture': 0.22}",0.012514454
84,PM2.5 - Local Conditions,32.676186,-115.484144,"{'Commercial and Services': 0.5, 'Residential': 0.28, 'Cropland and pasture': 0.22}",0.012609677
146,PM2.5 - Local Conditions,32.97833,-115.53917,"{'Commercial and Services': 0.37, 'Residential': 0.59, 'Reservoirs': 0.04}",0.011262602000000002
152,PM2.5 - Local Conditions,32.79222,-115.56306000000001,"{'Commercial and Services': 0.4796747967479675, 'Residential': 0.5203252032520326}",0.009468033
16,PM2.5 - Local Conditions,36.487823,-117.871036,"{'Shrub-brushland rangeland': 0.54, 'Industrial': 0.26, 'Mixed urban or built-up land': 0.2}",0.004973684
12,PM2.5 - Local Conditions,36.10218,-119.56695400000001,"{'Commercial and Services': 0.14222222222222222, 'Residential': 0.41333333333333333, 'Cropland and pasture': 0.4444444444444444}",0.014583193
14,PM2.5 - Local Conditions,39.0327,-122.92228999999999,"{'Industrial': 0.15, 'Orchards, groves, vineyards, nurseries..': 0.75, 'Transportation, communications and services': 0.1}",0.002985246
14,PM2.5 - Local Conditions,33.901389,-118.205,"{'Commercial and Services': 0.62, 'Residential': 0.38}",0.011028696000000001
28,PM2.5 - Local Conditions,33.82376,-118.18921,"{'Commercial and Services': 0.12, 'Residential': 0.51, 'Industrial': 0.34, 'Transportation, communications and services': 0.03}",0.010330055999999999
43,PM2.5 - Local Conditions,33.792359999999995,-118.17533,"{'Commercial and Services': 0.35, 'Residential': 0.53, 'Other urban or built-up land': 0.12}",0.009604286
57,PM2.5 - Local Conditions,33.859444,-118.200278,"{'Cropland and pasture': 0.18, 'Industrial': 0.38, 'Other urban or built-up land': 0.26, 'Residential': 0.18}",0.011980398
