State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
6,11,1002,68101,1,39.202935,-122.017728,WGS84,Sample Flow Rate- CV,24 HOUR,,Observed Values,R & P Model 2000 PM-2.5 FEM Air Sampler - Calculation,2016,Percent,No Events,60,98,Y,60,61,0,2,,,Certification not required,0,0.1,0.0,0.1,2016-01-01 00:00,0.1,2016-01-13 00:00,0.1,2016-01-19 00:00,0.1,2016-01-25 00:00,,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,Colusa-Sunrise Blvd,"100 SUNRISE BLVD., COLUSA",California,Colusa,Colusa,,2017-01-27,[  39.202935 -122.017728],"{'Commercial and Services': 0.1, 'Residential': 0.14, 'Orchards, groves, vineyards, nurseries..': 0.76}"
6,11,1002,68102,1,39.202935,-122.017728,WGS84,Sample Volume,24 HOUR,,Observed Values,R & P Model 2000 PM-2.5 FEM Air Sampler - Calculation,2016,Cubic meter,No Events,60,98,Y,60,61,0,2,,,Certification not required,0,24.0,0.0,24.0,2016-01-01 00:00,24.0,2016-01-13 00:00,24.0,2016-01-19 00:00,24.0,2016-01-25 00:00,,,,,24.0,24.0,24.0,24.0,24.0,24.0,24.0,Colusa-Sunrise Blvd,"100 SUNRISE BLVD., COLUSA",California,Colusa,Colusa,,2017-01-27,[  39.202935 -122.017728],"{'Commercial and Services': 0.1, 'Residential': 0.14, 'Orchards, groves, vineyards, nurseries..': 0.76}"
6,11,1002,68103,1,39.202935,-122.017728,WGS84,Ambient Min Temperature,24 HOUR,,Observed Values,R & P Model 2000 PM-2.5 FEM Air Sampler - Electronic,2016,Degrees Centigrade,No Events,60,98,Y,60,61,0,2,,,Certification not required,0,10.216667,4.605198,18.2,2016-07-29 00:00,17.5,2016-06-29 00:00,17.3,2016-06-05 00:00,16.3,2016-07-11 00:00,,,,,18.2,17.5,17.3,15.8,14.0,10.5,5.2,Colusa-Sunrise Blvd,"100 SUNRISE BLVD., COLUSA",California,Colusa,Colusa,,2017-01-27,[  39.202935 -122.017728],"{'Commercial and Services': 0.1, 'Residential': 0.14, 'Orchards, groves, vineyards, nurseries..': 0.76}"
6,11,1002,68104,1,39.202935,-122.017728,WGS84,Ambient Max Temperature,24 HOUR,,Observed Values,R & P Model 2000 PM-2.5 FEM Air Sampler - Electronic,2016,Degrees Centigrade,No Events,60,98,Y,60,61,0,2,,,Certification not required,0,26.318333,9.091316,40.6,2016-06-05 00:00,40.4,2016-07-29 00:00,39.9,2016-06-29 00:00,39.9,2016-07-23 00:00,,,,,40.6,40.4,39.9,38.1,34.4,25.9,14.2,Colusa-Sunrise Blvd,"100 SUNRISE BLVD., COLUSA",California,Colusa,Colusa,,2017-01-27,[  39.202935 -122.017728],"{'Commercial and Services': 0.1, 'Residential': 0.14, 'Orchards, groves, vineyards, nurseries..': 0.76}"
6,11,1002,68105,1,39.202935,-122.017728,WGS84,Average Ambient Temperature,24 HOUR,,Observed Values,R & P Model 2000 PM-2.5 FEM Air Sampler - Electronic,2016,Degrees Centigrade,No Events,60,98,Y,60,61,0,2,,,Certification not required,0,17.58,6.754955,29.5,2016-06-05 00:00,29.3,2016-07-29 00:00,28.7,2016-06-29 00:00,28.1,2016-07-23 00:00,,,,,29.5,29.3,28.7,27.1,23.2,16.6,9.8,Colusa-Sunrise Blvd,"100 SUNRISE BLVD., COLUSA",California,Colusa,Colusa,,2017-01-27,[  39.202935 -122.017728],"{'Commercial and Services': 0.1, 'Residential': 0.14, 'Orchards, groves, vineyards, nurseries..': 0.76}"
6,11,1002,68106,1,39.202935,-122.017728,WGS84,Sample Min Baro Pressure,24 HOUR,,Observed Values,R & P Model 2000 PM-2.5 FEM Air Sampler - Barometric Sensor,2016,Millimeters (mercury),No Events,60,98,Y,60,61,0,2,,,Certification not required,0,756.183333,4.370516,767.0,2016-02-06 00:00,765.0,2016-01-25 00:00,765.0,2016-12-26 00:00,764.0,2016-12-02 00:00,,,,,767.0,765.0,765.0,763.0,759.0,755.0,751.0,Colusa-Sunrise Blvd,"100 SUNRISE BLVD., COLUSA",California,Colusa,Colusa,,2017-01-27,[  39.202935 -122.017728],"{'Commercial and Services': 0.1, 'Residential': 0.14, 'Orchards, groves, vineyards, nurseries..': 0.76}"
6,11,1002,68107,1,39.202935,-122.017728,WGS84,Sample Max Baro Pressure,24 HOUR,,Observed Values,R & P Model 2000 PM-2.5 FEM Air Sampler - Barometric Sensor,2016,Millimeters (mercury),No Events,60,98,Y,60,61,0,2,,,Certification not required,0,761.383333,3.936322,772.0,2016-02-06 00:00,770.0,2016-12-20 00:00,770.0,2016-12-26 00:00,768.0,2016-01-25 00:00,,,,,772.0,770.0,770.0,766.0,764.0,761.0,757.0,Colusa-Sunrise Blvd,"100 SUNRISE BLVD., COLUSA",California,Colusa,Colusa,,2017-01-27,[  39.202935 -122.017728],"{'Commercial and Services': 0.1, 'Residential': 0.14, 'Orchards, groves, vineyards, nurseries..': 0.76}"
6,11,1002,68108,1,39.202935,-122.017728,WGS84,Average Ambient Pressure,24 HOUR,,Observed Values,R & P Model 2000 PM-2.5 FEM Air Sampler - Barometric Sensor,2016,Millimeters (mercury),No Events,60,98,Y,60,61,0,2,,,Certification not required,0,758.766667,4.026887,770.0,2016-02-06 00:00,768.0,2016-12-26 00:00,767.0,2016-12-20 00:00,766.0,2016-01-25 00:00,,,,,770.0,768.0,767.0,764.0,761.0,758.0,755.0,Colusa-Sunrise Blvd,"100 SUNRISE BLVD., COLUSA",California,Colusa,Colusa,,2017-01-27,[  39.202935 -122.017728],"{'Commercial and Services': 0.1, 'Residential': 0.14, 'Orchards, groves, vineyards, nurseries..': 0.76}"
6,11,1002,68109,1,39.202935,-122.017728,WGS84,Elapsed Sample Time,24 HOUR,,Observed Values,R & P Model 2000 PM-2.5 FEM Air Sampler - Calculation,2016,Minutes,No Events,60,98,Y,60,61,0,2,,,Certification not required,0,1440.0,0.0,1440.0,2016-01-01 00:00,1440.0,2016-01-13 00:00,1440.0,2016-01-19 00:00,1440.0,2016-01-25 00:00,,,,,1440.0,1440.0,1440.0,1440.0,1440.0,1440.0,1440.0,Colusa-Sunrise Blvd,"100 SUNRISE BLVD., COLUSA",California,Colusa,Colusa,,2017-01-27,[  39.202935 -122.017728],"{'Commercial and Services': 0.1, 'Residential': 0.14, 'Orchards, groves, vineyards, nurseries..': 0.76}"
6,11,1002,81102,2,39.202935,-122.017728,WGS84,PM10 Total 0-10um STP,24 HOUR,PM10 24-hour 2006,Daily Mean,HI-VOL SA/GMW-1200 - GRAVIMETRIC,2016,Micrograms/cubic meter (25 C),No Events,6,10,N,6,61,0,0,0.0,0.0,Requested but not yet concurred,0,6.0,2.44949,10.0,2016-01-13 00:00,7.0,2016-01-01 00:00,6.0,2016-01-07 00:00,6.0,2016-01-19 00:00,,,,,10.0,10.0,10.0,10.0,7.0,6.0,3.0,Colusa-Sunrise Blvd,"100 SUNRISE BLVD., COLUSA",California,Colusa,Colusa,,2016-08-16,[  39.202935 -122.017728],"{'Commercial and Services': 0.1, 'Residential': 0.14, 'Orchards, groves, vineyards, nurseries..': 0.76}"
6,11,1002,85101,1,39.202935,-122.017728,WGS84,PM10 - LC,24 HOUR,,Observed Values,HI-VOL-SA/GMW1200 - GRAVIMETRIC,2016,Micrograms/cubic meter (LC),No Events,6,100,N,6,6,0,0,,,Certification not required,0,6.5,2.810694,11.0,2016-01-13 00:00,7.0,2016-01-01 00:00,7.0,2016-01-07 00:00,7.0,2016-01-19 00:00,,,,,11.0,11.0,11.0,11.0,7.0,7.0,3.0,Colusa-Sunrise Blvd,"100 SUNRISE BLVD., COLUSA",California,Colusa,Colusa,,2016-08-16,[  39.202935 -122.017728],"{'Commercial and Services': 0.1, 'Residential': 0.14, 'Orchards, groves, vineyards, nurseries..': 0.76}"
6,11,1002,88101,1,39.202935,-122.017728,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2006,Daily Mean,R & P Model 2000 PM-2.5 Air Sampler w/VSCC - Gravimetric,2016,Micrograms/cubic meter (LC),No Events,60,98,Y,60,61,0,2,0.0,0.0,Requested but not yet concurred,0,6.281667,3.430941,14.8,2016-08-04 00:00,13.0,2016-02-12 00:00,12.3,2016-12-26 00:00,12.2,2016-02-24 00:00,,,,,14.8,13.0,12.3,11.0,8.6,6.5,2.3,Colusa-Sunrise Blvd,"100 SUNRISE BLVD., COLUSA",California,Colusa,Colusa,,2017-01-27,[  39.202935 -122.017728],"{'Commercial and Services': 0.1, 'Residential': 0.14, 'Orchards, groves, vineyards, nurseries..': 0.76}"
6,11,1002,88101,1,39.202935,-122.017728,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,Daily Mean,R & P Model 2000 PM-2.5 Air Sampler w/VSCC - Gravimetric,2016,Micrograms/cubic meter (LC),No Events,60,98,Y,60,61,0,2,0.0,0.0,Requested but not yet concurred,0,6.281667,3.430941,14.8,2016-08-04 00:00,13.0,2016-02-12 00:00,12.3,2016-12-26 00:00,12.2,2016-02-24 00:00,,,,,14.8,13.0,12.3,11.0,8.6,6.5,2.3,Colusa-Sunrise Blvd,"100 SUNRISE BLVD., COLUSA",California,Colusa,Colusa,,2017-01-27,[  39.202935 -122.017728],"{'Commercial and Services': 0.1, 'Residential': 0.14, 'Orchards, groves, vineyards, nurseries..': 0.76}"
