State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
6,15,2,85101,1,41.560952,-124.083964,WGS84,PM10 - LC,24 HOUR,,Observed Values,"IMPROVE Module D with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - GRAVIMETRIC",2016,Micrograms/cubic meter (LC),No Events,49,40,N,49,122,0,2,,,Certification not required,0,8.524347,5.450059,22.951,2016-05-09 00:00,19.88,2016-01-16 00:00,19.114,2016-05-06 00:00,18.968,2016-03-25 00:00,,,,,22.951,22.951,19.114,15.945,11.624,7.973,1.932,Redwood NP,"N OF KLAMATH RIVER, REDWOOD NP",California,Del Norte,Redwood National Park,"Crescent City, CA",2017-04-25,[  41.560952 -124.083964],"{'Commercial and Services': 0.0990990990990991, 'Mixed forest land': 0.9009009009009009}"
6,15,2,88103,1,41.560952,-124.083964,WGS84,Arsenic PM2.5 LC,24 HOUR,,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2016,Micrograms/cubic meter (LC),No Events,49,40,N,49,122,0,2,,,Certification not required,0,0.0,0.0,0.0,2016-01-01 00:00,0.0,2016-01-04 00:00,0.0,2016-01-07 00:00,0.0,2016-01-10 00:00,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Redwood NP,"N OF KLAMATH RIVER, REDWOOD NP",California,Del Norte,Redwood National Park,"Crescent City, CA",2017-04-25,[  41.560952 -124.083964],"{'Commercial and Services': 0.0990990990990991, 'Mixed forest land': 0.9009009009009009}"
6,15,2,88104,1,41.560952,-124.083964,WGS84,Aluminum PM2.5 LC,24 HOUR,,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2016,Micrograms/cubic meter (LC),No Events,49,40,N,49,122,0,2,,,Certification not required,0,0.01849,0.013623,0.045,2016-05-09 00:00,0.044,2016-04-06 00:00,0.042,2016-03-25 00:00,0.04,2016-05-06 00:00,,,,,0.045,0.045,0.042,0.039,0.029,0.017,0.002,Redwood NP,"N OF KLAMATH RIVER, REDWOOD NP",California,Del Norte,Redwood National Park,"Crescent City, CA",2017-04-25,[  41.560952 -124.083964],"{'Commercial and Services': 0.0990990990990991, 'Mixed forest land': 0.9009009009009009}"
6,15,2,88109,1,41.560952,-124.083964,WGS84,Bromine PM2.5 LC,24 HOUR,,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2016,Micrograms/cubic meter (LC),No Events,49,40,N,49,122,0,2,,,Certification not required,0,0.002143,0.001594,0.007,2016-01-16 00:00,0.005,2016-03-04 00:00,0.005,2016-05-06 00:00,0.005,2016-05-09 00:00,,,,,0.007,0.007,0.005,0.004,0.003,0.002,0.0,Redwood NP,"N OF KLAMATH RIVER, REDWOOD NP",California,Del Norte,Redwood National Park,"Crescent City, CA",2017-04-25,[  41.560952 -124.083964],"{'Commercial and Services': 0.0990990990990991, 'Mixed forest land': 0.9009009009009009}"
6,15,2,88111,1,41.560952,-124.083964,WGS84,Calcium PM2.5 LC,24 HOUR,,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2016,Micrograms/cubic meter (LC),No Events,49,40,N,49,122,0,2,,,Certification not required,0,0.024347,0.018021,0.067,2016-05-09 00:00,0.064,2016-05-06 00:00,0.061,2016-01-16 00:00,0.054,2016-03-25 00:00,,,,,0.067,0.067,0.061,0.05,0.036,0.022,0.003,Redwood NP,"N OF KLAMATH RIVER, REDWOOD NP",California,Del Norte,Redwood National Park,"Crescent City, CA",2017-04-25,[  41.560952 -124.083964],"{'Commercial and Services': 0.0990990990990991, 'Mixed forest land': 0.9009009009009009}"
6,15,2,88112,1,41.560952,-124.083964,WGS84,Chromium PM2.5 LC,24 HOUR,,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2016,Micrograms/cubic meter (LC),No Events,49,40,N,49,122,0,2,,,Certification not required,0,0.0,0.0,0.0,2016-01-01 00:00,0.0,2016-01-04 00:00,0.0,2016-01-07 00:00,0.0,2016-01-10 00:00,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Redwood NP,"N OF KLAMATH RIVER, REDWOOD NP",California,Del Norte,Redwood National Park,"Crescent City, CA",2017-04-25,[  41.560952 -124.083964],"{'Commercial and Services': 0.0990990990990991, 'Mixed forest land': 0.9009009009009009}"
6,15,2,88114,1,41.560952,-124.083964,WGS84,Copper PM2.5 LC,24 HOUR,,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2016,Micrograms/cubic meter (LC),No Events,49,40,N,49,122,0,2,,,Certification not required,0,0.0,0.0,0.0,2016-01-01 00:00,0.0,2016-01-04 00:00,0.0,2016-01-07 00:00,0.0,2016-01-10 00:00,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Redwood NP,"N OF KLAMATH RIVER, REDWOOD NP",California,Del Norte,Redwood National Park,"Crescent City, CA",2017-04-25,[  41.560952 -124.083964],"{'Commercial and Services': 0.0990990990990991, 'Mixed forest land': 0.9009009009009009}"
6,15,2,88115,1,41.560952,-124.083964,WGS84,Chlorine PM2.5 LC,24 HOUR,,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2016,Micrograms/cubic meter (LC),No Events,49,40,N,49,122,0,2,,,Certification not required,0,0.681796,0.63378,2.5,2016-01-16 00:00,2.134,2016-05-09 00:00,1.898,2016-05-06 00:00,1.766,2016-03-10 00:00,,,,,2.5,2.5,1.898,1.717,1.104,0.581,0.023,Redwood NP,"N OF KLAMATH RIVER, REDWOOD NP",California,Del Norte,Redwood National Park,"Crescent City, CA",2017-04-25,[  41.560952 -124.083964],"{'Commercial and Services': 0.0990990990990991, 'Mixed forest land': 0.9009009009009009}"
6,15,2,88126,1,41.560952,-124.083964,WGS84,Iron PM2.5 LC,24 HOUR,,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2016,Micrograms/cubic meter (LC),No Events,49,40,N,49,122,0,2,,,Certification not required,0,0.006245,0.006143,0.025,2016-04-06 00:00,0.022,2016-04-21 00:00,0.018,2016-04-09 00:00,0.015,2016-03-16 00:00,,,,,0.025,0.025,0.018,0.015,0.01,0.004,0.0,Redwood NP,"N OF KLAMATH RIVER, REDWOOD NP",California,Del Norte,Redwood National Park,"Crescent City, CA",2017-04-25,[  41.560952 -124.083964],"{'Commercial and Services': 0.0990990990990991, 'Mixed forest land': 0.9009009009009009}"
6,15,2,88128,1,41.560952,-124.083964,WGS84,Lead PM2.5 LC,24 HOUR,,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2016,Micrograms/cubic meter (LC),No Events,49,40,N,49,122,0,2,,,Certification not required,0,0.000143,0.000456,0.001,2016-01-04 00:00,0.001,2016-02-06 00:00,0.001,2016-02-12 00:00,0.001,2016-04-03 00:00,,,,,0.001,0.001,0.001,0.001,0.0,0.0,0.0,Redwood NP,"N OF KLAMATH RIVER, REDWOOD NP",California,Del Norte,Redwood National Park,"Crescent City, CA",2017-04-25,[  41.560952 -124.083964],"{'Commercial and Services': 0.0990990990990991, 'Mixed forest land': 0.9009009009009009}"
6,15,2,88132,1,41.560952,-124.083964,WGS84,Manganese PM2.5 LC,24 HOUR,,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2016,Micrograms/cubic meter (LC),No Events,49,40,N,49,122,0,2,,,Certification not required,0,0.000184,0.000391,0.001,2016-01-22 00:00,0.001,2016-02-09 00:00,0.001,2016-02-24 00:00,0.001,2016-03-01 00:00,,,,,0.001,0.001,0.001,0.001,0.0,0.0,0.0,Redwood NP,"N OF KLAMATH RIVER, REDWOOD NP",California,Del Norte,Redwood National Park,"Crescent City, CA",2017-04-25,[  41.560952 -124.083964],"{'Commercial and Services': 0.0990990990990991, 'Mixed forest land': 0.9009009009009009}"
6,15,2,88136,1,41.560952,-124.083964,WGS84,Nickel PM2.5 LC,24 HOUR,,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2016,Micrograms/cubic meter (LC),No Events,49,40,N,49,122,0,2,,,Certification not required,0,0.0,0.0,0.0,2016-01-01 00:00,0.0,2016-01-04 00:00,0.0,2016-01-07 00:00,0.0,2016-01-10 00:00,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Redwood NP,"N OF KLAMATH RIVER, REDWOOD NP",California,Del Norte,Redwood National Park,"Crescent City, CA",2017-04-25,[  41.560952 -124.083964],"{'Commercial and Services': 0.0990990990990991, 'Mixed forest land': 0.9009009009009009}"
6,15,2,88140,1,41.560952,-124.083964,WGS84,Magnesium PM2.5 LC,24 HOUR,,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2016,Micrograms/cubic meter (LC),No Events,49,40,N,49,122,0,2,,,Certification not required,0,0.07402,0.055387,0.203,2016-05-06 00:00,0.201,2016-05-09 00:00,0.191,2016-01-16 00:00,0.173,2016-03-25 00:00,,,,,0.203,0.203,0.191,0.156,0.108,0.07,0.006,Redwood NP,"N OF KLAMATH RIVER, REDWOOD NP",California,Del Norte,Redwood National Park,"Crescent City, CA",2017-04-25,[  41.560952 -124.083964],"{'Commercial and Services': 0.0990990990990991, 'Mixed forest land': 0.9009009009009009}"
6,15,2,88152,1,41.560952,-124.083964,WGS84,Phosphorus PM2.5 LC,24 HOUR,,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2016,Micrograms/cubic meter (LC),No Events,49,40,N,49,122,0,2,,,Certification not required,0,4.1e-05,0.0002,0.001,2016-04-06 00:00,0.001,2016-05-24 00:00,0.0,2016-01-01 00:00,0.0,2016-01-04 00:00,,,,,0.001,0.001,0.0,0.0,0.0,0.0,0.0,Redwood NP,"N OF KLAMATH RIVER, REDWOOD NP",California,Del Norte,Redwood National Park,"Crescent City, CA",2017-04-25,[  41.560952 -124.083964],"{'Commercial and Services': 0.0990990990990991, 'Mixed forest land': 0.9009009009009009}"
