State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
6,17,9001,85101,1,38.9248,-119.97,WGS84,PM10 - LC,24 HOUR,,Observed Values,"IMPROVE Module D with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - GRAVIMETRIC",2016,Micrograms/cubic meter (LC),No Events,47,39,N,47,122,0,4,,,Certification not required,0,4.678,3.637997,16.56,2016-02-12 00:00,16.15,2016-01-01 00:00,12.953,2016-02-09 00:00,10.316,2016-03-16 00:00,,,,,16.56,16.56,12.953,8.862,5.823,3.865,0.993,Lake Tahoe Community College,"1275 Meadow Crest Dr, South Lake Tahoe, CA 96150",California,El Dorado,South Lake Tahoe,"Sacramento--Roseville--Arden-Arcade, CA",2017-04-25,[  38.9248 -119.97  ],"{'Residential': 0.01, 'Evergreen forest land': 0.99}"
6,17,9001,88103,1,38.9248,-119.97,WGS84,Arsenic PM2.5 LC,24 HOUR,,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2016,Micrograms/cubic meter (LC),No Events,45,37,N,45,122,0,6,,,Certification not required,0,0.0,0.0,0.0,2016-01-01 00:00,0.0,2016-01-04 00:00,0.0,2016-01-07 00:00,0.0,2016-01-10 00:00,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lake Tahoe Community College,"1275 Meadow Crest Dr, South Lake Tahoe, CA 96150",California,El Dorado,South Lake Tahoe,"Sacramento--Roseville--Arden-Arcade, CA",2017-04-25,[  38.9248 -119.97  ],"{'Residential': 0.01, 'Evergreen forest land': 0.99}"
6,17,9001,88104,1,38.9248,-119.97,WGS84,Aluminum PM2.5 LC,24 HOUR,,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2016,Micrograms/cubic meter (LC),No Events,45,37,N,45,122,0,6,,,Certification not required,0,0.035,0.034975,0.164,2016-03-16 00:00,0.121,2016-04-18 00:00,0.103,2016-02-12 00:00,0.09,2016-02-24 00:00,,,,,0.164,0.164,0.103,0.09,0.048,0.025,0.005,Lake Tahoe Community College,"1275 Meadow Crest Dr, South Lake Tahoe, CA 96150",California,El Dorado,South Lake Tahoe,"Sacramento--Roseville--Arden-Arcade, CA",2017-04-25,[  38.9248 -119.97  ],"{'Residential': 0.01, 'Evergreen forest land': 0.99}"
6,17,9001,88109,1,38.9248,-119.97,WGS84,Bromine PM2.5 LC,24 HOUR,,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2016,Micrograms/cubic meter (LC),No Events,45,37,N,45,122,0,6,,,Certification not required,0,0.000733,0.000539,0.002,2016-04-03 00:00,0.002,2016-04-18 00:00,0.001,2016-01-01 00:00,0.001,2016-01-04 00:00,,,,,0.002,0.002,0.001,0.001,0.001,0.001,0.0,Lake Tahoe Community College,"1275 Meadow Crest Dr, South Lake Tahoe, CA 96150",California,El Dorado,South Lake Tahoe,"Sacramento--Roseville--Arden-Arcade, CA",2017-04-25,[  38.9248 -119.97  ],"{'Residential': 0.01, 'Evergreen forest land': 0.99}"
6,17,9001,88111,1,38.9248,-119.97,WGS84,Calcium PM2.5 LC,24 HOUR,,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2016,Micrograms/cubic meter (LC),No Events,45,37,N,45,122,0,6,,,Certification not required,0,0.020022,0.021827,0.119,2016-03-16 00:00,0.059,2016-04-18 00:00,0.056,2016-04-21 00:00,0.055,2016-05-30 00:00,,,,,0.119,0.119,0.056,0.05,0.025,0.013,0.003,Lake Tahoe Community College,"1275 Meadow Crest Dr, South Lake Tahoe, CA 96150",California,El Dorado,South Lake Tahoe,"Sacramento--Roseville--Arden-Arcade, CA",2017-04-25,[  38.9248 -119.97  ],"{'Residential': 0.01, 'Evergreen forest land': 0.99}"
6,17,9001,88112,1,38.9248,-119.97,WGS84,Chromium PM2.5 LC,24 HOUR,,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2016,Micrograms/cubic meter (LC),No Events,45,37,N,45,122,0,6,,,Certification not required,0,0.0,0.0,0.0,2016-01-01 00:00,0.0,2016-01-04 00:00,0.0,2016-01-07 00:00,0.0,2016-01-10 00:00,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lake Tahoe Community College,"1275 Meadow Crest Dr, South Lake Tahoe, CA 96150",California,El Dorado,South Lake Tahoe,"Sacramento--Roseville--Arden-Arcade, CA",2017-04-25,[  38.9248 -119.97  ],"{'Residential': 0.01, 'Evergreen forest land': 0.99}"
6,17,9001,88114,1,38.9248,-119.97,WGS84,Copper PM2.5 LC,24 HOUR,,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2016,Micrograms/cubic meter (LC),No Events,45,37,N,45,122,0,6,,,Certification not required,0,0.000422,0.000543,0.002,2016-01-01 00:00,0.001,2016-01-04 00:00,0.001,2016-01-07 00:00,0.001,2016-01-10 00:00,,,,,0.002,0.002,0.001,0.001,0.001,0.0,0.0,Lake Tahoe Community College,"1275 Meadow Crest Dr, South Lake Tahoe, CA 96150",California,El Dorado,South Lake Tahoe,"Sacramento--Roseville--Arden-Arcade, CA",2017-04-25,[  38.9248 -119.97  ],"{'Residential': 0.01, 'Evergreen forest land': 0.99}"
6,17,9001,88115,1,38.9248,-119.97,WGS84,Chlorine PM2.5 LC,24 HOUR,,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2016,Micrograms/cubic meter (LC),No Events,45,37,N,45,122,0,6,,,Certification not required,0,0.003689,0.004631,0.02,2016-01-13 00:00,0.02,2016-03-22 00:00,0.013,2016-01-01 00:00,0.012,2016-02-18 00:00,,,,,0.02,0.02,0.013,0.009,0.004,0.002,0.001,Lake Tahoe Community College,"1275 Meadow Crest Dr, South Lake Tahoe, CA 96150",California,El Dorado,South Lake Tahoe,"Sacramento--Roseville--Arden-Arcade, CA",2017-04-25,[  38.9248 -119.97  ],"{'Residential': 0.01, 'Evergreen forest land': 0.99}"
6,17,9001,88126,1,38.9248,-119.97,WGS84,Iron PM2.5 LC,24 HOUR,,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2016,Micrograms/cubic meter (LC),No Events,45,37,N,45,122,0,6,,,Certification not required,0,0.025578,0.023817,0.108,2016-03-16 00:00,0.087,2016-02-12 00:00,0.075,2016-04-18 00:00,0.06,2016-02-24 00:00,,,,,0.108,0.108,0.075,0.06,0.032,0.019,0.004,Lake Tahoe Community College,"1275 Meadow Crest Dr, South Lake Tahoe, CA 96150",California,El Dorado,South Lake Tahoe,"Sacramento--Roseville--Arden-Arcade, CA",2017-04-25,[  38.9248 -119.97  ],"{'Residential': 0.01, 'Evergreen forest land': 0.99}"
6,17,9001,88128,1,38.9248,-119.97,WGS84,Lead PM2.5 LC,24 HOUR,,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2016,Micrograms/cubic meter (LC),No Events,45,37,N,45,122,0,6,,,Certification not required,0,0.000356,0.00057,0.002,2016-05-15 00:00,0.001,2016-01-04 00:00,0.001,2016-01-13 00:00,0.001,2016-02-06 00:00,,,,,0.002,0.002,0.001,0.001,0.001,0.0,0.0,Lake Tahoe Community College,"1275 Meadow Crest Dr, South Lake Tahoe, CA 96150",California,El Dorado,South Lake Tahoe,"Sacramento--Roseville--Arden-Arcade, CA",2017-04-25,[  38.9248 -119.97  ],"{'Residential': 0.01, 'Evergreen forest land': 0.99}"
