State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
6,19,7,81102,1,36.705506,-119.741966,WGS84,PM10 Total 0-10um STP,24 HOUR,PM10 24-hour 2006,Daily Mean,Hi Vol SSI Ecotech Model 3000 - Gravimetric,2016,Micrograms/cubic meter (25 C),No Events,59,97,Y,59,61,0,2,0.0,0.0,Requested but not yet concurred,0,37.457627,20.06139,88.0,2016-09-27 00:00,78.0,2016-09-09 00:00,77.0,2016-09-15 00:00,74.0,2016-08-16 00:00,,,,,88.0,78.0,77.0,68.0,52.0,33.0,12.0,Fresno-Drummond,"4706 E. DRUMMOND ST., FRESNO",California,Fresno,,"Fresno, CA",2017-03-13,[  36.705506 -119.741966],"{'Residential': 0.0196078431372549, 'Industrial': 0.9803921568627451}"
6,19,7,81102,2,36.705506,-119.741966,WGS84,PM10 Total 0-10um STP,24 HOUR,PM10 24-hour 2006,Daily Mean,Hi Vol SSI Ecotech Model 3000 - Gravimetric,2016,Micrograms/cubic meter (25 C),No Events,58,95,Y,58,61,0,3,0.0,0.0,Requested but not yet concurred,0,37.758621,20.375691,86.0,2016-09-27 00:00,80.0,2016-09-09 00:00,78.0,2016-09-15 00:00,74.0,2016-08-16 00:00,,,,,86.0,80.0,78.0,66.0,51.0,35.0,12.0,Fresno-Drummond,"4706 E. DRUMMOND ST., FRESNO",California,Fresno,,"Fresno, CA",2017-03-13,[  36.705506 -119.741966],"{'Residential': 0.0196078431372549, 'Industrial': 0.9803921568627451}"
6,19,7,85101,1,36.705506,-119.741966,WGS84,PM10 - LC,24 HOUR,,Observed Values,Hi Vol SSI Ecotech Model 3000 - Gravimetric,2016,Micrograms/cubic meter (LC),No Events,59,97,Y,59,61,0,2,,,Certification not required,0,37.474576,19.821058,86.0,2016-09-27 00:00,77.0,2016-09-09 00:00,77.0,2016-09-15 00:00,71.0,2016-08-16 00:00,,,,,86.0,77.0,77.0,68.0,53.0,33.0,12.0,Fresno-Drummond,"4706 E. DRUMMOND ST., FRESNO",California,Fresno,,"Fresno, CA",2017-03-13,[  36.705506 -119.741966],"{'Residential': 0.0196078431372549, 'Industrial': 0.9803921568627451}"
6,19,7,85101,2,36.705506,-119.741966,WGS84,PM10 - LC,24 HOUR,,Observed Values,Hi Vol SSI Ecotech Model 3000 - Gravimetric,2016,Micrograms/cubic meter (LC),No Events,58,95,Y,58,61,0,3,,,Certification not required,0,37.913793,20.171445,85.0,2016-09-27 00:00,79.0,2016-09-09 00:00,78.0,2016-09-15 00:00,72.0,2016-08-16 00:00,,,,,85.0,79.0,78.0,68.0,53.0,34.0,13.0,Fresno-Drummond,"4706 E. DRUMMOND ST., FRESNO",California,Fresno,,"Fresno, CA",2017-03-13,[  36.705506 -119.741966],"{'Residential': 0.0196078431372549, 'Industrial': 0.9803921568627451}"
6,19,11,12102,7,36.785322,-119.774174,WGS84,Antimony (TSP) STP,24 HOUR,,Observed Values,"Lo-Vol-Xontech 920 or 924, Teflon - ICP/Mass Spectrometer",2016,Micrograms/cubic meter (25 C),No Events,31,51,N,31,61,0,5,,,Certification not required,0,0.002419,0.001566,0.006,2016-12-02 00:00,0.006,2016-12-14 00:00,0.005,2016-02-06 00:00,0.004,2016-01-25 00:00,,,,,0.006,0.006,0.006,0.004,0.004,0.002,0.001,Fresno - Garland,"3727 N FIRST ST, FRESNO",California,Fresno,Fresno,"Fresno, CA",2017-04-07,[  36.785322 -119.774174],"{'Commercial and Services': 0.1935483870967742, 'Residential': 0.8064516129032258}"
6,19,11,12103,7,36.785322,-119.774174,WGS84,Arsenic (TSP) STP,24 HOUR,,Observed Values,"Lo-Vol-Xontech 920 or 924, Teflon - ICP/Mass Spectrometer",2016,Micrograms/cubic meter (25 C),No Events,31,51,N,31,61,0,5,,,Certification not required,0,0.001032,0.00018,0.002,2016-03-01 00:00,0.001,2016-01-13 00:00,0.001,2016-01-19 00:00,0.001,2016-01-25 00:00,,,,,0.002,0.002,0.001,0.001,0.001,0.001,0.001,Fresno - Garland,"3727 N FIRST ST, FRESNO",California,Fresno,Fresno,"Fresno, CA",2017-04-07,[  36.785322 -119.774174],"{'Commercial and Services': 0.1935483870967742, 'Residential': 0.8064516129032258}"
6,19,11,12105,7,36.785322,-119.774174,WGS84,Beryllium (TSP) STP,24 HOUR,,Observed Values,"Lo-Vol-Xontech 920 or 924, Teflon - ICP/Mass Spectrometer",2016,Nanograms/cubic meter (25 C),No Events,31,51,N,31,61,0,5,,,Certification not required,0,0.152,0.0,0.152,2016-01-13 00:00,0.152,2016-01-19 00:00,0.152,2016-01-25 00:00,0.152,2016-02-06 00:00,,,,,0.152,0.152,0.152,0.152,0.152,0.152,0.152,Fresno - Garland,"3727 N FIRST ST, FRESNO",California,Fresno,Fresno,"Fresno, CA",2017-04-07,[  36.785322 -119.774174],"{'Commercial and Services': 0.1935483870967742, 'Residential': 0.8064516129032258}"
6,19,11,12110,7,36.785322,-119.774174,WGS84,Cadmium (TSP) STP,24 HOUR,,Observed Values,"Lo-Vol-Xontech 920 or 924, Teflon - ICP/Mass Spectrometer",2016,Micrograms/cubic meter (25 C),No Events,31,51,N,31,61,0,5,,,Certification not required,0,0.001,0.0,0.001,2016-01-13 00:00,0.001,2016-01-19 00:00,0.001,2016-01-25 00:00,0.001,2016-02-06 00:00,,,,,0.001,0.001,0.001,0.001,0.001,0.001,0.001,Fresno - Garland,"3727 N FIRST ST, FRESNO",California,Fresno,Fresno,"Fresno, CA",2017-04-07,[  36.785322 -119.774174],"{'Commercial and Services': 0.1935483870967742, 'Residential': 0.8064516129032258}"
6,19,11,12112,7,36.785322,-119.774174,WGS84,Chromium (TSP) STP,24 HOUR,,Observed Values,"Lo-Vol-Xontech 920 or 924, Teflon - ICP/Mass Spectrometer",2016,Micrograms/cubic meter (25 C),No Events,31,51,N,31,61,0,5,,,Certification not required,0,0.004548,0.001729,0.011,2016-09-09 00:00,0.009,2016-10-27 00:00,0.009,2016-11-20 00:00,0.004,2016-01-13 00:00,,,,,0.011,0.011,0.009,0.004,0.004,0.004,0.004,Fresno - Garland,"3727 N FIRST ST, FRESNO",California,Fresno,Fresno,"Fresno, CA",2017-04-07,[  36.785322 -119.774174],"{'Commercial and Services': 0.1935483870967742, 'Residential': 0.8064516129032258}"
6,19,11,12113,7,36.785322,-119.774174,WGS84,Cobalt (TSP) STP,24 HOUR,,Observed Values,"Lo-Vol-Xontech 920 or 924, Teflon - ICP/Mass Spectrometer",2016,Micrograms/cubic meter (25 C),No Events,31,51,N,31,61,0,5,,,Certification not required,0,0.001,0.0,0.001,2016-01-13 00:00,0.001,2016-01-19 00:00,0.001,2016-01-25 00:00,0.001,2016-02-06 00:00,,,,,0.001,0.001,0.001,0.001,0.001,0.001,0.001,Fresno - Garland,"3727 N FIRST ST, FRESNO",California,Fresno,Fresno,"Fresno, CA",2017-04-07,[  36.785322 -119.774174],"{'Commercial and Services': 0.1935483870967742, 'Residential': 0.8064516129032258}"
