State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
6,23,1004,68105,1,40.776944,-124.1775,WGS84,Average Ambient Temperature,24 HOUR,,Observed Values,Multiple Methods Used,2016,Degrees Centigrade,No Events,122,100,Y,122,122,0,0,,,Certification not required,0,12.342623,2.358979,17.6,2016-04-06 00:00,15.8,2016-10-15 00:00,15.7,2016-11-08 00:00,15.6,2016-07-08 00:00,,,,,15.8,15.7,15.1,14.6,13.9,12.7,8.7,Jacobs,717 SOUTH AVENUE,California,Humboldt,Eureka,"Eureka-Arcata-Fortuna, CA",2017-03-09,[  40.776944 -124.1775  ],"{'Commercial and Services': 0.27, 'Residential': 0.71, 'Other urban or built-up land': 0.02}"
6,23,1004,68108,1,40.776944,-124.1775,WGS84,Average Ambient Pressure,24 HOUR,,Observed Values,Multiple Methods Used,2016,Millimeters (mercury),No Events,122,100,Y,122,122,0,0,,,Certification not required,0,760.040984,3.844923,769.0,2016-02-06 00:00,768.0,2016-12-02 00:00,767.0,2016-12-17 00:00,767.0,2016-12-20 00:00,,,,,768.0,767.0,766.0,765.0,762.0,760.0,755.0,Jacobs,717 SOUTH AVENUE,California,Humboldt,Eureka,"Eureka-Arcata-Fortuna, CA",2017-03-09,[  40.776944 -124.1775  ],"{'Commercial and Services': 0.27, 'Residential': 0.71, 'Other urban or built-up land': 0.02}"
6,23,1004,88101,1,40.776944,-124.1775,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2006,Daily Mean,Multiple Methods Used,2016,Micrograms/cubic meter (LC),No Events,118,100,Y,61,61,0,1,0.0,0.0,Requested but not yet concurred,0,6.054237,3.721057,20.0,2016-12-29 00:00,19.3,2016-12-26 00:00,16.4,2016-01-01 00:00,16.3,2016-12-17 00:00,,,,,20.0,19.3,16.3,13.8,9.0,7.2,5.9,Jacobs,717 SOUTH AVENUE,California,Humboldt,Eureka,"Eureka-Arcata-Fortuna, CA",2017-03-17,[  40.776944 -124.1775  ],"{'Commercial and Services': 0.27, 'Residential': 0.71, 'Other urban or built-up land': 0.02}"
6,23,1004,88101,1,40.776944,-124.1775,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,Daily Mean,Multiple Methods Used,2016,Micrograms/cubic meter (LC),No Events,118,100,Y,61,61,0,1,0.0,0.0,Requested but not yet concurred,0,6.054237,3.721057,20.0,2016-12-29 00:00,19.3,2016-12-26 00:00,16.4,2016-01-01 00:00,16.3,2016-12-17 00:00,,,,,20.0,19.3,16.3,13.8,9.0,7.2,5.9,Jacobs,717 SOUTH AVENUE,California,Humboldt,Eureka,"Eureka-Arcata-Fortuna, CA",2017-03-17,[  40.776944 -124.1775  ],"{'Commercial and Services': 0.27, 'Residential': 0.71, 'Other urban or built-up land': 0.02}"
6,23,1004,88101,1,40.776944,-124.1775,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,Multiple Methods Used,2016,Micrograms/cubic meter (LC),No Events,118,100,Y,61,61,0,1,,,Requested but not yet concurred,0,6.054237,3.721057,20.0,2016-12-29 00:00,19.3,2016-12-26 00:00,16.4,2016-01-01 00:00,16.3,2016-12-17 00:00,,,,,20.0,19.3,16.3,13.8,9.0,7.2,5.9,Jacobs,717 SOUTH AVENUE,California,Humboldt,Eureka,"Eureka-Arcata-Fortuna, CA",2017-03-17,[  40.776944 -124.1775  ],"{'Commercial and Services': 0.27, 'Residential': 0.71, 'Other urban or built-up land': 0.02}"
6,23,1004,88101,1,40.776944,-124.1775,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2012,Quarterly Means of Daily Means,Multiple Methods Used,2016,Micrograms/cubic meter (LC),No Events,118,100,Y,61,61,0,1,,,Requested but not yet concurred,0,6.054237,3.721057,20.0,2016-12-29 00:00,19.3,2016-12-26 00:00,16.4,2016-01-01 00:00,16.3,2016-12-17 00:00,,,,,20.0,19.3,16.3,13.8,9.0,7.2,5.9,Jacobs,717 SOUTH AVENUE,California,Humboldt,Eureka,"Eureka-Arcata-Fortuna, CA",2017-03-17,[  40.776944 -124.1775  ],"{'Commercial and Services': 0.27, 'Residential': 0.71, 'Other urban or built-up land': 0.02}"
6,23,1005,68105,2,40.71528,-124.20139,WGS84,Average Ambient Temperature,24 HOUR,,Observed Values,Multiple Methods Used,2016,Degrees Centigrade,No Events,122,100,Y,122,122,0,0,,,Certification not required,0,11.947541,2.35278,20.9,2016-04-06 00:00,18.3,2016-02-09 00:00,16.7,2016-11-08 00:00,16.2,2016-04-18 00:00,,,,,18.3,16.7,15.3,14.4,13.3,12.1,9.3,Humboldt Hill,"170 meters SE of Donna Dr. & Humboldt Hill Rd., Eureka, CA",California,Humboldt,,"Eureka-Arcata-Fortuna, CA",2017-03-10,[  40.71528 -124.20139],"{'Residential': 0.17, 'Cropland and pasture': 0.73, 'Mixed forest land': 0.09, 'Evergreen forest land': 0.01}"
6,23,1005,68108,2,40.71528,-124.20139,WGS84,Average Ambient Pressure,24 HOUR,,Observed Values,Multiple Methods Used,2016,Millimeters (mercury),No Events,122,100,Y,122,122,0,0,,,Certification not required,0,748.786885,3.833798,758.0,2016-02-06 00:00,756.0,2016-12-02 00:00,756.0,2016-12-17 00:00,756.0,2016-12-20 00:00,,,,,756.0,756.0,755.0,754.0,751.0,749.0,744.0,Humboldt Hill,"170 meters SE of Donna Dr. & Humboldt Hill Rd., Eureka, CA",California,Humboldt,,"Eureka-Arcata-Fortuna, CA",2017-03-10,[  40.71528 -124.20139],"{'Residential': 0.17, 'Cropland and pasture': 0.73, 'Mixed forest land': 0.09, 'Evergreen forest land': 0.01}"
6,23,1005,88101,2,40.71528,-124.20139,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2006,Daily Mean,Multiple Methods Used,2016,Micrograms/cubic meter (LC),No Events,117,96,Y,117,122,0,2,0.0,0.0,Requested but not yet concurred,0,3.461538,2.075965,10.0,2016-05-06 00:00,10.0,2016-09-12 00:00,9.5,2016-04-30 00:00,8.0,2016-11-29 00:00,,,,,10.0,9.5,7.5,6.2,4.5,3.0,1.1,Humboldt Hill,"170 meters SE of Donna Dr. & Humboldt Hill Rd., Eureka, CA",California,Humboldt,,"Eureka-Arcata-Fortuna, CA",2017-03-17,[  40.71528 -124.20139],"{'Residential': 0.17, 'Cropland and pasture': 0.73, 'Mixed forest land': 0.09, 'Evergreen forest land': 0.01}"
6,23,1005,88101,2,40.71528,-124.20139,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,Daily Mean,Multiple Methods Used,2016,Micrograms/cubic meter (LC),No Events,117,96,Y,117,122,0,2,0.0,0.0,Requested but not yet concurred,0,3.461538,2.075965,10.0,2016-05-06 00:00,10.0,2016-09-12 00:00,9.5,2016-04-30 00:00,8.0,2016-11-29 00:00,,,,,10.0,9.5,7.5,6.2,4.5,3.0,1.1,Humboldt Hill,"170 meters SE of Donna Dr. & Humboldt Hill Rd., Eureka, CA",California,Humboldt,,"Eureka-Arcata-Fortuna, CA",2017-03-17,[  40.71528 -124.20139],"{'Residential': 0.17, 'Cropland and pasture': 0.73, 'Mixed forest land': 0.09, 'Evergreen forest land': 0.01}"
