State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
6,31,4,68101,1,36.10218,-119.566954,WGS84,Sample Flow Rate- CV,24 HOUR,,Observed Values,R & P Model 2025 PM-2.5 FEM Sequential Air Sampler - Calculation,2016,Percent,No Events,119,98,Y,115,122,0,13,,,Certification not required,0,0.102521,0.015743,0.2,2016-02-24 00:00,0.2,2016-03-13 00:00,0.2,2016-03-19 00:00,0.1,2016-01-07 00:00,,,,,0.2,0.2,0.1,0.1,0.1,0.1,0.1,Corcoran-Patterson,1520 PATTERSON AVE.,California,Kings,Corcoran,"Hanford-Corcoran, CA",2017-01-27,[  36.10218  -119.566954],"{'Commercial and Services': 0.14222222222222222, 'Residential': 0.41333333333333333, 'Cropland and pasture': 0.4444444444444444}"
6,31,4,68102,1,36.10218,-119.566954,WGS84,Sample Volume,24 HOUR,,Observed Values,R & P Model 2025 PM-2.5 FEM Sequential Air Sampler - Calculation,2016,Cubic meter,No Events,119,98,Y,115,122,0,13,,,Certification not required,0,24.105882,0.073984,24.9,2016-02-15 00:00,24.1,2016-01-07 00:00,24.1,2016-01-10 00:00,24.1,2016-01-13 00:00,,,,,24.1,24.1,24.1,24.1,24.1,24.1,24.1,Corcoran-Patterson,1520 PATTERSON AVE.,California,Kings,Corcoran,"Hanford-Corcoran, CA",2017-01-27,[  36.10218  -119.566954],"{'Commercial and Services': 0.14222222222222222, 'Residential': 0.41333333333333333, 'Cropland and pasture': 0.4444444444444444}"
6,31,4,68103,1,36.10218,-119.566954,WGS84,Ambient Min Temperature,24 HOUR,,Observed Values,R & P Model 2025 PM-2.5 FEM Sequential Air Sampler - Electronic,2016,Degrees Centigrade,No Events,119,98,Y,115,122,0,13,,,Certification not required,0,11.340336,6.203393,24.3,2016-07-29 00:00,22.9,2016-06-29 00:00,21.2,2016-07-02 00:00,21.1,2016-07-26 00:00,,,,,22.9,21.2,20.0,19.4,16.8,10.8,2.9,Corcoran-Patterson,1520 PATTERSON AVE.,California,Kings,Corcoran,"Hanford-Corcoran, CA",2017-01-27,[  36.10218  -119.566954],"{'Commercial and Services': 0.14222222222222222, 'Residential': 0.41333333333333333, 'Cropland and pasture': 0.4444444444444444}"
6,31,4,68104,1,36.10218,-119.566954,WGS84,Ambient Max Temperature,24 HOUR,,Observed Values,R & P Model 2025 PM-2.5 FEM Sequential Air Sampler - Electronic,2016,Degrees Centigrade,No Events,119,98,Y,115,122,0,13,,,Certification not required,0,27.621849,9.094664,44.7,2016-07-29 00:00,43.2,2016-07-26 00:00,42.6,2016-06-29 00:00,42.0,2016-07-14 00:00,,,,,43.2,42.6,40.8,39.2,36.5,27.2,14.1,Corcoran-Patterson,1520 PATTERSON AVE.,California,Kings,Corcoran,"Hanford-Corcoran, CA",2017-01-27,[  36.10218  -119.566954],"{'Commercial and Services': 0.14222222222222222, 'Residential': 0.41333333333333333, 'Cropland and pasture': 0.4444444444444444}"
6,31,4,68105,1,36.10218,-119.566954,WGS84,Average Ambient Temperature,24 HOUR,,Observed Values,R & P Model 2025 PM-2.5 FEM Sequential Air Sampler - Electronic,2016,Degrees Centigrade,No Events,119,98,Y,115,122,0,13,,,Certification not required,0,19.140336,7.654359,34.0,2016-07-29 00:00,32.1,2016-06-29 00:00,31.9,2016-07-26 00:00,30.9,2016-08-13 00:00,,,,,32.1,31.9,30.3,29.2,26.7,18.2,8.8,Corcoran-Patterson,1520 PATTERSON AVE.,California,Kings,Corcoran,"Hanford-Corcoran, CA",2017-01-27,[  36.10218  -119.566954],"{'Commercial and Services': 0.14222222222222222, 'Residential': 0.41333333333333333, 'Cropland and pasture': 0.4444444444444444}"
6,31,4,68106,1,36.10218,-119.566954,WGS84,Sample Min Baro Pressure,24 HOUR,,Observed Values,R & P Model 2025 PM-2.5 FEM Sequential AIr Sampler - Barometric Sensor,2016,Millimeters (mercury),No Events,119,98,Y,115,122,0,13,,,Certification not required,0,753.403361,3.818597,764.0,2016-02-03 00:00,764.0,2016-02-06 00:00,761.0,2016-01-25 00:00,760.0,2016-01-16 00:00,,,,,764.0,761.0,760.0,759.0,756.0,753.0,749.0,Corcoran-Patterson,1520 PATTERSON AVE.,California,Kings,Corcoran,"Hanford-Corcoran, CA",2017-01-27,[  36.10218  -119.566954],"{'Commercial and Services': 0.14222222222222222, 'Residential': 0.41333333333333333, 'Cropland and pasture': 0.4444444444444444}"
6,31,4,68107,1,36.10218,-119.566954,WGS84,Sample Max Baro Pressure,24 HOUR,,Observed Values,R & P Model 2025 PM-2.5 FEM Sequential Sampler - Barometric Sensor,2016,Millimeters (mercury),No Events,119,98,Y,115,122,0,13,,,Certification not required,0,757.831933,3.778439,768.0,2016-02-03 00:00,768.0,2016-02-06 00:00,766.0,2016-12-20 00:00,765.0,2016-01-25 00:00,,,,,768.0,766.0,765.0,764.0,760.0,758.0,753.0,Corcoran-Patterson,1520 PATTERSON AVE.,California,Kings,Corcoran,"Hanford-Corcoran, CA",2017-01-27,[  36.10218  -119.566954],"{'Commercial and Services': 0.14222222222222222, 'Residential': 0.41333333333333333, 'Cropland and pasture': 0.4444444444444444}"
6,31,4,68108,1,36.10218,-119.566954,WGS84,Average Ambient Pressure,24 HOUR,,Observed Values,R & P Model 2025 PM-2.5 FEM Sequential Air Sampler - Barometric Sensor,2016,Millimeters (mercury),No Events,119,98,Y,115,122,0,13,,,Certification not required,0,755.647059,3.774554,766.0,2016-02-03 00:00,766.0,2016-02-06 00:00,763.0,2016-01-25 00:00,763.0,2016-01-28 00:00,,,,,766.0,763.0,762.0,761.0,758.0,755.0,752.0,Corcoran-Patterson,1520 PATTERSON AVE.,California,Kings,Corcoran,"Hanford-Corcoran, CA",2017-01-27,[  36.10218  -119.566954],"{'Commercial and Services': 0.14222222222222222, 'Residential': 0.41333333333333333, 'Cropland and pasture': 0.4444444444444444}"
6,31,4,68109,1,36.10218,-119.566954,WGS84,Elapsed Sample Time,24 HOUR,,Observed Values,R & P Model 2025 PM-2.5 FEM Sequential AIr Sampler - Calculation,2016,Minutes,No Events,119,98,Y,115,122,0,13,,,Certification not required,0,1439.722689,0.449564,1440.0,2016-01-07 00:00,1440.0,2016-01-10 00:00,1440.0,2016-01-13 00:00,1440.0,2016-01-16 00:00,,,,,1440.0,1440.0,1440.0,1440.0,1440.0,1440.0,1439.0,Corcoran-Patterson,1520 PATTERSON AVE.,California,Kings,Corcoran,"Hanford-Corcoran, CA",2017-01-27,[  36.10218  -119.566954],"{'Commercial and Services': 0.14222222222222222, 'Residential': 0.41333333333333333, 'Cropland and pasture': 0.4444444444444444}"
6,31,4,88101,1,36.10218,-119.566954,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2006,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2016,Micrograms/cubic meter (LC),No Events,119,95,Y,116,122,0,13,5.0,5.0,Requested but not yet concurred,0,14.583193,9.680343,56.5,2016-11-05 00:00,46.4,2016-11-14 00:00,45.9,2016-02-12 00:00,42.1,2016-12-29 00:00,,,,,46.4,45.9,34.3,30.0,17.2,12.2,6.2,Corcoran-Patterson,1520 PATTERSON AVE.,California,Kings,Corcoran,"Hanford-Corcoran, CA",2017-01-27,[  36.10218  -119.566954],"{'Commercial and Services': 0.14222222222222222, 'Residential': 0.41333333333333333, 'Cropland and pasture': 0.4444444444444444}"
