State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
6,33,3010,81102,1,38.77453,-122.6995,WGS84,PM10 Total 0-10um STP,24 HOUR,PM10 24-hour 2006,Daily Mean,R - P Co Partisol Model 2000 - Gravimetric,2016,Micrograms/cubic meter (25 C),No Events,28,46,N,28,61,0,3,0.0,0.0,Requested but not yet concurred,0,11.035714,6.630357,26.0,2016-09-03 00:00,24.0,2016-11-08 00:00,22.0,2016-09-09 00:00,19.0,2016-08-16 00:00,,,,,26.0,26.0,24.0,22.0,16.0,10.0,3.0,ANDERSON SPRINGS,"11270 ANDERSON SPRINGS RD., MIDDLETOWN, CA",California,Lake,Middletown,"Clearlake, CA",2017-05-15,[  38.77453 -122.6995 ],{'Mixed forest land': 1.0}
6,33,3010,85101,1,38.77453,-122.6995,WGS84,PM10 - LC,24 HOUR,,Observed Values,R - P Co Partisol Model 2000 - Gravimetric,2016,Micrograms/cubic meter (LC),No Events,28,93,N,28,30,0,3,,,Certification not required,0,10.678571,6.271946,25.0,2016-09-03 00:00,23.0,2016-11-08 00:00,21.0,2016-09-09 00:00,18.0,2016-08-16 00:00,,,,,25.0,25.0,23.0,21.0,16.0,10.0,3.0,ANDERSON SPRINGS,"11270 ANDERSON SPRINGS RD., MIDDLETOWN, CA",California,Lake,Middletown,"Clearlake, CA",2017-05-23,[  38.77453 -122.6995 ],{'Mixed forest land': 1.0}
6,33,3010,85102,1,38.77453,-122.6995,WGS84,Antimony PM10 LC,24 HOUR,,Observed Values,R&P FRM PM2.5 mod for PM10 - X-ray Fluorescence,2016,Nanograms/cubic meter (LC),No Events,33,92,N,31,36,0,3,,,Certification not required,0,4.333333,1.338532,10.0,2016-09-15 00:00,9.0,2016-12-14 00:00,4.0,2016-06-05 00:00,4.0,2016-06-11 00:00,,,,,10.0,10.0,9.0,4.0,4.0,4.0,4.0,ANDERSON SPRINGS,"11270 ANDERSON SPRINGS RD., MIDDLETOWN, CA",California,Lake,Middletown,"Clearlake, CA",2017-02-09,[  38.77453 -122.6995 ],{'Mixed forest land': 1.0}
6,33,3010,85103,1,38.77453,-122.6995,WGS84,Arsenic PM10 LC,24 HOUR,,Observed Values,R&P FRM PM2.5 mod for PM10 - X-ray Fluorescence,2016,Nanograms/cubic meter (LC),No Events,33,92,N,31,36,0,3,,,Certification not required,0,1.0,0.0,1.0,2016-06-05 00:00,1.0,2016-06-11 00:00,1.0,2016-06-17 00:00,1.0,2016-06-23 00:00,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,ANDERSON SPRINGS,"11270 ANDERSON SPRINGS RD., MIDDLETOWN, CA",California,Lake,Middletown,"Clearlake, CA",2017-02-09,[  38.77453 -122.6995 ],{'Mixed forest land': 1.0}
6,33,3010,85104,1,38.77453,-122.6995,WGS84,Aluminum PM10 LC,24 HOUR,,Observed Values,R&P FRM PM2.5 mod for PM10 - X-ray Fluorescence,2016,Nanograms/cubic meter (LC),No Events,33,92,N,31,36,0,3,,,Certification not required,0,267.909091,227.870627,640.0,2016-09-09 00:00,630.0,2016-08-12 00:00,620.0,2016-08-16 00:00,600.0,2016-08-22 00:00,,,,,640.0,640.0,630.0,600.0,450.0,310.0,8.0,ANDERSON SPRINGS,"11270 ANDERSON SPRINGS RD., MIDDLETOWN, CA",California,Lake,Middletown,"Clearlake, CA",2017-02-09,[  38.77453 -122.6995 ],{'Mixed forest land': 1.0}
6,33,3010,85107,1,38.77453,-122.6995,WGS84,Barium PM10 LC,24 HOUR,,Observed Values,R&P FRM PM2.5 mod for PM10 - X-ray Fluorescence,2016,Nanograms/cubic meter (LC),No Events,33,92,N,31,36,0,3,,,Certification not required,0,6.363636,3.462461,16.0,2016-09-09 00:00,13.0,2016-09-15 00:00,12.0,2016-06-05 00:00,12.0,2016-09-21 00:00,,,,,16.0,16.0,13.0,12.0,9.0,4.0,4.0,ANDERSON SPRINGS,"11270 ANDERSON SPRINGS RD., MIDDLETOWN, CA",California,Lake,Middletown,"Clearlake, CA",2017-02-09,[  38.77453 -122.6995 ],{'Mixed forest land': 1.0}
6,33,3010,85109,1,38.77453,-122.6995,WGS84,Bromine PM10 LC,24 HOUR,,Observed Values,R&P FRM PM2.5 mod for PM10 - X-ray Fluorescence,2016,Micrograms/cubic meter (LC),No Events,33,92,N,31,36,0,3,,,Certification not required,0,0.001606,0.000747,0.004,2016-10-15 00:00,0.003,2016-06-05 00:00,0.003,2016-08-16 00:00,0.002,2016-06-11 00:00,,,,,0.004,0.004,0.003,0.002,0.002,0.001,0.001,ANDERSON SPRINGS,"11270 ANDERSON SPRINGS RD., MIDDLETOWN, CA",California,Lake,Middletown,"Clearlake, CA",2017-02-09,[  38.77453 -122.6995 ],{'Mixed forest land': 1.0}
6,33,3010,85111,1,38.77453,-122.6995,WGS84,Calcium PM10 LC,24 HOUR,,Observed Values,R&P FRM PM2.5 mod for PM10 - X-ray Fluorescence,2016,Nanograms/cubic meter (LC),No Events,33,92,N,31,36,0,3,,,Certification not required,0,134.969697,99.002678,350.0,2016-09-03 00:00,310.0,2016-06-05 00:00,280.0,2016-08-16 00:00,270.0,2016-08-22 00:00,,,,,350.0,350.0,310.0,270.0,220.0,130.0,25.0,ANDERSON SPRINGS,"11270 ANDERSON SPRINGS RD., MIDDLETOWN, CA",California,Lake,Middletown,"Clearlake, CA",2017-02-09,[  38.77453 -122.6995 ],{'Mixed forest land': 1.0}
6,33,3010,85112,1,38.77453,-122.6995,WGS84,Chromium PM10 LC,24 HOUR,,Observed Values,R&P FRM PM2.5 mod for PM10 - X-ray Fluorescence,2016,Nanograms/cubic meter (LC),No Events,33,92,N,31,36,0,3,,,Certification not required,0,1.424242,0.560708,3.0,2016-09-09 00:00,2.0,2016-06-05 00:00,2.0,2016-07-05 00:00,2.0,2016-07-11 00:00,,,,,3.0,3.0,2.0,2.0,2.0,1.0,1.0,ANDERSON SPRINGS,"11270 ANDERSON SPRINGS RD., MIDDLETOWN, CA",California,Lake,Middletown,"Clearlake, CA",2017-02-09,[  38.77453 -122.6995 ],{'Mixed forest land': 1.0}
6,33,3010,85113,1,38.77453,-122.6995,WGS84,Cobalt PM10 LC,24 HOUR,,Observed Values,R&P FRM PM2.5 mod for PM10 - X-ray Fluorescence,2016,Nanograms/cubic meter (LC),No Events,33,92,N,31,36,0,3,,,Certification not required,0,4.242424,3.162577,12.0,2016-09-09 00:00,9.0,2016-08-16 00:00,9.0,2016-09-15 00:00,8.0,2016-08-12 00:00,,,,,12.0,12.0,9.0,8.0,7.0,4.0,1.0,ANDERSON SPRINGS,"11270 ANDERSON SPRINGS RD., MIDDLETOWN, CA",California,Lake,Middletown,"Clearlake, CA",2017-02-09,[  38.77453 -122.6995 ],{'Mixed forest land': 1.0}
6,33,3010,85114,1,38.77453,-122.6995,WGS84,Copper PM10 LC,24 HOUR,,Observed Values,R&P FRM PM2.5 mod for PM10 - X-ray Fluorescence,2016,Nanograms/cubic meter (LC),No Events,33,92,N,31,36,0,3,,,Certification not required,0,1.333333,0.692219,3.0,2016-06-05 00:00,3.0,2016-08-12 00:00,3.0,2016-08-16 00:00,3.0,2016-10-09 00:00,,,,,3.0,3.0,3.0,3.0,1.0,1.0,1.0,ANDERSON SPRINGS,"11270 ANDERSON SPRINGS RD., MIDDLETOWN, CA",California,Lake,Middletown,"Clearlake, CA",2017-02-09,[  38.77453 -122.6995 ],{'Mixed forest land': 1.0}
