State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
6,37,1302,14129,1,33.901389,-118.205,WGS84,Lead (TSP) LC,24 HOUR,Lead 3-Month 2009,Observed Values,Hi-Vol - ICAP SPECTRA (ICP-MS); 0.45M HNO3 Boil30 min,2016,Micrograms/cubic meter (LC),No Events,57,93,Y,57,61,0,4,0.0,0.0,Certified,0,0.00607,0.00444,0.028,2016-01-01 00:00,0.015,2016-02-06 00:00,0.014,2016-11-08 00:00,0.013,2016-11-14 00:00,,,,,0.028,0.015,0.014,0.012,0.008,0.005,0.002,Compton,700 North Bullis Road,California,Los Angeles,Compton,"Los Angeles-Long Beach-Anaheim, CA",2017-03-21,[  33.901389 -118.205   ],"{'Commercial and Services': 0.62, 'Residential': 0.38}"
6,37,1302,14129,2,33.901389,-118.205,WGS84,Lead (TSP) LC,24 HOUR,Lead 3-Month 2009,Observed Values,Hi-Vol - ICAP SPECTRA (ICP-MS); 0.45M HNO3 Boil30 min,2016,Micrograms/cubic meter (LC),No Events,58,95,Y,58,61,0,3,0.0,0.0,Certified,0,0.007397,0.006777,0.04,2016-12-26 00:00,0.034,2016-01-01 00:00,0.016,2016-02-06 00:00,0.016,2016-11-08 00:00,,,,,0.04,0.034,0.016,0.014,0.009,0.006,0.003,Compton,700 North Bullis Road,California,Los Angeles,Compton,"Los Angeles-Long Beach-Anaheim, CA",2017-03-21,[  33.901389 -118.205   ],"{'Commercial and Services': 0.62, 'Residential': 0.38}"
6,37,1302,68101,1,33.901389,-118.205,WGS84,Sample Flow Rate- CV,24 HOUR,,Observed Values,INSTRUMENTAL - Calculation,2016,Percent,No Events,115,100,Y,58,61,0,7,,,Certification not required,0,0.294783,0.121282,1.0,2016-01-19 00:00,0.6,2016-08-13 00:00,0.6,2016-09-21 00:00,0.5,2016-08-07 00:00,,,,,0.6,0.6,0.5,0.4,0.3,0.3,0.2,Compton,700 North Bullis Road,California,Los Angeles,Compton,"Los Angeles-Long Beach-Anaheim, CA",2017-03-22,[  33.901389 -118.205   ],"{'Commercial and Services': 0.62, 'Residential': 0.38}"
6,37,1302,68102,1,33.901389,-118.205,WGS84,Sample Volume,24 HOUR,,Observed Values,INSTRUMENTAL - CALCULATION,2016,Cubic meter,No Events,115,100,Y,58,61,0,7,,,Certification not required,0,23.986087,0.129701,24.2,2016-02-27 00:00,24.2,2016-03-01 00:00,24.1,2016-02-18 00:00,24.0,2016-01-01 00:00,,,,,24.2,24.1,24.0,24.0,24.0,24.0,24.0,Compton,700 North Bullis Road,California,Los Angeles,Compton,"Los Angeles-Long Beach-Anaheim, CA",2017-03-22,[  33.901389 -118.205   ],"{'Commercial and Services': 0.62, 'Residential': 0.38}"
6,37,1302,68103,1,33.901389,-118.205,WGS84,Ambient Min Temperature,24 HOUR,,Observed Values,INSTRUMENTAL - ELECTRONIC,2016,Degrees Centigrade,No Events,115,100,Y,58,61,0,7,,,Certification not required,0,14.638261,4.527529,21.7,2016-07-26 00:00,21.6,2016-07-29 00:00,21.2,2016-06-29 00:00,21.2,2016-08-01 00:00,,,,,21.6,21.2,21.1,20.1,18.9,14.4,8.5,Compton,700 North Bullis Road,California,Los Angeles,Compton,"Los Angeles-Long Beach-Anaheim, CA",2017-03-22,[  33.901389 -118.205   ],"{'Commercial and Services': 0.62, 'Residential': 0.38}"
6,37,1302,68104,1,33.901389,-118.205,WGS84,Ambient Max Temperature,24 HOUR,,Observed Values,INSTRUMENTAL - ELECTRONIC,2016,Degrees Centigrade,No Events,115,100,Y,58,61,0,7,,,Certification not required,0,28.144348,6.713174,53.0,2016-11-05 00:00,47.7,2016-11-20 00:00,45.2,2016-12-11 00:00,42.9,2016-12-05 00:00,,,,,47.7,45.2,40.6,37.0,31.5,27.4,20.5,Compton,700 North Bullis Road,California,Los Angeles,Compton,"Los Angeles-Long Beach-Anaheim, CA",2017-03-22,[  33.901389 -118.205   ],"{'Commercial and Services': 0.62, 'Residential': 0.38}"
6,37,1302,68105,1,33.901389,-118.205,WGS84,Average Ambient Temperature,24 HOUR,,Observed Values,INSTRUMENTAL - ELECTRONIC,2016,Degrees Centigrade,No Events,115,100,Y,58,61,0,7,,,Certification not required,0,20.176522,4.104369,31.6,2016-11-05 00:00,29.1,2016-11-20 00:00,28.4,2016-06-20 00:00,28.4,2016-12-11 00:00,,,,,29.1,28.4,27.2,25.1,22.8,20.8,14.9,Compton,700 North Bullis Road,California,Los Angeles,Compton,"Los Angeles-Long Beach-Anaheim, CA",2017-03-22,[  33.901389 -118.205   ],"{'Commercial and Services': 0.62, 'Residential': 0.38}"
6,37,1302,68106,1,33.901389,-118.205,WGS84,Sample Min Baro Pressure,24 HOUR,,Observed Values,INSTRUMENTAL - BAROMETRIC SENSOR,2016,Millimeters (mercury),No Events,115,100,Y,58,61,0,7,,,Certification not required,0,757.608696,2.146787,765.0,2016-02-03 00:00,763.0,2016-01-19 00:00,763.0,2016-12-08 00:00,762.0,2016-03-13 00:00,,,,,763.0,763.0,761.0,760.0,759.0,758.0,755.0,Compton,700 North Bullis Road,California,Los Angeles,Compton,"Los Angeles-Long Beach-Anaheim, CA",2017-03-22,[  33.901389 -118.205   ],"{'Commercial and Services': 0.62, 'Residential': 0.38}"
6,37,1302,68107,1,33.901389,-118.205,WGS84,Sample Max Baro Pressure,24 HOUR,,Observed Values,INSTRUMENTAL - BAROMETRIC SENSOR,2016,Millimeters (mercury),No Events,115,100,Y,58,61,0,7,,,Certification not required,0,768.913043,6.103731,782.0,2016-01-13 00:00,781.0,2016-12-08 00:00,778.0,2016-01-25 00:00,778.0,2016-02-12 00:00,,,,,781.0,778.0,777.0,776.0,775.0,770.0,761.0,Compton,700 North Bullis Road,California,Los Angeles,Compton,"Los Angeles-Long Beach-Anaheim, CA",2017-03-22,[  33.901389 -118.205   ],"{'Commercial and Services': 0.62, 'Residential': 0.38}"
6,37,1302,68108,1,33.901389,-118.205,WGS84,Average Ambient Pressure,24 HOUR,,Observed Values,INSTRUMENTAL - BAROMETRIC SENSOR,2016,Millimeters (mercury),No Events,115,100,Y,58,61,0,7,,,Certification not required,0,761.26087,2.362302,771.0,2016-02-03 00:00,768.0,2016-12-08 00:00,767.0,2016-01-25 00:00,766.0,2016-01-13 00:00,,,,,768.0,767.0,766.0,764.0,762.0,761.0,759.0,Compton,700 North Bullis Road,California,Los Angeles,Compton,"Los Angeles-Long Beach-Anaheim, CA",2017-03-22,[  33.901389 -118.205   ],"{'Commercial and Services': 0.62, 'Residential': 0.38}"
