State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
6,39,2010,68101,1,36.953256,-120.034203,WGS84,Sample Flow Rate- CV,24 HOUR,,Observed Values,R & P Model 2025 PM-2.5 FEM Sequential Air Sampler - Calculation,2016,Percent,No Events,56,100,Y,54,54,0,3,,,Certification not required,0,0.103571,0.032832,0.3,2016-01-07 00:00,0.2,2016-01-19 00:00,0.1,2016-01-01 00:00,0.1,2016-01-04 00:00,,,,,0.3,0.2,0.1,0.1,0.1,0.1,0.1,Madera-City,28261 Avenue 14 Madera CA 93638,California,Madera,Madera,"Madera, CA",2017-01-27,[  36.953256 -120.034203],"{'Commercial and Services': 0.02, 'Cropland and pasture': 0.21, 'Orchards, groves, vineyards, nurseries..': 0.77}"
6,39,2010,68102,1,36.953256,-120.034203,WGS84,Sample Volume,24 HOUR,,Observed Values,R & P Model 2025 PM-2.5 FEM Sequential Air Sampler - Calculation,2016,Cubic meter,No Events,56,100,Y,54,54,0,3,,,Certification not required,0,24.1,0.0,24.1,2016-01-01 00:00,24.1,2016-01-04 00:00,24.1,2016-01-07 00:00,24.1,2016-01-10 00:00,,,,,24.1,24.1,24.1,24.1,24.1,24.1,24.1,Madera-City,28261 Avenue 14 Madera CA 93638,California,Madera,Madera,"Madera, CA",2017-01-27,[  36.953256 -120.034203],"{'Commercial and Services': 0.02, 'Cropland and pasture': 0.21, 'Orchards, groves, vineyards, nurseries..': 0.77}"
6,39,2010,68103,1,36.953256,-120.034203,WGS84,Ambient Min Temperature,24 HOUR,,Observed Values,R & P Model 2025 PM-2.5 FEM Sequential Air Sampler - Electronic,2016,Degrees Centigrade,No Events,56,100,Y,54,54,0,3,,,Certification not required,0,9.223214,5.621258,21.0,2016-06-29 00:00,19.6,2016-06-05 00:00,19.6,2016-07-26 00:00,19.3,2016-08-04 00:00,,,,,21.0,19.6,19.6,16.8,12.5,10.0,1.8,Madera-City,28261 Avenue 14 Madera CA 93638,California,Madera,Madera,"Madera, CA",2017-01-27,[  36.953256 -120.034203],"{'Commercial and Services': 0.02, 'Cropland and pasture': 0.21, 'Orchards, groves, vineyards, nurseries..': 0.77}"
6,39,2010,68104,1,36.953256,-120.034203,WGS84,Ambient Max Temperature,24 HOUR,,Observed Values,R & P Model 2025 PM-2.5 FEM Sequential Air Sampler - Electronic,2016,Degrees Centigrade,No Events,56,100,Y,54,54,0,3,,,Certification not required,0,23.432143,8.521739,41.4,2016-07-26 00:00,41.1,2016-06-29 00:00,38.9,2016-08-16 00:00,38.8,2016-06-05 00:00,,,,,41.4,41.1,38.9,36.6,28.7,23.2,12.7,Madera-City,28261 Avenue 14 Madera CA 93638,California,Madera,Madera,"Madera, CA",2017-01-27,[  36.953256 -120.034203],"{'Commercial and Services': 0.02, 'Cropland and pasture': 0.21, 'Orchards, groves, vineyards, nurseries..': 0.77}"
6,39,2010,68105,1,36.953256,-120.034203,WGS84,Average Ambient Temperature,24 HOUR,,Observed Values,R & P Model 2025 PM-2.5 FEM Sequential Air Sampler - Electronic,2016,Degrees Centigrade,No Events,56,100,Y,54,54,0,3,,,Certification not required,0,16.119643,6.974718,31.8,2016-06-29 00:00,31.4,2016-07-26 00:00,29.1,2016-06-05 00:00,29.0,2016-08-16 00:00,,,,,31.8,31.4,29.1,26.4,20.9,15.6,7.5,Madera-City,28261 Avenue 14 Madera CA 93638,California,Madera,Madera,"Madera, CA",2017-01-27,[  36.953256 -120.034203],"{'Commercial and Services': 0.02, 'Cropland and pasture': 0.21, 'Orchards, groves, vineyards, nurseries..': 0.77}"
6,39,2010,68106,1,36.953256,-120.034203,WGS84,Sample Min Baro Pressure,24 HOUR,,Observed Values,R & P Model 2025 PM-2.5 FEM Sequential AIr Sampler - Barometric Sensor,2016,Millimeters (mercury),No Events,56,100,Y,54,54,0,3,,,Certification not required,0,751.339286,4.243827,760.0,2016-02-03 00:00,759.0,2016-02-06 00:00,758.0,2016-01-10 00:00,758.0,2016-12-26 00:00,,,,,760.0,759.0,758.0,757.0,755.0,751.0,746.0,Madera-City,28261 Avenue 14 Madera CA 93638,California,Madera,Madera,"Madera, CA",2017-01-27,[  36.953256 -120.034203],"{'Commercial and Services': 0.02, 'Cropland and pasture': 0.21, 'Orchards, groves, vineyards, nurseries..': 0.77}"
6,39,2010,68107,1,36.953256,-120.034203,WGS84,Sample Max Baro Pressure,24 HOUR,,Observed Values,R & P Model 2025 PM-2.5 FEM Sequential Sampler - Barometric Sensor,2016,Millimeters (mercury),No Events,56,100,Y,54,54,0,3,,,Certification not required,0,756.839286,4.039697,769.0,2016-02-06 00:00,766.0,2016-12-26 00:00,765.0,2016-02-03 00:00,763.0,2016-01-10 00:00,,,,,769.0,766.0,765.0,762.0,759.0,757.0,752.0,Madera-City,28261 Avenue 14 Madera CA 93638,California,Madera,Madera,"Madera, CA",2017-01-27,[  36.953256 -120.034203],"{'Commercial and Services': 0.02, 'Cropland and pasture': 0.21, 'Orchards, groves, vineyards, nurseries..': 0.77}"
6,39,2010,68108,1,36.953256,-120.034203,WGS84,Average Ambient Pressure,24 HOUR,,Observed Values,R & P Model 2025 PM-2.5 FEM Sequential Air Sampler - Barometric Sensor,2016,Millimeters (mercury),No Events,56,100,Y,54,54,0,3,,,Certification not required,0,754.0,3.917327,762.0,2016-02-03 00:00,762.0,2016-02-06 00:00,762.0,2016-12-26 00:00,760.0,2016-01-10 00:00,,,,,762.0,762.0,762.0,759.0,757.0,754.0,750.0,Madera-City,28261 Avenue 14 Madera CA 93638,California,Madera,Madera,"Madera, CA",2017-01-27,[  36.953256 -120.034203],"{'Commercial and Services': 0.02, 'Cropland and pasture': 0.21, 'Orchards, groves, vineyards, nurseries..': 0.77}"
6,39,2010,68109,1,36.953256,-120.034203,WGS84,Elapsed Sample Time,24 HOUR,,Observed Values,R & P Model 2025 PM-2.5 FEM Sequential AIr Sampler - Calculation,2016,Minutes,No Events,56,100,Y,54,54,0,3,,,Certification not required,0,1439.589286,0.496416,1440.0,2016-01-04 00:00,1440.0,2016-01-07 00:00,1440.0,2016-01-10 00:00,1440.0,2016-01-16 00:00,,,,,1440.0,1440.0,1440.0,1440.0,1440.0,1440.0,1439.0,Madera-City,28261 Avenue 14 Madera CA 93638,California,Madera,Madera,"Madera, CA",2017-01-27,[  36.953256 -120.034203],"{'Commercial and Services': 0.02, 'Cropland and pasture': 0.21, 'Orchards, groves, vineyards, nurseries..': 0.77}"
6,39,2010,88101,1,36.953256,-120.034203,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2006,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2016,Micrograms/cubic meter (LC),No Events,56,100,Y,54,54,0,3,0.0,0.0,Certification not required,0,10.332143,7.154887,33.0,2016-01-04 00:00,32.9,2016-01-01 00:00,27.6,2016-02-15 00:00,23.2,2016-12-02 00:00,,,,,33.0,32.9,27.6,18.8,13.7,9.9,3.8,Madera-City,28261 Avenue 14 Madera CA 93638,California,Madera,Madera,"Madera, CA",2017-01-27,[  36.953256 -120.034203],"{'Commercial and Services': 0.02, 'Cropland and pasture': 0.21, 'Orchards, groves, vineyards, nurseries..': 0.77}"
