State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
6,41,2,85101,1,38.122979,-122.90944,WGS84,PM10 - LC,24 HOUR,,Observed Values,"IMPROVE Module D with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - GRAVIMETRIC",2016,Micrograms/cubic meter (LC),No Events,42,34,N,42,122,0,9,,,Certification not required,0,14.076,7.746861,41.946,2016-05-27 00:00,28.455,2016-04-30 00:00,27.973,2016-05-30 00:00,23.142,2016-05-09 00:00,,,,,41.946,41.946,27.973,23.114,16.816,14.117,4.726,Point Reyes NS Ranger Station,"N RANGER STATION, POINT REYES NS",California,Marin,Point Reyes National Seashore,"San Francisco-Oakland-Hayward, CA",2017-04-25,[  38.122979 -122.90944 ],"{'Cropland and pasture': 0.69, 'Evergreen forest land': 0.31}"
6,41,2,88103,1,38.122979,-122.90944,WGS84,Arsenic PM2.5 LC,24 HOUR,,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2016,Micrograms/cubic meter (LC),No Events,45,37,N,45,122,0,6,,,Certification not required,0,0.0,0.0,0.0,2016-01-01 00:00,0.0,2016-01-04 00:00,0.0,2016-01-07 00:00,0.0,2016-01-10 00:00,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Point Reyes NS Ranger Station,"N RANGER STATION, POINT REYES NS",California,Marin,Point Reyes National Seashore,"San Francisco-Oakland-Hayward, CA",2017-04-25,[  38.122979 -122.90944 ],"{'Cropland and pasture': 0.69, 'Evergreen forest land': 0.31}"
6,41,2,88104,1,38.122979,-122.90944,WGS84,Aluminum PM2.5 LC,24 HOUR,,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2016,Micrograms/cubic meter (LC),No Events,45,37,N,45,122,0,6,,,Certification not required,0,0.024156,0.020309,0.098,2016-04-06 00:00,0.09,2016-03-13 00:00,0.055,2016-04-30 00:00,0.053,2016-03-25 00:00,,,,,0.098,0.098,0.055,0.045,0.032,0.022,0.003,Point Reyes NS Ranger Station,"N RANGER STATION, POINT REYES NS",California,Marin,Point Reyes National Seashore,"San Francisco-Oakland-Hayward, CA",2017-04-25,[  38.122979 -122.90944 ],"{'Cropland and pasture': 0.69, 'Evergreen forest land': 0.31}"
6,41,2,88109,1,38.122979,-122.90944,WGS84,Bromine PM2.5 LC,24 HOUR,,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2016,Micrograms/cubic meter (LC),No Events,45,37,N,45,122,0,6,,,Certification not required,0,0.003178,0.002092,0.008,2016-03-25 00:00,0.008,2016-04-30 00:00,0.008,2016-05-27 00:00,0.007,2016-04-15 00:00,,,,,0.008,0.008,0.008,0.006,0.004,0.003,0.001,Point Reyes NS Ranger Station,"N RANGER STATION, POINT REYES NS",California,Marin,Point Reyes National Seashore,"San Francisco-Oakland-Hayward, CA",2017-04-25,[  38.122979 -122.90944 ],"{'Cropland and pasture': 0.69, 'Evergreen forest land': 0.31}"
6,41,2,88111,1,38.122979,-122.90944,WGS84,Calcium PM2.5 LC,24 HOUR,,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2016,Micrograms/cubic meter (LC),No Events,45,37,N,45,122,0,6,,,Certification not required,0,0.036,0.023108,0.087,2016-05-27 00:00,0.086,2016-03-25 00:00,0.083,2016-04-30 00:00,0.08,2016-03-13 00:00,,,,,0.087,0.087,0.083,0.062,0.05,0.036,0.008,Point Reyes NS Ranger Station,"N RANGER STATION, POINT REYES NS",California,Marin,Point Reyes National Seashore,"San Francisco-Oakland-Hayward, CA",2017-04-25,[  38.122979 -122.90944 ],"{'Cropland and pasture': 0.69, 'Evergreen forest land': 0.31}"
6,41,2,88112,1,38.122979,-122.90944,WGS84,Chromium PM2.5 LC,24 HOUR,,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2016,Micrograms/cubic meter (LC),No Events,45,37,N,45,122,0,6,,,Certification not required,0,0.0,0.0,0.0,2016-01-01 00:00,0.0,2016-01-04 00:00,0.0,2016-01-07 00:00,0.0,2016-01-10 00:00,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Point Reyes NS Ranger Station,"N RANGER STATION, POINT REYES NS",California,Marin,Point Reyes National Seashore,"San Francisco-Oakland-Hayward, CA",2017-04-25,[  38.122979 -122.90944 ],"{'Cropland and pasture': 0.69, 'Evergreen forest land': 0.31}"
6,41,2,88114,1,38.122979,-122.90944,WGS84,Copper PM2.5 LC,24 HOUR,,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2016,Micrograms/cubic meter (LC),No Events,45,37,N,45,122,0,6,,,Certification not required,0,0.000133,0.000344,0.001,2016-01-04 00:00,0.001,2016-02-06 00:00,0.001,2016-02-09 00:00,0.001,2016-02-21 00:00,,,,,0.001,0.001,0.001,0.001,0.0,0.0,0.0,Point Reyes NS Ranger Station,"N RANGER STATION, POINT REYES NS",California,Marin,Point Reyes National Seashore,"San Francisco-Oakland-Hayward, CA",2017-04-25,[  38.122979 -122.90944 ],"{'Cropland and pasture': 0.69, 'Evergreen forest land': 0.31}"
6,41,2,88115,1,38.122979,-122.90944,WGS84,Chlorine PM2.5 LC,24 HOUR,,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2016,Micrograms/cubic meter (LC),No Events,45,37,N,45,122,0,6,,,Certification not required,0,1.000689,0.84864,2.945,2016-03-25 00:00,2.718,2016-04-30 00:00,2.519,2016-05-27 00:00,2.282,2016-04-15 00:00,,,,,2.945,2.945,2.519,2.148,1.702,0.763,0.029,Point Reyes NS Ranger Station,"N RANGER STATION, POINT REYES NS",California,Marin,Point Reyes National Seashore,"San Francisco-Oakland-Hayward, CA",2017-04-25,[  38.122979 -122.90944 ],"{'Cropland and pasture': 0.69, 'Evergreen forest land': 0.31}"
6,41,2,88126,1,38.122979,-122.90944,WGS84,Iron PM2.5 LC,24 HOUR,,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2016,Micrograms/cubic meter (LC),No Events,45,37,N,45,122,0,6,,,Certification not required,0,0.009244,0.013733,0.07,2016-04-06 00:00,0.056,2016-03-13 00:00,0.037,2016-02-09 00:00,0.026,2016-04-18 00:00,,,,,0.07,0.07,0.037,0.016,0.009,0.006,0.001,Point Reyes NS Ranger Station,"N RANGER STATION, POINT REYES NS",California,Marin,Point Reyes National Seashore,"San Francisco-Oakland-Hayward, CA",2017-04-25,[  38.122979 -122.90944 ],"{'Cropland and pasture': 0.69, 'Evergreen forest land': 0.31}"
6,41,2,88128,1,38.122979,-122.90944,WGS84,Lead PM2.5 LC,24 HOUR,,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2016,Micrograms/cubic meter (LC),No Events,45,37,N,45,122,0,6,,,Certification not required,0,0.000444,0.000546,0.001,2016-01-01 00:00,0.001,2016-01-19 00:00,0.001,2016-01-25 00:00,0.001,2016-01-28 00:00,,,,,0.001,0.001,0.001,0.001,0.001,0.0,0.0,Point Reyes NS Ranger Station,"N RANGER STATION, POINT REYES NS",California,Marin,Point Reyes National Seashore,"San Francisco-Oakland-Hayward, CA",2017-04-25,[  38.122979 -122.90944 ],"{'Cropland and pasture': 0.69, 'Evergreen forest land': 0.31}"
