State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
6,43,3,85101,1,37.71325,-119.7062,WGS84,PM10 - LC,24 HOUR,,Observed Values,"IMPROVE Module D with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - GRAVIMETRIC",2016,Micrograms/cubic meter (LC),No Events,42,34,N,42,122,0,9,,,Certification not required,0,4.148667,2.920148,11.797,2016-05-30 00:00,11.493,2016-05-12 00:00,9.664,2016-05-27 00:00,8.641,2016-04-21 00:00,,,,,11.797,11.797,9.664,6.877,5.672,4.11,0.671,"Yosemite National Park, Turtleback Dome","TURTLEBACK DOME, YOSEMITE NATL' PK 95389",California,Mariposa,,,2017-04-25,[  37.71325 -119.7062 ],{'Evergreen forest land': 1.0}
6,43,3,88103,1,37.71325,-119.7062,WGS84,Arsenic PM2.5 LC,24 HOUR,,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2016,Micrograms/cubic meter (LC),No Events,42,34,N,42,122,0,9,,,Certification not required,0,0.0,0.0,0.0,2016-01-01 00:00,0.0,2016-01-04 00:00,0.0,2016-01-07 00:00,0.0,2016-01-10 00:00,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Yosemite National Park, Turtleback Dome","TURTLEBACK DOME, YOSEMITE NATL' PK 95389",California,Mariposa,,,2017-04-25,[  37.71325 -119.7062 ],{'Evergreen forest land': 1.0}
6,43,3,88103,2,37.71325,-119.7062,WGS84,Arsenic PM2.5 LC,24 HOUR,,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2016,Micrograms/cubic meter (LC),No Events,42,34,N,42,122,0,9,,,Certification not required,0,0.0,0.0,0.0,2016-01-01 00:00,0.0,2016-01-04 00:00,0.0,2016-01-07 00:00,0.0,2016-01-10 00:00,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Yosemite National Park, Turtleback Dome","TURTLEBACK DOME, YOSEMITE NATL' PK 95389",California,Mariposa,,,2017-04-25,[  37.71325 -119.7062 ],{'Evergreen forest land': 1.0}
6,43,3,88104,1,37.71325,-119.7062,WGS84,Aluminum PM2.5 LC,24 HOUR,,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2016,Micrograms/cubic meter (LC),No Events,42,34,N,42,122,0,9,,,Certification not required,0,0.025976,0.028313,0.124,2016-04-21 00:00,0.096,2016-04-18 00:00,0.091,2016-05-30 00:00,0.069,2016-04-06 00:00,,,,,0.124,0.124,0.091,0.062,0.03,0.019,0.001,"Yosemite National Park, Turtleback Dome","TURTLEBACK DOME, YOSEMITE NATL' PK 95389",California,Mariposa,,,2017-04-25,[  37.71325 -119.7062 ],{'Evergreen forest land': 1.0}
6,43,3,88104,2,37.71325,-119.7062,WGS84,Aluminum PM2.5 LC,24 HOUR,,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2016,Micrograms/cubic meter (LC),No Events,42,34,N,42,122,0,9,,,Certification not required,0,0.0255,0.02786,0.127,2016-04-21 00:00,0.095,2016-04-18 00:00,0.088,2016-05-30 00:00,0.065,2016-04-06 00:00,,,,,0.127,0.127,0.088,0.058,0.03,0.019,0.002,"Yosemite National Park, Turtleback Dome","TURTLEBACK DOME, YOSEMITE NATL' PK 95389",California,Mariposa,,,2017-04-25,[  37.71325 -119.7062 ],{'Evergreen forest land': 1.0}
6,43,3,88109,1,37.71325,-119.7062,WGS84,Bromine PM2.5 LC,24 HOUR,,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2016,Micrograms/cubic meter (LC),No Events,42,34,N,42,122,0,9,,,Certification not required,0,0.00069,0.00068,0.003,2016-05-12 00:00,0.002,2016-01-04 00:00,0.002,2016-05-30 00:00,0.001,2016-01-01 00:00,,,,,0.003,0.003,0.002,0.001,0.001,0.001,0.0,"Yosemite National Park, Turtleback Dome","TURTLEBACK DOME, YOSEMITE NATL' PK 95389",California,Mariposa,,,2017-04-25,[  37.71325 -119.7062 ],{'Evergreen forest land': 1.0}
6,43,3,88109,2,37.71325,-119.7062,WGS84,Bromine PM2.5 LC,24 HOUR,,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2016,Micrograms/cubic meter (LC),No Events,42,34,N,42,122,0,9,,,Certification not required,0,0.000738,0.000665,0.002,2016-04-03 00:00,0.002,2016-04-18 00:00,0.002,2016-04-21 00:00,0.002,2016-05-12 00:00,,,,,0.002,0.002,0.002,0.002,0.001,0.001,0.0,"Yosemite National Park, Turtleback Dome","TURTLEBACK DOME, YOSEMITE NATL' PK 95389",California,Mariposa,,,2017-04-25,[  37.71325 -119.7062 ],{'Evergreen forest land': 1.0}
6,43,3,88111,1,37.71325,-119.7062,WGS84,Calcium PM2.5 LC,24 HOUR,,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2016,Micrograms/cubic meter (LC),No Events,42,34,N,42,122,0,9,,,Certification not required,0,0.016024,0.017362,0.081,2016-04-21 00:00,0.055,2016-05-30 00:00,0.054,2016-04-18 00:00,0.046,2016-02-24 00:00,,,,,0.081,0.081,0.054,0.04,0.018,0.012,0.002,"Yosemite National Park, Turtleback Dome","TURTLEBACK DOME, YOSEMITE NATL' PK 95389",California,Mariposa,,,2017-04-25,[  37.71325 -119.7062 ],{'Evergreen forest land': 1.0}
6,43,3,88111,2,37.71325,-119.7062,WGS84,Calcium PM2.5 LC,24 HOUR,,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2016,Micrograms/cubic meter (LC),No Events,42,34,N,42,122,0,9,,,Certification not required,0,0.015405,0.017112,0.081,2016-04-21 00:00,0.054,2016-05-30 00:00,0.051,2016-04-18 00:00,0.043,2016-02-24 00:00,,,,,0.081,0.081,0.051,0.04,0.016,0.011,0.002,"Yosemite National Park, Turtleback Dome","TURTLEBACK DOME, YOSEMITE NATL' PK 95389",California,Mariposa,,,2017-04-25,[  37.71325 -119.7062 ],{'Evergreen forest land': 1.0}
6,43,3,88112,1,37.71325,-119.7062,WGS84,Chromium PM2.5 LC,24 HOUR,,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2016,Micrograms/cubic meter (LC),No Events,42,34,N,42,122,0,9,,,Certification not required,0,0.0,0.0,0.0,2016-01-01 00:00,0.0,2016-01-04 00:00,0.0,2016-01-07 00:00,0.0,2016-01-10 00:00,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Yosemite National Park, Turtleback Dome","TURTLEBACK DOME, YOSEMITE NATL' PK 95389",California,Mariposa,,,2017-04-25,[  37.71325 -119.7062 ],{'Evergreen forest land': 1.0}
6,43,3,88112,2,37.71325,-119.7062,WGS84,Chromium PM2.5 LC,24 HOUR,,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2016,Micrograms/cubic meter (LC),No Events,42,34,N,42,122,0,9,,,Certification not required,0,0.0,0.0,0.0,2016-01-01 00:00,0.0,2016-01-04 00:00,0.0,2016-01-07 00:00,0.0,2016-01-10 00:00,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Yosemite National Park, Turtleback Dome","TURTLEBACK DOME, YOSEMITE NATL' PK 95389",California,Mariposa,,,2017-04-25,[  37.71325 -119.7062 ],{'Evergreen forest land': 1.0}
6,43,3,88114,1,37.71325,-119.7062,WGS84,Copper PM2.5 LC,24 HOUR,,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2016,Micrograms/cubic meter (LC),No Events,42,34,N,42,122,0,9,,,Certification not required,0,0.000143,0.000417,0.002,2016-04-06 00:00,0.001,2016-01-04 00:00,0.001,2016-04-03 00:00,0.001,2016-04-18 00:00,,,,,0.002,0.002,0.001,0.001,0.0,0.0,0.0,"Yosemite National Park, Turtleback Dome","TURTLEBACK DOME, YOSEMITE NATL' PK 95389",California,Mariposa,,,2017-04-25,[  37.71325 -119.7062 ],{'Evergreen forest land': 1.0}
6,43,3,88114,2,37.71325,-119.7062,WGS84,Copper PM2.5 LC,24 HOUR,,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2016,Micrograms/cubic meter (LC),No Events,42,34,N,42,122,0,9,,,Certification not required,0,9.5e-05,0.000297,0.001,2016-01-04 00:00,0.001,2016-04-06 00:00,0.001,2016-04-21 00:00,0.001,2016-05-12 00:00,,,,,0.001,0.001,0.001,0.0,0.0,0.0,0.0,"Yosemite National Park, Turtleback Dome","TURTLEBACK DOME, YOSEMITE NATL' PK 95389",California,Mariposa,,,2017-04-25,[  37.71325 -119.7062 ],{'Evergreen forest land': 1.0}
6,43,3,88115,1,37.71325,-119.7062,WGS84,Chlorine PM2.5 LC,24 HOUR,,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2016,Micrograms/cubic meter (LC),No Events,42,34,N,42,122,0,9,,,Certification not required,0,0.003,0.006641,0.028,2016-05-21 00:00,0.026,2016-01-13 00:00,0.025,2016-02-18 00:00,0.004,2016-04-15 00:00,,,,,0.028,0.028,0.025,0.003,0.002,0.001,0.0,"Yosemite National Park, Turtleback Dome","TURTLEBACK DOME, YOSEMITE NATL' PK 95389",California,Mariposa,,,2017-04-25,[  37.71325 -119.7062 ],{'Evergreen forest land': 1.0}
