State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
6,47,2510,68101,1,37.308537,-120.480993,WGS84,Sample Flow Rate- CV,24 HOUR,,Observed Values,R & P Model 2025 PM-2.5 FEM Sequential Air Sampler - Calculation,2016,Percent,No Events,116,100,Y,60,61,0,7,,,Certification not required,0,0.1,0.0,0.1,2016-01-01 00:00,0.1,2016-01-04 00:00,0.1,2016-01-07 00:00,0.1,2016-01-10 00:00,,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,Merced-M Street,"2334 'M' ST. MERCED, CA",California,Merced,Merced,"Merced, CA",2017-01-27,[  37.308537 -120.480993],"{'Commercial and Services': 0.14356435643564355, 'Residential': 0.35148514851485146, 'Other urban or built-up land': 0.009900990099009901, 'Cropland and pasture': 0.49504950495049505}"
6,47,2510,68102,1,37.308537,-120.480993,WGS84,Sample Volume,24 HOUR,,Observed Values,R & P Model 2025 PM-2.5 FEM Sequential Air Sampler - Calculation,2016,Cubic meter,No Events,116,100,Y,60,61,0,7,,,Certification not required,0,24.1,0.0,24.1,2016-01-01 00:00,24.1,2016-01-04 00:00,24.1,2016-01-07 00:00,24.1,2016-01-10 00:00,,,,,24.1,24.1,24.1,24.1,24.1,24.1,24.1,Merced-M Street,"2334 'M' ST. MERCED, CA",California,Merced,Merced,"Merced, CA",2017-01-27,[  37.308537 -120.480993],"{'Commercial and Services': 0.14356435643564355, 'Residential': 0.35148514851485146, 'Other urban or built-up land': 0.009900990099009901, 'Cropland and pasture': 0.49504950495049505}"
6,47,2510,68103,1,37.308537,-120.480993,WGS84,Ambient Min Temperature,24 HOUR,,Observed Values,R & P Model 2025 PM-2.5 FEM Sequential Air Sampler - Electronic,2016,Degrees Centigrade,No Events,116,100,Y,60,61,0,7,,,Certification not required,0,11.862069,5.575173,23.9,2016-07-29 00:00,21.8,2016-06-29 00:00,21.3,2016-08-13 00:00,21.2,2016-07-02 00:00,,,,,21.8,21.3,20.7,19.1,16.2,12.2,4.8,Merced-M Street,"2334 'M' ST. MERCED, CA",California,Merced,Merced,"Merced, CA",2017-01-27,[  37.308537 -120.480993],"{'Commercial and Services': 0.14356435643564355, 'Residential': 0.35148514851485146, 'Other urban or built-up land': 0.009900990099009901, 'Cropland and pasture': 0.49504950495049505}"
6,47,2510,68104,1,37.308537,-120.480993,WGS84,Ambient Max Temperature,24 HOUR,,Observed Values,R & P Model 2025 PM-2.5 FEM Sequential Air Sampler - Electronic,2016,Degrees Centigrade,No Events,116,100,Y,60,61,0,7,,,Certification not required,0,26.281034,8.910091,42.4,2016-07-29 00:00,41.9,2016-07-26 00:00,40.9,2016-07-14 00:00,40.5,2016-08-13 00:00,,,,,41.9,40.9,39.5,38.4,34.4,25.6,13.5,Merced-M Street,"2334 'M' ST. MERCED, CA",California,Merced,Merced,"Merced, CA",2017-01-27,[  37.308537 -120.480993],"{'Commercial and Services': 0.14356435643564355, 'Residential': 0.35148514851485146, 'Other urban or built-up land': 0.009900990099009901, 'Cropland and pasture': 0.49504950495049505}"
6,47,2510,68105,1,37.308537,-120.480993,WGS84,Average Ambient Temperature,24 HOUR,,Observed Values,R & P Model 2025 PM-2.5 FEM Sequential Air Sampler - Electronic,2016,Degrees Centigrade,No Events,116,100,Y,60,61,0,7,,,Certification not required,0,18.647414,7.21188,32.9,2016-07-29 00:00,31.7,2016-07-26 00:00,31.6,2016-07-14 00:00,31.3,2016-08-13 00:00,,,,,31.7,31.6,30.0,28.9,25.2,17.6,9.3,Merced-M Street,"2334 'M' ST. MERCED, CA",California,Merced,Merced,"Merced, CA",2017-01-27,[  37.308537 -120.480993],"{'Commercial and Services': 0.14356435643564355, 'Residential': 0.35148514851485146, 'Other urban or built-up land': 0.009900990099009901, 'Cropland and pasture': 0.49504950495049505}"
6,47,2510,68106,1,37.308537,-120.480993,WGS84,Sample Min Baro Pressure,24 HOUR,,Observed Values,R & P Model 2025 PM-2.5 FEM Sequential AIr Sampler - Barometric Sensor,2016,Millimeters (mercury),No Events,116,100,Y,60,61,0,7,,,Certification not required,0,754.646552,4.185387,765.0,2016-02-03 00:00,763.0,2016-02-06 00:00,763.0,2016-12-20 00:00,763.0,2016-12-26 00:00,,,,,763.0,763.0,762.0,761.0,758.0,754.0,750.0,Merced-M Street,"2334 'M' ST. MERCED, CA",California,Merced,Merced,"Merced, CA",2017-01-27,[  37.308537 -120.480993],"{'Commercial and Services': 0.14356435643564355, 'Residential': 0.35148514851485146, 'Other urban or built-up land': 0.009900990099009901, 'Cropland and pasture': 0.49504950495049505}"
6,47,2510,68107,1,37.308537,-120.480993,WGS84,Sample Max Baro Pressure,24 HOUR,,Observed Values,R & P Model 2025 PM-2.5 FEM Sequential Sampler - Barometric Sensor,2016,Millimeters (mercury),No Events,116,100,Y,60,61,0,7,,,Certification not required,0,759.681034,4.053124,770.0,2016-12-20 00:00,770.0,2016-12-26 00:00,769.0,2016-02-03 00:00,769.0,2016-02-06 00:00,,,,,770.0,769.0,768.0,765.0,762.0,759.0,755.0,Merced-M Street,"2334 'M' ST. MERCED, CA",California,Merced,Merced,"Merced, CA",2017-01-27,[  37.308537 -120.480993],"{'Commercial and Services': 0.14356435643564355, 'Residential': 0.35148514851485146, 'Other urban or built-up land': 0.009900990099009901, 'Cropland and pasture': 0.49504950495049505}"
6,47,2510,68108,1,37.308537,-120.480993,WGS84,Average Ambient Pressure,24 HOUR,,Observed Values,R & P Model 2025 PM-2.5 FEM Sequential Air Sampler - Barometric Sensor,2016,Millimeters (mercury),No Events,116,100,Y,60,61,0,7,,,Certification not required,0,757.172414,4.071696,767.0,2016-02-03 00:00,767.0,2016-12-20 00:00,766.0,2016-02-06 00:00,766.0,2016-11-23 00:00,,,,,767.0,766.0,765.0,763.0,760.0,756.0,753.0,Merced-M Street,"2334 'M' ST. MERCED, CA",California,Merced,Merced,"Merced, CA",2017-01-27,[  37.308537 -120.480993],"{'Commercial and Services': 0.14356435643564355, 'Residential': 0.35148514851485146, 'Other urban or built-up land': 0.009900990099009901, 'Cropland and pasture': 0.49504950495049505}"
6,47,2510,68109,1,37.308537,-120.480993,WGS84,Elapsed Sample Time,24 HOUR,,Observed Values,R & P Model 2025 PM-2.5 FEM Sequential AIr Sampler - Calculation,2016,Minutes,No Events,116,100,Y,60,61,0,7,,,Certification not required,0,1439.793103,0.406838,1440.0,2016-01-04 00:00,1440.0,2016-01-07 00:00,1440.0,2016-01-10 00:00,1440.0,2016-01-13 00:00,,,,,1440.0,1440.0,1440.0,1440.0,1440.0,1440.0,1439.0,Merced-M Street,"2334 'M' ST. MERCED, CA",California,Merced,Merced,"Merced, CA",2017-01-27,[  37.308537 -120.480993],"{'Commercial and Services': 0.14356435643564355, 'Residential': 0.35148514851485146, 'Other urban or built-up land': 0.009900990099009901, 'Cropland and pasture': 0.49504950495049505}"
6,47,2510,81102,1,37.308537,-120.480993,WGS84,PM10 Total 0-10um STP,24 HOUR,PM10 24-hour 2006,Daily Mean,Hi Vol SSI Ecotech Model 3000 - Gravimetric,2016,Micrograms/cubic meter (25 C),No Events,60,98,Y,60,61,0,4,0.0,0.0,Requested but not yet concurred,0,28.416667,14.6557,64.0,2016-10-15 00:00,62.0,2016-09-09 00:00,59.0,2016-09-21 00:00,55.0,2016-08-16 00:00,,,,,64.0,62.0,59.0,51.0,37.0,30.0,10.0,Merced-M Street,"2334 'M' ST. MERCED, CA",California,Merced,Merced,"Merced, CA",2017-03-13,[  37.308537 -120.480993],"{'Commercial and Services': 0.14356435643564355, 'Residential': 0.35148514851485146, 'Other urban or built-up land': 0.009900990099009901, 'Cropland and pasture': 0.49504950495049505}"
6,47,2510,85101,1,37.308537,-120.480993,WGS84,PM10 - LC,24 HOUR,,Observed Values,Hi Vol SSI Ecotech Model 3000 - Gravimetric,2016,Micrograms/cubic meter (LC),No Events,60,98,Y,60,61,0,4,,,Certification not required,0,28.616667,14.576614,64.0,2016-10-15 00:00,62.0,2016-09-09 00:00,59.0,2016-09-21 00:00,54.0,2016-08-16 00:00,,,,,64.0,62.0,59.0,51.0,37.0,29.0,10.0,Merced-M Street,"2334 'M' ST. MERCED, CA",California,Merced,Merced,"Merced, CA",2017-03-13,[  37.308537 -120.480993],"{'Commercial and Services': 0.14356435643564355, 'Residential': 0.35148514851485146, 'Other urban or built-up land': 0.009900990099009901, 'Cropland and pasture': 0.49504950495049505}"
6,47,2510,88101,1,37.308537,-120.480993,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2006,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2016,Micrograms/cubic meter (LC),No Events,116,95,Y,116,122,0,7,2.0,2.0,Requested but not yet concurred,0,11.255172,8.445306,42.8,2016-12-29 00:00,36.3,2016-12-05 00:00,34.6,2016-11-11 00:00,33.6,2016-01-04 00:00,,,,,36.3,34.6,31.5,25.9,13.6,8.3,4.0,Merced-M Street,"2334 'M' ST. MERCED, CA",California,Merced,Merced,"Merced, CA",2017-01-27,[  37.308537 -120.480993],"{'Commercial and Services': 0.14356435643564355, 'Residential': 0.35148514851485146, 'Other urban or built-up land': 0.009900990099009901, 'Cropland and pasture': 0.49504950495049505}"
6,47,2510,88101,1,37.308537,-120.480993,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2016,Micrograms/cubic meter (LC),No Events,116,95,Y,116,122,0,7,2.0,2.0,Requested but not yet concurred,0,11.255172,8.445306,42.8,2016-12-29 00:00,36.3,2016-12-05 00:00,34.6,2016-11-11 00:00,33.6,2016-01-04 00:00,,,,,36.3,34.6,31.5,25.9,13.6,8.3,4.0,Merced-M Street,"2334 'M' ST. MERCED, CA",California,Merced,Merced,"Merced, CA",2017-01-27,[  37.308537 -120.480993],"{'Commercial and Services': 0.14356435643564355, 'Residential': 0.35148514851485146, 'Other urban or built-up land': 0.009900990099009901, 'Cropland and pasture': 0.49504950495049505}"
6,47,2510,88101,1,37.308537,-120.480993,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2016,Micrograms/cubic meter (LC),No Events,116,95,Y,116,122,0,7,,,Requested but not yet concurred,0,11.255172,8.445306,42.8,2016-12-29 00:00,36.3,2016-12-05 00:00,34.6,2016-11-11 00:00,33.6,2016-01-04 00:00,,,,,36.3,34.6,31.5,25.9,13.6,8.3,4.0,Merced-M Street,"2334 'M' ST. MERCED, CA",California,Merced,Merced,"Merced, CA",2017-01-27,[  37.308537 -120.480993],"{'Commercial and Services': 0.14356435643564355, 'Residential': 0.35148514851485146, 'Other urban or built-up land': 0.009900990099009901, 'Cropland and pasture': 0.49504950495049505}"
6,47,2510,88101,1,37.308537,-120.480993,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2012,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2016,Micrograms/cubic meter (LC),No Events,116,95,Y,116,122,0,7,,,Requested but not yet concurred,0,11.255172,8.445306,42.8,2016-12-29 00:00,36.3,2016-12-05 00:00,34.6,2016-11-11 00:00,33.6,2016-01-04 00:00,,,,,36.3,34.6,31.5,25.9,13.6,8.3,4.0,Merced-M Street,"2334 'M' ST. MERCED, CA",California,Merced,Merced,"Merced, CA",2017-01-27,[  37.308537 -120.480993],"{'Commercial and Services': 0.14356435643564355, 'Residential': 0.35148514851485146, 'Other urban or built-up land': 0.009900990099009901, 'Cropland and pasture': 0.49504950495049505}"
