State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
6,51,9000,85101,1,38.088023,-119.178069,WGS84,PM10 - LC,24 HOUR,,Observed Values,"IMPROVE Module D with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - GRAVIMETRIC",2016,Micrograms/cubic meter (LC),No Events,49,40,N,49,122,0,2,,,Certification not required,0,2.804429,2.012148,8.844,2016-04-03 00:00,8.046,2016-03-31 00:00,6.733,2016-03-16 00:00,6.706,2016-05-30 00:00,,,,,8.844,8.844,6.733,5.508,3.513,2.373,0.586,Hoover Wilderness,Hoover,California,Mono,,,2017-04-25,[  38.088023 -119.178069],"{'Shrub-brushland rangeland': 0.9345794392523364, 'Mixed urban or built-up land': 0.06542056074766354}"
6,51,9000,88103,1,38.088023,-119.178069,WGS84,Arsenic PM2.5 LC,24 HOUR,,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2016,Micrograms/cubic meter (LC),No Events,48,39,N,48,122,0,3,,,Certification not required,0,0.0,0.0,0.0,2016-01-01 00:00,0.0,2016-01-04 00:00,0.0,2016-01-07 00:00,0.0,2016-01-10 00:00,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hoover Wilderness,Hoover,California,Mono,,,2017-04-25,[  38.088023 -119.178069],"{'Shrub-brushland rangeland': 0.9345794392523364, 'Mixed urban or built-up land': 0.06542056074766354}"
6,51,9000,88104,1,38.088023,-119.178069,WGS84,Aluminum PM2.5 LC,24 HOUR,,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2016,Micrograms/cubic meter (LC),No Events,48,39,N,48,122,0,3,,,Certification not required,0,0.034042,0.036081,0.17,2016-03-16 00:00,0.14,2016-04-18 00:00,0.103,2016-04-24 00:00,0.103,2016-05-30 00:00,,,,,0.17,0.17,0.103,0.087,0.05,0.024,0.004,Hoover Wilderness,Hoover,California,Mono,,,2017-04-25,[  38.088023 -119.178069],"{'Shrub-brushland rangeland': 0.9345794392523364, 'Mixed urban or built-up land': 0.06542056074766354}"
6,51,9000,88109,1,38.088023,-119.178069,WGS84,Bromine PM2.5 LC,24 HOUR,,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2016,Micrograms/cubic meter (LC),No Events,48,39,N,48,122,0,3,,,Certification not required,0,0.000542,0.000582,0.002,2016-01-04 00:00,0.002,2016-04-18 00:00,0.001,2016-01-22 00:00,0.001,2016-02-06 00:00,,,,,0.002,0.002,0.001,0.001,0.001,0.001,0.0,Hoover Wilderness,Hoover,California,Mono,,,2017-04-25,[  38.088023 -119.178069],"{'Shrub-brushland rangeland': 0.9345794392523364, 'Mixed urban or built-up land': 0.06542056074766354}"
6,51,9000,88111,1,38.088023,-119.178069,WGS84,Calcium PM2.5 LC,24 HOUR,,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2016,Micrograms/cubic meter (LC),No Events,48,39,N,48,122,0,3,,,Certification not required,0,0.022729,0.026954,0.138,2016-03-16 00:00,0.094,2016-04-15 00:00,0.069,2016-04-18 00:00,0.064,2016-04-24 00:00,,,,,0.138,0.138,0.069,0.06,0.027,0.014,0.003,Hoover Wilderness,Hoover,California,Mono,,,2017-04-25,[  38.088023 -119.178069],"{'Shrub-brushland rangeland': 0.9345794392523364, 'Mixed urban or built-up land': 0.06542056074766354}"
6,51,9000,88112,1,38.088023,-119.178069,WGS84,Chromium PM2.5 LC,24 HOUR,,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2016,Micrograms/cubic meter (LC),No Events,48,39,N,48,122,0,3,,,Certification not required,0,0.0,0.0,0.0,2016-01-01 00:00,0.0,2016-01-04 00:00,0.0,2016-01-07 00:00,0.0,2016-01-10 00:00,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hoover Wilderness,Hoover,California,Mono,,,2017-04-25,[  38.088023 -119.178069],"{'Shrub-brushland rangeland': 0.9345794392523364, 'Mixed urban or built-up land': 0.06542056074766354}"
6,51,9000,88114,1,38.088023,-119.178069,WGS84,Copper PM2.5 LC,24 HOUR,,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2016,Micrograms/cubic meter (LC),No Events,48,39,N,48,122,0,3,,,Certification not required,0,6.3e-05,0.000245,0.001,2016-01-04 00:00,0.001,2016-02-24 00:00,0.001,2016-03-16 00:00,0.0,2016-01-01 00:00,,,,,0.001,0.001,0.001,0.0,0.0,0.0,0.0,Hoover Wilderness,Hoover,California,Mono,,,2017-04-25,[  38.088023 -119.178069],"{'Shrub-brushland rangeland': 0.9345794392523364, 'Mixed urban or built-up land': 0.06542056074766354}"
6,51,9000,88115,1,38.088023,-119.178069,WGS84,Chlorine PM2.5 LC,24 HOUR,,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2016,Micrograms/cubic meter (LC),No Events,48,39,N,48,122,0,3,,,Certification not required,0,0.002917,0.005473,0.033,2016-05-21 00:00,0.014,2016-04-15 00:00,0.011,2016-01-13 00:00,0.01,2016-04-30 00:00,,,,,0.033,0.033,0.011,0.009,0.002,0.001,0.0,Hoover Wilderness,Hoover,California,Mono,,,2017-04-25,[  38.088023 -119.178069],"{'Shrub-brushland rangeland': 0.9345794392523364, 'Mixed urban or built-up land': 0.06542056074766354}"
6,51,9000,88126,1,38.088023,-119.178069,WGS84,Iron PM2.5 LC,24 HOUR,,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2016,Micrograms/cubic meter (LC),No Events,48,39,N,48,122,0,3,,,Certification not required,0,0.020771,0.020724,0.099,2016-03-16 00:00,0.075,2016-04-18 00:00,0.064,2016-05-30 00:00,0.062,2016-04-24 00:00,,,,,0.099,0.099,0.064,0.051,0.028,0.016,0.003,Hoover Wilderness,Hoover,California,Mono,,,2017-04-25,[  38.088023 -119.178069],"{'Shrub-brushland rangeland': 0.9345794392523364, 'Mixed urban or built-up land': 0.06542056074766354}"
6,51,9000,88128,1,38.088023,-119.178069,WGS84,Lead PM2.5 LC,24 HOUR,,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2016,Micrograms/cubic meter (LC),No Events,48,39,N,48,122,0,3,,,Certification not required,0,0.000125,0.000444,0.001,2016-01-04 00:00,0.001,2016-01-16 00:00,0.001,2016-01-25 00:00,0.001,2016-03-01 00:00,,,,,0.001,0.001,0.001,0.001,0.0,0.0,0.0,Hoover Wilderness,Hoover,California,Mono,,,2017-04-25,[  38.088023 -119.178069],"{'Shrub-brushland rangeland': 0.9345794392523364, 'Mixed urban or built-up land': 0.06542056074766354}"
