State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
6,55,3,43207,3,38.310942,-122.296189,WGS84,Freon 113,24 HOUR,,Observed Values,SS 6L Pressurized Canister - Cryogenic Precon GC/MS,2016,Parts per billion Carbon,No Events,29,94,Y,29,31,0,0,,,Certification not required,0,0.141517,0.016824,0.208,2016-06-17 00:00,0.166,2016-02-06 00:00,0.16,2016-01-13 00:00,0.158,2016-01-01 00:00,,,,,0.208,0.208,0.166,0.16,0.144,0.14,0.128,Napa,2552 JEFFERSON AVE.,California,Napa,Napa,"Napa, CA",2017-02-28,[  38.310942 -122.296189],"{'Commercial and Services': 0.2366412213740458, 'Residential': 0.7633587786259542}"
6,55,3,43218,3,38.310942,-122.296189,WGS84,"1,3-Butadiene",24 HOUR,,Observed Values,SS 6L Pressurized Canister - Cryogenic Precon GC/MS,2016,Parts per billion Carbon,No Events,29,94,Y,29,31,0,0,,,Certification not required,0,0.045931,0.116676,0.504,2016-02-06 00:00,0.304,2016-01-25 00:00,0.228,2016-02-18 00:00,0.156,2016-03-01 00:00,,,,,0.504,0.504,0.304,0.228,0.0,0.0,0.0,Napa,2552 JEFFERSON AVE.,California,Napa,Napa,"Napa, CA",2017-02-28,[  38.310942 -122.296189],"{'Commercial and Services': 0.2366412213740458, 'Residential': 0.7633587786259542}"
6,55,3,43302,3,38.310942,-122.296189,WGS84,Ethyl alcohol,24 HOUR,,Observed Values,SS 6L Pressurized Canister - Cryogenic Precon GC/MS,2016,Parts per billion Carbon,No Events,29,94,Y,29,31,0,0,,,Certification not required,0,35.476828,21.531595,90.454,2016-10-03 00:00,65.404,2016-07-23 00:00,65.052,2016-01-25 00:00,61.452,2016-07-11 00:00,,,,,90.454,90.454,65.404,65.052,51.574,35.11,7.332,Napa,2552 JEFFERSON AVE.,California,Napa,Napa,"Napa, CA",2017-02-28,[  38.310942 -122.296189],"{'Commercial and Services': 0.2366412213740458, 'Residential': 0.7633587786259542}"
6,55,3,43551,3,38.310942,-122.296189,WGS84,Acetone,24 HOUR,,Observed Values,SS 6L Pressurized Canister - Cryogenic Precon GC/MS,2016,Parts per billion Carbon,No Events,29,94,Y,29,31,0,0,,,Certification not required,0,14.811828,6.871218,30.54,2016-06-05 00:00,29.613,2016-06-17 00:00,29.118,2016-11-08 00:00,22.023,2016-05-12 00:00,,,,,30.54,30.54,29.613,29.118,19.803,12.837,8.826,Napa,2552 JEFFERSON AVE.,California,Napa,Napa,"Napa, CA",2017-02-28,[  38.310942 -122.296189],"{'Commercial and Services': 0.2366412213740458, 'Residential': 0.7633587786259542}"
6,55,3,43552,3,38.310942,-122.296189,WGS84,Methyl ethyl ketone,24 HOUR,,Observed Values,SS 6L Pressurized Canister - Cryogenic Precon GC/MS,2016,Parts per billion Carbon,No Events,29,94,Y,29,31,0,0,,,Certification not required,0,1.066897,0.395591,2.172,2016-06-17 00:00,1.74,2016-04-06 00:00,1.708,2016-06-05 00:00,1.652,2016-11-08 00:00,,,,,2.172,2.172,1.74,1.708,1.232,0.988,0.644,Napa,2552 JEFFERSON AVE.,California,Napa,Napa,"Napa, CA",2017-02-28,[  38.310942 -122.296189],"{'Commercial and Services': 0.2366412213740458, 'Residential': 0.7633587786259542}"
6,55,3,43702,3,38.310942,-122.296189,WGS84,Acetonitrile,24 HOUR,,Observed Values,SS 6L Pressurized Canister - Cryogenic Precon GC/MS,2016,Parts per billion Carbon,No Events,29,94,Y,29,31,0,0,,,Certification not required,0,0.122621,0.660333,3.556,2016-12-14 00:00,0.0,2016-01-01 00:00,0.0,2016-01-13 00:00,0.0,2016-01-25 00:00,,,,,3.556,3.556,0.0,0.0,0.0,0.0,0.0,Napa,2552 JEFFERSON AVE.,California,Napa,Napa,"Napa, CA",2017-02-28,[  38.310942 -122.296189],"{'Commercial and Services': 0.2366412213740458, 'Residential': 0.7633587786259542}"
6,55,3,43704,3,38.310942,-122.296189,WGS84,Acrylonitrile,24 HOUR,,Observed Values,SS 6L Pressurized Canister - Cryogenic Precon GC/MS,2016,Parts per billion Carbon,No Events,29,94,Y,29,31,0,0,,,Certification not required,0,0.0,0.0,0.0,2016-01-01 00:00,0.0,2016-01-13 00:00,0.0,2016-01-25 00:00,0.0,2016-02-06 00:00,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Napa,2552 JEFFERSON AVE.,California,Napa,Napa,"Napa, CA",2017-02-28,[  38.310942 -122.296189],"{'Commercial and Services': 0.2366412213740458, 'Residential': 0.7633587786259542}"
6,55,3,43802,3,38.310942,-122.296189,WGS84,Dichloromethane,24 HOUR,,Observed Values,SS 6L Pressurized Canister - Cryogenic Precon GC/MS,2016,Parts per billion Carbon,No Events,29,94,Y,29,31,0,0,,,Certification not required,0,0.161793,0.21898,1.244,2016-10-27 00:00,0.368,2016-11-08 00:00,0.305,2016-09-09 00:00,0.226,2016-06-17 00:00,,,,,1.244,1.244,0.368,0.305,0.127,0.103,0.071,Napa,2552 JEFFERSON AVE.,California,Napa,Napa,"Napa, CA",2017-02-28,[  38.310942 -122.296189],"{'Commercial and Services': 0.2366412213740458, 'Residential': 0.7633587786259542}"
6,55,3,43803,3,38.310942,-122.296189,WGS84,Chloroform,24 HOUR,,Observed Values,SS 6L Pressurized Canister - Cryogenic Precon GC/MS,2016,Parts per billion Carbon,No Events,29,94,Y,29,31,0,0,,,Certification not required,0,0.029138,0.017513,0.069,2016-11-08 00:00,0.052,2016-02-06 00:00,0.052,2016-03-25 00:00,0.047,2016-12-26 00:00,,,,,0.069,0.069,0.052,0.052,0.043,0.029,0.0,Napa,2552 JEFFERSON AVE.,California,Napa,Napa,"Napa, CA",2017-02-28,[  38.310942 -122.296189],"{'Commercial and Services': 0.2366412213740458, 'Residential': 0.7633587786259542}"
6,55,3,43804,3,38.310942,-122.296189,WGS84,Carbon tetrachloride,24 HOUR,,Observed Values,SS 6L Pressurized Canister - Cryogenic Precon GC/MS,2016,Parts per billion Carbon,No Events,29,94,Y,29,31,0,0,,,Certification not required,0,0.097,0.006892,0.109,2016-01-01 00:00,0.107,2016-03-25 00:00,0.105,2016-06-17 00:00,0.105,2016-08-16 00:00,,,,,0.109,0.109,0.107,0.105,0.103,0.096,0.089,Napa,2552 JEFFERSON AVE.,California,Napa,Napa,"Napa, CA",2017-02-28,[  38.310942 -122.296189],"{'Commercial and Services': 0.2366412213740458, 'Residential': 0.7633587786259542}"
