State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
6,59,7,68101,1,33.83062,-117.93845,WGS84,Sample Flow Rate- CV,24 HOUR,,Observed Values,INSTRUMENTAL - Calculation,2016,Percent,No Events,350,96,Y,350,366,0,16,,,Certification not required,0,0.250286,0.172749,1.9,2016-02-09 00:00,1.6,2016-02-06 00:00,1.2,2016-01-26 00:00,1.2,2016-02-05 00:00,,,,,1.2,0.9,0.3,0.3,0.2,0.2,0.2,Anaheim,1630 W. PAMPAS LANE,California,Orange,Anaheim,"Los Angeles-Long Beach-Anaheim, CA",2017-03-22,[  33.83062 -117.93845],"{'Commercial and Services': 0.58, 'Residential': 0.25, 'Cropland and pasture': 0.17}"
6,59,7,68102,1,33.83062,-117.93845,WGS84,Sample Volume,24 HOUR,,Observed Values,INSTRUMENTAL - CALCULATION,2016,Cubic meter,No Events,350,96,Y,350,366,0,16,,,Certification not required,0,23.962,0.091542,24.0,2016-01-01 00:00,24.0,2016-01-02 00:00,24.0,2016-01-03 00:00,24.0,2016-01-04 00:00,,,,,24.0,24.0,24.0,24.0,24.0,24.0,23.9,Anaheim,1630 W. PAMPAS LANE,California,Orange,Anaheim,"Los Angeles-Long Beach-Anaheim, CA",2017-03-22,[  33.83062 -117.93845],"{'Commercial and Services': 0.58, 'Residential': 0.25, 'Cropland and pasture': 0.17}"
6,59,7,68103,1,33.83062,-117.93845,WGS84,Ambient Min Temperature,24 HOUR,,Observed Values,INSTRUMENTAL - ELECTRONIC,2016,Degrees Centigrade,No Events,350,96,Y,350,366,0,16,,,Certification not required,0,15.235714,4.460583,24.4,2016-07-29 00:00,24.2,2016-07-28 00:00,23.9,2016-07-26 00:00,23.9,2016-07-30 00:00,,,,,23.9,23.5,22.0,21.2,18.6,15.1,9.0,Anaheim,1630 W. PAMPAS LANE,California,Orange,Anaheim,"Los Angeles-Long Beach-Anaheim, CA",2017-03-22,[  33.83062 -117.93845],"{'Commercial and Services': 0.58, 'Residential': 0.25, 'Cropland and pasture': 0.17}"
6,59,7,68104,1,33.83062,-117.93845,WGS84,Ambient Max Temperature,24 HOUR,,Observed Values,INSTRUMENTAL - ELECTRONIC,2016,Degrees Centigrade,No Events,350,96,Y,350,366,0,16,,,Certification not required,0,26.456286,5.237434,49.2,2016-12-16 00:00,44.0,2016-06-20 00:00,41.9,2016-06-19 00:00,41.8,2016-09-26 00:00,,,,,41.8,37.8,35.8,33.2,29.8,26.0,20.4,Anaheim,1630 W. PAMPAS LANE,California,Orange,Anaheim,"Los Angeles-Long Beach-Anaheim, CA",2017-03-22,[  33.83062 -117.93845],"{'Commercial and Services': 0.58, 'Residential': 0.25, 'Cropland and pasture': 0.17}"
6,59,7,68105,1,33.83062,-117.93845,WGS84,Average Ambient Temperature,24 HOUR,,Observed Values,INSTRUMENTAL - ELECTRONIC,2016,Degrees Centigrade,No Events,350,96,Y,350,366,0,16,,,Certification not required,0,19.875143,4.127799,30.6,2016-09-26 00:00,30.5,2016-06-19 00:00,30.2,2016-06-20 00:00,29.2,2016-07-22 00:00,,,,,29.2,28.1,27.0,25.4,23.2,19.6,14.5,Anaheim,1630 W. PAMPAS LANE,California,Orange,Anaheim,"Los Angeles-Long Beach-Anaheim, CA",2017-03-22,[  33.83062 -117.93845],"{'Commercial and Services': 0.58, 'Residential': 0.25, 'Cropland and pasture': 0.17}"
6,59,7,68106,1,33.83062,-117.93845,WGS84,Sample Min Baro Pressure,24 HOUR,,Observed Values,INSTRUMENTAL - BAROMETRIC SENSOR,2016,Millimeters (mercury),No Events,350,96,Y,350,366,0,16,,,Certification not required,0,755.962857,3.331072,768.0,2016-01-19 00:00,767.0,2016-01-18 00:00,767.0,2016-01-20 00:00,765.0,2016-12-11 00:00,,,,,765.0,763.0,761.0,760.0,758.0,756.0,752.0,Anaheim,1630 W. PAMPAS LANE,California,Orange,Anaheim,"Los Angeles-Long Beach-Anaheim, CA",2017-03-22,[  33.83062 -117.93845],"{'Commercial and Services': 0.58, 'Residential': 0.25, 'Cropland and pasture': 0.17}"
6,59,7,68107,1,33.83062,-117.93845,WGS84,Sample Max Baro Pressure,24 HOUR,,Observed Values,INSTRUMENTAL - BAROMETRIC SENSOR,2016,Millimeters (mercury),No Events,350,96,Y,350,366,0,16,,,Certification not required,0,767.742857,6.178542,783.0,2016-01-17 00:00,781.0,2016-01-18 00:00,781.0,2016-01-19 00:00,781.0,2016-01-20 00:00,,,,,781.0,780.0,778.0,777.0,773.0,766.0,761.0,Anaheim,1630 W. PAMPAS LANE,California,Orange,Anaheim,"Los Angeles-Long Beach-Anaheim, CA",2017-03-22,[  33.83062 -117.93845],"{'Commercial and Services': 0.58, 'Residential': 0.25, 'Cropland and pasture': 0.17}"
6,59,7,68108,1,33.83062,-117.93845,WGS84,Average Ambient Pressure,24 HOUR,,Observed Values,INSTRUMENTAL - BAROMETRIC SENSOR,2016,Millimeters (mercury),No Events,350,96,Y,350,366,0,16,,,Certification not required,0,761.157143,3.856434,776.0,2016-01-18 00:00,776.0,2016-01-19 00:00,776.0,2016-01-20 00:00,774.0,2016-12-11 00:00,,,,,774.0,770.0,768.0,766.0,763.0,760.0,757.0,Anaheim,1630 W. PAMPAS LANE,California,Orange,Anaheim,"Los Angeles-Long Beach-Anaheim, CA",2017-03-22,[  33.83062 -117.93845],"{'Commercial and Services': 0.58, 'Residential': 0.25, 'Cropland and pasture': 0.17}"
6,59,7,68109,1,33.83062,-117.93845,WGS84,Elapsed Sample Time,24 HOUR,,Observed Values,INSTRUMENTAL - CALCULATION,2016,Minutes,No Events,350,96,Y,350,366,0,16,,,Certification not required,0,1436.94,5.296304,1440.0,2016-08-25 00:00,1440.0,2016-10-15 00:00,1440.0,2016-10-27 00:00,1440.0,2016-11-05 00:00,,,,,1440.0,1439.0,1439.0,1439.0,1439.0,1439.0,1434.0,Anaheim,1630 W. PAMPAS LANE,California,Orange,Anaheim,"Los Angeles-Long Beach-Anaheim, CA",2017-03-22,[  33.83062 -117.93845],"{'Commercial and Services': 0.58, 'Residential': 0.25, 'Cropland and pasture': 0.17}"
6,59,7,81102,1,33.83062,-117.93845,WGS84,PM10 Total 0-10um STP,24 HOUR,PM10 24-hour 2006,Daily Mean,HI-VOL SA/GMW-1200 - GRAVIMETRIC,2016,Micrograms/cubic meter (25 C),No Events,60,98,Y,60,61,0,1,0.0,0.0,Certified,0,27.416667,13.336952,74.0,2016-12-02 00:00,64.0,2016-12-14 00:00,53.0,2016-10-21 00:00,50.0,2016-11-08 00:00,,,,,74.0,64.0,53.0,49.0,32.0,24.0,14.0,Anaheim,1630 W. PAMPAS LANE,California,Orange,Anaheim,"Los Angeles-Long Beach-Anaheim, CA",2017-03-29,[  33.83062 -117.93845],"{'Commercial and Services': 0.58, 'Residential': 0.25, 'Cropland and pasture': 0.17}"
