State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
6,61,6,12102,7,38.745726,-121.266312,WGS84,Antimony (TSP) STP,24 HOUR,,Observed Values,"Lo-Vol-Xontech 920 or 924, Teflon - ICP/Mass Spectrometer",2016,Micrograms/cubic meter (25 C),No Events,31,51,N,31,61,0,8,,,Certification not required,0,0.001871,0.001204,0.005,2016-02-06 00:00,0.005,2016-11-08 00:00,0.005,2016-12-20 00:00,0.003,2016-01-25 00:00,,,,,0.005,0.005,0.005,0.003,0.002,0.002,0.001,Roseville-N Sunrise Ave," 151 NO SUNRISE BLVD, ROSEVILLE, CA",California,Placer,Roseville,"Sacramento--Roseville--Arden-Arcade, CA",2017-05-05,[  38.745726 -121.266312],"{'Commercial and Services': 0.12, 'Residential': 0.16, 'Industrial': 0.01, 'Cropland and pasture': 0.54, 'Transportation, communications and services': 0.17}"
6,61,6,12103,7,38.745726,-121.266312,WGS84,Arsenic (TSP) STP,24 HOUR,,Observed Values,"Lo-Vol-Xontech 920 or 924, Teflon - ICP/Mass Spectrometer",2016,Micrograms/cubic meter (25 C),No Events,31,51,N,31,61,0,8,,,Certification not required,0,0.001,0.0,0.001,2016-01-07 00:00,0.001,2016-01-19 00:00,0.001,2016-01-25 00:00,0.001,2016-02-06 00:00,,,,,0.001,0.001,0.001,0.001,0.001,0.001,0.001,Roseville-N Sunrise Ave," 151 NO SUNRISE BLVD, ROSEVILLE, CA",California,Placer,Roseville,"Sacramento--Roseville--Arden-Arcade, CA",2017-05-05,[  38.745726 -121.266312],"{'Commercial and Services': 0.12, 'Residential': 0.16, 'Industrial': 0.01, 'Cropland and pasture': 0.54, 'Transportation, communications and services': 0.17}"
6,61,6,12105,7,38.745726,-121.266312,WGS84,Beryllium (TSP) STP,24 HOUR,,Observed Values,"Lo-Vol-Xontech 920 or 924, Teflon - ICP/Mass Spectrometer",2016,Nanograms/cubic meter (25 C),No Events,31,51,N,31,61,0,8,,,Certification not required,0,0.152,0.0,0.152,2016-01-07 00:00,0.152,2016-01-19 00:00,0.152,2016-01-25 00:00,0.152,2016-02-06 00:00,,,,,0.152,0.152,0.152,0.152,0.152,0.152,0.152,Roseville-N Sunrise Ave," 151 NO SUNRISE BLVD, ROSEVILLE, CA",California,Placer,Roseville,"Sacramento--Roseville--Arden-Arcade, CA",2017-05-05,[  38.745726 -121.266312],"{'Commercial and Services': 0.12, 'Residential': 0.16, 'Industrial': 0.01, 'Cropland and pasture': 0.54, 'Transportation, communications and services': 0.17}"
6,61,6,12110,7,38.745726,-121.266312,WGS84,Cadmium (TSP) STP,24 HOUR,,Observed Values,"Lo-Vol-Xontech 920 or 924, Teflon - ICP/Mass Spectrometer",2016,Micrograms/cubic meter (25 C),No Events,31,51,N,31,61,0,8,,,Certification not required,0,0.001,0.0,0.001,2016-01-07 00:00,0.001,2016-01-19 00:00,0.001,2016-01-25 00:00,0.001,2016-02-06 00:00,,,,,0.001,0.001,0.001,0.001,0.001,0.001,0.001,Roseville-N Sunrise Ave," 151 NO SUNRISE BLVD, ROSEVILLE, CA",California,Placer,Roseville,"Sacramento--Roseville--Arden-Arcade, CA",2017-05-05,[  38.745726 -121.266312],"{'Commercial and Services': 0.12, 'Residential': 0.16, 'Industrial': 0.01, 'Cropland and pasture': 0.54, 'Transportation, communications and services': 0.17}"
6,61,6,12112,7,38.745726,-121.266312,WGS84,Chromium (TSP) STP,24 HOUR,,Observed Values,"Lo-Vol-Xontech 920 or 924, Teflon - ICP/Mass Spectrometer",2016,Micrograms/cubic meter (25 C),No Events,31,51,N,31,61,0,8,,,Certification not required,0,0.004,0.0,0.004,2016-01-07 00:00,0.004,2016-01-19 00:00,0.004,2016-01-25 00:00,0.004,2016-02-06 00:00,,,,,0.004,0.004,0.004,0.004,0.004,0.004,0.004,Roseville-N Sunrise Ave," 151 NO SUNRISE BLVD, ROSEVILLE, CA",California,Placer,Roseville,"Sacramento--Roseville--Arden-Arcade, CA",2017-05-05,[  38.745726 -121.266312],"{'Commercial and Services': 0.12, 'Residential': 0.16, 'Industrial': 0.01, 'Cropland and pasture': 0.54, 'Transportation, communications and services': 0.17}"
6,61,6,12113,7,38.745726,-121.266312,WGS84,Cobalt (TSP) STP,24 HOUR,,Observed Values,"Lo-Vol-Xontech 920 or 924, Teflon - ICP/Mass Spectrometer",2016,Micrograms/cubic meter (25 C),No Events,31,51,N,31,61,0,8,,,Certification not required,0,0.001,0.0,0.001,2016-01-07 00:00,0.001,2016-01-19 00:00,0.001,2016-01-25 00:00,0.001,2016-02-06 00:00,,,,,0.001,0.001,0.001,0.001,0.001,0.001,0.001,Roseville-N Sunrise Ave," 151 NO SUNRISE BLVD, ROSEVILLE, CA",California,Placer,Roseville,"Sacramento--Roseville--Arden-Arcade, CA",2017-05-05,[  38.745726 -121.266312],"{'Commercial and Services': 0.12, 'Residential': 0.16, 'Industrial': 0.01, 'Cropland and pasture': 0.54, 'Transportation, communications and services': 0.17}"
6,61,6,12114,7,38.745726,-121.266312,WGS84,Copper (TSP) STP,24 HOUR,,Observed Values,"Lo-Vol-Xontech 920 or 924, Teflon - ICP/Mass Spectrometer",2016,Micrograms/cubic meter (25 C),No Events,31,51,N,31,61,0,8,,,Certification not required,0,0.020323,0.023373,0.107,2016-08-16 00:00,0.095,2016-04-06 00:00,0.037,2016-12-20 00:00,0.035,2016-02-06 00:00,,,,,0.107,0.107,0.095,0.035,0.025,0.013,0.007,Roseville-N Sunrise Ave," 151 NO SUNRISE BLVD, ROSEVILLE, CA",California,Placer,Roseville,"Sacramento--Roseville--Arden-Arcade, CA",2017-05-05,[  38.745726 -121.266312],"{'Commercial and Services': 0.12, 'Residential': 0.16, 'Industrial': 0.01, 'Cropland and pasture': 0.54, 'Transportation, communications and services': 0.17}"
6,61,6,12126,7,38.745726,-121.266312,WGS84,Iron (TSP) STP,24 HOUR,,Observed Values,"Lo-Vol-Xontech 920 or 924, Teflon - ICP/Mass Spectrometer",2016,Micrograms/cubic meter (25 C),No Events,31,51,N,31,61,0,8,,,Certification not required,0,0.611387,0.357971,1.49,2016-09-21 00:00,1.26,2016-04-06 00:00,1.08,2016-08-16 00:00,1.01,2016-04-30 00:00,,,,,1.49,1.49,1.26,1.01,0.848,0.621,0.236,Roseville-N Sunrise Ave," 151 NO SUNRISE BLVD, ROSEVILLE, CA",California,Placer,Roseville,"Sacramento--Roseville--Arden-Arcade, CA",2017-05-05,[  38.745726 -121.266312],"{'Commercial and Services': 0.12, 'Residential': 0.16, 'Industrial': 0.01, 'Cropland and pasture': 0.54, 'Transportation, communications and services': 0.17}"
6,61,6,12128,7,38.745726,-121.266312,WGS84,Lead (TSP) STP,24 HOUR,Lead Quarterly 1978,Observed Values,"Lo-Vol-Xontech 920 or 924, Teflon - ICP/Mass Spectrometer",2016,Micrograms/cubic meter (25 C),Events Inclucded,31,51,N,31,61,31,8,,,Certification not required,0,0.001581,0.001203,0.0056,2016-08-16 00:00,0.0036,2016-12-20 00:00,0.0034,2016-06-05 00:00,0.0031,2016-09-21 00:00,,,,,0.0056,0.0056,0.0036,0.0031,0.0025,0.0014,0.0006,Roseville-N Sunrise Ave," 151 NO SUNRISE BLVD, ROSEVILLE, CA",California,Placer,Roseville,"Sacramento--Roseville--Arden-Arcade, CA",2017-05-05,[  38.745726 -121.266312],"{'Commercial and Services': 0.12, 'Residential': 0.16, 'Industrial': 0.01, 'Cropland and pasture': 0.54, 'Transportation, communications and services': 0.17}"
6,61,6,12132,7,38.745726,-121.266312,WGS84,Manganese (TSP) STP,24 HOUR,,Observed Values,"Lo-Vol-Xontech 920 or 924, Teflon - ICP/Mass Spectrometer",2016,Micrograms/cubic meter (25 C),No Events,31,51,N,31,61,0,8,,,Certification not required,0,0.012581,0.008698,0.038,2016-04-06 00:00,0.029,2016-10-04 00:00,0.026,2016-09-21 00:00,0.022,2016-08-16 00:00,,,,,0.038,0.038,0.029,0.022,0.018,0.01,0.003,Roseville-N Sunrise Ave," 151 NO SUNRISE BLVD, ROSEVILLE, CA",California,Placer,Roseville,"Sacramento--Roseville--Arden-Arcade, CA",2017-05-05,[  38.745726 -121.266312],"{'Commercial and Services': 0.12, 'Residential': 0.16, 'Industrial': 0.01, 'Cropland and pasture': 0.54, 'Transportation, communications and services': 0.17}"
6,61,6,12134,7,38.745726,-121.266312,WGS84,Molybdenum (TSP) STP,24 HOUR,,Observed Values,"Lo-Vol-Xontech 920 or 924, Teflon - ICP/Mass Spectrometer",2016,Micrograms/cubic meter (25 C),No Events,31,51,N,31,61,0,8,,,Certification not required,0,0.001032,0.00018,0.002,2016-02-06 00:00,0.001,2016-01-07 00:00,0.001,2016-01-19 00:00,0.001,2016-01-25 00:00,,,,,0.002,0.002,0.001,0.001,0.001,0.001,0.001,Roseville-N Sunrise Ave," 151 NO SUNRISE BLVD, ROSEVILLE, CA",California,Placer,Roseville,"Sacramento--Roseville--Arden-Arcade, CA",2017-05-05,[  38.745726 -121.266312],"{'Commercial and Services': 0.12, 'Residential': 0.16, 'Industrial': 0.01, 'Cropland and pasture': 0.54, 'Transportation, communications and services': 0.17}"
