State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
6,63,1006,68101,1,39.937099,-120.938821,WGS84,Sample Flow Rate- CV,24 HOUR,,Observed Values,R & P Model 2025 PM-2.5 FEM Sequential Air Sampler - Calculation,2016,Percent,No Events,352,100,Y,61,61,0,14,,,Certification not required,0,0.096591,0.018172,0.1,2016-01-01 00:00,0.1,2016-01-02 00:00,0.1,2016-01-03 00:00,0.1,2016-01-04 00:00,,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,Quincy-N Church Street,"267 N. CHURCH ST., QUINCY, CA. 95971",California,Plumas,Quincy,,2017-01-27,[  39.937099 -120.938821],"{'Commercial and Services': 0.34, 'Residential': 0.3, 'Cropland and pasture': 0.15, 'Evergreen forest land': 0.21}"
6,63,1006,68102,1,39.937099,-120.938821,WGS84,Sample Volume,24 HOUR,,Observed Values,R & P Model 2025 PM-2.5 FEM Sequential Air Sampler - Calculation,2016,Cubic meter,No Events,352,100,Y,61,61,0,14,,,Certification not required,0,24.089205,0.052812,24.1,2016-01-01 00:00,24.1,2016-01-02 00:00,24.1,2016-01-03 00:00,24.1,2016-01-04 00:00,,,,,24.1,24.1,24.1,24.1,24.1,24.1,24.1,Quincy-N Church Street,"267 N. CHURCH ST., QUINCY, CA. 95971",California,Plumas,Quincy,,2017-01-27,[  39.937099 -120.938821],"{'Commercial and Services': 0.34, 'Residential': 0.3, 'Cropland and pasture': 0.15, 'Evergreen forest land': 0.21}"
6,63,1006,68103,1,39.937099,-120.938821,WGS84,Ambient Min Temperature,24 HOUR,,Observed Values,R & P Model 2025 PM-2.5 FEM Sequential Air Sampler - Electronic,2016,Degrees Centigrade,No Events,352,100,Y,61,61,0,14,,,Certification not required,0,2.999716,4.601483,14.2,2016-06-05 00:00,14.2,2016-07-29 00:00,13.1,2016-06-06 00:00,12.3,2016-06-07 00:00,,,,,12.3,11.4,9.7,8.6,6.5,3.2,-3.2,Quincy-N Church Street,"267 N. CHURCH ST., QUINCY, CA. 95971",California,Plumas,Quincy,,2017-01-27,[  39.937099 -120.938821],"{'Commercial and Services': 0.34, 'Residential': 0.3, 'Cropland and pasture': 0.15, 'Evergreen forest land': 0.21}"
6,63,1006,68104,1,39.937099,-120.938821,WGS84,Ambient Max Temperature,24 HOUR,,Observed Values,R & P Model 2025 PM-2.5 FEM Sequential Air Sampler - Electronic,2016,Degrees Centigrade,No Events,352,100,Y,61,61,0,14,,,Certification not required,0,21.402273,10.218828,40.6,2016-07-28 00:00,40.4,2016-07-29 00:00,40.4,2016-08-19 00:00,39.9,2016-07-27 00:00,,,,,39.9,39.4,36.9,35.4,30.9,20.7,7.8,Quincy-N Church Street,"267 N. CHURCH ST., QUINCY, CA. 95971",California,Plumas,Quincy,,2017-01-27,[  39.937099 -120.938821],"{'Commercial and Services': 0.34, 'Residential': 0.3, 'Cropland and pasture': 0.15, 'Evergreen forest land': 0.21}"
6,63,1006,68105,1,39.937099,-120.938821,WGS84,Average Ambient Temperature,24 HOUR,,Observed Values,R & P Model 2025 PM-2.5 FEM Sequential Air Sampler - Electronic,2016,Degrees Centigrade,No Events,352,100,Y,61,61,0,14,,,Certification not required,0,11.347727,7.487927,32.5,2016-08-16 00:00,27.0,2016-07-29 00:00,26.0,2016-07-28 00:00,25.1,2016-07-30 00:00,,,,,25.1,24.5,23.0,21.6,18.3,10.6,1.4,Quincy-N Church Street,"267 N. CHURCH ST., QUINCY, CA. 95971",California,Plumas,Quincy,,2017-01-27,[  39.937099 -120.938821],"{'Commercial and Services': 0.34, 'Residential': 0.3, 'Cropland and pasture': 0.15, 'Evergreen forest land': 0.21}"
6,63,1006,68106,1,39.937099,-120.938821,WGS84,Sample Min Baro Pressure,24 HOUR,,Observed Values,R & P Model 2025 PM-2.5 FEM Sequential AIr Sampler - Barometric Sensor,2016,Millimeters (mercury),No Events,352,100,Y,61,61,0,14,,,Certification not required,0,670.673295,3.673044,680.0,2016-02-05 00:00,680.0,2016-02-07 00:00,680.0,2016-02-08 00:00,679.0,2016-02-04 00:00,,,,,679.0,678.0,677.0,675.0,673.0,671.0,667.0,Quincy-N Church Street,"267 N. CHURCH ST., QUINCY, CA. 95971",California,Plumas,Quincy,,2017-01-27,[  39.937099 -120.938821],"{'Commercial and Services': 0.34, 'Residential': 0.3, 'Cropland and pasture': 0.15, 'Evergreen forest land': 0.21}"
6,63,1006,68107,1,39.937099,-120.938821,WGS84,Sample Max Baro Pressure,24 HOUR,,Observed Values,R & P Model 2025 PM-2.5 FEM Sequential Sampler - Barometric Sensor,2016,Millimeters (mercury),No Events,352,100,Y,61,61,0,14,,,Certification not required,0,675.258523,3.219189,684.0,2016-02-06 00:00,684.0,2016-02-07 00:00,684.0,2016-02-08 00:00,683.0,2016-02-04 00:00,,,,,683.0,682.0,681.0,680.0,677.0,675.0,672.0,Quincy-N Church Street,"267 N. CHURCH ST., QUINCY, CA. 95971",California,Plumas,Quincy,,2017-01-27,[  39.937099 -120.938821],"{'Commercial and Services': 0.34, 'Residential': 0.3, 'Cropland and pasture': 0.15, 'Evergreen forest land': 0.21}"
6,63,1006,68108,1,39.937099,-120.938821,WGS84,Average Ambient Pressure,24 HOUR,,Observed Values,R & P Model 2025 PM-2.5 FEM Sequential Air Sampler - Barometric Sensor,2016,Millimeters (mercury),No Events,352,100,Y,61,61,0,14,,,Certification not required,0,672.971591,3.312635,682.0,2016-02-05 00:00,682.0,2016-02-07 00:00,682.0,2016-02-08 00:00,681.0,2016-02-04 00:00,,,,,681.0,680.0,679.0,677.0,675.0,673.0,669.0,Quincy-N Church Street,"267 N. CHURCH ST., QUINCY, CA. 95971",California,Plumas,Quincy,,2017-01-27,[  39.937099 -120.938821],"{'Commercial and Services': 0.34, 'Residential': 0.3, 'Cropland and pasture': 0.15, 'Evergreen forest land': 0.21}"
6,63,1006,68109,1,39.937099,-120.938821,WGS84,Elapsed Sample Time,24 HOUR,,Observed Values,R & P Model 2025 PM-2.5 FEM Sequential AIr Sampler - Calculation,2016,Minutes,No Events,352,100,Y,61,61,0,14,,,Certification not required,0,1438.539773,2.461928,1439.0,2016-01-01 00:00,1439.0,2016-01-03 00:00,1439.0,2016-01-04 00:00,1439.0,2016-01-05 00:00,,,,,1439.0,1439.0,1439.0,1439.0,1439.0,1439.0,1439.0,Quincy-N Church Street,"267 N. CHURCH ST., QUINCY, CA. 95971",California,Plumas,Quincy,,2017-01-27,[  39.937099 -120.938821],"{'Commercial and Services': 0.34, 'Residential': 0.3, 'Cropland and pasture': 0.15, 'Evergreen forest land': 0.21}"
6,63,1006,88101,1,39.937099,-120.938821,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2006,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2016,Micrograms/cubic meter (LC),No Events,352,96,Y,352,366,0,14,1.0,1.0,Requested but not yet concurred,0,8.726705,6.25512,37.1,2016-12-31 00:00,34.9,2016-12-05 00:00,33.9,2016-12-04 00:00,33.3,2016-12-18 00:00,,,,,33.3,28.8,20.9,16.8,11.0,6.7,3.2,Quincy-N Church Street,"267 N. CHURCH ST., QUINCY, CA. 95971",California,Plumas,Quincy,,2017-01-27,[  39.937099 -120.938821],"{'Commercial and Services': 0.34, 'Residential': 0.3, 'Cropland and pasture': 0.15, 'Evergreen forest land': 0.21}"
