State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
6,65,8001,12102,7,33.99958,-117.41601,WGS84,Antimony (TSP) STP,24 HOUR,,Observed Values,"Lo-Vol-Xontech 920 or 924, Teflon - ICP/Mass Spectrometer",2016,Micrograms/cubic meter (25 C),No Events,28,46,N,28,61,0,6,,,Certification not required,0,0.005036,0.003109,0.014,2016-12-14 00:00,0.01,2016-06-05 00:00,0.009,2016-03-01 00:00,0.009,2016-08-16 00:00,,,,,0.014,0.014,0.01,0.009,0.007,0.004,0.002,Rubidoux,"5888 MISSION BLVD., RUBIDOUX",California,Riverside,Rubidoux,"Riverside-San Bernardino-Ontario, CA",2017-04-07,[  33.99958 -117.41601],{'Residential': 1.0}
6,65,8001,12103,7,33.99958,-117.41601,WGS84,Arsenic (TSP) STP,24 HOUR,,Observed Values,"Lo-Vol-Xontech 920 or 924, Teflon - ICP/Mass Spectrometer",2016,Micrograms/cubic meter (25 C),No Events,28,46,N,28,61,0,6,,,Certification not required,0,0.001036,0.000189,0.002,2016-07-23 00:00,0.001,2016-01-25 00:00,0.001,2016-02-06 00:00,0.001,2016-02-18 00:00,,,,,0.002,0.002,0.001,0.001,0.001,0.001,0.001,Rubidoux,"5888 MISSION BLVD., RUBIDOUX",California,Riverside,Rubidoux,"Riverside-San Bernardino-Ontario, CA",2017-04-07,[  33.99958 -117.41601],{'Residential': 1.0}
6,65,8001,12105,7,33.99958,-117.41601,WGS84,Beryllium (TSP) STP,24 HOUR,,Observed Values,"Lo-Vol-Xontech 920 or 924, Teflon - ICP/Mass Spectrometer",2016,Nanograms/cubic meter (25 C),No Events,28,46,N,28,61,0,6,,,Certification not required,0,0.152,0.0,0.152,2016-01-25 00:00,0.152,2016-02-06 00:00,0.152,2016-02-18 00:00,0.152,2016-03-01 00:00,,,,,0.152,0.152,0.152,0.152,0.152,0.152,0.152,Rubidoux,"5888 MISSION BLVD., RUBIDOUX",California,Riverside,Rubidoux,"Riverside-San Bernardino-Ontario, CA",2017-04-07,[  33.99958 -117.41601],{'Residential': 1.0}
6,65,8001,12110,7,33.99958,-117.41601,WGS84,Cadmium (TSP) STP,24 HOUR,,Observed Values,"Lo-Vol-Xontech 920 or 924, Teflon - ICP/Mass Spectrometer",2016,Micrograms/cubic meter (25 C),No Events,28,46,N,28,61,0,6,,,Certification not required,0,0.001,0.0,0.001,2016-01-25 00:00,0.001,2016-02-06 00:00,0.001,2016-02-18 00:00,0.001,2016-03-01 00:00,,,,,0.001,0.001,0.001,0.001,0.001,0.001,0.001,Rubidoux,"5888 MISSION BLVD., RUBIDOUX",California,Riverside,Rubidoux,"Riverside-San Bernardino-Ontario, CA",2017-04-07,[  33.99958 -117.41601],{'Residential': 1.0}
6,65,8001,12112,7,33.99958,-117.41601,WGS84,Chromium (TSP) STP,24 HOUR,,Observed Values,"Lo-Vol-Xontech 920 or 924, Teflon - ICP/Mass Spectrometer",2016,Micrograms/cubic meter (25 C),No Events,28,46,N,28,61,0,6,,,Certification not required,0,0.005179,0.002597,0.011,2016-07-23 00:00,0.011,2016-08-16 00:00,0.011,2016-08-28 00:00,0.011,2016-12-14 00:00,,,,,0.011,0.011,0.011,0.011,0.004,0.004,0.004,Rubidoux,"5888 MISSION BLVD., RUBIDOUX",California,Riverside,Rubidoux,"Riverside-San Bernardino-Ontario, CA",2017-04-07,[  33.99958 -117.41601],{'Residential': 1.0}
6,65,8001,12113,7,33.99958,-117.41601,WGS84,Cobalt (TSP) STP,24 HOUR,,Observed Values,"Lo-Vol-Xontech 920 or 924, Teflon - ICP/Mass Spectrometer",2016,Micrograms/cubic meter (25 C),No Events,28,46,N,28,61,0,6,,,Certification not required,0,0.001036,0.000189,0.002,2016-07-23 00:00,0.001,2016-01-25 00:00,0.001,2016-02-06 00:00,0.001,2016-02-18 00:00,,,,,0.002,0.002,0.001,0.001,0.001,0.001,0.001,Rubidoux,"5888 MISSION BLVD., RUBIDOUX",California,Riverside,Rubidoux,"Riverside-San Bernardino-Ontario, CA",2017-04-07,[  33.99958 -117.41601],{'Residential': 1.0}
6,65,8001,12114,7,33.99958,-117.41601,WGS84,Copper (TSP) STP,24 HOUR,,Observed Values,"Lo-Vol-Xontech 920 or 924, Teflon - ICP/Mass Spectrometer",2016,Micrograms/cubic meter (25 C),No Events,28,46,N,28,61,0,6,,,Certification not required,0,0.027893,0.014995,0.06,2016-12-14 00:00,0.058,2016-11-20 00:00,0.05,2016-03-01 00:00,0.045,2016-07-23 00:00,,,,,0.06,0.06,0.058,0.05,0.04,0.027,0.01,Rubidoux,"5888 MISSION BLVD., RUBIDOUX",California,Riverside,Rubidoux,"Riverside-San Bernardino-Ontario, CA",2017-04-07,[  33.99958 -117.41601],{'Residential': 1.0}
6,65,8001,12115,4,33.99958,-117.41601,WGS84,Chromium VI (TSP) STP,24 HOUR,,Observed Values,LO-VOL-XONTECH 920 or 924 - ION CHROMATOGRAPH UV VISIBLE,2016,Micrograms/cubic meter (25 C),No Events,60,98,Y,60,61,0,1,,,Certification not required,0,0.0,0.0,0.0,2016-01-01 00:00,0.0,2016-01-07 00:00,0.0,2016-01-13 00:00,0.0,2016-01-19 00:00,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rubidoux,"5888 MISSION BLVD., RUBIDOUX",California,Riverside,Rubidoux,"Riverside-San Bernardino-Ontario, CA",2017-03-29,[  33.99958 -117.41601],{'Residential': 1.0}
6,65,8001,12115,5,33.99958,-117.41601,WGS84,Chromium VI (TSP) STP,24 HOUR,,Observed Values,LO-VOL-XONTECH 920 or 924 - ION CHROMATOGRAPH UV VISIBLE,2016,Micrograms/cubic meter (25 C),No Events,6,19,N,6,31,0,0,,,Certification not required,0,0.0,0.0,0.0,2016-02-18 00:00,0.0,2016-03-13 00:00,0.0,2016-05-18 00:00,0.0,2016-07-17 00:00,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rubidoux,"5888 MISSION BLVD., RUBIDOUX",California,Riverside,Rubidoux,"Riverside-San Bernardino-Ontario, CA",2017-03-29,[  33.99958 -117.41601],{'Residential': 1.0}
6,65,8001,12126,7,33.99958,-117.41601,WGS84,Iron (TSP) STP,24 HOUR,,Observed Values,"Lo-Vol-Xontech 920 or 924, Teflon - ICP/Mass Spectrometer",2016,Micrograms/cubic meter (25 C),No Events,28,46,N,28,61,0,6,,,Certification not required,0,2.042714,1.10483,5.38,2016-07-23 00:00,4.01,2016-08-16 00:00,3.45,2016-04-06 00:00,3.35,2016-03-01 00:00,,,,,5.38,5.38,4.01,3.45,2.75,1.93,0.612,Rubidoux,"5888 MISSION BLVD., RUBIDOUX",California,Riverside,Rubidoux,"Riverside-San Bernardino-Ontario, CA",2017-04-07,[  33.99958 -117.41601],{'Residential': 1.0}
