State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
6,71,5,81102,1,34.2431,-117.27235,WGS84,PM10 Total 0-10um STP,24 HOUR,PM10 24-hour 2006,Daily Mean,HI-VOL SA/GMW-1200 - GRAVIMETRIC,2016,Micrograms/cubic meter (25 C),No Events,61,100,Y,61,61,0,1,0.0,0.0,Certified,0,17.032787,10.305285,46.0,2016-08-28 00:00,39.0,2016-08-04 00:00,37.0,2016-06-23 00:00,37.0,2016-07-05 00:00,,,,,46.0,39.0,37.0,30.0,22.0,17.0,4.0,Crestline,"LAKE GREGORY-LAKE DR, CRESTLINE",California,San Bernardino,Crestline,"Riverside-San Bernardino-Ontario, CA",2017-03-29,[  34.2431  -117.27235],"{'Commercial and Services': 0.14, 'Residential': 0.6666666666666666, 'Reservoirs': 0.19333333333333333}"
6,71,27,68101,1,34.030833,-117.61722,WGS84,Sample Flow Rate- CV,24 HOUR,,Observed Values,INSTRUMENTAL - Calculation,2016,Percent,No Events,348,95,Y,348,366,0,18,,,Certification not required,0,0.111207,0.04382,0.3,2016-05-17 00:00,0.3,2016-06-13 00:00,0.3,2016-12-02 00:00,0.3,2016-12-28 00:00,,,,,0.3,0.2,0.2,0.2,0.1,0.1,0.1,Ontario-Route 60 Near Road,2330 S. Castle Harbour,California,San Bernardino,Ontario,"Riverside-San Bernardino-Ontario, CA",2017-03-22,[  34.030833 -117.61722 ],"{'Transportation, communications and services': 0.08264462809917356, 'Industrial': 0.01652892561983471, 'Cropland and pasture': 0.6694214876033058, 'Orchards, groves, vineyards, nurseries..': 0.04132231404958678, 'Confined feeding operations': 0.19008264462809918}"
6,71,27,68102,1,34.030833,-117.61722,WGS84,Sample Volume,24 HOUR,,Observed Values,INSTRUMENTAL - CALCULATION,2016,Cubic meter,No Events,348,95,Y,348,366,0,18,,,Certification not required,0,24.083908,0.098254,24.1,2016-01-01 00:00,24.1,2016-01-02 00:00,24.1,2016-01-03 00:00,24.1,2016-01-04 00:00,,,,,24.1,24.1,24.1,24.1,24.1,24.1,24.1,Ontario-Route 60 Near Road,2330 S. Castle Harbour,California,San Bernardino,Ontario,"Riverside-San Bernardino-Ontario, CA",2017-03-22,[  34.030833 -117.61722 ],"{'Transportation, communications and services': 0.08264462809917356, 'Industrial': 0.01652892561983471, 'Cropland and pasture': 0.6694214876033058, 'Orchards, groves, vineyards, nurseries..': 0.04132231404958678, 'Confined feeding operations': 0.19008264462809918}"
6,71,27,68103,1,34.030833,-117.61722,WGS84,Ambient Min Temperature,24 HOUR,,Observed Values,INSTRUMENTAL - ELECTRONIC,2016,Degrees Centigrade,No Events,348,95,Y,348,366,0,18,,,Certification not required,0,13.279023,4.868518,24.4,2016-06-20 00:00,23.4,2016-07-27 00:00,23.3,2016-07-23 00:00,23.2,2016-07-29 00:00,,,,,23.2,22.4,21.1,19.3,17.1,13.5,6.7,Ontario-Route 60 Near Road,2330 S. Castle Harbour,California,San Bernardino,Ontario,"Riverside-San Bernardino-Ontario, CA",2017-03-22,[  34.030833 -117.61722 ],"{'Transportation, communications and services': 0.08264462809917356, 'Industrial': 0.01652892561983471, 'Cropland and pasture': 0.6694214876033058, 'Orchards, groves, vineyards, nurseries..': 0.04132231404958678, 'Confined feeding operations': 0.19008264462809918}"
6,71,27,68104,1,34.030833,-117.61722,WGS84,Ambient Max Temperature,24 HOUR,,Observed Values,INSTRUMENTAL - ELECTRONIC,2016,Degrees Centigrade,No Events,348,95,Y,348,366,0,18,,,Certification not required,0,28.348851,6.935784,45.5,2016-06-20 00:00,44.8,2016-06-19 00:00,43.6,2016-07-23 00:00,42.4,2016-08-15 00:00,,,,,42.4,40.5,38.7,36.9,33.9,28.5,19.0,Ontario-Route 60 Near Road,2330 S. Castle Harbour,California,San Bernardino,Ontario,"Riverside-San Bernardino-Ontario, CA",2017-03-22,[  34.030833 -117.61722 ],"{'Transportation, communications and services': 0.08264462809917356, 'Industrial': 0.01652892561983471, 'Cropland and pasture': 0.6694214876033058, 'Orchards, groves, vineyards, nurseries..': 0.04132231404958678, 'Confined feeding operations': 0.19008264462809918}"
6,71,27,68105,1,34.030833,-117.61722,WGS84,Average Ambient Temperature,24 HOUR,,Observed Values,INSTRUMENTAL - ELECTRONIC,2016,Degrees Centigrade,No Events,348,95,Y,348,366,0,18,,,Certification not required,0,19.869253,5.407344,34.5,2016-06-20 00:00,32.8,2016-06-19 00:00,31.1,2016-08-15 00:00,30.9,2016-07-23 00:00,,,,,30.9,30.0,28.6,27.1,24.1,19.7,12.7,Ontario-Route 60 Near Road,2330 S. Castle Harbour,California,San Bernardino,Ontario,"Riverside-San Bernardino-Ontario, CA",2017-03-22,[  34.030833 -117.61722 ],"{'Transportation, communications and services': 0.08264462809917356, 'Industrial': 0.01652892561983471, 'Cropland and pasture': 0.6694214876033058, 'Orchards, groves, vineyards, nurseries..': 0.04132231404958678, 'Confined feeding operations': 0.19008264462809918}"
6,71,27,68106,1,34.030833,-117.61722,WGS84,Sample Min Baro Pressure,24 HOUR,,Observed Values,INSTRUMENTAL - BAROMETRIC SENSOR,2016,Millimeters (mercury),No Events,348,95,Y,348,366,0,18,,,Certification not required,0,735.367816,2.466443,742.0,2016-02-05 00:00,742.0,2016-12-19 00:00,741.0,2016-01-27 00:00,741.0,2016-02-03 00:00,,,,,741.0,741.0,739.0,739.0,737.0,735.0,732.0,Ontario-Route 60 Near Road,2330 S. Castle Harbour,California,San Bernardino,Ontario,"Riverside-San Bernardino-Ontario, CA",2017-03-22,[  34.030833 -117.61722 ],"{'Transportation, communications and services': 0.08264462809917356, 'Industrial': 0.01652892561983471, 'Cropland and pasture': 0.6694214876033058, 'Orchards, groves, vineyards, nurseries..': 0.04132231404958678, 'Confined feeding operations': 0.19008264462809918}"
6,71,27,68107,1,34.030833,-117.61722,WGS84,Sample Max Baro Pressure,24 HOUR,,Observed Values,INSTRUMENTAL - BAROMETRIC SENSOR,2016,Millimeters (mercury),No Events,348,95,Y,348,366,0,18,,,Certification not required,0,739.100575,2.312402,746.0,2016-02-03 00:00,745.0,2016-02-04 00:00,745.0,2016-02-05 00:00,745.0,2016-12-08 00:00,,,,,745.0,745.0,743.0,742.0,741.0,739.0,736.0,Ontario-Route 60 Near Road,2330 S. Castle Harbour,California,San Bernardino,Ontario,"Riverside-San Bernardino-Ontario, CA",2017-03-22,[  34.030833 -117.61722 ],"{'Transportation, communications and services': 0.08264462809917356, 'Industrial': 0.01652892561983471, 'Cropland and pasture': 0.6694214876033058, 'Orchards, groves, vineyards, nurseries..': 0.04132231404958678, 'Confined feeding operations': 0.19008264462809918}"
6,71,27,68108,1,34.030833,-117.61722,WGS84,Average Ambient Pressure,24 HOUR,,Observed Values,INSTRUMENTAL - BAROMETRIC SENSOR,2016,Millimeters (mercury),No Events,348,95,Y,348,366,0,18,,,Certification not required,0,737.117816,2.310339,743.0,2016-02-03 00:00,743.0,2016-02-04 00:00,743.0,2016-02-05 00:00,743.0,2016-12-08 00:00,,,,,743.0,742.0,741.0,740.0,739.0,737.0,734.0,Ontario-Route 60 Near Road,2330 S. Castle Harbour,California,San Bernardino,Ontario,"Riverside-San Bernardino-Ontario, CA",2017-03-22,[  34.030833 -117.61722 ],"{'Transportation, communications and services': 0.08264462809917356, 'Industrial': 0.01652892561983471, 'Cropland and pasture': 0.6694214876033058, 'Orchards, groves, vineyards, nurseries..': 0.04132231404958678, 'Confined feeding operations': 0.19008264462809918}"
6,71,27,68109,1,34.030833,-117.61722,WGS84,Elapsed Sample Time,24 HOUR,,Observed Values,INSTRUMENTAL - CALCULATION,2016,Minutes,No Events,348,95,Y,348,366,0,18,,,Certification not required,0,1438.117816,5.549923,1440.0,2016-07-23 00:00,1440.0,2016-10-08 00:00,1439.0,2016-01-01 00:00,1439.0,2016-01-02 00:00,,,,,1439.0,1439.0,1439.0,1439.0,1439.0,1439.0,1439.0,Ontario-Route 60 Near Road,2330 S. Castle Harbour,California,San Bernardino,Ontario,"Riverside-San Bernardino-Ontario, CA",2017-03-22,[  34.030833 -117.61722 ],"{'Transportation, communications and services': 0.08264462809917356, 'Industrial': 0.01652892561983471, 'Cropland and pasture': 0.6694214876033058, 'Orchards, groves, vineyards, nurseries..': 0.04132231404958678, 'Confined feeding operations': 0.19008264462809918}"
