State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
6,1,9,43207,3,37.743065,-122.169935,WGS84,Freon 113,24 HOUR,,Observed Values,SS 6L Pressurized Canister - Cryogenic Precon GC/MS,2016,Parts per billion Carbon,No Events,30,97,Y,30,31,0,0,,,Certification not required,0,0.144467,0.006318,0.154,2016-02-18 00:00,0.154,2016-03-13 00:00,0.154,2016-05-12 00:00,0.152,2016-06-29 00:00,,,,,0.154,0.154,0.154,0.154,0.148,0.146,0.138,Oakland,9925 International Blvd,California,Alameda,Oakland,"San Francisco-Oakland-Hayward, CA",2017-02-28,[  37.743065 -122.169935],"{'Commercial and Services': 0.009615384615384616, 'Residential': 0.9615384615384616, 'Industrial': 0.028846153846153848}"
6,1,9,43218,3,37.743065,-122.169935,WGS84,"1,3-Butadiene",24 HOUR,,Observed Values,SS 6L Pressurized Canister - Cryogenic Precon GC/MS,2016,Parts per billion Carbon,No Events,30,97,Y,30,31,0,0,,,Certification not required,0,0.0404,0.099557,0.36,2016-02-06 00:00,0.344,2016-01-25 00:00,0.208,2016-03-01 00:00,0.16,2016-04-18 00:00,,,,,0.36,0.36,0.344,0.208,0.0,0.0,0.0,Oakland,9925 International Blvd,California,Alameda,Oakland,"San Francisco-Oakland-Hayward, CA",2017-02-28,[  37.743065 -122.169935],"{'Commercial and Services': 0.009615384615384616, 'Residential': 0.9615384615384616, 'Industrial': 0.028846153846153848}"
6,1,9,43302,3,37.743065,-122.169935,WGS84,Ethyl alcohol,24 HOUR,,Observed Values,SS 6L Pressurized Canister - Cryogenic Precon GC/MS,2016,Parts per billion Carbon,No Events,30,97,Y,30,31,0,0,,,Certification not required,0,9.244067,3.436239,18.806,2016-04-30 00:00,16.236,2016-11-08 00:00,15.986,2016-04-18 00:00,12.044,2016-04-06 00:00,,,,,18.806,18.806,16.236,15.986,10.626,9.14,5.242,Oakland,9925 International Blvd,California,Alameda,Oakland,"San Francisco-Oakland-Hayward, CA",2017-02-28,[  37.743065 -122.169935],"{'Commercial and Services': 0.009615384615384616, 'Residential': 0.9615384615384616, 'Industrial': 0.028846153846153848}"
6,1,9,43551,3,37.743065,-122.169935,WGS84,Acetone,24 HOUR,,Observed Values,SS 6L Pressurized Canister - Cryogenic Precon GC/MS,2016,Parts per billion Carbon,No Events,30,97,Y,30,31,0,0,,,Certification not required,0,11.3768,3.987456,22.782,2016-11-08 00:00,16.995,2016-05-12 00:00,16.47,2016-06-29 00:00,15.999,2016-06-17 00:00,,,,,22.782,22.782,16.995,16.47,14.049,10.971,6.936,Oakland,9925 International Blvd,California,Alameda,Oakland,"San Francisco-Oakland-Hayward, CA",2017-02-28,[  37.743065 -122.169935],"{'Commercial and Services': 0.009615384615384616, 'Residential': 0.9615384615384616, 'Industrial': 0.028846153846153848}"
6,1,9,43552,3,37.743065,-122.169935,WGS84,Methyl ethyl ketone,24 HOUR,,Observed Values,SS 6L Pressurized Canister - Cryogenic Precon GC/MS,2016,Parts per billion Carbon,No Events,30,97,Y,30,31,0,0,,,Certification not required,0,0.936533,0.300581,1.656,2016-11-20 00:00,1.572,2016-06-05 00:00,1.4,2016-06-17 00:00,1.304,2016-04-18 00:00,,,,,1.656,1.656,1.572,1.4,1.084,0.888,0.568,Oakland,9925 International Blvd,California,Alameda,Oakland,"San Francisco-Oakland-Hayward, CA",2017-02-28,[  37.743065 -122.169935],"{'Commercial and Services': 0.009615384615384616, 'Residential': 0.9615384615384616, 'Industrial': 0.028846153846153848}"
6,1,9,43702,3,37.743065,-122.169935,WGS84,Acetonitrile,24 HOUR,,Observed Values,SS 6L Pressurized Canister - Cryogenic Precon GC/MS,2016,Parts per billion Carbon,No Events,30,97,Y,30,31,0,0,,,Certification not required,0,0.0,0.0,0.0,2016-01-01 00:00,0.0,2016-01-13 00:00,0.0,2016-01-25 00:00,0.0,2016-02-06 00:00,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Oakland,9925 International Blvd,California,Alameda,Oakland,"San Francisco-Oakland-Hayward, CA",2017-02-28,[  37.743065 -122.169935],"{'Commercial and Services': 0.009615384615384616, 'Residential': 0.9615384615384616, 'Industrial': 0.028846153846153848}"
6,1,9,43704,3,37.743065,-122.169935,WGS84,Acrylonitrile,24 HOUR,,Observed Values,SS 6L Pressurized Canister - Cryogenic Precon GC/MS,2016,Parts per billion Carbon,No Events,30,97,Y,30,31,0,0,,,Certification not required,0,0.0,0.0,0.0,2016-01-01 00:00,0.0,2016-01-13 00:00,0.0,2016-01-25 00:00,0.0,2016-02-06 00:00,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Oakland,9925 International Blvd,California,Alameda,Oakland,"San Francisco-Oakland-Hayward, CA",2017-02-28,[  37.743065 -122.169935],"{'Commercial and Services': 0.009615384615384616, 'Residential': 0.9615384615384616, 'Industrial': 0.028846153846153848}"
6,1,9,43802,3,37.743065,-122.169935,WGS84,Dichloromethane,24 HOUR,,Observed Values,SS 6L Pressurized Canister - Cryogenic Precon GC/MS,2016,Parts per billion Carbon,No Events,30,97,Y,30,31,0,0,,,Certification not required,0,0.113933,0.026417,0.17,2016-04-18 00:00,0.169,2016-12-14 00:00,0.156,2016-11-08 00:00,0.142,2016-03-25 00:00,,,,,0.17,0.17,0.169,0.156,0.13,0.118,0.083,Oakland,9925 International Blvd,California,Alameda,Oakland,"San Francisco-Oakland-Hayward, CA",2017-02-28,[  37.743065 -122.169935],"{'Commercial and Services': 0.009615384615384616, 'Residential': 0.9615384615384616, 'Industrial': 0.028846153846153848}"
6,1,9,43803,3,37.743065,-122.169935,WGS84,Chloroform,24 HOUR,,Observed Values,SS 6L Pressurized Canister - Cryogenic Precon GC/MS,2016,Parts per billion Carbon,No Events,30,97,Y,30,31,0,0,,,Certification not required,0,0.030733,0.008963,0.049,2016-04-18 00:00,0.046,2016-04-30 00:00,0.045,2016-11-08 00:00,0.039,2016-11-20 00:00,,,,,0.049,0.049,0.046,0.045,0.034,0.032,0.025,Oakland,9925 International Blvd,California,Alameda,Oakland,"San Francisco-Oakland-Hayward, CA",2017-02-28,[  37.743065 -122.169935],"{'Commercial and Services': 0.009615384615384616, 'Residential': 0.9615384615384616, 'Industrial': 0.028846153846153848}"
6,1,9,43804,3,37.743065,-122.169935,WGS84,Carbon tetrachloride,24 HOUR,,Observed Values,SS 6L Pressurized Canister - Cryogenic Precon GC/MS,2016,Parts per billion Carbon,No Events,30,97,Y,30,31,0,0,,,Certification not required,0,0.112733,0.005854,0.125,2016-06-17 00:00,0.122,2016-09-09 00:00,0.121,2016-08-28 00:00,0.12,2016-03-25 00:00,,,,,0.125,0.125,0.122,0.121,0.117,0.113,0.108,Oakland,9925 International Blvd,California,Alameda,Oakland,"San Francisco-Oakland-Hayward, CA",2017-02-28,[  37.743065 -122.169935],"{'Commercial and Services': 0.009615384615384616, 'Residential': 0.9615384615384616, 'Industrial': 0.028846153846153848}"
6,1,9,43811,3,37.743065,-122.169935,WGS84,Trichlorofluoromethane,24 HOUR,,Observed Values,SS 6L Pressurized Canister - Cryogenic Precon GC/MS,2016,Parts per billion Carbon,No Events,30,97,Y,30,31,0,0,,,Certification not required,0,0.251167,0.031319,0.349,2016-01-01 00:00,0.299,2016-01-13 00:00,0.296,2016-05-24 00:00,0.275,2016-08-16 00:00,,,,,0.349,0.349,0.299,0.296,0.265,0.255,0.219,Oakland,9925 International Blvd,California,Alameda,Oakland,"San Francisco-Oakland-Hayward, CA",2017-02-28,[  37.743065 -122.169935],"{'Commercial and Services': 0.009615384615384616, 'Residential': 0.9615384615384616, 'Industrial': 0.028846153846153848}"
