State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
6,77,1002,12102,7,37.950741,-121.268523,WGS84,Antimony (TSP) STP,24 HOUR,,Observed Values,"Lo-Vol-Xontech 920 or 924, Teflon - ICP/Mass Spectrometer",2016,Micrograms/cubic meter (25 C),No Events,32,52,N,32,61,0,4,,,Certification not required,0,0.00375,0.004318,0.018,2016-02-06 00:00,0.016,2016-12-14 00:00,0.011,2016-01-01 00:00,0.008,2016-11-08 00:00,,,,,0.018,0.018,0.016,0.008,0.005,0.002,0.001,Stockton-Hazelton,"HAZELTON-HD, STOCKTON",California,San Joaquin,Stockton,"Stockton-Lodi, CA",2017-04-07,[  37.950741 -121.268523],"{'Commercial and Services': 0.12, 'Residential': 0.65, 'Other urban or built-up land': 0.15, 'Mixed urban or built-up land': 0.08}"
6,77,1002,12102,8,37.950741,-121.268523,WGS84,Antimony (TSP) STP,24 HOUR,,Observed Values,"Lo-Vol-Xontech 920 or 924, Teflon - ICP/Mass Spectrometer",2016,Micrograms/cubic meter (25 C),No Events,30,49,N,30,61,0,6,,,Certification not required,0,0.0041,0.005047,0.022,2016-02-06 00:00,0.017,2016-12-14 00:00,0.011,2016-01-01 00:00,0.009,2016-01-25 00:00,,,,,0.022,0.022,0.017,0.011,0.005,0.002,0.001,Stockton-Hazelton,"HAZELTON-HD, STOCKTON",California,San Joaquin,Stockton,"Stockton-Lodi, CA",2017-04-07,[  37.950741 -121.268523],"{'Commercial and Services': 0.12, 'Residential': 0.65, 'Other urban or built-up land': 0.15, 'Mixed urban or built-up land': 0.08}"
6,77,1002,12103,7,37.950741,-121.268523,WGS84,Arsenic (TSP) STP,24 HOUR,,Observed Values,"Lo-Vol-Xontech 920 or 924, Teflon - ICP/Mass Spectrometer",2016,Micrograms/cubic meter (25 C),No Events,32,52,N,32,61,0,4,,,Certification not required,0,0.001031,0.000177,0.002,2016-01-01 00:00,0.001,2016-01-19 00:00,0.001,2016-01-25 00:00,0.001,2016-02-06 00:00,,,,,0.002,0.002,0.001,0.001,0.001,0.001,0.001,Stockton-Hazelton,"HAZELTON-HD, STOCKTON",California,San Joaquin,Stockton,"Stockton-Lodi, CA",2017-04-07,[  37.950741 -121.268523],"{'Commercial and Services': 0.12, 'Residential': 0.65, 'Other urban or built-up land': 0.15, 'Mixed urban or built-up land': 0.08}"
6,77,1002,12103,8,37.950741,-121.268523,WGS84,Arsenic (TSP) STP,24 HOUR,,Observed Values,"Lo-Vol-Xontech 920 or 924, Teflon - ICP/Mass Spectrometer",2016,Micrograms/cubic meter (25 C),No Events,30,49,N,30,61,0,6,,,Certification not required,0,0.001067,0.000254,0.002,2016-01-01 00:00,0.002,2016-04-06 00:00,0.001,2016-01-19 00:00,0.001,2016-01-25 00:00,,,,,0.002,0.002,0.002,0.001,0.001,0.001,0.001,Stockton-Hazelton,"HAZELTON-HD, STOCKTON",California,San Joaquin,Stockton,"Stockton-Lodi, CA",2017-04-07,[  37.950741 -121.268523],"{'Commercial and Services': 0.12, 'Residential': 0.65, 'Other urban or built-up land': 0.15, 'Mixed urban or built-up land': 0.08}"
6,77,1002,12105,7,37.950741,-121.268523,WGS84,Beryllium (TSP) STP,24 HOUR,,Observed Values,"Lo-Vol-Xontech 920 or 924, Teflon - ICP/Mass Spectrometer",2016,Nanograms/cubic meter (25 C),No Events,32,52,N,32,61,0,4,,,Certification not required,0,0.152,0.0,0.152,2016-01-01 00:00,0.152,2016-01-19 00:00,0.152,2016-01-25 00:00,0.152,2016-02-06 00:00,,,,,0.152,0.152,0.152,0.152,0.152,0.152,0.152,Stockton-Hazelton,"HAZELTON-HD, STOCKTON",California,San Joaquin,Stockton,"Stockton-Lodi, CA",2017-04-07,[  37.950741 -121.268523],"{'Commercial and Services': 0.12, 'Residential': 0.65, 'Other urban or built-up land': 0.15, 'Mixed urban or built-up land': 0.08}"
6,77,1002,12105,8,37.950741,-121.268523,WGS84,Beryllium (TSP) STP,24 HOUR,,Observed Values,"Lo-Vol-Xontech 920 or 924, Teflon - ICP/Mass Spectrometer",2016,Nanograms/cubic meter (25 C),No Events,30,49,N,30,61,0,6,,,Certification not required,0,0.152,0.0,0.152,2016-01-01 00:00,0.152,2016-01-19 00:00,0.152,2016-01-25 00:00,0.152,2016-02-06 00:00,,,,,0.152,0.152,0.152,0.152,0.152,0.152,0.152,Stockton-Hazelton,"HAZELTON-HD, STOCKTON",California,San Joaquin,Stockton,"Stockton-Lodi, CA",2017-04-07,[  37.950741 -121.268523],"{'Commercial and Services': 0.12, 'Residential': 0.65, 'Other urban or built-up land': 0.15, 'Mixed urban or built-up land': 0.08}"
6,77,1002,12110,7,37.950741,-121.268523,WGS84,Cadmium (TSP) STP,24 HOUR,,Observed Values,"Lo-Vol-Xontech 920 or 924, Teflon - ICP/Mass Spectrometer",2016,Micrograms/cubic meter (25 C),No Events,32,52,N,32,61,0,4,,,Certification not required,0,0.001,0.0,0.001,2016-01-01 00:00,0.001,2016-01-19 00:00,0.001,2016-01-25 00:00,0.001,2016-02-06 00:00,,,,,0.001,0.001,0.001,0.001,0.001,0.001,0.001,Stockton-Hazelton,"HAZELTON-HD, STOCKTON",California,San Joaquin,Stockton,"Stockton-Lodi, CA",2017-04-07,[  37.950741 -121.268523],"{'Commercial and Services': 0.12, 'Residential': 0.65, 'Other urban or built-up land': 0.15, 'Mixed urban or built-up land': 0.08}"
6,77,1002,12110,8,37.950741,-121.268523,WGS84,Cadmium (TSP) STP,24 HOUR,,Observed Values,"Lo-Vol-Xontech 920 or 924, Teflon - ICP/Mass Spectrometer",2016,Micrograms/cubic meter (25 C),No Events,30,49,N,30,61,0,6,,,Certification not required,0,0.001,0.0,0.001,2016-01-01 00:00,0.001,2016-01-19 00:00,0.001,2016-01-25 00:00,0.001,2016-02-06 00:00,,,,,0.001,0.001,0.001,0.001,0.001,0.001,0.001,Stockton-Hazelton,"HAZELTON-HD, STOCKTON",California,San Joaquin,Stockton,"Stockton-Lodi, CA",2017-04-07,[  37.950741 -121.268523],"{'Commercial and Services': 0.12, 'Residential': 0.65, 'Other urban or built-up land': 0.15, 'Mixed urban or built-up land': 0.08}"
6,77,1002,12112,7,37.950741,-121.268523,WGS84,Chromium (TSP) STP,24 HOUR,,Observed Values,"Lo-Vol-Xontech 920 or 924, Teflon - ICP/Mass Spectrometer",2016,Micrograms/cubic meter (25 C),No Events,32,52,N,32,61,0,4,,,Certification not required,0,0.004406,0.001643,0.012,2016-09-21 00:00,0.009,2016-11-08 00:00,0.004,2016-01-01 00:00,0.004,2016-01-19 00:00,,,,,0.012,0.012,0.009,0.004,0.004,0.004,0.004,Stockton-Hazelton,"HAZELTON-HD, STOCKTON",California,San Joaquin,Stockton,"Stockton-Lodi, CA",2017-04-07,[  37.950741 -121.268523],"{'Commercial and Services': 0.12, 'Residential': 0.65, 'Other urban or built-up land': 0.15, 'Mixed urban or built-up land': 0.08}"
6,77,1002,12112,8,37.950741,-121.268523,WGS84,Chromium (TSP) STP,24 HOUR,,Observed Values,"Lo-Vol-Xontech 920 or 924, Teflon - ICP/Mass Spectrometer",2016,Micrograms/cubic meter (25 C),No Events,30,49,N,30,61,0,6,,,Certification not required,0,0.0044,0.001522,0.01,2016-04-06 00:00,0.01,2016-09-21 00:00,0.004,2016-01-01 00:00,0.004,2016-01-19 00:00,,,,,0.01,0.01,0.01,0.004,0.004,0.004,0.004,Stockton-Hazelton,"HAZELTON-HD, STOCKTON",California,San Joaquin,Stockton,"Stockton-Lodi, CA",2017-04-07,[  37.950741 -121.268523],"{'Commercial and Services': 0.12, 'Residential': 0.65, 'Other urban or built-up land': 0.15, 'Mixed urban or built-up land': 0.08}"
