State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
6,81,1001,43207,3,37.482934,-122.20337,WGS84,Freon 113,24 HOUR,,Observed Values,SS 6L Pressurized Canister - Cryogenic Precon GC/MS,2016,Parts per billion Carbon,No Events,30,97,Y,30,31,0,0,,,Certification not required,0,0.137267,0.012199,0.19,2016-01-01 00:00,0.152,2016-01-25 00:00,0.148,2016-03-25 00:00,0.144,2016-05-12 00:00,,,,,0.19,0.19,0.152,0.148,0.138,0.136,0.128,Redwood City,897 BARRON AVE.,California,San Mateo,Redwood City,"San Francisco-Oakland-Hayward, CA",2017-02-28,[  37.482934 -122.20337 ],"{'Commercial and Services': 0.5196078431372549, 'Residential': 0.4803921568627451}"
6,81,1001,43218,3,37.482934,-122.20337,WGS84,"1,3-Butadiene",24 HOUR,,Observed Values,SS 6L Pressurized Canister - Cryogenic Precon GC/MS,2016,Parts per billion Carbon,No Events,30,97,Y,30,31,0,0,,,Certification not required,0,0.074933,0.133005,0.396,2016-02-06 00:00,0.34,2016-01-01 00:00,0.324,2016-03-01 00:00,0.308,2016-01-25 00:00,,,,,0.396,0.396,0.34,0.324,0.132,0.0,0.0,Redwood City,897 BARRON AVE.,California,San Mateo,Redwood City,"San Francisco-Oakland-Hayward, CA",2017-02-28,[  37.482934 -122.20337 ],"{'Commercial and Services': 0.5196078431372549, 'Residential': 0.4803921568627451}"
6,81,1001,43302,3,37.482934,-122.20337,WGS84,Ethyl alcohol,24 HOUR,,Observed Values,SS 6L Pressurized Canister - Cryogenic Precon GC/MS,2016,Parts per billion Carbon,No Events,30,97,Y,30,31,0,0,,,Certification not required,0,12.035533,10.286408,61.766,2016-01-13 00:00,20.886,2016-04-06 00:00,18.762,2016-04-18 00:00,18.166,2016-02-06 00:00,,,,,61.766,61.766,20.886,18.762,12.608,10.15,5.554,Redwood City,897 BARRON AVE.,California,San Mateo,Redwood City,"San Francisco-Oakland-Hayward, CA",2017-02-28,[  37.482934 -122.20337 ],"{'Commercial and Services': 0.5196078431372549, 'Residential': 0.4803921568627451}"
6,81,1001,43551,3,37.482934,-122.20337,WGS84,Acetone,24 HOUR,,Observed Values,SS 6L Pressurized Canister - Cryogenic Precon GC/MS,2016,Parts per billion Carbon,No Events,30,97,Y,30,31,0,0,,,Certification not required,0,15.5082,6.269316,32.148,2016-04-18 00:00,28.98,2016-11-08 00:00,25.206,2016-06-05 00:00,22.461,2016-04-06 00:00,,,,,32.148,32.148,28.98,25.206,18.054,15.381,8.526,Redwood City,897 BARRON AVE.,California,San Mateo,Redwood City,"San Francisco-Oakland-Hayward, CA",2017-02-28,[  37.482934 -122.20337 ],"{'Commercial and Services': 0.5196078431372549, 'Residential': 0.4803921568627451}"
6,81,1001,43552,3,37.482934,-122.20337,WGS84,Methyl ethyl ketone,24 HOUR,,Observed Values,SS 6L Pressurized Canister - Cryogenic Precon GC/MS,2016,Parts per billion Carbon,No Events,30,97,Y,30,31,0,0,,,Certification not required,0,1.353333,0.732163,4.008,2016-04-18 00:00,2.672,2016-06-05 00:00,2.132,2016-10-27 00:00,2.116,2016-05-24 00:00,,,,,4.008,4.008,2.672,2.132,1.74,1.136,0.704,Redwood City,897 BARRON AVE.,California,San Mateo,Redwood City,"San Francisco-Oakland-Hayward, CA",2017-02-28,[  37.482934 -122.20337 ],"{'Commercial and Services': 0.5196078431372549, 'Residential': 0.4803921568627451}"
6,81,1001,43702,3,37.482934,-122.20337,WGS84,Acetonitrile,24 HOUR,,Observed Values,SS 6L Pressurized Canister - Cryogenic Precon GC/MS,2016,Parts per billion Carbon,No Events,30,97,Y,30,31,0,0,,,Certification not required,0,0.815333,4.465765,24.46,2016-12-26 00:00,0.0,2016-01-01 00:00,0.0,2016-01-13 00:00,0.0,2016-01-25 00:00,,,,,24.46,24.46,0.0,0.0,0.0,0.0,0.0,Redwood City,897 BARRON AVE.,California,San Mateo,Redwood City,"San Francisco-Oakland-Hayward, CA",2017-02-28,[  37.482934 -122.20337 ],"{'Commercial and Services': 0.5196078431372549, 'Residential': 0.4803921568627451}"
6,81,1001,43704,3,37.482934,-122.20337,WGS84,Acrylonitrile,24 HOUR,,Observed Values,SS 6L Pressurized Canister - Cryogenic Precon GC/MS,2016,Parts per billion Carbon,No Events,30,97,Y,30,31,0,0,,,Certification not required,0,0.0,0.0,0.0,2016-01-01 00:00,0.0,2016-01-13 00:00,0.0,2016-01-25 00:00,0.0,2016-02-06 00:00,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Redwood City,897 BARRON AVE.,California,San Mateo,Redwood City,"San Francisco-Oakland-Hayward, CA",2017-02-28,[  37.482934 -122.20337 ],"{'Commercial and Services': 0.5196078431372549, 'Residential': 0.4803921568627451}"
6,81,1001,43802,3,37.482934,-122.20337,WGS84,Dichloromethane,24 HOUR,,Observed Values,SS 6L Pressurized Canister - Cryogenic Precon GC/MS,2016,Parts per billion Carbon,No Events,30,97,Y,30,31,0,0,,,Certification not required,0,0.136533,0.066871,0.346,2016-11-08 00:00,0.297,2016-02-06 00:00,0.226,2016-10-03 00:00,0.208,2016-04-06 00:00,,,,,0.346,0.346,0.297,0.226,0.154,0.119,0.091,Redwood City,897 BARRON AVE.,California,San Mateo,Redwood City,"San Francisco-Oakland-Hayward, CA",2017-02-28,[  37.482934 -122.20337 ],"{'Commercial and Services': 0.5196078431372549, 'Residential': 0.4803921568627451}"
6,81,1001,43803,3,37.482934,-122.20337,WGS84,Chloroform,24 HOUR,,Observed Values,SS 6L Pressurized Canister - Cryogenic Precon GC/MS,2016,Parts per billion Carbon,No Events,30,97,Y,30,31,0,0,,,Certification not required,0,0.035733,0.019571,0.078,2016-11-08 00:00,0.073,2016-04-06 00:00,0.064,2016-02-06 00:00,0.06,2016-04-18 00:00,,,,,0.078,0.078,0.073,0.064,0.046,0.035,0.0,Redwood City,897 BARRON AVE.,California,San Mateo,Redwood City,"San Francisco-Oakland-Hayward, CA",2017-02-28,[  37.482934 -122.20337 ],"{'Commercial and Services': 0.5196078431372549, 'Residential': 0.4803921568627451}"
6,81,1001,43804,3,37.482934,-122.20337,WGS84,Carbon tetrachloride,24 HOUR,,Observed Values,SS 6L Pressurized Canister - Cryogenic Precon GC/MS,2016,Parts per billion Carbon,No Events,30,97,Y,30,31,0,0,,,Certification not required,0,0.097933,0.006051,0.107,2016-09-09 00:00,0.106,2016-08-28 00:00,0.105,2016-06-17 00:00,0.104,2016-01-13 00:00,,,,,0.107,0.107,0.106,0.105,0.102,0.099,0.091,Redwood City,897 BARRON AVE.,California,San Mateo,Redwood City,"San Francisco-Oakland-Hayward, CA",2017-02-28,[  37.482934 -122.20337 ],"{'Commercial and Services': 0.5196078431372549, 'Residential': 0.4803921568627451}"
