State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
6,89,3003,85101,1,40.53999,-121.57646,WGS84,PM10 - LC,24 HOUR,,Observed Values,"IMPROVE Module D with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - GRAVIMETRIC",2016,Micrograms/cubic meter (LC),No Events,47,39,N,47,122,0,4,,,Certification not required,0,2.771106,2.185625,8.446,2016-04-21 00:00,7.478,2016-05-12 00:00,7.027,2016-05-03 00:00,6.544,2016-04-18 00:00,,,,,8.446,8.446,7.027,6.435,4.319,1.968,0.5,Lassen Volcanic National Park,"MANZANITA LAKE RS, LASSEN VOLCANIC NP",California,Shasta,,"Redding, CA",2017-04-25,[  40.53999 -121.57646],"{'Shrub-brushland rangeland': 0.42196531791907516, 'Evergreen forest land': 0.5780346820809249}"
6,89,3003,88103,1,40.53999,-121.57646,WGS84,Arsenic PM2.5 LC,24 HOUR,,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2016,Micrograms/cubic meter (LC),No Events,47,39,N,47,122,0,4,,,Certification not required,0,0.0,0.0,0.0,2016-01-01 00:00,0.0,2016-01-04 00:00,0.0,2016-01-07 00:00,0.0,2016-01-10 00:00,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lassen Volcanic National Park,"MANZANITA LAKE RS, LASSEN VOLCANIC NP",California,Shasta,,"Redding, CA",2017-04-25,[  40.53999 -121.57646],"{'Shrub-brushland rangeland': 0.42196531791907516, 'Evergreen forest land': 0.5780346820809249}"
6,89,3003,88104,1,40.53999,-121.57646,WGS84,Aluminum PM2.5 LC,24 HOUR,,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2016,Micrograms/cubic meter (LC),No Events,47,39,N,47,122,0,4,,,Certification not required,0,0.025489,0.028847,0.145,2016-04-18 00:00,0.083,2016-04-21 00:00,0.077,2016-03-16 00:00,0.073,2016-03-19 00:00,,,,,0.145,0.145,0.077,0.073,0.039,0.014,0.001,Lassen Volcanic National Park,"MANZANITA LAKE RS, LASSEN VOLCANIC NP",California,Shasta,,"Redding, CA",2017-04-25,[  40.53999 -121.57646],"{'Shrub-brushland rangeland': 0.42196531791907516, 'Evergreen forest land': 0.5780346820809249}"
6,89,3003,88109,1,40.53999,-121.57646,WGS84,Bromine PM2.5 LC,24 HOUR,,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2016,Micrograms/cubic meter (LC),No Events,47,39,N,47,122,0,4,,,Certification not required,0,0.000553,0.000686,0.002,2016-04-09 00:00,0.002,2016-04-18 00:00,0.002,2016-05-03 00:00,0.002,2016-05-12 00:00,,,,,0.002,0.002,0.002,0.002,0.001,0.0,0.0,Lassen Volcanic National Park,"MANZANITA LAKE RS, LASSEN VOLCANIC NP",California,Shasta,,"Redding, CA",2017-04-25,[  40.53999 -121.57646],"{'Shrub-brushland rangeland': 0.42196531791907516, 'Evergreen forest land': 0.5780346820809249}"
6,89,3003,88111,1,40.53999,-121.57646,WGS84,Calcium PM2.5 LC,24 HOUR,,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2016,Micrograms/cubic meter (LC),No Events,47,39,N,47,122,0,4,,,Certification not required,0,0.013553,0.015414,0.071,2016-04-18 00:00,0.058,2016-03-16 00:00,0.049,2016-04-21 00:00,0.038,2016-05-30 00:00,,,,,0.071,0.071,0.049,0.036,0.017,0.008,0.002,Lassen Volcanic National Park,"MANZANITA LAKE RS, LASSEN VOLCANIC NP",California,Shasta,,"Redding, CA",2017-04-25,[  40.53999 -121.57646],"{'Shrub-brushland rangeland': 0.42196531791907516, 'Evergreen forest land': 0.5780346820809249}"
6,89,3003,88112,1,40.53999,-121.57646,WGS84,Chromium PM2.5 LC,24 HOUR,,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2016,Micrograms/cubic meter (LC),No Events,47,39,N,47,122,0,4,,,Certification not required,0,0.0,0.0,0.0,2016-01-01 00:00,0.0,2016-01-04 00:00,0.0,2016-01-07 00:00,0.0,2016-01-10 00:00,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lassen Volcanic National Park,"MANZANITA LAKE RS, LASSEN VOLCANIC NP",California,Shasta,,"Redding, CA",2017-04-25,[  40.53999 -121.57646],"{'Shrub-brushland rangeland': 0.42196531791907516, 'Evergreen forest land': 0.5780346820809249}"
6,89,3003,88114,1,40.53999,-121.57646,WGS84,Copper PM2.5 LC,24 HOUR,,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2016,Micrograms/cubic meter (LC),No Events,47,39,N,47,122,0,4,,,Certification not required,0,0.0,0.0,0.0,2016-01-01 00:00,0.0,2016-01-04 00:00,0.0,2016-01-07 00:00,0.0,2016-01-10 00:00,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lassen Volcanic National Park,"MANZANITA LAKE RS, LASSEN VOLCANIC NP",California,Shasta,,"Redding, CA",2017-04-25,[  40.53999 -121.57646],"{'Shrub-brushland rangeland': 0.42196531791907516, 'Evergreen forest land': 0.5780346820809249}"
6,89,3003,88115,1,40.53999,-121.57646,WGS84,Chlorine PM2.5 LC,24 HOUR,,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2016,Micrograms/cubic meter (LC),No Events,47,39,N,47,122,0,4,,,Certification not required,0,0.004979,0.012833,0.073,2016-01-16 00:00,0.036,2016-03-22 00:00,0.03,2016-03-28 00:00,0.024,2016-01-13 00:00,,,,,0.073,0.073,0.03,0.021,0.002,0.001,0.0,Lassen Volcanic National Park,"MANZANITA LAKE RS, LASSEN VOLCANIC NP",California,Shasta,,"Redding, CA",2017-04-25,[  40.53999 -121.57646],"{'Shrub-brushland rangeland': 0.42196531791907516, 'Evergreen forest land': 0.5780346820809249}"
6,89,3003,88126,1,40.53999,-121.57646,WGS84,Iron PM2.5 LC,24 HOUR,,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2016,Micrograms/cubic meter (LC),No Events,47,39,N,47,122,0,4,,,Certification not required,0,0.016723,0.017214,0.081,2016-04-18 00:00,0.055,2016-04-21 00:00,0.045,2016-05-30 00:00,0.044,2016-03-16 00:00,,,,,0.081,0.081,0.045,0.04,0.026,0.009,0.001,Lassen Volcanic National Park,"MANZANITA LAKE RS, LASSEN VOLCANIC NP",California,Shasta,,"Redding, CA",2017-04-25,[  40.53999 -121.57646],"{'Shrub-brushland rangeland': 0.42196531791907516, 'Evergreen forest land': 0.5780346820809249}"
6,89,3003,88128,1,40.53999,-121.57646,WGS84,Lead PM2.5 LC,24 HOUR,,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2016,Micrograms/cubic meter (LC),No Events,47,39,N,47,122,0,4,,,Certification not required,0,0.000255,0.000441,0.001,2016-01-01 00:00,0.001,2016-01-04 00:00,0.001,2016-01-10 00:00,0.001,2016-03-01 00:00,,,,,0.001,0.001,0.001,0.001,0.001,0.0,0.0,Lassen Volcanic National Park,"MANZANITA LAKE RS, LASSEN VOLCANIC NP",California,Shasta,,"Redding, CA",2017-04-25,[  40.53999 -121.57646],"{'Shrub-brushland rangeland': 0.42196531791907516, 'Evergreen forest land': 0.5780346820809249}"
