State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
6,93,5,85101,2,41.711825,-121.509993,WGS84,PM10 - LC,24 HOUR,,Observed Values,"IMPROVE Module D with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - GRAVIMETRIC",2016,Micrograms/cubic meter (LC),No Events,49,80,N,26,61,0,2,,,Certification not required,0,2.768408,2.794791,11.702,2016-03-31 00:00,9.963,2016-04-21 00:00,8.895,2016-04-03 00:00,7.434,2016-04-09 00:00,,,,,11.702,11.702,8.895,7.212,3.653,1.654,0.293,Lava Beds National Monument,"P.O. BOX 867, LAVA BEDS",California,Siskiyou,Lava Beds National Monument,,2017-04-25,[  41.711825 -121.509993],"{'Shrub-brushland rangeland': 0.7, 'Evergreen forest land': 0.3}"
6,93,5,88103,1,41.711825,-121.509993,WGS84,Arsenic PM2.5 LC,24 HOUR,,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2016,Micrograms/cubic meter (LC),No Events,48,39,N,48,122,0,3,,,Certification not required,0,0.0,0.0,0.0,2016-01-01 00:00,0.0,2016-01-04 00:00,0.0,2016-01-07 00:00,0.0,2016-01-10 00:00,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lava Beds National Monument,"P.O. BOX 867, LAVA BEDS",California,Siskiyou,Lava Beds National Monument,,2017-04-25,[  41.711825 -121.509993],"{'Shrub-brushland rangeland': 0.7, 'Evergreen forest land': 0.3}"
6,93,5,88104,1,41.711825,-121.509993,WGS84,Aluminum PM2.5 LC,24 HOUR,,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2016,Micrograms/cubic meter (LC),No Events,48,39,N,48,122,0,3,,,Certification not required,0,0.024042,0.028913,0.13,2016-04-18 00:00,0.1,2016-05-30 00:00,0.099,2016-04-21 00:00,0.059,2016-05-03 00:00,,,,,0.13,0.13,0.099,0.058,0.034,0.015,0.001,Lava Beds National Monument,"P.O. BOX 867, LAVA BEDS",California,Siskiyou,Lava Beds National Monument,,2017-04-25,[  41.711825 -121.509993],"{'Shrub-brushland rangeland': 0.7, 'Evergreen forest land': 0.3}"
6,93,5,88109,1,41.711825,-121.509993,WGS84,Bromine PM2.5 LC,24 HOUR,,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2016,Micrograms/cubic meter (LC),No Events,48,39,N,48,122,0,3,,,Certification not required,0,0.000542,0.000651,0.002,2016-04-03 00:00,0.002,2016-04-21 00:00,0.002,2016-05-03 00:00,0.002,2016-05-27 00:00,,,,,0.002,0.002,0.002,0.001,0.001,0.0,0.0,Lava Beds National Monument,"P.O. BOX 867, LAVA BEDS",California,Siskiyou,Lava Beds National Monument,,2017-04-25,[  41.711825 -121.509993],"{'Shrub-brushland rangeland': 0.7, 'Evergreen forest land': 0.3}"
6,93,5,88111,1,41.711825,-121.509993,WGS84,Calcium PM2.5 LC,24 HOUR,,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2016,Micrograms/cubic meter (LC),No Events,48,39,N,48,122,0,3,,,Certification not required,0,0.013417,0.015944,0.07,2016-04-18 00:00,0.054,2016-04-21 00:00,0.053,2016-05-30 00:00,0.037,2016-03-25 00:00,,,,,0.07,0.07,0.053,0.035,0.02,0.008,0.001,Lava Beds National Monument,"P.O. BOX 867, LAVA BEDS",California,Siskiyou,Lava Beds National Monument,,2017-04-25,[  41.711825 -121.509993],"{'Shrub-brushland rangeland': 0.7, 'Evergreen forest land': 0.3}"
6,93,5,88112,1,41.711825,-121.509993,WGS84,Chromium PM2.5 LC,24 HOUR,,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2016,Micrograms/cubic meter (LC),No Events,48,39,N,48,122,0,3,,,Certification not required,0,0.0,0.0,0.0,2016-01-01 00:00,0.0,2016-01-04 00:00,0.0,2016-01-07 00:00,0.0,2016-01-10 00:00,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lava Beds National Monument,"P.O. BOX 867, LAVA BEDS",California,Siskiyou,Lava Beds National Monument,,2017-04-25,[  41.711825 -121.509993],"{'Shrub-brushland rangeland': 0.7, 'Evergreen forest land': 0.3}"
6,93,5,88114,1,41.711825,-121.509993,WGS84,Copper PM2.5 LC,24 HOUR,,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2016,Micrograms/cubic meter (LC),No Events,48,39,N,48,122,0,3,,,Certification not required,0,6.3e-05,0.000245,0.001,2016-01-04 00:00,0.001,2016-04-03 00:00,0.001,2016-04-21 00:00,0.0,2016-01-01 00:00,,,,,0.001,0.001,0.001,0.0,0.0,0.0,0.0,Lava Beds National Monument,"P.O. BOX 867, LAVA BEDS",California,Siskiyou,Lava Beds National Monument,,2017-04-25,[  41.711825 -121.509993],"{'Shrub-brushland rangeland': 0.7, 'Evergreen forest land': 0.3}"
6,93,5,88115,1,41.711825,-121.509993,WGS84,Chlorine PM2.5 LC,24 HOUR,,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2016,Micrograms/cubic meter (LC),No Events,48,39,N,48,122,0,3,,,Certification not required,0,0.005479,0.014348,0.083,2016-03-25 00:00,0.047,2016-03-28 00:00,0.03,2016-03-07 00:00,0.027,2016-05-09 00:00,,,,,0.083,0.083,0.03,0.01,0.004,0.001,0.0,Lava Beds National Monument,"P.O. BOX 867, LAVA BEDS",California,Siskiyou,Lava Beds National Monument,,2017-04-25,[  41.711825 -121.509993],"{'Shrub-brushland rangeland': 0.7, 'Evergreen forest land': 0.3}"
6,93,5,88126,1,41.711825,-121.509993,WGS84,Iron PM2.5 LC,24 HOUR,,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2016,Micrograms/cubic meter (LC),No Events,48,39,N,48,122,0,3,,,Certification not required,0,0.015813,0.018198,0.074,2016-04-18 00:00,0.067,2016-04-21 00:00,0.058,2016-05-30 00:00,0.047,2016-05-03 00:00,,,,,0.074,0.074,0.058,0.039,0.025,0.01,0.0,Lava Beds National Monument,"P.O. BOX 867, LAVA BEDS",California,Siskiyou,Lava Beds National Monument,,2017-04-25,[  41.711825 -121.509993],"{'Shrub-brushland rangeland': 0.7, 'Evergreen forest land': 0.3}"
6,93,5,88128,1,41.711825,-121.509993,WGS84,Lead PM2.5 LC,24 HOUR,,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2016,Micrograms/cubic meter (LC),No Events,48,39,N,48,122,0,3,,,Certification not required,0,0.000271,0.000494,0.001,2016-01-04 00:00,0.001,2016-01-07 00:00,0.001,2016-01-19 00:00,0.001,2016-02-15 00:00,,,,,0.001,0.001,0.001,0.001,0.001,0.0,0.0,Lava Beds National Monument,"P.O. BOX 867, LAVA BEDS",California,Siskiyou,Lava Beds National Monument,,2017-04-25,[  41.711825 -121.509993],"{'Shrub-brushland rangeland': 0.7, 'Evergreen forest land': 0.3}"
