State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
6,97,4,43207,3,38.403765,-122.818294,WGS84,Freon 113,24 HOUR,,Observed Values,SS 6L Pressurized Canister - Cryogenic Precon GC/MS,2016,Parts per billion Carbon,No Events,31,100,Y,31,31,0,0,,,Certification not required,0,0.149742,0.05167,0.406,2016-08-16 00:00,0.218,2016-04-30 00:00,0.2,2016-04-18 00:00,0.158,2016-08-04 00:00,,,,,0.406,0.406,0.218,0.158,0.142,0.138,0.124,Sebastopol,"103 Morris Street,",California,Sonoma,Sebastopol,"Santa Rosa, CA",2017-02-28,[  38.403765 -122.818294],"{'Commercial and Services': 0.23, 'Residential': 0.14, 'Industrial': 0.36, 'Cropland and pasture': 0.27}"
6,97,4,43218,3,38.403765,-122.818294,WGS84,"1,3-Butadiene",24 HOUR,,Observed Values,SS 6L Pressurized Canister - Cryogenic Precon GC/MS,2016,Parts per billion Carbon,No Events,31,100,Y,31,31,0,0,,,Certification not required,0,0.021935,0.087147,0.416,2016-01-01 00:00,0.264,2016-02-06 00:00,0.0,2016-01-13 00:00,0.0,2016-01-25 00:00,,,,,0.416,0.416,0.264,0.0,0.0,0.0,0.0,Sebastopol,"103 Morris Street,",California,Sonoma,Sebastopol,"Santa Rosa, CA",2017-02-28,[  38.403765 -122.818294],"{'Commercial and Services': 0.23, 'Residential': 0.14, 'Industrial': 0.36, 'Cropland and pasture': 0.27}"
6,97,4,43302,3,38.403765,-122.818294,WGS84,Ethyl alcohol,24 HOUR,,Observed Values,SS 6L Pressurized Canister - Cryogenic Precon GC/MS,2016,Parts per billion Carbon,No Events,31,100,Y,31,31,0,0,,,Certification not required,0,4.338258,2.985732,12.604,2016-10-03 00:00,11.824,2016-09-21 00:00,10.522,2016-04-06 00:00,7.478,2016-02-06 00:00,,,,,12.604,12.604,11.824,7.478,4.958,3.502,1.554,Sebastopol,"103 Morris Street,",California,Sonoma,Sebastopol,"Santa Rosa, CA",2017-02-28,[  38.403765 -122.818294],"{'Commercial and Services': 0.23, 'Residential': 0.14, 'Industrial': 0.36, 'Cropland and pasture': 0.27}"
6,97,4,43551,3,38.403765,-122.818294,WGS84,Acetone,24 HOUR,,Observed Values,SS 6L Pressurized Canister - Cryogenic Precon GC/MS,2016,Parts per billion Carbon,No Events,31,100,Y,31,31,0,0,,,Certification not required,0,11.960129,5.767394,29.598,2016-11-08 00:00,26.214,2016-12-02 00:00,23.727,2016-10-27 00:00,17.352,2016-04-06 00:00,,,,,29.598,29.598,26.214,17.352,14.133,10.869,7.02,Sebastopol,"103 Morris Street,",California,Sonoma,Sebastopol,"Santa Rosa, CA",2017-02-28,[  38.403765 -122.818294],"{'Commercial and Services': 0.23, 'Residential': 0.14, 'Industrial': 0.36, 'Cropland and pasture': 0.27}"
6,97,4,43552,3,38.403765,-122.818294,WGS84,Methyl ethyl ketone,24 HOUR,,Observed Values,SS 6L Pressurized Canister - Cryogenic Precon GC/MS,2016,Parts per billion Carbon,No Events,31,100,Y,31,31,0,0,,,Certification not required,0,0.944903,0.340534,2.048,2016-11-08 00:00,1.568,2016-08-16 00:00,1.284,2016-07-23 00:00,1.268,2016-11-20 00:00,,,,,2.048,2.048,1.568,1.268,1.184,0.948,0.592,Sebastopol,"103 Morris Street,",California,Sonoma,Sebastopol,"Santa Rosa, CA",2017-02-28,[  38.403765 -122.818294],"{'Commercial and Services': 0.23, 'Residential': 0.14, 'Industrial': 0.36, 'Cropland and pasture': 0.27}"
6,97,4,43702,3,38.403765,-122.818294,WGS84,Acetonitrile,24 HOUR,,Observed Values,SS 6L Pressurized Canister - Cryogenic Precon GC/MS,2016,Parts per billion Carbon,No Events,31,100,Y,31,31,0,0,,,Certification not required,0,0.202581,1.127921,6.28,2016-12-26 00:00,0.0,2016-01-01 00:00,0.0,2016-01-13 00:00,0.0,2016-01-25 00:00,,,,,6.28,6.28,0.0,0.0,0.0,0.0,0.0,Sebastopol,"103 Morris Street,",California,Sonoma,Sebastopol,"Santa Rosa, CA",2017-02-28,[  38.403765 -122.818294],"{'Commercial and Services': 0.23, 'Residential': 0.14, 'Industrial': 0.36, 'Cropland and pasture': 0.27}"
6,97,4,43704,3,38.403765,-122.818294,WGS84,Acrylonitrile,24 HOUR,,Observed Values,SS 6L Pressurized Canister - Cryogenic Precon GC/MS,2016,Parts per billion Carbon,No Events,31,100,Y,31,31,0,0,,,Certification not required,0,0.0,0.0,0.0,2016-01-01 00:00,0.0,2016-01-13 00:00,0.0,2016-01-25 00:00,0.0,2016-02-06 00:00,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sebastopol,"103 Morris Street,",California,Sonoma,Sebastopol,"Santa Rosa, CA",2017-02-28,[  38.403765 -122.818294],"{'Commercial and Services': 0.23, 'Residential': 0.14, 'Industrial': 0.36, 'Cropland and pasture': 0.27}"
6,97,4,43802,3,38.403765,-122.818294,WGS84,Dichloromethane,24 HOUR,,Observed Values,SS 6L Pressurized Canister - Cryogenic Precon GC/MS,2016,Parts per billion Carbon,No Events,31,100,Y,31,31,0,0,,,Certification not required,0,0.080581,0.014935,0.11,2016-04-18 00:00,0.108,2016-04-06 00:00,0.106,2016-03-13 00:00,0.103,2016-03-25 00:00,,,,,0.11,0.11,0.108,0.103,0.09,0.08,0.064,Sebastopol,"103 Morris Street,",California,Sonoma,Sebastopol,"Santa Rosa, CA",2017-02-28,[  38.403765 -122.818294],"{'Commercial and Services': 0.23, 'Residential': 0.14, 'Industrial': 0.36, 'Cropland and pasture': 0.27}"
6,97,4,43803,3,38.403765,-122.818294,WGS84,Chloroform,24 HOUR,,Observed Values,SS 6L Pressurized Canister - Cryogenic Precon GC/MS,2016,Parts per billion Carbon,No Events,31,100,Y,31,31,0,0,,,Certification not required,0,0.016839,0.010198,0.033,2016-11-08 00:00,0.03,2016-04-06 00:00,0.029,2016-02-06 00:00,0.028,2016-03-25 00:00,,,,,0.033,0.033,0.03,0.028,0.024,0.019,0.0,Sebastopol,"103 Morris Street,",California,Sonoma,Sebastopol,"Santa Rosa, CA",2017-02-28,[  38.403765 -122.818294],"{'Commercial and Services': 0.23, 'Residential': 0.14, 'Industrial': 0.36, 'Cropland and pasture': 0.27}"
6,97,4,43804,3,38.403765,-122.818294,WGS84,Carbon tetrachloride,24 HOUR,,Observed Values,SS 6L Pressurized Canister - Cryogenic Precon GC/MS,2016,Parts per billion Carbon,No Events,31,100,Y,31,31,0,0,,,Certification not required,0,0.094419,0.006103,0.106,2016-08-04 00:00,0.102,2016-03-25 00:00,0.102,2016-06-05 00:00,0.102,2016-08-16 00:00,,,,,0.106,0.106,0.102,0.102,0.099,0.095,0.086,Sebastopol,"103 Morris Street,",California,Sonoma,Sebastopol,"Santa Rosa, CA",2017-02-28,[  38.403765 -122.818294],"{'Commercial and Services': 0.23, 'Residential': 0.14, 'Industrial': 0.36, 'Cropland and pasture': 0.27}"
