State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
6,99,5,68101,1,37.641583,-120.994622,WGS84,Sample Flow Rate- CV,24 HOUR,,Observed Values,R & P Model 2000 PM-2.5 FEM Air Sampler - Calculation,2016,Percent,No Events,31,51,N,31,61,0,3,,,Certification not required,0,0.119355,0.107763,0.7,2016-06-29 00:00,0.1,2016-01-01 00:00,0.1,2016-01-13 00:00,0.1,2016-01-25 00:00,,,,,0.7,0.7,0.1,0.1,0.1,0.1,0.1,Modesto-14th Street,"814 14TH ST., MODESTO",California,Stanislaus,Modesto,"Modesto, CA",2017-01-27,[  37.641583 -120.994622],"{'Commercial and Services': 0.78, 'Residential': 0.19, 'Industrial': 0.03}"
6,99,5,68102,1,37.641583,-120.994622,WGS84,Sample Volume,24 HOUR,,Observed Values,R & P Model 2000 PM-2.5 FEM Air Sampler - Calculation,2016,Cubic meter,No Events,31,51,N,31,61,0,3,,,Certification not required,0,24.0,0.0,24.0,2016-01-01 00:00,24.0,2016-01-13 00:00,24.0,2016-01-25 00:00,24.0,2016-02-06 00:00,,,,,24.0,24.0,24.0,24.0,24.0,24.0,24.0,Modesto-14th Street,"814 14TH ST., MODESTO",California,Stanislaus,Modesto,"Modesto, CA",2017-01-27,[  37.641583 -120.994622],"{'Commercial and Services': 0.78, 'Residential': 0.19, 'Industrial': 0.03}"
6,99,5,68103,1,37.641583,-120.994622,WGS84,Ambient Min Temperature,24 HOUR,,Observed Values,R & P Model 2000 PM-2.5 FEM Air Sampler - Electronic,2016,Degrees Centigrade,No Events,31,51,N,31,61,0,3,,,Certification not required,0,11.358065,4.847733,19.6,2016-06-29 00:00,19.3,2016-07-23 00:00,18.4,2016-06-05 00:00,15.6,2016-08-16 00:00,,,,,19.6,19.6,19.3,15.6,14.2,12.7,4.2,Modesto-14th Street,"814 14TH ST., MODESTO",California,Stanislaus,Modesto,"Modesto, CA",2017-01-27,[  37.641583 -120.994622],"{'Commercial and Services': 0.78, 'Residential': 0.19, 'Industrial': 0.03}"
6,99,5,68103,5,37.641583,-120.994622,WGS84,Ambient Min Temperature,24 HOUR,,Observed Values,Met One SASS - Electronic,2016,Degrees Centigrade,No Events,61,100,Y,61,61,0,2,,,Certification not required,0,11.959016,4.480453,22.3,2016-07-29 00:00,20.2,2016-06-29 00:00,19.0,2016-06-05 00:00,18.0,2016-07-23 00:00,,,,,22.3,20.2,18.0,17.2,14.8,11.9,6.8,Modesto-14th Street,"814 14TH ST., MODESTO",California,Stanislaus,Modesto,"Modesto, CA",2017-02-16,[  37.641583 -120.994622],"{'Commercial and Services': 0.78, 'Residential': 0.19, 'Industrial': 0.03}"
6,99,5,68104,1,37.641583,-120.994622,WGS84,Ambient Max Temperature,24 HOUR,,Observed Values,R & P Model 2000 PM-2.5 FEM Air Sampler - Electronic,2016,Degrees Centigrade,No Events,31,51,N,31,61,0,3,,,Certification not required,0,24.716129,8.777589,40.4,2016-07-23 00:00,38.3,2016-06-29 00:00,37.0,2016-06-05 00:00,36.6,2016-08-16 00:00,,,,,40.4,40.4,38.3,36.6,32.5,25.6,15.5,Modesto-14th Street,"814 14TH ST., MODESTO",California,Stanislaus,Modesto,"Modesto, CA",2017-01-27,[  37.641583 -120.994622],"{'Commercial and Services': 0.78, 'Residential': 0.19, 'Industrial': 0.03}"
6,99,5,68104,5,37.641583,-120.994622,WGS84,Ambient Max Temperature,24 HOUR,,Observed Values,Met One SASS - Electronic,2016,Degrees Centigrade,No Events,61,100,Y,61,61,0,2,,,Certification not required,0,26.314754,8.609178,41.2,2016-07-29 00:00,39.0,2016-06-29 00:00,38.7,2016-07-23 00:00,37.9,2016-08-16 00:00,,,,,41.2,39.0,37.9,36.6,33.5,27.0,13.5,Modesto-14th Street,"814 14TH ST., MODESTO",California,Stanislaus,Modesto,"Modesto, CA",2017-02-16,[  37.641583 -120.994622],"{'Commercial and Services': 0.78, 'Residential': 0.19, 'Industrial': 0.03}"
6,99,5,68105,1,37.641583,-120.994622,WGS84,Average Ambient Temperature,24 HOUR,,Observed Values,R & P Model 2000 PM-2.5 FEM Air Sampler - Electronic,2016,Degrees Centigrade,No Events,31,51,N,31,61,0,3,,,Certification not required,0,17.490323,6.714976,29.7,2016-07-23 00:00,27.9,2016-06-29 00:00,27.3,2016-06-05 00:00,25.7,2016-08-16 00:00,,,,,29.7,29.7,27.9,25.7,22.6,17.3,10.3,Modesto-14th Street,"814 14TH ST., MODESTO",California,Stanislaus,Modesto,"Modesto, CA",2017-01-27,[  37.641583 -120.994622],"{'Commercial and Services': 0.78, 'Residential': 0.19, 'Industrial': 0.03}"
6,99,5,68105,5,37.641583,-120.994622,WGS84,Average Ambient Temperature,24 HOUR,,Observed Values,Met One SASS/SuperSASS - Electronic,2016,Degrees Centigrade,No Events,61,100,Y,61,61,0,2,,,Certification not required,0,18.55082,6.581353,31.6,2016-07-29 00:00,29.1,2016-07-23 00:00,28.9,2016-06-29 00:00,28.3,2016-06-05 00:00,,,,,31.6,29.1,28.3,26.7,23.7,17.9,9.4,Modesto-14th Street,"814 14TH ST., MODESTO",California,Stanislaus,Modesto,"Modesto, CA",2017-02-16,[  37.641583 -120.994622],"{'Commercial and Services': 0.78, 'Residential': 0.19, 'Industrial': 0.03}"
6,99,5,68106,1,37.641583,-120.994622,WGS84,Sample Min Baro Pressure,24 HOUR,,Observed Values,R & P Model 2000 PM-2.5 FEM Air Sampler - Barometric Sensor,2016,Millimeters (mercury),No Events,31,51,N,31,61,0,3,,,Certification not required,0,755.193548,3.936321,765.0,2016-02-06 00:00,762.0,2016-01-25 00:00,762.0,2016-12-26 00:00,760.0,2016-01-01 00:00,,,,,765.0,765.0,762.0,760.0,758.0,754.0,751.0,Modesto-14th Street,"814 14TH ST., MODESTO",California,Stanislaus,Modesto,"Modesto, CA",2017-01-27,[  37.641583 -120.994622],"{'Commercial and Services': 0.78, 'Residential': 0.19, 'Industrial': 0.03}"
6,99,5,68106,5,37.641583,-120.994622,WGS84,Sample Min Baro Pressure,24 HOUR,,Observed Values,Met One SASS - Barometric Sensor,2016,Millimeters (mercury),No Events,61,100,Y,61,61,0,2,,,Certification not required,0,755.278689,4.386081,765.0,2016-12-20 00:00,765.0,2016-12-26 00:00,763.0,2016-01-27 00:00,763.0,2016-11-02 00:00,,,,,765.0,765.0,763.0,763.0,758.0,755.0,750.0,Modesto-14th Street,"814 14TH ST., MODESTO",California,Stanislaus,Modesto,"Modesto, CA",2017-02-16,[  37.641583 -120.994622],"{'Commercial and Services': 0.78, 'Residential': 0.19, 'Industrial': 0.03}"
