State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
6,101,3,68101,1,39.138773,-121.618549,WGS84,Sample Flow Rate- CV,24 HOUR,,Observed Values,R & P Model 2025 PM-2.5 FEM Sequential Air Sampler - Calculation,2016,Percent,No Events,351,100,Y,61,61,0,15,,,Certification not required,0,0.096866,0.017448,0.1,2016-01-01 00:00,0.1,2016-01-02 00:00,0.1,2016-01-03 00:00,0.1,2016-01-05 00:00,,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,Yuba City,"773 ALMOND ST, YUBA CITY",California,Sutter,Yuba City,"Yuba City, CA",2017-01-27,[  39.138773 -121.618549],"{'Commercial and Services': 0.28, 'Residential': 0.47, 'Industrial': 0.25}"
6,101,3,68102,1,39.138773,-121.618549,WGS84,Sample Volume,24 HOUR,,Observed Values,R & P Model 2025 PM-2.5 FEM Sequential Air Sampler - Calculation,2016,Cubic meter,No Events,351,100,Y,61,61,0,15,,,Certification not required,0,24.092023,0.044647,24.1,2016-01-01 00:00,24.1,2016-01-02 00:00,24.1,2016-01-03 00:00,24.1,2016-01-05 00:00,,,,,24.1,24.1,24.1,24.1,24.1,24.1,24.1,Yuba City,"773 ALMOND ST, YUBA CITY",California,Sutter,Yuba City,"Yuba City, CA",2017-01-27,[  39.138773 -121.618549],"{'Commercial and Services': 0.28, 'Residential': 0.47, 'Industrial': 0.25}"
6,101,3,68103,1,39.138773,-121.618549,WGS84,Ambient Min Temperature,24 HOUR,,Observed Values,R & P Model 2025 PM-2.5 FEM Sequential Air Sampler - Electronic,2016,Degrees Centigrade,No Events,351,100,Y,61,61,0,15,,,Certification not required,0,11.093162,5.061012,21.9,2016-07-29 00:00,21.7,2016-07-30 00:00,21.6,2016-06-28 00:00,21.5,2016-07-01 00:00,,,,,21.5,20.7,19.1,17.5,14.5,11.4,4.2,Yuba City,"773 ALMOND ST, YUBA CITY",California,Sutter,Yuba City,"Yuba City, CA",2017-01-27,[  39.138773 -121.618549],"{'Commercial and Services': 0.28, 'Residential': 0.47, 'Industrial': 0.25}"
6,101,3,68104,1,39.138773,-121.618549,WGS84,Ambient Max Temperature,24 HOUR,,Observed Values,R & P Model 2025 PM-2.5 FEM Sequential Air Sampler - Electronic,2016,Degrees Centigrade,No Events,351,100,Y,61,61,0,15,,,Certification not required,0,24.655271,8.576974,41.1,2016-06-27 00:00,40.8,2016-07-27 00:00,40.5,2016-06-28 00:00,39.9,2016-07-26 00:00,,,,,39.9,39.3,38.4,36.4,32.1,24.4,13.1,Yuba City,"773 ALMOND ST, YUBA CITY",California,Sutter,Yuba City,"Yuba City, CA",2017-01-27,[  39.138773 -121.618549],"{'Commercial and Services': 0.28, 'Residential': 0.47, 'Industrial': 0.25}"
6,101,3,68105,1,39.138773,-121.618549,WGS84,Average Ambient Temperature,24 HOUR,,Observed Values,R & P Model 2025 PM-2.5 FEM Sequential Air Sampler - Electronic,2016,Degrees Centigrade,No Events,351,100,Y,61,61,0,15,,,Certification not required,0,17.394302,6.671815,31.3,2016-06-27 00:00,31.1,2016-07-27 00:00,30.7,2016-06-28 00:00,30.6,2016-07-29 00:00,,,,,30.6,29.4,28.5,26.2,22.7,16.7,8.7,Yuba City,"773 ALMOND ST, YUBA CITY",California,Sutter,Yuba City,"Yuba City, CA",2017-01-27,[  39.138773 -121.618549],"{'Commercial and Services': 0.28, 'Residential': 0.47, 'Industrial': 0.25}"
6,101,3,68106,1,39.138773,-121.618549,WGS84,Sample Min Baro Pressure,24 HOUR,,Observed Values,R & P Model 2025 PM-2.5 FEM Sequential AIr Sampler - Barometric Sensor,2016,Millimeters (mercury),No Events,351,100,Y,61,61,0,15,,,Certification not required,0,754.478632,4.156094,767.0,2016-02-05 00:00,766.0,2016-02-03 00:00,766.0,2016-02-04 00:00,766.0,2016-12-19 00:00,,,,,766.0,764.0,762.0,760.0,757.0,754.0,750.0,Yuba City,"773 ALMOND ST, YUBA CITY",California,Sutter,Yuba City,"Yuba City, CA",2017-01-27,[  39.138773 -121.618549],"{'Commercial and Services': 0.28, 'Residential': 0.47, 'Industrial': 0.25}"
6,101,3,68107,1,39.138773,-121.618549,WGS84,Sample Max Baro Pressure,24 HOUR,,Observed Values,R & P Model 2025 PM-2.5 FEM Sequential Sampler - Barometric Sensor,2016,Millimeters (mercury),No Events,351,100,Y,61,61,0,15,,,Certification not required,0,759.051282,3.964513,771.0,2016-02-04 00:00,770.0,2016-02-03 00:00,770.0,2016-02-05 00:00,770.0,2016-02-06 00:00,,,,,770.0,768.0,766.0,765.0,762.0,759.0,754.0,Yuba City,"773 ALMOND ST, YUBA CITY",California,Sutter,Yuba City,"Yuba City, CA",2017-01-27,[  39.138773 -121.618549],"{'Commercial and Services': 0.28, 'Residential': 0.47, 'Industrial': 0.25}"
6,101,3,68108,1,39.138773,-121.618549,WGS84,Average Ambient Pressure,24 HOUR,,Observed Values,R & P Model 2025 PM-2.5 FEM Sequential Air Sampler - Barometric Sensor,2016,Millimeters (mercury),No Events,351,100,Y,61,61,0,15,,,Certification not required,0,756.831909,3.978902,768.0,2016-02-03 00:00,768.0,2016-02-04 00:00,768.0,2016-02-05 00:00,768.0,2016-12-19 00:00,,,,,768.0,766.0,764.0,762.0,760.0,756.0,752.0,Yuba City,"773 ALMOND ST, YUBA CITY",California,Sutter,Yuba City,"Yuba City, CA",2017-01-27,[  39.138773 -121.618549],"{'Commercial and Services': 0.28, 'Residential': 0.47, 'Industrial': 0.25}"
6,101,3,68109,1,39.138773,-121.618549,WGS84,Elapsed Sample Time,24 HOUR,,Observed Values,R & P Model 2025 PM-2.5 FEM Sequential AIr Sampler - Calculation,2016,Minutes,No Events,351,100,Y,61,61,0,15,,,Certification not required,0,1438.635328,2.132284,1439.0,2016-01-01 00:00,1439.0,2016-01-02 00:00,1439.0,2016-01-03 00:00,1439.0,2016-01-05 00:00,,,,,1439.0,1439.0,1439.0,1439.0,1439.0,1439.0,1439.0,Yuba City,"773 ALMOND ST, YUBA CITY",California,Sutter,Yuba City,"Yuba City, CA",2017-01-27,[  39.138773 -121.618549],"{'Commercial and Services': 0.28, 'Residential': 0.47, 'Industrial': 0.25}"
6,101,3,88101,1,39.138773,-121.618549,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2006,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2016,Micrograms/cubic meter (LC),No Events,351,96,Y,351,366,0,15,1.0,1.0,Requested but not yet concurred,0,8.118519,4.979309,40.1,2016-06-30 00:00,33.8,2016-12-30 00:00,31.4,2016-12-04 00:00,27.1,2016-12-22 00:00,,,,,27.1,22.2,16.9,13.3,10.0,7.4,3.2,Yuba City,"773 ALMOND ST, YUBA CITY",California,Sutter,Yuba City,"Yuba City, CA",2017-01-27,[  39.138773 -121.618549],"{'Commercial and Services': 0.28, 'Residential': 0.47, 'Industrial': 0.25}"
