State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
6,111,2002,12102,7,34.276362,-118.683757,WGS84,Antimony (TSP) STP,24 HOUR,,Observed Values,"Lo-Vol-Xontech 920 or 924, Teflon - ICP/Mass Spectrometer",2016,Micrograms/cubic meter (25 C),No Events,28,46,N,28,61,0,7,,,Certification not required,0,0.002536,0.001527,0.007,2016-12-14 00:00,0.005,2016-01-28 00:00,0.005,2016-11-11 00:00,0.004,2016-04-06 00:00,,,,,0.007,0.007,0.005,0.005,0.003,0.002,0.001,Simi Valley-Cochran Street,"5400 COCHRAN STREET, SIMI VALLEY, CA  93063",California,Ventura,Simi Valley,"Oxnard-Thousand Oaks-Ventura, CA",2017-04-07,[  34.276362 -118.683757],"{'Commercial and Services': 0.28, 'Residential': 0.31, 'Other urban or built-up land': 0.08, 'Cropland and pasture': 0.33}"
6,111,2002,12103,7,34.276362,-118.683757,WGS84,Arsenic (TSP) STP,24 HOUR,,Observed Values,"Lo-Vol-Xontech 920 or 924, Teflon - ICP/Mass Spectrometer",2016,Micrograms/cubic meter (25 C),No Events,28,46,N,28,61,0,7,,,Certification not required,0,0.001,0.0,0.001,2016-01-07 00:00,0.001,2016-01-13 00:00,0.001,2016-01-28 00:00,0.001,2016-02-06 00:00,,,,,0.001,0.001,0.001,0.001,0.001,0.001,0.001,Simi Valley-Cochran Street,"5400 COCHRAN STREET, SIMI VALLEY, CA  93063",California,Ventura,Simi Valley,"Oxnard-Thousand Oaks-Ventura, CA",2017-04-07,[  34.276362 -118.683757],"{'Commercial and Services': 0.28, 'Residential': 0.31, 'Other urban or built-up land': 0.08, 'Cropland and pasture': 0.33}"
6,111,2002,12105,7,34.276362,-118.683757,WGS84,Beryllium (TSP) STP,24 HOUR,,Observed Values,"Lo-Vol-Xontech 920 or 924, Teflon - ICP/Mass Spectrometer",2016,Nanograms/cubic meter (25 C),No Events,28,46,N,28,61,0,7,,,Certification not required,0,0.152,0.0,0.152,2016-01-07 00:00,0.152,2016-01-13 00:00,0.152,2016-01-28 00:00,0.152,2016-02-06 00:00,,,,,0.152,0.152,0.152,0.152,0.152,0.152,0.152,Simi Valley-Cochran Street,"5400 COCHRAN STREET, SIMI VALLEY, CA  93063",California,Ventura,Simi Valley,"Oxnard-Thousand Oaks-Ventura, CA",2017-04-07,[  34.276362 -118.683757],"{'Commercial and Services': 0.28, 'Residential': 0.31, 'Other urban or built-up land': 0.08, 'Cropland and pasture': 0.33}"
6,111,2002,12110,7,34.276362,-118.683757,WGS84,Cadmium (TSP) STP,24 HOUR,,Observed Values,"Lo-Vol-Xontech 920 or 924, Teflon - ICP/Mass Spectrometer",2016,Micrograms/cubic meter (25 C),No Events,28,46,N,28,61,0,7,,,Certification not required,0,0.001071,0.000378,0.003,2016-12-02 00:00,0.001,2016-01-07 00:00,0.001,2016-01-13 00:00,0.001,2016-01-28 00:00,,,,,0.003,0.003,0.001,0.001,0.001,0.001,0.001,Simi Valley-Cochran Street,"5400 COCHRAN STREET, SIMI VALLEY, CA  93063",California,Ventura,Simi Valley,"Oxnard-Thousand Oaks-Ventura, CA",2017-04-07,[  34.276362 -118.683757],"{'Commercial and Services': 0.28, 'Residential': 0.31, 'Other urban or built-up land': 0.08, 'Cropland and pasture': 0.33}"
6,111,2002,12112,7,34.276362,-118.683757,WGS84,Chromium (TSP) STP,24 HOUR,,Observed Values,"Lo-Vol-Xontech 920 or 924, Teflon - ICP/Mass Spectrometer",2016,Micrograms/cubic meter (25 C),No Events,28,46,N,28,61,0,7,,,Certification not required,0,0.004,0.0,0.004,2016-01-07 00:00,0.004,2016-01-13 00:00,0.004,2016-01-28 00:00,0.004,2016-02-06 00:00,,,,,0.004,0.004,0.004,0.004,0.004,0.004,0.004,Simi Valley-Cochran Street,"5400 COCHRAN STREET, SIMI VALLEY, CA  93063",California,Ventura,Simi Valley,"Oxnard-Thousand Oaks-Ventura, CA",2017-04-07,[  34.276362 -118.683757],"{'Commercial and Services': 0.28, 'Residential': 0.31, 'Other urban or built-up land': 0.08, 'Cropland and pasture': 0.33}"
6,111,2002,12113,7,34.276362,-118.683757,WGS84,Cobalt (TSP) STP,24 HOUR,,Observed Values,"Lo-Vol-Xontech 920 or 924, Teflon - ICP/Mass Spectrometer",2016,Micrograms/cubic meter (25 C),No Events,28,46,N,28,61,0,7,,,Certification not required,0,0.001,0.0,0.001,2016-01-07 00:00,0.001,2016-01-13 00:00,0.001,2016-01-28 00:00,0.001,2016-02-06 00:00,,,,,0.001,0.001,0.001,0.001,0.001,0.001,0.001,Simi Valley-Cochran Street,"5400 COCHRAN STREET, SIMI VALLEY, CA  93063",California,Ventura,Simi Valley,"Oxnard-Thousand Oaks-Ventura, CA",2017-04-07,[  34.276362 -118.683757],"{'Commercial and Services': 0.28, 'Residential': 0.31, 'Other urban or built-up land': 0.08, 'Cropland and pasture': 0.33}"
6,111,2002,12114,7,34.276362,-118.683757,WGS84,Copper (TSP) STP,24 HOUR,,Observed Values,"Lo-Vol-Xontech 920 or 924, Teflon - ICP/Mass Spectrometer",2016,Micrograms/cubic meter (25 C),No Events,28,46,N,28,61,0,7,,,Certification not required,0,0.014357,0.008043,0.035,2016-12-14 00:00,0.03,2016-11-11 00:00,0.027,2016-10-27 00:00,0.025,2016-04-18 00:00,,,,,0.035,0.035,0.03,0.027,0.018,0.014,0.004,Simi Valley-Cochran Street,"5400 COCHRAN STREET, SIMI VALLEY, CA  93063",California,Ventura,Simi Valley,"Oxnard-Thousand Oaks-Ventura, CA",2017-04-07,[  34.276362 -118.683757],"{'Commercial and Services': 0.28, 'Residential': 0.31, 'Other urban or built-up land': 0.08, 'Cropland and pasture': 0.33}"
6,111,2002,12126,7,34.276362,-118.683757,WGS84,Iron (TSP) STP,24 HOUR,,Observed Values,"Lo-Vol-Xontech 920 or 924, Teflon - ICP/Mass Spectrometer",2016,Micrograms/cubic meter (25 C),No Events,28,46,N,28,61,0,7,,,Certification not required,0,0.727357,0.356026,1.3,2016-07-23 00:00,1.24,2016-10-27 00:00,1.18,2016-08-16 00:00,1.15,2016-09-09 00:00,,,,,1.3,1.3,1.24,1.18,1.08,0.773,0.197,Simi Valley-Cochran Street,"5400 COCHRAN STREET, SIMI VALLEY, CA  93063",California,Ventura,Simi Valley,"Oxnard-Thousand Oaks-Ventura, CA",2017-04-07,[  34.276362 -118.683757],"{'Commercial and Services': 0.28, 'Residential': 0.31, 'Other urban or built-up land': 0.08, 'Cropland and pasture': 0.33}"
6,111,2002,12128,7,34.276362,-118.683757,WGS84,Lead (TSP) STP,24 HOUR,Lead Quarterly 1978,Observed Values,"Lo-Vol-Xontech 920 or 924, Teflon - ICP/Mass Spectrometer",2016,Micrograms/cubic meter (25 C),Events Inclucded,28,46,N,28,61,28,7,,,Certification not required,0,0.002,0.001298,0.0051,2016-12-14 00:00,0.0042,2016-04-18 00:00,0.004,2016-07-23 00:00,0.0036,2016-11-11 00:00,,,,,0.0051,0.0051,0.0042,0.004,0.0032,0.0019,0.0006,Simi Valley-Cochran Street,"5400 COCHRAN STREET, SIMI VALLEY, CA  93063",California,Ventura,Simi Valley,"Oxnard-Thousand Oaks-Ventura, CA",2017-04-07,[  34.276362 -118.683757],"{'Commercial and Services': 0.28, 'Residential': 0.31, 'Other urban or built-up land': 0.08, 'Cropland and pasture': 0.33}"
6,111,2002,12132,7,34.276362,-118.683757,WGS84,Manganese (TSP) STP,24 HOUR,,Observed Values,"Lo-Vol-Xontech 920 or 924, Teflon - ICP/Mass Spectrometer",2016,Micrograms/cubic meter (25 C),No Events,28,46,N,28,61,0,7,,,Certification not required,0,0.012643,0.006533,0.027,2016-07-23 00:00,0.021,2016-08-16 00:00,0.02,2016-04-06 00:00,0.019,2016-10-27 00:00,,,,,0.027,0.027,0.021,0.02,0.018,0.014,0.003,Simi Valley-Cochran Street,"5400 COCHRAN STREET, SIMI VALLEY, CA  93063",California,Ventura,Simi Valley,"Oxnard-Thousand Oaks-Ventura, CA",2017-04-07,[  34.276362 -118.683757],"{'Commercial and Services': 0.28, 'Residential': 0.31, 'Other urban or built-up land': 0.08, 'Cropland and pasture': 0.33}"
