State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
6,113,1003,68101,1,38.66121,-121.73269,WGS84,Sample Flow Rate- CV,24 HOUR,,Observed Values,Multiple Methods Used,2016,Percent,No Events,60,98,Y,60,61,0,5,,,Certification not required,0,0.521667,0.100998,0.6,2016-01-19 00:00,0.6,2016-02-06 00:00,0.6,2016-02-12 00:00,0.6,2016-02-18 00:00,,,,,0.6,0.6,0.6,0.6,0.6,0.5,0.4,Woodland-Gibson Road,"41929 E. GIBSON ROAD, WOODLAND",California,Yolo,Woodland,"Sacramento--Roseville--Arden-Arcade, CA",2017-01-27,[  38.66121 -121.73269],{'Cropland and pasture': 1.0}
6,113,1003,68102,1,38.66121,-121.73269,WGS84,Sample Volume,24 HOUR,,Observed Values,Multiple Methods Used,2016,Cubic meter,No Events,60,98,Y,60,61,0,5,,,Certification not required,0,24.001667,0.01291,24.1,2016-12-14 00:00,24.0,2016-01-01 00:00,24.0,2016-01-07 00:00,24.0,2016-01-13 00:00,,,,,24.1,24.0,24.0,24.0,24.0,24.0,24.0,Woodland-Gibson Road,"41929 E. GIBSON ROAD, WOODLAND",California,Yolo,Woodland,"Sacramento--Roseville--Arden-Arcade, CA",2017-01-27,[  38.66121 -121.73269],{'Cropland and pasture': 1.0}
6,113,1003,68103,1,38.66121,-121.73269,WGS84,Ambient Min Temperature,24 HOUR,,Observed Values,Multiple Methods Used,2016,Degrees Centigrade,No Events,60,98,Y,60,61,0,5,,,Certification not required,0,10.776667,4.203121,18.6,2016-07-23 00:00,17.6,2016-05-18 00:00,17.6,2016-09-27 00:00,17.0,2016-07-29 00:00,,,,,18.6,17.6,17.6,15.4,13.9,11.3,5.4,Woodland-Gibson Road,"41929 E. GIBSON ROAD, WOODLAND",California,Yolo,Woodland,"Sacramento--Roseville--Arden-Arcade, CA",2017-01-27,[  38.66121 -121.73269],{'Cropland and pasture': 1.0}
6,113,1003,68104,1,38.66121,-121.73269,WGS84,Ambient Max Temperature,24 HOUR,,Observed Values,Multiple Methods Used,2016,Degrees Centigrade,No Events,60,98,Y,60,61,0,5,,,Certification not required,0,25.296667,9.05967,40.5,2016-07-29 00:00,39.3,2016-07-23 00:00,38.8,2016-06-05 00:00,37.9,2016-08-16 00:00,,,,,40.5,39.3,38.8,37.6,33.1,25.3,13.7,Woodland-Gibson Road,"41929 E. GIBSON ROAD, WOODLAND",California,Yolo,Woodland,"Sacramento--Roseville--Arden-Arcade, CA",2017-01-27,[  38.66121 -121.73269],{'Cropland and pasture': 1.0}
6,113,1003,68105,1,38.66121,-121.73269,WGS84,Average Ambient Temperature,24 HOUR,,Observed Values,Multiple Methods Used,2016,Degrees Centigrade,No Events,60,98,Y,60,61,0,5,,,Certification not required,0,17.356667,6.234523,28.4,2016-07-23 00:00,27.6,2016-05-18 00:00,27.1,2016-06-05 00:00,27.1,2016-07-29 00:00,,,,,28.4,27.6,27.1,26.1,21.7,17.3,9.9,Woodland-Gibson Road,"41929 E. GIBSON ROAD, WOODLAND",California,Yolo,Woodland,"Sacramento--Roseville--Arden-Arcade, CA",2017-01-27,[  38.66121 -121.73269],{'Cropland and pasture': 1.0}
6,113,1003,68106,1,38.66121,-121.73269,WGS84,Sample Min Baro Pressure,24 HOUR,,Observed Values,Multiple Methods Used,2016,Millimeters (mercury),No Events,60,98,Y,60,61,0,5,,,Certification not required,0,756.416667,4.303297,767.0,2016-02-06 00:00,765.0,2016-01-25 00:00,765.0,2016-12-26 00:00,764.0,2016-12-02 00:00,,,,,767.0,765.0,765.0,763.0,760.0,756.0,752.0,Woodland-Gibson Road,"41929 E. GIBSON ROAD, WOODLAND",California,Yolo,Woodland,"Sacramento--Roseville--Arden-Arcade, CA",2017-01-27,[  38.66121 -121.73269],{'Cropland and pasture': 1.0}
6,113,1003,68107,1,38.66121,-121.73269,WGS84,Sample Max Baro Pressure,24 HOUR,,Observed Values,Multiple Methods Used,2016,Millimeters (mercury),No Events,60,98,Y,60,61,0,5,,,Certification not required,0,761.15,3.978012,772.0,2016-02-06 00:00,770.0,2016-12-20 00:00,770.0,2016-12-26 00:00,767.0,2016-01-25 00:00,,,,,772.0,770.0,770.0,766.0,765.0,761.0,757.0,Woodland-Gibson Road,"41929 E. GIBSON ROAD, WOODLAND",California,Yolo,Woodland,"Sacramento--Roseville--Arden-Arcade, CA",2017-01-27,[  38.66121 -121.73269],{'Cropland and pasture': 1.0}
6,113,1003,68108,1,38.66121,-121.73269,WGS84,Average Ambient Pressure,24 HOUR,,Observed Values,Multiple Methods Used,2016,Millimeters (mercury),No Events,60,98,Y,60,61,0,5,,,Certification not required,0,758.75,4.048959,769.0,2016-02-06 00:00,767.0,2016-12-20 00:00,767.0,2016-12-26 00:00,766.0,2016-01-25 00:00,,,,,769.0,767.0,767.0,764.0,762.0,758.0,754.0,Woodland-Gibson Road,"41929 E. GIBSON ROAD, WOODLAND",California,Yolo,Woodland,"Sacramento--Roseville--Arden-Arcade, CA",2017-01-27,[  38.66121 -121.73269],{'Cropland and pasture': 1.0}
6,113,1003,68109,1,38.66121,-121.73269,WGS84,Elapsed Sample Time,24 HOUR,,Observed Values,Multiple Methods Used,2016,Minutes,No Events,60,98,Y,60,61,0,5,,,Certification not required,0,1439.65,0.480995,1440.0,2016-01-07 00:00,1440.0,2016-01-19 00:00,1440.0,2016-01-25 00:00,1440.0,2016-02-06 00:00,,,,,1440.0,1440.0,1440.0,1440.0,1440.0,1440.0,1439.0,Woodland-Gibson Road,"41929 E. GIBSON ROAD, WOODLAND",California,Yolo,Woodland,"Sacramento--Roseville--Arden-Arcade, CA",2017-01-27,[  38.66121 -121.73269],{'Cropland and pasture': 1.0}
6,113,1003,81102,1,38.66121,-121.73269,WGS84,PM10 Total 0-10um STP,24 HOUR,PM10 24-hour 2006,Daily Mean,HI-VOL SA/GMW-1200 - GRAVIMETRIC,2016,Micrograms/cubic meter (25 C),No Events,62,98,Y,60,61,0,5,0.0,0.0,Requested but not yet concurred,0,18.677419,12.415979,69.0,2016-09-07 00:00,53.0,2016-09-27 00:00,46.0,2016-10-09 00:00,36.0,2016-09-15 00:00,,,,,69.0,53.0,36.0,32.0,25.0,19.0,7.0,Woodland-Gibson Road,"41929 E. GIBSON ROAD, WOODLAND",California,Yolo,Woodland,"Sacramento--Roseville--Arden-Arcade, CA",2017-03-13,[  38.66121 -121.73269],{'Cropland and pasture': 1.0}
