State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
9,3,25,42101,1,41.771444,-72.679923,WGS84,Carbon monoxide,1 HOUR,CO 1-hour 1971,Obseved hourly values,INSTRUMENTAL - Gas Filter Correlation Thermo Electron 48i-TLE,2016,Parts per million,No Events,7947,90,Y,346,366,0,837,0.0,0.0,Certified,0,0.329551,0.186769,2.373,2016-11-08 18:00,2.208,2016-11-08 19:00,2.154,2016-11-08 17:00,2.098,2016-11-18 17:00,,,,,0.966,0.821,0.649,0.547,0.417,0.283,0.156,Huntley Place-Hartford,10 Huntley Place,Connecticut,Hartford,Hartford,"Hartford-West Hartford-East Hartford, CT",2017-03-31,[ 41.771444 -72.679923],"{'Commercial and Services': 0.68, 'Other urban or built-up land': 0.05, 'Transportation, communications and services': 0.27}"
9,3,25,42101,1,41.771444,-72.679923,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,,2016,Parts per million,No Events,8276,94,Y,338,366,0,0,0.0,0.0,Certified,0,0.329265,0.162753,1.9,2016-11-09 00:00,1.8,2016-11-08 23:00,1.8,2016-11-09 01:00,1.7,2016-11-08 22:00,1.9,2016-11-09 00:00,1.5,2016-01-07 23:00,0.9,0.8,0.6,0.5,0.4,0.3,0.2,Huntley Place-Hartford,10 Huntley Place,Connecticut,Hartford,Hartford,"Hartford-West Hartford-East Hartford, CT",2017-03-31,[ 41.771444 -72.679923],"{'Commercial and Services': 0.68, 'Other urban or built-up land': 0.05, 'Transportation, communications and services': 0.27}"
9,3,25,42601,1,41.771444,-72.679923,WGS84,Nitric oxide (NO),1 HOUR,,Observed Values,Instrumental - Chemiluminescence Teledyne API 200 EU/501,2016,Parts per billion,No Events,1664,76,Y,70,91,0,520,,,Certification not required,0,15.850781,23.952794,202.2,2016-01-07 07:00,197.2,2016-02-02 08:00,190.8,2016-01-07 20:00,185.1,2016-01-07 08:00,,,,,110.0,87.9,60.6,42.1,21.2,5.6,0.7,Huntley Place-Hartford,10 Huntley Place,Connecticut,Hartford,Hartford,"Hartford-West Hartford-East Hartford, CT",2016-09-19,[ 41.771444 -72.679923],"{'Commercial and Services': 0.68, 'Other urban or built-up land': 0.05, 'Transportation, communications and services': 0.27}"
9,3,25,42602,1,41.771444,-72.679923,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Daily Maximum 1-hour average,Multiple Methods Used,2016,Parts per billion,No Events,8324,95,Y,357,366,0,460,0.0,,Certified,0,30.089356,10.901598,62.5,2016-11-14 18:00,61.7,2016-11-08 16:00,59.1,2016-03-10 07:00,57.8,2016-11-15 00:00,,,,,57.8,53.7,47.6,43.3,37.8,30.6,15.5,Huntley Place-Hartford,10 Huntley Place,Connecticut,Hartford,Hartford,"Hartford-West Hartford-East Hartford, CT",2017-03-29,[ 41.771444 -72.679923],"{'Commercial and Services': 0.68, 'Other urban or built-up land': 0.05, 'Transportation, communications and services': 0.27}"
9,3,25,42602,1,41.771444,-72.679923,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 Annual 1971,Observed values,Multiple Methods Used,2016,Parts per billion,No Events,8324,95,Y,357,366,0,460,,,Certified,0,16.113359,11.086091,62.5,2016-11-14 18:00,62.2,2016-11-14 17:00,62.1,2016-11-14 20:00,62.1,2016-11-14 22:00,,,,,45.8,42.1,36.8,31.9,23.4,14.1,3.6,Huntley Place-Hartford,10 Huntley Place,Connecticut,Hartford,Hartford,"Hartford-West Hartford-East Hartford, CT",2017-03-29,[ 41.771444 -72.679923],"{'Commercial and Services': 0.68, 'Other urban or built-up land': 0.05, 'Transportation, communications and services': 0.27}"
9,3,25,42603,1,41.771444,-72.679923,WGS84,Oxides of nitrogen (NOx),1 HOUR,,Observed Values,Instrumental - Chemiluminescence Teledyne API 200 EU/501,2016,Parts per billion,No Events,1679,77,Y,70,91,0,505,,,Certification not required,0,30.785884,33.296643,249.0,2016-01-07 07:00,243.8,2016-02-02 08:00,232.2,2016-01-07 20:00,229.2,2016-01-07 08:00,,,,,157.9,127.0,94.3,71.3,44.6,17.9,4.5,Huntley Place-Hartford,10 Huntley Place,Connecticut,Hartford,Hartford,"Hartford-West Hartford-East Hartford, CT",2016-09-19,[ 41.771444 -72.679923],"{'Commercial and Services': 0.68, 'Other urban or built-up land': 0.05, 'Transportation, communications and services': 0.27}"
9,3,25,61103,1,41.771444,-72.679923,WGS84,Wind Speed - Resultant,1 HOUR,,Observed Values,Instrumental - Met One Sonic Anemometer Model 50.5,2016,Knots,No Events,8376,95,Y,349,366,0,408,,,Certification not required,0,3.603056,2.124443,14.4,2016-04-03 13:00,13.8,2016-04-03 14:00,13.2,2016-03-29 11:00,13.2,2016-04-03 15:00,,,,,10.1,8.9,7.6,6.4,4.9,3.1,1.2,Huntley Place-Hartford,10 Huntley Place,Connecticut,Hartford,Hartford,"Hartford-West Hartford-East Hartford, CT",2017-04-03,[ 41.771444 -72.679923],"{'Commercial and Services': 0.68, 'Other urban or built-up land': 0.05, 'Transportation, communications and services': 0.27}"
9,3,25,61104,1,41.771444,-72.679923,WGS84,Wind Direction - Resultant,1 HOUR,,Observed Values,Instrumental - Met One Sonic Anemometer Model 50.5,2016,Degrees Compass,No Events,8376,95,Y,349,366,0,408,,,Certification not required,0,185.490807,107.489495,360.0,2016-03-03 17:00,360.0,2016-03-21 08:00,360.0,2016-03-25 05:00,360.0,2016-03-28 10:00,,,,,357.0,353.0,341.0,317.0,283.0,196.0,17.0,Huntley Place-Hartford,10 Huntley Place,Connecticut,Hartford,Hartford,"Hartford-West Hartford-East Hartford, CT",2017-04-03,[ 41.771444 -72.679923],"{'Commercial and Services': 0.68, 'Other urban or built-up land': 0.05, 'Transportation, communications and services': 0.27}"
9,3,25,62101,1,41.771444,-72.679923,WGS84,Outdoor Temperature,1 HOUR,,Observed Values,INSTRUMENTAL - ELEC. OR MACH. AVG. LEVEL 1,2016,Degrees Fahrenheit,No Events,8777,100,Y,366,366,0,7,,,Certification not required,0,56.283126,18.361183,99.0,2016-08-13 13:00,98.0,2016-08-13 12:00,98.0,2016-08-13 15:00,97.0,2016-07-22 13:00,,,,,92.0,89.0,85.0,81.0,72.0,56.0,33.0,Huntley Place-Hartford,10 Huntley Place,Connecticut,Hartford,Hartford,"Hartford-West Hartford-East Hartford, CT",2017-04-03,[ 41.771444 -72.679923],"{'Commercial and Services': 0.68, 'Other urban or built-up land': 0.05, 'Transportation, communications and services': 0.27}"
9,3,25,64101,1,41.771444,-72.679923,WGS84,Barometric pressure,1 HOUR,,Observed Values,INSTRUMENTAL - ANEROID,2016,Millibars,No Events,8781,100,Y,366,366,0,3,,,Certification not required,0,1014.476597,7.802725,1039.0,2016-12-26 07:00,1039.0,2016-12-26 08:00,1038.0,2016-12-26 02:00,1038.0,2016-12-26 03:00,,,,,1033.0,1030.0,1027.0,1024.0,1020.0,1015.0,1005.0,Huntley Place-Hartford,10 Huntley Place,Connecticut,Hartford,Hartford,"Hartford-West Hartford-East Hartford, CT",2017-04-03,[ 41.771444 -72.679923],"{'Commercial and Services': 0.68, 'Other urban or built-up land': 0.05, 'Transportation, communications and services': 0.27}"
