State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
9,9,2123,61103,1,41.550556,-73.043611,WGS84,Wind Speed - Resultant,1 HOUR,,Observed Values,Instrumental - Met One Sonic Anemometer Model 50.5,2016,Knots,No Events,5410,62,N,224,366,0,3374,,,Certification not required,0,3.040148,1.943045,12.8,2016-02-16 15:00,12.6,2016-02-16 14:00,12.0,2016-02-16 13:00,11.3,2016-01-19 13:00,,,,,8.7,8.0,6.8,5.8,4.1,2.7,0.8,Meadow and Bank Streets,Bank St at Meadow St (see coordinates),Connecticut,New Haven,Waterbury,"New Haven-Milford, CT",2017-04-03,[ 41.550556 -73.043611],"{'Commercial and Services': 0.33, 'Residential': 0.08, 'Industrial': 0.39, 'Other urban or built-up land': 0.05, 'Transportation, communications and services': 0.15}"
9,9,2123,61104,1,41.550556,-73.043611,WGS84,Wind Direction - Resultant,1 HOUR,,Observed Values,Instrumental - Met One Sonic Anemometer Model 50.5,2016,Degrees Compass,No Events,5410,62,N,224,366,0,3374,,,Certification not required,0,238.609242,88.953479,360.0,2016-09-15 00:00,359.0,2016-03-15 01:00,359.0,2016-03-15 09:00,359.0,2016-09-06 00:00,,,,,352.0,347.0,336.0,324.0,304.0,276.0,99.0,Meadow and Bank Streets,Bank St at Meadow St (see coordinates),Connecticut,New Haven,Waterbury,"New Haven-Milford, CT",2017-04-03,[ 41.550556 -73.043611],"{'Commercial and Services': 0.33, 'Residential': 0.08, 'Industrial': 0.39, 'Other urban or built-up land': 0.05, 'Transportation, communications and services': 0.15}"
9,9,2123,62101,1,41.550556,-73.043611,WGS84,Outdoor Temperature,1 HOUR,,Observed Values,INSTRUMENTAL - ELEC. OR MACH. AVG. LEVEL 1,2016,Degrees Fahrenheit,No Events,5542,63,N,229,366,0,3242,,,Certification not required,0,50.34825,19.46113,97.0,2016-08-13 13:00,96.0,2016-08-13 12:00,95.0,2016-07-22 14:00,95.0,2016-07-22 15:00,,,,,90.0,87.0,83.0,78.0,67.0,47.0,27.0,Meadow and Bank Streets,Bank St at Meadow St (see coordinates),Connecticut,New Haven,Waterbury,"New Haven-Milford, CT",2017-04-03,[ 41.550556 -73.043611],"{'Commercial and Services': 0.33, 'Residential': 0.08, 'Industrial': 0.39, 'Other urban or built-up land': 0.05, 'Transportation, communications and services': 0.15}"
9,9,2123,88101,1,41.550556,-73.043611,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2006,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2016,Micrograms/cubic meter (LC),No Events,39,64,N,39,61,0,5,0.0,0.0,Certified,0,6.441026,3.860851,17.3,2016-03-07 00:00,14.3,2016-12-14 00:00,13.5,2016-01-31 00:00,13.3,2016-11-14 00:00,,,,,17.3,17.3,14.3,13.3,8.1,5.7,2.6,Meadow and Bank Streets,Bank St at Meadow St (see coordinates),Connecticut,New Haven,Waterbury,"New Haven-Milford, CT",2017-04-11,[ 41.550556 -73.043611],"{'Commercial and Services': 0.33, 'Residential': 0.08, 'Industrial': 0.39, 'Other urban or built-up land': 0.05, 'Transportation, communications and services': 0.15}"
9,9,2123,88101,1,41.550556,-73.043611,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2016,Micrograms/cubic meter (LC),No Events,39,64,N,39,61,0,5,0.0,0.0,Certified,0,6.441026,3.860851,17.3,2016-03-07 00:00,14.3,2016-12-14 00:00,13.5,2016-01-31 00:00,13.3,2016-11-14 00:00,,,,,17.3,17.3,14.3,13.3,8.1,5.7,2.6,Meadow and Bank Streets,Bank St at Meadow St (see coordinates),Connecticut,New Haven,Waterbury,"New Haven-Milford, CT",2017-04-11,[ 41.550556 -73.043611],"{'Commercial and Services': 0.33, 'Residential': 0.08, 'Industrial': 0.39, 'Other urban or built-up land': 0.05, 'Transportation, communications and services': 0.15}"
9,9,2123,88101,1,41.550556,-73.043611,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2016,Micrograms/cubic meter (LC),No Events,39,64,N,39,61,0,5,,,Certified,0,6.441026,3.860851,17.3,2016-03-07 00:00,14.3,2016-12-14 00:00,13.5,2016-01-31 00:00,13.3,2016-11-14 00:00,,,,,17.3,17.3,14.3,13.3,8.1,5.7,2.6,Meadow and Bank Streets,Bank St at Meadow St (see coordinates),Connecticut,New Haven,Waterbury,"New Haven-Milford, CT",2017-04-11,[ 41.550556 -73.043611],"{'Commercial and Services': 0.33, 'Residential': 0.08, 'Industrial': 0.39, 'Other urban or built-up land': 0.05, 'Transportation, communications and services': 0.15}"
9,9,2123,88101,1,41.550556,-73.043611,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2012,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2016,Micrograms/cubic meter (LC),No Events,39,64,N,39,61,0,5,,,Certified,0,6.441026,3.860851,17.3,2016-03-07 00:00,14.3,2016-12-14 00:00,13.5,2016-01-31 00:00,13.3,2016-11-14 00:00,,,,,17.3,17.3,14.3,13.3,8.1,5.7,2.6,Meadow and Bank Streets,Bank St at Meadow St (see coordinates),Connecticut,New Haven,Waterbury,"New Haven-Milford, CT",2017-04-11,[ 41.550556 -73.043611],"{'Commercial and Services': 0.33, 'Residential': 0.08, 'Industrial': 0.39, 'Other urban or built-up land': 0.05, 'Transportation, communications and services': 0.15}"
9,9,2123,88101,2,41.550556,-73.043611,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2006,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2016,Micrograms/cubic meter (LC),No Events,16,26,N,16,61,0,2,0.0,0.0,Certified,0,7.26875,4.762173,20.1,2016-03-07 00:00,12.7,2016-01-31 00:00,11.5,2016-01-25 00:00,10.7,2016-02-06 00:00,,,,,20.1,20.1,20.1,12.7,10.7,6.5,2.8,Meadow and Bank Streets,Bank St at Meadow St (see coordinates),Connecticut,New Haven,Waterbury,"New Haven-Milford, CT",2016-12-19,[ 41.550556 -73.043611],"{'Commercial and Services': 0.33, 'Residential': 0.08, 'Industrial': 0.39, 'Other urban or built-up land': 0.05, 'Transportation, communications and services': 0.15}"
9,9,2123,88101,2,41.550556,-73.043611,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2016,Micrograms/cubic meter (LC),No Events,16,26,N,16,61,0,2,0.0,0.0,Certified,0,7.26875,4.762173,20.1,2016-03-07 00:00,12.7,2016-01-31 00:00,11.5,2016-01-25 00:00,10.7,2016-02-06 00:00,,,,,20.1,20.1,20.1,12.7,10.7,6.5,2.8,Meadow and Bank Streets,Bank St at Meadow St (see coordinates),Connecticut,New Haven,Waterbury,"New Haven-Milford, CT",2016-12-19,[ 41.550556 -73.043611],"{'Commercial and Services': 0.33, 'Residential': 0.08, 'Industrial': 0.39, 'Other urban or built-up land': 0.05, 'Transportation, communications and services': 0.15}"
9,9,2123,88101,2,41.550556,-73.043611,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2016,Micrograms/cubic meter (LC),No Events,16,26,N,16,61,0,2,,,Certified,0,7.26875,4.762173,20.1,2016-03-07 00:00,12.7,2016-01-31 00:00,11.5,2016-01-25 00:00,10.7,2016-02-06 00:00,,,,,20.1,20.1,20.1,12.7,10.7,6.5,2.8,Meadow and Bank Streets,Bank St at Meadow St (see coordinates),Connecticut,New Haven,Waterbury,"New Haven-Milford, CT",2016-12-19,[ 41.550556 -73.043611],"{'Commercial and Services': 0.33, 'Residential': 0.08, 'Industrial': 0.39, 'Other urban or built-up land': 0.05, 'Transportation, communications and services': 0.15}"
