State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
25,3,6,88101,3,42.452017,-73.255089,WGS84,PM2.5 - Local Conditions,1 HOUR,,Observed Values,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,2016,Micrograms/cubic meter (LC),No Events,8292,94,Y,360,366,0,492,,,Certified,0,6.801411,8.072356,139.3,2016-02-12 09:00,60.2,2016-03-09 09:00,58.2,2016-03-08 10:00,58.0,2016-07-03 23:00,,,,,33.0,29.0,22.3,17.0,9.7,6.0,-2.0,BERKSHIRE COMMONS,1 SOUTH STREET,Massachusetts,Berkshire,Pittsfield,"Pittsfield, MA",2017-02-24,[ 42.452017 -73.255089],"{'Commercial and Services': 0.83, 'Residential': 0.17}"
25,3,6,88101,3,42.452017,-73.255089,WGS84,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 2006,Daily Mean,,2016,Micrograms/cubic meter (LC),No Events,351,96,Y,351,366,0,0,0.0,0.0,Certified,0,6.733333,4.629755,25.5,2016-01-07 00:00,24.2,2016-12-21 00:00,23.5,2016-12-22 00:00,23.0,2016-11-25 00:00,,,,,23.0,18.1,15.0,13.1,9.1,6.0,1.4,BERKSHIRE COMMONS,1 SOUTH STREET,Massachusetts,Berkshire,Pittsfield,"Pittsfield, MA",2017-02-24,[ 42.452017 -73.255089],"{'Commercial and Services': 0.83, 'Residential': 0.17}"
25,3,6,88101,3,42.452017,-73.255089,WGS84,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 2012,Daily Mean,,2016,Micrograms/cubic meter (LC),No Events,351,96,Y,351,366,0,0,0.0,0.0,Certified,0,6.733333,4.629755,25.5,2016-01-07 00:00,24.2,2016-12-21 00:00,23.5,2016-12-22 00:00,23.0,2016-11-25 00:00,,,,,23.0,18.1,15.0,13.1,9.1,6.0,1.4,BERKSHIRE COMMONS,1 SOUTH STREET,Massachusetts,Berkshire,Pittsfield,"Pittsfield, MA",2017-02-24,[ 42.452017 -73.255089],"{'Commercial and Services': 0.83, 'Residential': 0.17}"
25,3,6,88101,3,42.452017,-73.255089,WGS84,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 Annual 2006,Quarterly Means of Daily Means,,2016,Micrograms/cubic meter (LC),No Events,351,96,Y,351,366,0,0,,,Certified,0,6.733333,4.629755,25.5,2016-01-07 00:00,24.2,2016-12-21 00:00,23.5,2016-12-22 00:00,23.0,2016-11-25 00:00,,,,,23.0,18.1,15.0,13.1,9.1,6.0,1.4,BERKSHIRE COMMONS,1 SOUTH STREET,Massachusetts,Berkshire,Pittsfield,"Pittsfield, MA",2017-02-24,[ 42.452017 -73.255089],"{'Commercial and Services': 0.83, 'Residential': 0.17}"
25,3,6,88101,3,42.452017,-73.255089,WGS84,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 Annual 2012,Quarterly Means of Daily Means,,2016,Micrograms/cubic meter (LC),No Events,351,96,Y,351,366,0,0,,,Certified,0,6.733333,4.629755,25.5,2016-01-07 00:00,24.2,2016-12-21 00:00,23.5,2016-12-22 00:00,23.0,2016-11-25 00:00,,,,,23.0,18.1,15.0,13.1,9.1,6.0,1.4,BERKSHIRE COMMONS,1 SOUTH STREET,Massachusetts,Berkshire,Pittsfield,"Pittsfield, MA",2017-02-24,[ 42.452017 -73.255089],"{'Commercial and Services': 0.83, 'Residential': 0.17}"
25,3,5001,68101,1,42.448009,-73.254108,WGS84,Sample Flow Rate- CV,24 HOUR,,Observed Values,R & P Model 2025 PM-2.5 FEM Sequential Air Sampler - Calculation,2016,Percent,No Events,113,100,Y,59,61,0,9,,,Certification not required,0,0.134513,0.121574,0.4,2016-09-21 00:00,0.3,2016-01-31 00:00,0.3,2016-03-04 00:00,0.3,2016-03-07 00:00,,,,,0.3,0.3,0.3,0.3,0.2,0.1,0.0,AT THE CORNER OF CENTER ST AND COLUMBUS AVE,78 CENTER ST,Massachusetts,Berkshire,Pittsfield,"Pittsfield, MA",2017-03-22,[ 42.448009 -73.254108],"{'Commercial and Services': 0.63, 'Residential': 0.37}"
25,3,5001,68102,1,42.448009,-73.254108,WGS84,Sample Volume,24 HOUR,,Observed Values,R & P Model 2025 PM-2.5 FEM Sequential Air Sampler - Calculation,2016,Cubic meter,No Events,113,100,Y,59,61,0,9,,,Certification not required,0,23.995575,0.047036,24.0,2016-01-01 00:00,24.0,2016-01-13 00:00,24.0,2016-01-16 00:00,24.0,2016-01-19 00:00,,,,,24.0,24.0,24.0,24.0,24.0,24.0,24.0,AT THE CORNER OF CENTER ST AND COLUMBUS AVE,78 CENTER ST,Massachusetts,Berkshire,Pittsfield,"Pittsfield, MA",2017-03-22,[ 42.448009 -73.254108],"{'Commercial and Services': 0.63, 'Residential': 0.37}"
25,3,5001,68103,1,42.448009,-73.254108,WGS84,Ambient Min Temperature,24 HOUR,,Observed Values,R & P Model 2025 PM-2.5 FEM Sequential Air Sampler - Electronic,2016,Degrees Centigrade,No Events,113,100,Y,59,61,0,9,,,Certification not required,0,4.159292,9.90336,21.0,2016-07-14 00:00,20.4,2016-08-13 00:00,19.8,2016-07-26 00:00,19.6,2016-09-09 00:00,,,,,20.4,19.8,18.9,17.9,12.8,4.4,-9.0,AT THE CORNER OF CENTER ST AND COLUMBUS AVE,78 CENTER ST,Massachusetts,Berkshire,Pittsfield,"Pittsfield, MA",2017-03-22,[ 42.448009 -73.254108],"{'Commercial and Services': 0.63, 'Residential': 0.37}"
25,3,5001,68104,1,42.448009,-73.254108,WGS84,Ambient Max Temperature,24 HOUR,,Observed Values,R & P Model 2025 PM-2.5 FEM Sequential Air Sampler - Electronic,2016,Degrees Centigrade,No Events,113,100,Y,59,61,0,9,,,Certification not required,0,15.886726,10.783035,34.2,2016-08-13 00:00,32.1,2016-06-20 00:00,31.3,2016-06-26 00:00,31.1,2016-07-23 00:00,,,,,32.1,31.3,29.8,29.3,25.4,17.1,1.2,AT THE CORNER OF CENTER ST AND COLUMBUS AVE,78 CENTER ST,Massachusetts,Berkshire,Pittsfield,"Pittsfield, MA",2017-03-22,[ 42.448009 -73.254108],"{'Commercial and Services': 0.63, 'Residential': 0.37}"
25,3,5001,68105,1,42.448009,-73.254108,WGS84,Average Ambient Temperature,24 HOUR,,Observed Values,R & P Model 2025 PM-2.5 FEM Sequential Air Sampler - Electronic,2016,Degrees Centigrade,No Events,113,100,Y,59,61,0,9,,,Certification not required,0,9.89469,10.004506,26.7,2016-08-13 00:00,24.9,2016-07-23 00:00,24.2,2016-07-14 00:00,24.2,2016-09-09 00:00,,,,,24.9,24.2,23.6,23.3,18.7,10.4,-3.0,AT THE CORNER OF CENTER ST AND COLUMBUS AVE,78 CENTER ST,Massachusetts,Berkshire,Pittsfield,"Pittsfield, MA",2017-03-22,[ 42.448009 -73.254108],"{'Commercial and Services': 0.63, 'Residential': 0.37}"
