State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
25,5,1004,42401,1,41.685707,-71.169235,WGS84,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - ULTRAVIOLET FLUORESCENCE,2016,Parts per billion,No Events,8457,96,Y,359,366,0,327,0.0,,Certified,0,1.829526,1.242662,8.7,2016-03-06 11:00,7.5,2016-04-10 04:00,7.1,2016-12-20 12:00,7.0,2016-10-26 08:00,,,,,7.0,6.1,4.1,3.1,2.3,1.6,0.7,FALL RIVER,659 GLOBE ST,Massachusetts,Bristol,Fall River,"Providence-Warwick, RI-MA",2017-05-16,[ 41.685707 -71.169235],"{'Mixed urban or built-up land': 0.23, 'Industrial': 0.01, 'Lakes': 0.12, 'Residential': 0.64}"
25,5,1004,42401,1,41.685707,-71.169235,WGS84,Sulfur dioxide,1 HOUR,SO2 Annual 1971,Observed Values,INSTRUMENTAL - ULTRAVIOLET FLUORESCENCE,2016,Parts per billion,No Events,8457,96,Y,359,366,0,327,,,Certified,0,1.086662,0.773872,8.7,2016-03-06 11:00,8.3,2016-03-06 10:00,7.5,2016-04-10 04:00,7.1,2016-12-20 12:00,,,,,2.9,2.6,2.3,2.1,1.7,1.0,0.2,FALL RIVER,659 GLOBE ST,Massachusetts,Bristol,Fall River,"Providence-Warwick, RI-MA",2017-05-16,[ 41.685707 -71.169235],"{'Mixed urban or built-up land': 0.23, 'Industrial': 0.01, 'Lakes': 0.12, 'Residential': 0.64}"
25,5,1004,42401,1,41.685707,-71.169235,WGS84,Sulfur dioxide,24-HR BLK AVG,SO2 24-hour 1971,Daily Average of observed values,,2016,Parts per billion,No Events,359,98,Y,359,366,0,0,0.0,,Certified,0,1.091922,0.656779,2.9,2016-10-22 00:00,2.7,2016-10-23 00:00,2.5,2016-10-03 00:00,2.5,2016-10-17 00:00,,,,,2.5,2.3,2.2,2.0,1.7,1.0,0.3,FALL RIVER,659 GLOBE ST,Massachusetts,Bristol,Fall River,"Providence-Warwick, RI-MA",2017-05-16,[ 41.685707 -71.169235],"{'Mixed urban or built-up land': 0.23, 'Industrial': 0.01, 'Lakes': 0.12, 'Residential': 0.64}"
25,5,1004,42401,1,41.685707,-71.169235,WGS84,Sulfur dioxide,3-HR BLK AVG,SO2 3-hour 1971,3-Hour block average of observed hourly values,,2016,Parts per billion,No Events,2733,93,Y,355,366,0,0,,0.0,Certified,0,1.06041,0.732666,5.8,2016-03-06 11:00,5.0,2016-12-20 14:00,4.6,2016-01-22 05:00,4.4,2016-01-25 08:00,,,,,2.8,2.5,2.3,2.0,1.6,0.9,0.2,FALL RIVER,659 GLOBE ST,Massachusetts,Bristol,Fall River,"Providence-Warwick, RI-MA",2017-05-16,[ 41.685707 -71.169235],"{'Mixed urban or built-up land': 0.23, 'Industrial': 0.01, 'Lakes': 0.12, 'Residential': 0.64}"
25,5,1004,42406,1,41.685707,-71.169235,WGS84,SO2 max 5-min avg,1 HOUR,,Observed Values,INSTRUMENTAL - ULTRAVIOLET FLUORESCENCE,2016,Parts per billion,No Events,8382,95,Y,353,366,0,402,,,Certification not required,0,1.376092,1.128436,21.3,2016-03-06 11:00,20.3,2016-03-06 10:00,19.4,2016-02-14 06:00,16.1,2016-12-15 16:00,,,,,5.6,3.9,2.7,2.3,1.9,1.2,0.4,FALL RIVER,659 GLOBE ST,Massachusetts,Bristol,Fall River,"Providence-Warwick, RI-MA",2017-02-24,[ 41.685707 -71.169235],"{'Mixed urban or built-up land': 0.23, 'Industrial': 0.01, 'Lakes': 0.12, 'Residential': 0.64}"
25,5,1004,44201,1,41.685707,-71.169235,WGS84,Ozone,1 HOUR,Ozone 1-hour Daily 2005,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET ABSORPTION,2016,Parts per million,No Events,8560,99,Y,182,183,0,224,0.0,0.0,Certified,0,0.047132,0.012613,0.087,2016-05-26 17:00,0.087,2016-07-15 18:00,0.084,2016-05-25 18:00,0.082,2016-07-06 14:00,,,,,0.087,0.082,0.07,0.065,0.054,0.047,0.041,FALL RIVER,659 GLOBE ST,Massachusetts,Bristol,Fall River,"Providence-Warwick, RI-MA",2017-02-24,[ 41.685707 -71.169235],"{'Mixed urban or built-up land': 0.23, 'Industrial': 0.01, 'Lakes': 0.12, 'Residential': 0.64}"
25,5,1004,44201,1,41.685707,-71.169235,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,2016,Parts per million,No Events,8678,98,Y,180,183,0,0,0.0,0.0,Certified,0,0.042611,0.011173,0.08,2016-05-26 12:00,0.079,2016-05-25 16:00,0.076,2016-07-06 10:00,0.076,2016-07-15 17:00,,,,,0.079,0.076,0.063,0.058,0.049,0.043,0.038,FALL RIVER,659 GLOBE ST,Massachusetts,Bristol,Fall River,"Providence-Warwick, RI-MA",2017-02-24,[ 41.685707 -71.169235],"{'Mixed urban or built-up land': 0.23, 'Industrial': 0.01, 'Lakes': 0.12, 'Residential': 0.64}"
25,5,1004,44201,1,41.685707,-71.169235,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,2016,Parts per million,No Events,8678,98,Y,180,183,0,0,4.0,4.0,Certified,0,0.042611,0.011173,0.08,2016-05-26 12:00,0.079,2016-05-25 16:00,0.076,2016-07-06 10:00,0.076,2016-07-15 17:00,,,,,0.079,0.076,0.063,0.058,0.049,0.043,0.038,FALL RIVER,659 GLOBE ST,Massachusetts,Bristol,Fall River,"Providence-Warwick, RI-MA",2017-02-24,[ 41.685707 -71.169235],"{'Mixed urban or built-up land': 0.23, 'Industrial': 0.01, 'Lakes': 0.12, 'Residential': 0.64}"
25,5,1004,44201,1,41.685707,-71.169235,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,2016,Parts per million,No Events,6161,100,Y,183,183,0,0,4.0,4.0,Certified,0,0.042301,0.011319,0.08,2016-05-26 12:00,0.079,2016-05-25 16:00,0.076,2016-07-06 10:00,0.076,2016-07-15 17:00,,,,,0.079,0.076,0.062,0.058,0.049,0.043,0.037,FALL RIVER,659 GLOBE ST,Massachusetts,Bristol,Fall River,"Providence-Warwick, RI-MA",2017-02-24,[ 41.685707 -71.169235],"{'Mixed urban or built-up land': 0.23, 'Industrial': 0.01, 'Lakes': 0.12, 'Residential': 0.64}"
25,5,1004,68101,1,41.685707,-71.169235,WGS84,Sample Flow Rate- CV,24 HOUR,,Observed Values,R & P Model 2025 PM-2.5 FEM Sequential Air Sampler - Calculation,2016,Percent,No Events,120,100,Y,61,61,0,3,,,Certification not required,0,0.080833,0.174074,0.6,2016-07-17 00:00,0.6,2016-07-23 00:00,0.6,2016-08-10 00:00,0.6,2016-08-16 00:00,,,,,0.6,0.6,0.5,0.4,0.0,0.0,0.0,FALL RIVER,659 GLOBE ST,Massachusetts,Bristol,Fall River,"Providence-Warwick, RI-MA",2017-03-22,[ 41.685707 -71.169235],"{'Mixed urban or built-up land': 0.23, 'Industrial': 0.01, 'Lakes': 0.12, 'Residential': 0.64}"
