State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
25,9,2006,42101,1,42.474642,-70.970816,WGS84,Carbon monoxide,1 HOUR,CO 1-hour 1971,Obseved hourly values,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,2016,Parts per million,No Events,8022,91,Y,354,366,0,762,0.0,0.0,Certified,0,0.168818,0.061251,0.791,2016-01-15 08:00,0.717,2016-01-15 09:00,0.627,2016-12-17 22:00,0.605,2016-11-02 18:00,,,,,0.386,0.34,0.28,0.241,0.193,0.157,0.108,LYNN WATER TREATMENT PLANT,390 PARKLAND,Massachusetts,Essex,Lynn,"Boston-Cambridge-Newton, MA-NH",2017-02-24,[ 42.474642 -70.970816],"{'Residential': 0.91, 'Other urban or built-up land': 0.08, 'Reservoirs': 0.01}"
25,9,2006,42101,1,42.474642,-70.970816,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,,2016,Parts per million,No Events,8461,96,Y,351,366,0,0,0.0,0.0,Certified,0,0.168668,0.064617,0.5,2016-01-15 12:00,0.5,2016-01-15 13:00,0.5,2016-12-17 21:00,0.5,2016-12-17 22:00,0.5,2016-01-15 12:00,0.5,2016-12-17 21:00,0.3,0.3,0.3,0.2,0.2,0.2,0.1,LYNN WATER TREATMENT PLANT,390 PARKLAND,Massachusetts,Essex,Lynn,"Boston-Cambridge-Newton, MA-NH",2017-02-24,[ 42.474642 -70.970816],"{'Residential': 0.91, 'Other urban or built-up land': 0.08, 'Reservoirs': 0.01}"
25,9,2006,42153,10,42.474642,-70.970816,WGS84,Carbon disulfide,24 HOUR,,Observed Values,INSTRUMENTAL - ENTECH 2000 W/ MS/FID,2016,Parts per billion Carbon,No Events,16,26,N,16,61,0,0,,,Certification not required,0,0.0,0.0,0.0,2016-01-01 00:00,0.0,2016-01-07 00:00,0.0,2016-01-15 00:00,0.0,2016-01-19 00:00,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LYNN WATER TREATMENT PLANT,390 PARKLAND,Massachusetts,Essex,Lynn,"Boston-Cambridge-Newton, MA-NH",2016-06-22,[ 42.474642 -70.970816],"{'Residential': 0.91, 'Other urban or built-up land': 0.08, 'Reservoirs': 0.01}"
25,9,2006,42153,11,42.474642,-70.970816,WGS84,Carbon disulfide,24 HOUR,,Observed Values,INSTRUMENTAL - ENTECH 2000 W/ MS/FID,2016,Parts per billion Carbon,No Events,4,7,N,4,61,0,0,,,Certification not required,0,0.0,0.0,0.0,2016-01-01 00:00,0.0,2016-01-25 00:00,0.0,2016-02-18 00:00,0.0,2016-03-13 00:00,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LYNN WATER TREATMENT PLANT,390 PARKLAND,Massachusetts,Essex,Lynn,"Boston-Cambridge-Newton, MA-NH",2016-06-22,[ 42.474642 -70.970816],"{'Residential': 0.91, 'Other urban or built-up land': 0.08, 'Reservoirs': 0.01}"
25,9,2006,42601,1,42.474642,-70.970816,WGS84,Nitric oxide (NO),1 HOUR,,Observed Values,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,2016,Parts per billion,No Events,8291,94,Y,349,366,0,493,,,Certification not required,0,0.803884,2.751973,63.0,2016-01-15 08:00,51.0,2016-02-10 07:00,49.0,2016-01-15 09:00,40.0,2016-12-17 22:00,,,,,13.0,7.0,3.0,2.0,1.0,0.0,0.0,LYNN WATER TREATMENT PLANT,390 PARKLAND,Massachusetts,Essex,Lynn,"Boston-Cambridge-Newton, MA-NH",2017-02-24,[ 42.474642 -70.970816],"{'Residential': 0.91, 'Other urban or built-up land': 0.08, 'Reservoirs': 0.01}"
25,9,2006,42602,1,42.474642,-70.970816,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Daily Maximum 1-hour average,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,2016,Parts per billion,No Events,8291,94,Y,349,366,0,493,0.0,,Certified,0,12.495702,7.945801,41.0,2016-02-10 05:00,39.0,2016-07-05 23:00,35.0,2016-11-15 00:00,34.0,2016-12-17 01:00,,,,,34.0,32.0,29.0,25.0,16.0,11.0,4.0,LYNN WATER TREATMENT PLANT,390 PARKLAND,Massachusetts,Essex,Lynn,"Boston-Cambridge-Newton, MA-NH",2017-02-24,[ 42.474642 -70.970816],"{'Residential': 0.91, 'Other urban or built-up land': 0.08, 'Reservoirs': 0.01}"
25,9,2006,42602,1,42.474642,-70.970816,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 Annual 1971,Observed values,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,2016,Parts per billion,No Events,8291,94,Y,349,366,0,493,,,Certified,0,5.197322,5.177468,41.0,2016-02-10 05:00,41.0,2016-02-10 06:00,41.0,2016-02-10 07:00,39.0,2016-02-10 04:00,,,,,26.0,23.0,16.0,11.0,7.0,4.0,1.0,LYNN WATER TREATMENT PLANT,390 PARKLAND,Massachusetts,Essex,Lynn,"Boston-Cambridge-Newton, MA-NH",2017-02-24,[ 42.474642 -70.970816],"{'Residential': 0.91, 'Other urban or built-up land': 0.08, 'Reservoirs': 0.01}"
25,9,2006,42603,1,42.474642,-70.970816,WGS84,Oxides of nitrogen (NOx),1 HOUR,,Observed Values,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,2016,Parts per billion,No Events,8291,94,Y,349,366,0,493,,,Certification not required,0,6.110964,7.095743,93.0,2016-02-10 07:00,89.0,2016-01-15 08:00,77.0,2016-02-10 04:00,77.0,2016-02-10 05:00,,,,,39.0,27.0,18.0,13.0,7.0,4.0,1.0,LYNN WATER TREATMENT PLANT,390 PARKLAND,Massachusetts,Essex,Lynn,"Boston-Cambridge-Newton, MA-NH",2017-02-24,[ 42.474642 -70.970816],"{'Residential': 0.91, 'Other urban or built-up land': 0.08, 'Reservoirs': 0.01}"
25,9,2006,43000,1,42.474642,-70.970816,WGS84,Sum of PAMS target compounds,1 HOUR,,Observed Values,INSTRUMENTAL - SUM OF PEAKS,2016,Parts per billion Carbon,No Events,722,25,N,28,366,0,766,,,Certification not required,0,21.708449,9.984395,90.2,2016-08-10 06:00,87.2,2016-07-06 20:00,69.9,2016-07-16 20:00,69.0,2016-08-10 07:00,,,,,58.9,49.8,39.5,32.6,25.4,20.1,11.6,LYNN WATER TREATMENT PLANT,390 PARKLAND,Massachusetts,Essex,Lynn,"Boston-Cambridge-Newton, MA-NH",2017-03-17,[ 42.474642 -70.970816],"{'Residential': 0.91, 'Other urban or built-up land': 0.08, 'Reservoirs': 0.01}"
25,9,2006,43000,2,42.474642,-70.970816,WGS84,Sum of PAMS target compounds,24 HOUR,,Observed Values,INSTRUMENTAL - SUM OF PEAKS,2016,Parts per billion Carbon,No Events,17,28,N,17,61,0,0,,,Certification not required,0,20.588235,4.84173,32.8,2016-07-05 00:00,25.3,2016-06-29 00:00,25.0,2016-07-17 00:00,21.8,2016-07-23 00:00,,,,,32.8,32.8,32.8,25.3,21.5,20.3,16.4,LYNN WATER TREATMENT PLANT,390 PARKLAND,Massachusetts,Essex,Lynn,"Boston-Cambridge-Newton, MA-NH",2016-12-28,[ 42.474642 -70.970816],"{'Residential': 0.91, 'Other urban or built-up land': 0.08, 'Reservoirs': 0.01}"
