State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
25,11,2005,44201,1,42.605816,-72.596689,WGS84,Ozone,1 HOUR,Ozone 1-hour Daily 2005,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET ABSORPTION,2016,Parts per million,No Events,8528,99,Y,182,183,0,256,0.0,0.0,Certified,0,0.043978,0.012874,0.086,2016-05-26 16:00,0.081,2016-05-27 13:00,0.08,2016-05-25 14:00,0.078,2016-08-25 15:00,,,,,0.081,0.078,0.071,0.06,0.052,0.045,0.039,Greenfield 16 Barr Ave,VETERANS FIELD,Massachusetts,Franklin,Greenfield,"Greenfield Town, MA",2017-02-24,[ 42.605816 -72.596689],"{'Commercial and Services': 0.16666666666666666, 'Residential': 0.8083333333333333, 'Deciduous forest land': 0.025}"
25,11,2005,44201,1,42.605816,-72.596689,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,2016,Parts per million,No Events,8639,99,Y,181,183,0,0,0.0,0.0,Certified,0,0.039105,0.011514,0.075,2016-05-26 10:00,0.075,2016-05-27 11:00,0.071,2016-05-25 11:00,0.068,2016-06-20 12:00,,,,,0.075,0.068,0.059,0.052,0.046,0.041,0.036,Greenfield 16 Barr Ave,VETERANS FIELD,Massachusetts,Franklin,Greenfield,"Greenfield Town, MA",2017-02-24,[ 42.605816 -72.596689],"{'Commercial and Services': 0.16666666666666666, 'Residential': 0.8083333333333333, 'Deciduous forest land': 0.025}"
25,11,2005,44201,1,42.605816,-72.596689,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,2016,Parts per million,No Events,8639,99,Y,181,183,0,0,0.0,0.0,Certified,0,0.039105,0.011514,0.075,2016-05-26 10:00,0.075,2016-05-27 11:00,0.071,2016-05-25 11:00,0.068,2016-06-20 12:00,,,,,0.075,0.068,0.059,0.052,0.046,0.041,0.036,Greenfield 16 Barr Ave,VETERANS FIELD,Massachusetts,Franklin,Greenfield,"Greenfield Town, MA",2017-02-24,[ 42.605816 -72.596689],"{'Commercial and Services': 0.16666666666666666, 'Residential': 0.8083333333333333, 'Deciduous forest land': 0.025}"
25,11,2005,44201,1,42.605816,-72.596689,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,2016,Parts per million,No Events,6147,99,Y,182,183,0,0,3.0,3.0,Certified,0,0.039082,0.011554,0.075,2016-05-26 10:00,0.075,2016-05-27 11:00,0.071,2016-05-25 11:00,0.068,2016-06-20 12:00,,,,,0.075,0.068,0.059,0.052,0.046,0.041,0.036,Greenfield 16 Barr Ave,VETERANS FIELD,Massachusetts,Franklin,Greenfield,"Greenfield Town, MA",2017-02-24,[ 42.605816 -72.596689],"{'Commercial and Services': 0.16666666666666666, 'Residential': 0.8083333333333333, 'Deciduous forest land': 0.025}"
25,11,2005,61101,1,42.605816,-72.596689,WGS84,Wind Speed - Scalar,1 HOUR,,Observed Values,Instrumental - Met One Sonic Anemometer Model 50.5,2016,Knots,No Events,8775,100,Y,366,366,0,9,,,Certification not required,0,3.115145,2.148593,15.6,2016-03-01 01:00,14.4,2016-03-02 11:00,14.1,2016-03-31 11:00,13.5,2016-02-24 05:00,,,,,9.6,8.6,7.4,6.3,4.4,2.4,1.0,Greenfield 16 Barr Ave,VETERANS FIELD,Massachusetts,Franklin,Greenfield,"Greenfield Town, MA",2017-02-24,[ 42.605816 -72.596689],"{'Commercial and Services': 0.16666666666666666, 'Residential': 0.8083333333333333, 'Deciduous forest land': 0.025}"
25,11,2005,61102,1,42.605816,-72.596689,WGS84,Wind Direction - Scalar,1 HOUR,,Observed Values,Instrumental - Met One Sonic Anemometer Model 50.5,2016,Degrees Compass,No Events,8775,100,Y,366,366,0,9,,,Certification not required,0,198.774929,119.102356,360.0,2016-02-05 13:00,360.0,2016-02-07 18:00,360.0,2016-03-04 21:00,360.0,2016-03-21 01:00,,,,,359.0,358.0,353.0,345.0,304.0,207.0,16.0,Greenfield 16 Barr Ave,VETERANS FIELD,Massachusetts,Franklin,Greenfield,"Greenfield Town, MA",2017-02-24,[ 42.605816 -72.596689],"{'Commercial and Services': 0.16666666666666666, 'Residential': 0.8083333333333333, 'Deciduous forest land': 0.025}"
25,11,2005,62101,1,42.605816,-72.596689,WGS84,Outdoor Temperature,1 HOUR,,Observed Values,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,2016,Degrees Fahrenheit,No Events,8784,100,Y,366,366,0,0,,,Certification not required,0,57.048611,19.909937,100.0,2016-05-28 15:00,100.0,2016-05-28 16:00,100.0,2016-07-06 13:00,100.0,2016-07-22 14:00,,,,,95.0,93.0,89.0,84.0,73.0,57.0,32.0,Greenfield 16 Barr Ave,VETERANS FIELD,Massachusetts,Franklin,Greenfield,"Greenfield Town, MA",2017-02-24,[ 42.605816 -72.596689],"{'Commercial and Services': 0.16666666666666666, 'Residential': 0.8083333333333333, 'Deciduous forest land': 0.025}"
25,11,2005,62201,1,42.605816,-72.596689,WGS84,Relative Humidity ,1 HOUR,,Observed Values,INSTRUMENTAL - HYGROSCOPIC PLASTIC FILM,2016,Percent relative humidity,No Events,8784,100,Y,366,366,0,0,,,Certification not required,0,70.868739,21.805689,100.0,2016-01-10 07:00,100.0,2016-01-10 08:00,100.0,2016-01-10 09:00,100.0,2016-01-10 10:00,,,,,100.0,100.0,100.0,99.0,91.0,73.0,40.0,Greenfield 16 Barr Ave,VETERANS FIELD,Massachusetts,Franklin,Greenfield,"Greenfield Town, MA",2017-02-24,[ 42.605816 -72.596689],"{'Commercial and Services': 0.16666666666666666, 'Residential': 0.8083333333333333, 'Deciduous forest land': 0.025}"
25,11,2005,63301,1,42.605816,-72.596689,WGS84,Solar radiation,1 HOUR,,Observed Values,INSTRUMENTAL - PYRANOMETER,2016,Langleys/minute,No Events,8784,100,Y,366,366,0,0,,,Certification not required,0,0.267426,0.300541,1.3,2016-06-21 12:00,1.3,2016-07-02 12:00,1.28,2016-05-19 11:00,1.27,2016-06-16 12:00,,,,,1.18,1.13,0.98,0.79,0.36,0.09,0.07,Greenfield 16 Barr Ave,VETERANS FIELD,Massachusetts,Franklin,Greenfield,"Greenfield Town, MA",2017-02-24,[ 42.605816 -72.596689],"{'Commercial and Services': 0.16666666666666666, 'Residential': 0.8083333333333333, 'Deciduous forest land': 0.025}"
25,11,2005,64101,1,42.605816,-72.596689,WGS84,Barometric pressure,1 HOUR,,Observed Values,INSTRUMENTAL - ANEROID,2016,Millibars,No Events,8784,100,Y,366,366,0,0,,,Certification not required,0,1009.160064,7.920093,1035.0,2016-12-26 01:00,1035.0,2016-12-26 02:00,1035.0,2016-12-26 03:00,1035.0,2016-12-26 04:00,,,,,1027.0,1024.0,1021.0,1019.0,1015.0,1009.0,1000.0,Greenfield 16 Barr Ave,VETERANS FIELD,Massachusetts,Franklin,Greenfield,"Greenfield Town, MA",2017-02-24,[ 42.605816 -72.596689],"{'Commercial and Services': 0.16666666666666666, 'Residential': 0.8083333333333333, 'Deciduous forest land': 0.025}"
