State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
25,25,2,42401,1,42.348873,-71.097163,WGS84,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,Instrumental - Ultraviolet Fluorescence API 100 EU,2016,Parts per billion,No Events,8498,97,Y,359,366,0,286,0.0,,Certified,0,0.982173,0.787624,5.0,2016-09-22 09:00,4.6,2016-01-15 08:00,4.3,2016-11-29 03:00,4.1,2016-04-06 06:00,,,,,4.1,3.4,2.7,2.1,1.2,0.7,0.4,BOSTON KENMORE SQ,KENMORE SQ,Massachusetts,Suffolk,Boston,"Boston-Cambridge-Newton, MA-NH",2017-02-24,[ 42.348873 -71.097163],"{'Commercial and Services': 0.21465968586387435, 'Residential': 0.13089005235602094, 'Streams and canals': 0.13089005235602094, 'Transportation, communications and services': 0.5235602094240838}"
25,25,2,42401,1,42.348873,-71.097163,WGS84,Sulfur dioxide,1 HOUR,SO2 Annual 1971,Observed Values,Instrumental - Ultraviolet Fluorescence API 100 EU,2016,Parts per billion,No Events,8498,97,Y,359,366,0,286,,,Certified,0,0.425324,0.410311,5.0,2016-09-22 09:00,4.6,2016-01-15 08:00,4.3,2016-11-29 03:00,4.1,2016-04-06 06:00,,,,,2.2,1.7,1.1,0.8,0.5,0.3,0.1,BOSTON KENMORE SQ,KENMORE SQ,Massachusetts,Suffolk,Boston,"Boston-Cambridge-Newton, MA-NH",2017-02-24,[ 42.348873 -71.097163],"{'Commercial and Services': 0.21465968586387435, 'Residential': 0.13089005235602094, 'Streams and canals': 0.13089005235602094, 'Transportation, communications and services': 0.5235602094240838}"
25,25,2,42401,1,42.348873,-71.097163,WGS84,Sulfur dioxide,24-HR BLK AVG,SO2 24-hour 1971,Daily Average of observed values,,2016,Parts per billion,No Events,359,98,Y,359,366,0,0,0.0,,Certified,0,0.425627,0.28805,2.2,2016-01-07 00:00,2.0,2016-11-08 00:00,1.6,2016-01-15 00:00,1.5,2016-12-20 00:00,,,,,1.5,1.3,0.9,0.7,0.5,0.4,0.1,BOSTON KENMORE SQ,KENMORE SQ,Massachusetts,Suffolk,Boston,"Boston-Cambridge-Newton, MA-NH",2017-02-24,[ 42.348873 -71.097163],"{'Commercial and Services': 0.21465968586387435, 'Residential': 0.13089005235602094, 'Streams and canals': 0.13089005235602094, 'Transportation, communications and services': 0.5235602094240838}"
25,25,2,42401,1,42.348873,-71.097163,WGS84,Sulfur dioxide,3-HR BLK AVG,SO2 3-hour 1971,3-Hour block average of observed hourly values,,2016,Parts per billion,No Events,2785,95,Y,352,366,0,0,,0.0,Certified,0,0.394255,0.384827,3.9,2016-11-29 05:00,3.8,2016-01-15 08:00,3.4,2016-11-29 02:00,2.9,2016-01-07 11:00,,,,,2.0,1.6,1.0,0.8,0.5,0.3,0.1,BOSTON KENMORE SQ,KENMORE SQ,Massachusetts,Suffolk,Boston,"Boston-Cambridge-Newton, MA-NH",2017-02-24,[ 42.348873 -71.097163],"{'Commercial and Services': 0.21465968586387435, 'Residential': 0.13089005235602094, 'Streams and canals': 0.13089005235602094, 'Transportation, communications and services': 0.5235602094240838}"
25,25,2,42406,1,42.348873,-71.097163,WGS84,SO2 max 5-min avg,1 HOUR,,Observed Values,Instrumental - Ultraviolet Fluorescence API 100 EU,2016,Parts per billion,No Events,8440,96,Y,357,366,0,344,,,Certification not required,0,0.588614,0.559636,7.9,2016-09-22 09:00,6.3,2016-02-15 08:00,5.6,2016-01-15 08:00,5.4,2016-10-11 07:00,,,,,3.0,2.5,1.6,1.1,0.7,0.5,0.1,BOSTON KENMORE SQ,KENMORE SQ,Massachusetts,Suffolk,Boston,"Boston-Cambridge-Newton, MA-NH",2017-02-24,[ 42.348873 -71.097163],"{'Commercial and Services': 0.21465968586387435, 'Residential': 0.13089005235602094, 'Streams and canals': 0.13089005235602094, 'Transportation, communications and services': 0.5235602094240838}"
25,25,2,42601,1,42.348873,-71.097163,WGS84,Nitric oxide (NO),1 HOUR,,Observed Values,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,2016,Parts per billion,No Events,8278,94,Y,347,366,0,506,,,Certification not required,0,9.341266,10.768966,143.0,2016-11-29 03:00,139.0,2016-11-29 02:00,134.0,2016-11-29 04:00,133.0,2016-11-29 01:00,,,,,56.0,41.0,26.0,19.0,12.0,6.0,1.0,BOSTON KENMORE SQ,KENMORE SQ,Massachusetts,Suffolk,Boston,"Boston-Cambridge-Newton, MA-NH",2017-02-24,[ 42.348873 -71.097163],"{'Commercial and Services': 0.21465968586387435, 'Residential': 0.13089005235602094, 'Streams and canals': 0.13089005235602094, 'Transportation, communications and services': 0.5235602094240838}"
25,25,2,42602,1,42.348873,-71.097163,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Daily Maximum 1-hour average,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,2016,Parts per billion,No Events,8434,96,Y,352,366,0,350,0.0,,Certified,0,26.136364,9.487051,53.0,2016-10-06 17:00,52.0,2016-11-02 20:00,50.0,2016-04-06 06:00,49.0,2016-03-10 17:00,,,,,49.0,47.0,44.0,40.0,33.0,25.0,15.0,BOSTON KENMORE SQ,KENMORE SQ,Massachusetts,Suffolk,Boston,"Boston-Cambridge-Newton, MA-NH",2017-02-24,[ 42.348873 -71.097163],"{'Commercial and Services': 0.21465968586387435, 'Residential': 0.13089005235602094, 'Streams and canals': 0.13089005235602094, 'Transportation, communications and services': 0.5235602094240838}"
25,25,2,42602,1,42.348873,-71.097163,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 Annual 1971,Observed values,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,2016,Parts per billion,No Events,8434,96,Y,352,366,0,350,,,Certified,0,15.035096,8.453089,53.0,2016-10-06 17:00,52.0,2016-11-02 20:00,51.0,2016-10-06 16:00,50.0,2016-04-06 06:00,,,,,40.0,37.0,32.0,27.0,20.0,13.0,6.0,BOSTON KENMORE SQ,KENMORE SQ,Massachusetts,Suffolk,Boston,"Boston-Cambridge-Newton, MA-NH",2017-02-24,[ 42.348873 -71.097163],"{'Commercial and Services': 0.21465968586387435, 'Residential': 0.13089005235602094, 'Streams and canals': 0.13089005235602094, 'Transportation, communications and services': 0.5235602094240838}"
25,25,2,42603,1,42.348873,-71.097163,WGS84,Oxides of nitrogen (NOx),1 HOUR,,Observed Values,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,2016,Parts per billion,No Events,8278,94,Y,347,366,0,506,,,Certification not required,0,24.362527,17.434955,182.0,2016-11-29 03:00,177.0,2016-11-29 02:00,172.0,2016-11-29 04:00,170.0,2016-11-29 01:00,,,,,91.0,75.0,56.0,44.0,30.0,20.0,8.0,BOSTON KENMORE SQ,KENMORE SQ,Massachusetts,Suffolk,Boston,"Boston-Cambridge-Newton, MA-NH",2017-02-24,[ 42.348873 -71.097163],"{'Commercial and Services': 0.21465968586387435, 'Residential': 0.13089005235602094, 'Streams and canals': 0.13089005235602094, 'Transportation, communications and services': 0.5235602094240838}"
25,25,2,68101,1,42.348873,-71.097163,WGS84,Sample Flow Rate- CV,24 HOUR,,Observed Values,R & P Model 2025 PM-2.5 FEM Sequential Air Sampler - Calculation,2016,Percent,No Events,109,100,Y,59,61,0,14,,,Certification not required,0,0.480734,0.209265,0.7,2016-04-15 00:00,0.7,2016-05-27 00:00,0.7,2016-05-30 00:00,0.7,2016-06-02 00:00,,,,,0.7,0.7,0.7,0.7,0.6,0.6,0.0,BOSTON KENMORE SQ,KENMORE SQ,Massachusetts,Suffolk,Boston,"Boston-Cambridge-Newton, MA-NH",2017-03-22,[ 42.348873 -71.097163],"{'Commercial and Services': 0.21465968586387435, 'Residential': 0.13089005235602094, 'Streams and canals': 0.13089005235602094, 'Transportation, communications and services': 0.5235602094240838}"
