State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
25,27,15,44201,1,42.274319,-71.875511,WGS84,Ozone,1 HOUR,Ozone 1-hour Daily 2005,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET ABSORPTION,2016,Parts per million,No Events,8560,98,Y,180,183,0,224,0.0,0.0,Certified,0,0.046994,0.012459,0.082,2016-05-26 17:00,0.08,2016-05-25 16:00,0.079,2016-07-07 13:00,0.074,2016-07-18 12:00,,,,,0.08,0.074,0.071,0.063,0.056,0.048,0.041,WORCESTER AIRPORT,375 AIRPORT DRIVE,Massachusetts,Worcester,Worcester,"Worcester, MA-CT",2017-02-24,[ 42.274319 -71.875511],"{'Deciduous forest land': 0.02, 'Transportation, communications and services': 0.98}"
25,27,15,44201,1,42.274319,-71.875511,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,2016,Parts per million,No Events,8681,97,Y,178,183,0,0,0.0,0.0,Certified,0,0.042348,0.011048,0.078,2016-05-26 11:00,0.074,2016-05-25 13:00,0.067,2016-05-27 11:00,0.066,2016-04-22 09:00,,,,,0.074,0.066,0.062,0.058,0.05,0.044,0.039,WORCESTER AIRPORT,375 AIRPORT DRIVE,Massachusetts,Worcester,Worcester,"Worcester, MA-CT",2017-02-24,[ 42.274319 -71.875511],"{'Deciduous forest land': 0.02, 'Transportation, communications and services': 0.98}"
25,27,15,44201,1,42.274319,-71.875511,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,2016,Parts per million,No Events,8681,97,Y,178,183,0,0,1.0,1.0,Certified,0,0.042348,0.011048,0.078,2016-05-26 11:00,0.074,2016-05-25 13:00,0.067,2016-05-27 11:00,0.066,2016-04-22 09:00,,,,,0.074,0.066,0.062,0.058,0.05,0.044,0.039,WORCESTER AIRPORT,375 AIRPORT DRIVE,Massachusetts,Worcester,Worcester,"Worcester, MA-CT",2017-02-24,[ 42.274319 -71.875511],"{'Deciduous forest land': 0.02, 'Transportation, communications and services': 0.98}"
25,27,15,44201,1,42.274319,-71.875511,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,2016,Parts per million,No Events,6163,99,Y,181,183,0,0,2.0,2.0,Certified,0,0.041961,0.011296,0.078,2016-05-26 11:00,0.074,2016-05-25 13:00,0.067,2016-05-27 11:00,0.066,2016-04-22 09:00,,,,,0.074,0.066,0.061,0.057,0.05,0.044,0.038,WORCESTER AIRPORT,375 AIRPORT DRIVE,Massachusetts,Worcester,Worcester,"Worcester, MA-CT",2017-02-24,[ 42.274319 -71.875511],"{'Deciduous forest land': 0.02, 'Transportation, communications and services': 0.98}"
25,27,15,61101,1,42.274319,-71.875511,WGS84,Wind Speed - Scalar,1 HOUR,,Observed Values,Instrumental - Met One Sonic Anemometer Model 50.5,2016,Knots,No Events,8710,99,Y,361,366,0,74,,,Certification not required,0,6.165373,3.024829,22.1,2016-02-25 01:00,22.0,2016-03-31 11:00,21.5,2016-02-25 00:00,20.7,2016-02-25 02:00,,,,,14.6,13.5,11.9,10.3,7.9,5.6,2.7,WORCESTER AIRPORT,375 AIRPORT DRIVE,Massachusetts,Worcester,Worcester,"Worcester, MA-CT",2017-02-24,[ 42.274319 -71.875511],"{'Deciduous forest land': 0.02, 'Transportation, communications and services': 0.98}"
25,27,15,61102,1,42.274319,-71.875511,WGS84,Wind Direction - Scalar,1 HOUR,,Observed Values,Instrumental - Met One Sonic Anemometer Model 50.5,2016,Degrees Compass,No Events,8710,99,Y,361,366,0,74,,,Certification not required,0,213.336854,99.66189,360.0,2016-01-24 02:00,360.0,2016-04-13 06:00,360.0,2016-04-20 12:00,360.0,2016-04-20 14:00,,,,,354.0,348.0,333.0,315.0,285.0,245.0,33.0,WORCESTER AIRPORT,375 AIRPORT DRIVE,Massachusetts,Worcester,Worcester,"Worcester, MA-CT",2017-02-24,[ 42.274319 -71.875511],"{'Deciduous forest land': 0.02, 'Transportation, communications and services': 0.98}"
25,27,15,62101,1,42.274319,-71.875511,WGS84,Outdoor Temperature,1 HOUR,,Observed Values,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,2016,Degrees Fahrenheit,No Events,8776,100,Y,365,366,0,8,,,Certification not required,0,49.635939,18.932761,91.0,2016-05-28 13:00,91.0,2016-05-28 14:00,91.0,2016-07-22 12:00,91.0,2016-07-22 13:00,,,,,86.0,84.0,80.0,75.0,64.0,50.0,26.0,WORCESTER AIRPORT,375 AIRPORT DRIVE,Massachusetts,Worcester,Worcester,"Worcester, MA-CT",2017-02-24,[ 42.274319 -71.875511],"{'Deciduous forest land': 0.02, 'Transportation, communications and services': 0.98}"
25,27,15,62201,1,42.274319,-71.875511,WGS84,Relative Humidity ,1 HOUR,,Observed Values,INSTRUMENTAL - HYGROSCOPIC PLASTIC FILM,2016,Percent relative humidity,No Events,8776,100,Y,365,366,0,8,,,Certification not required,0,67.544553,18.826255,95.0,2016-01-10 10:00,95.0,2016-01-10 11:00,95.0,2016-01-10 12:00,95.0,2016-01-10 13:00,,,,,94.0,94.0,93.0,92.0,84.0,69.0,41.0,WORCESTER AIRPORT,375 AIRPORT DRIVE,Massachusetts,Worcester,Worcester,"Worcester, MA-CT",2017-02-24,[ 42.274319 -71.875511],"{'Deciduous forest land': 0.02, 'Transportation, communications and services': 0.98}"
25,27,15,63301,1,42.274319,-71.875511,WGS84,Solar radiation,1 HOUR,,Observed Values,INSTRUMENTAL - PYRANOMETER,2016,Langleys/minute,No Events,8776,100,Y,365,366,0,8,,,Certification not required,0,0.21589,0.335959,1.37,2016-05-16 11:00,1.35,2016-05-31 11:00,1.35,2016-06-17 11:00,1.34,2016-06-14 11:00,,,,,1.24,1.17,1.01,0.8,0.33,0.01,0.0,WORCESTER AIRPORT,375 AIRPORT DRIVE,Massachusetts,Worcester,Worcester,"Worcester, MA-CT",2017-02-24,[ 42.274319 -71.875511],"{'Deciduous forest land': 0.02, 'Transportation, communications and services': 0.98}"
25,27,15,64101,1,42.274319,-71.875511,WGS84,Barometric pressure,1 HOUR,,Observed Values,INSTRUMENTAL - ANEROID,2016,Millibars,No Events,8776,100,Y,365,366,0,8,,,Certification not required,0,977.156905,7.655644,1000.0,2016-12-26 02:00,1000.0,2016-12-26 03:00,1000.0,2016-12-26 04:00,1000.0,2016-12-26 05:00,,,,,992.0,991.0,988.0,987.0,983.0,977.0,967.0,WORCESTER AIRPORT,375 AIRPORT DRIVE,Massachusetts,Worcester,Worcester,"Worcester, MA-CT",2017-02-24,[ 42.274319 -71.875511],"{'Deciduous forest land': 0.02, 'Transportation, communications and services': 0.98}"
