State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
41,13,100,11203,1,44.299787,-120.844773,WGS84,Light scatter,1 HOUR,,Observed Values,Radiance Research M903 With Heated Inlet - Nephelometry,2016,Beta Scatter,No Events,8228,94,Y,339,366,0,556,,,Certification not required,0,0.549988,0.500491,6.4,2016-12-18 00:00,6.2,2016-12-17 23:00,5.2,2016-12-17 22:00,5.0,2016-01-04 08:00,,,,,2.7,2.2,1.5,1.1,0.6,0.4,0.2,Prineville - Davidson Park,"251 SE Court St., Prineville (PDP)",Oregon,Crook,Prineville,"Prineville, OR",2017-04-25,[  44.299787 -120.844773],"{'Commercial and Services': 0.09174311926605505, 'Residential': 0.908256880733945}"
41,13,100,61101,1,44.299787,-120.844773,WGS84,Wind Speed - Scalar,1 HOUR,,Observed Values,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,2016,Knots,No Events,2142,24,N,88,366,0,42,,,Certification not required,0,3.559337,2.727219,19.2,2016-03-01 15:00,15.8,2016-02-19 13:00,15.4,2016-03-01 14:00,14.9,2016-03-01 16:00,,,,,12.6,11.4,9.5,7.4,4.8,2.5,1.1,Prineville - Davidson Park,"251 SE Court St., Prineville (PDP)",Oregon,Crook,Prineville,"Prineville, OR",2016-11-21,[  44.299787 -120.844773],"{'Commercial and Services': 0.09174311926605505, 'Residential': 0.908256880733945}"
41,13,100,61103,1,44.299787,-120.844773,WGS84,Wind Speed - Resultant,1 HOUR,,Observed Values,INSTRUMENTAL - VECTOR SUMMATION,2016,Knots,No Events,2134,24,N,88,366,0,50,,,Certification not required,0,3.036223,2.753661,18.5,2016-03-01 15:00,14.8,2016-02-19 13:00,14.7,2016-03-01 14:00,14.4,2016-03-12 14:00,,,,,12.0,10.8,8.9,6.9,4.3,2.1,0.5,Prineville - Davidson Park,"251 SE Court St., Prineville (PDP)",Oregon,Crook,Prineville,"Prineville, OR",2016-11-21,[  44.299787 -120.844773],"{'Commercial and Services': 0.09174311926605505, 'Residential': 0.908256880733945}"
41,13,100,61104,1,44.299787,-120.844773,WGS84,Wind Direction - Resultant,1 HOUR,,Observed Values,INSTRUMENTAL - VECTOR SUMMATION,2016,Degrees Compass,No Events,2134,24,N,88,366,0,50,,,Certification not required,0,187.334114,87.226018,360.0,2016-01-07 05:00,360.0,2016-02-16 00:00,360.0,2016-03-29 08:00,360.0,2016-03-29 11:00,,,,,348.0,340.0,327.0,315.0,277.0,165.0,92.0,Prineville - Davidson Park,"251 SE Court St., Prineville (PDP)",Oregon,Crook,Prineville,"Prineville, OR",2016-11-21,[  44.299787 -120.844773],"{'Commercial and Services': 0.09174311926605505, 'Residential': 0.908256880733945}"
41,13,100,61106,1,44.299787,-120.844773,WGS84,Std Dev Hz Wind Direction,1 HOUR,,Observed Values,INSTRUMENTAL - ARITHMETIC STANDARD DEVIATION,2016,Degrees Compass,No Events,2134,24,N,88,366,0,50,,,Certification not required,0,32.656186,15.772508,91.2,2016-03-15 02:00,88.6,2016-02-20 06:00,87.3,2016-01-17 02:00,85.8,2016-03-24 04:00,,,,,74.6,69.5,62.9,56.0,44.1,27.6,16.5,Prineville - Davidson Park,"251 SE Court St., Prineville (PDP)",Oregon,Crook,Prineville,"Prineville, OR",2016-11-21,[  44.299787 -120.844773],"{'Commercial and Services': 0.09174311926605505, 'Residential': 0.908256880733945}"
41,13,100,62101,1,44.299787,-120.844773,WGS84,Outdoor Temperature,1 HOUR,,Observed Values,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,2016,Degrees Fahrenheit,No Events,2149,24,N,89,366,0,35,,,Certification not required,0,39.617497,9.893323,66.0,2016-03-31 15:00,66.0,2016-03-31 16:00,65.0,2016-02-25 15:00,65.0,2016-03-31 14:00,,,,,62.0,60.0,56.0,52.0,46.0,40.0,28.0,Prineville - Davidson Park,"251 SE Court St., Prineville (PDP)",Oregon,Crook,Prineville,"Prineville, OR",2016-11-21,[  44.299787 -120.844773],"{'Commercial and Services': 0.09174311926605505, 'Residential': 0.908256880733945}"
41,13,100,62201,1,44.299787,-120.844773,WGS84,Relative Humidity ,1 HOUR,,Observed Values,INSTRUMENTAL - HYGROSCOPIC PLASTIC FILM,2016,Percent relative humidity,No Events,2149,24,N,89,366,0,35,,,Certification not required,0,67.30712,19.159617,99.0,2016-01-17 21:00,99.0,2016-01-17 22:00,99.0,2016-01-17 23:00,99.0,2016-01-18 00:00,,,,,99.0,98.0,98.0,93.0,83.0,69.0,41.0,Prineville - Davidson Park,"251 SE Court St., Prineville (PDP)",Oregon,Crook,Prineville,"Prineville, OR",2016-11-21,[  44.299787 -120.844773],"{'Commercial and Services': 0.09174311926605505, 'Residential': 0.908256880733945}"
41,13,100,63301,1,44.299787,-120.844773,WGS84,Solar radiation,1 HOUR,,Observed Values,INSTRUMENTAL - PYRANOMETER,2016,Langleys/minute,No Events,2149,24,N,89,366,0,35,,,Certification not required,0,0.148939,0.253633,1.31,2016-03-29 13:00,1.26,2016-03-27 12:00,1.26,2016-03-28 12:00,1.25,2016-03-30 12:00,,,,,1.08,0.93,0.72,0.54,0.22,0.0,0.0,Prineville - Davidson Park,"251 SE Court St., Prineville (PDP)",Oregon,Crook,Prineville,"Prineville, OR",2016-11-21,[  44.299787 -120.844773],"{'Commercial and Services': 0.09174311926605505, 'Residential': 0.908256880733945}"
41,13,100,64101,1,44.299787,-120.844773,WGS84,Barometric pressure,1 HOUR,,Observed Values,INSTRUMENTAL - ANEROID,2016,Millibars,No Events,2149,24,N,89,366,0,35,,,Certification not required,0,914.636575,7.378222,931.0,2016-02-07 07:00,931.0,2016-02-07 08:00,931.0,2016-02-07 09:00,931.0,2016-02-07 10:00,,,,,930.0,928.0,925.0,923.0,920.0,915.0,904.0,Prineville - Davidson Park,"251 SE Court St., Prineville (PDP)",Oregon,Crook,Prineville,"Prineville, OR",2016-11-21,[  44.299787 -120.844773],"{'Commercial and Services': 0.09174311926605505, 'Residential': 0.908256880733945}"
41,13,100,68101,1,44.299787,-120.844773,WGS84,Sample Flow Rate- CV,24 HOUR,,Observed Values,Multiple Methods Used,2016,Percent,No Events,115,94,Y,115,122,0,9,,,Certification not required,0,0.395652,0.108734,0.6,2016-06-26 00:00,0.6,2016-06-29 00:00,0.6,2016-07-17 00:00,0.5,2016-02-06 00:00,,,,,0.6,0.6,0.5,0.5,0.5,0.4,0.3,Prineville - Davidson Park,"251 SE Court St., Prineville (PDP)",Oregon,Crook,Prineville,"Prineville, OR",2017-03-29,[  44.299787 -120.844773],"{'Commercial and Services': 0.09174311926605505, 'Residential': 0.908256880733945}"
41,13,100,68102,1,44.299787,-120.844773,WGS84,Sample Volume,24 HOUR,,Observed Values,Multiple Methods Used,2016,Cubic meter,No Events,115,94,Y,115,122,0,9,,,Certification not required,0,23.993043,0.085555,24.1,2016-09-12 00:00,24.1,2016-10-03 00:00,24.0,2016-01-01 00:00,24.0,2016-01-04 00:00,,,,,24.1,24.0,24.0,24.0,24.0,24.0,24.0,Prineville - Davidson Park,"251 SE Court St., Prineville (PDP)",Oregon,Crook,Prineville,"Prineville, OR",2017-03-29,[  44.299787 -120.844773],"{'Commercial and Services': 0.09174311926605505, 'Residential': 0.908256880733945}"
