State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
41,17,4,11203,1,44.2921,-121.5555,WGS84,Light scatter,1 HOUR,,Observed Values,Radiance Research M903 With Heated Inlet - Nephelometry,2016,Beta Scatter,No Events,7856,89,Y,327,366,0,928,,,Certification not required,0,0.34249,0.168785,2.7,2016-11-07 18:00,2.4,2016-07-06 10:00,1.8,2016-01-05 01:00,1.8,2016-01-05 02:00,,,,,1.0,0.8,0.6,0.5,0.4,0.3,0.2,Sisters Forest Service Station (SFS),Sisters Forest Service Station (SFS),Oregon,Deschutes,,"Bend-Redmond, OR",2017-04-25,[  44.2921 -121.5555],"{'Residential': 0.05161290322580645, 'Cropland and pasture': 0.25161290322580643, 'Evergreen forest land': 0.6451612903225806, 'Mixed urban or built-up land': 0.05161290322580645}"
41,17,4,88502,3,44.2921,-121.5555,WGS84,Acceptable PM2.5 AQI & Speciation Mass,1 HOUR,,Observed Values,Correlated Radiance Research M903 With Heated Inlet - Nephelometry,2016,Micrograms/cubic meter (LC),No Events,7856,89,Y,327,366,0,928,,,Certification not required,0,4.8222,3.305331,46.1,2016-11-07 18:00,32.4,2016-07-06 10:00,29.8,2016-01-05 02:00,28.7,2016-01-05 01:00,,,,,15.1,12.7,10.1,8.6,7.0,4.1,1.3,Sisters Forest Service Station (SFS),Sisters Forest Service Station (SFS),Oregon,Deschutes,,"Bend-Redmond, OR",2017-04-27,[  44.2921 -121.5555],"{'Residential': 0.05161290322580645, 'Cropland and pasture': 0.25161290322580643, 'Evergreen forest land': 0.6451612903225806, 'Mixed urban or built-up land': 0.05161290322580645}"
41,17,4,88502,3,44.2921,-121.5555,WGS84,Acceptable PM2.5 AQI & Speciation Mass,24-HR BLK AVG,,Observed Values,,2016,Micrograms/cubic meter (LC),No Events,327,89,N,327,366,0,0,,,Certification not required,0,4.777982,2.678488,13.3,2016-01-05 00:00,11.9,2016-10-23 00:00,11.7,2016-11-04 00:00,11.6,2016-08-29 00:00,,,,,11.6,10.1,9.2,8.5,7.0,4.2,1.6,Sisters Forest Service Station (SFS),Sisters Forest Service Station (SFS),Oregon,Deschutes,,"Bend-Redmond, OR",2017-04-27,[  44.2921 -121.5555],"{'Residential': 0.05161290322580645, 'Cropland and pasture': 0.25161290322580643, 'Evergreen forest land': 0.6451612903225806, 'Mixed urban or built-up land': 0.05161290322580645}"
41,17,120,11203,1,44.063916,-121.312554,WGS84,Light scatter,1 HOUR,,Observed Values,Radiance Research M903 With Heated Inlet - Nephelometry,2016,Beta Scatter,No Events,6715,76,Y,280,366,0,2069,,,Certification not required,0,0.358049,0.221664,2.8,2016-01-03 22:00,2.7,2016-01-05 23:00,2.6,2016-01-03 21:00,2.6,2016-01-03 23:00,,,,,1.3,1.0,0.8,0.6,0.4,0.3,0.2,OPEN FIELD/RESIDENTIAL AREA BY DESCHUTES RIVER. CITY PUMP STATION.,"35 NW PORTLAND ST, BEND, OREGON",Oregon,Deschutes,Bend,"Bend-Redmond, OR",2017-04-25,[  44.063916 -121.312554],"{'Commercial and Services': 0.52, 'Residential': 0.42, 'Other urban or built-up land': 0.06}"
41,17,120,88502,3,44.063916,-121.312554,WGS84,Acceptable PM2.5 AQI & Speciation Mass,1 HOUR,,Observed Values,Correlated Radiance Research M903 With Heated Inlet - Nephelometry,2016,Micrograms/cubic meter (LC),No Events,6715,76,Y,280,366,0,2069,,,Certification not required,0,5.355637,4.016127,47.7,2016-01-03 22:00,45.6,2016-01-05 23:00,42.8,2016-01-03 21:00,42.8,2016-01-03 23:00,,,,,20.4,16.1,11.2,8.9,7.2,4.8,1.6,OPEN FIELD/RESIDENTIAL AREA BY DESCHUTES RIVER. CITY PUMP STATION.,"35 NW PORTLAND ST, BEND, OREGON",Oregon,Deschutes,Bend,"Bend-Redmond, OR",2017-04-27,[  44.063916 -121.312554],"{'Commercial and Services': 0.52, 'Residential': 0.42, 'Other urban or built-up land': 0.06}"
41,17,120,88502,3,44.063916,-121.312554,WGS84,Acceptable PM2.5 AQI & Speciation Mass,24-HR BLK AVG,,Observed Values,,2016,Micrograms/cubic meter (LC),No Events,280,77,N,280,366,0,0,,,Certification not required,0,5.300714,2.753987,16.7,2016-01-03 00:00,14.2,2016-01-06 00:00,13.4,2016-01-07 00:00,12.9,2016-01-05 00:00,,,,,13.4,11.6,9.2,8.4,7.3,5.4,1.9,OPEN FIELD/RESIDENTIAL AREA BY DESCHUTES RIVER. CITY PUMP STATION.,"35 NW PORTLAND ST, BEND, OREGON",Oregon,Deschutes,Bend,"Bend-Redmond, OR",2017-04-27,[  44.063916 -121.312554],"{'Commercial and Services': 0.52, 'Residential': 0.42, 'Other urban or built-up land': 0.06}"
41,17,122,61101,1,44.021896,-121.260166,WGS84,Wind Speed - Scalar,1 HOUR,,Observed Values,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,2016,Knots,No Events,2154,25,N,89,366,0,30,,,Certification not required,0,5.720659,3.595543,20.3,2016-02-28 15:00,19.1,2016-02-28 09:00,18.8,2016-02-28 10:00,18.8,2016-02-28 11:00,,,,,15.8,14.3,12.5,10.9,8.1,4.9,1.9,Bend Deschutes County Road Department (BRD),Bend Deschutes County Road Department (BRD),Oregon,Deschutes,Bend,"Bend-Redmond, OR",2016-11-21,[  44.021896 -121.260166],"{'Commercial and Services': 0.10714285714285714, 'Cropland and pasture': 0.7857142857142857, 'Evergreen forest land': 0.10714285714285714}"
41,17,122,61103,1,44.021896,-121.260166,WGS84,Wind Speed - Resultant,1 HOUR,,Observed Values,INSTRUMENTAL - VECTOR SUMMATION,2016,Knots,No Events,2154,25,N,89,366,0,30,,,Certification not required,0,5.238487,3.629206,19.6,2016-02-28 15:00,18.3,2016-02-28 09:00,18.0,2016-02-28 10:00,17.9,2016-02-28 11:00,,,,,15.1,13.8,12.1,10.5,7.6,4.3,1.2,Bend Deschutes County Road Department (BRD),Bend Deschutes County Road Department (BRD),Oregon,Deschutes,Bend,"Bend-Redmond, OR",2016-11-21,[  44.021896 -121.260166],"{'Commercial and Services': 0.10714285714285714, 'Cropland and pasture': 0.7857142857142857, 'Evergreen forest land': 0.10714285714285714}"
41,17,122,61104,1,44.021896,-121.260166,WGS84,Wind Direction - Resultant,1 HOUR,,Observed Values,INSTRUMENTAL - VECTOR SUMMATION,2016,Degrees Compass,No Events,2154,25,N,89,366,0,30,,,Certification not required,0,199.852832,69.111938,359.0,2016-03-18 16:00,359.0,2016-03-29 21:00,358.0,2016-01-12 10:00,358.0,2016-03-28 09:00,,,,,351.0,343.0,321.0,251.0,230.0,216.0,99.0,Bend Deschutes County Road Department (BRD),Bend Deschutes County Road Department (BRD),Oregon,Deschutes,Bend,"Bend-Redmond, OR",2016-11-21,[  44.021896 -121.260166],"{'Commercial and Services': 0.10714285714285714, 'Cropland and pasture': 0.7857142857142857, 'Evergreen forest land': 0.10714285714285714}"
41,17,122,61106,1,44.021896,-121.260166,WGS84,Std Dev Hz Wind Direction,1 HOUR,,Observed Values,INSTRUMENTAL - ARITHMETIC STANDARD DEVIATION,2016,Degrees Compass,No Events,2154,25,N,89,366,0,30,,,Certification not required,0,25.731848,13.649465,77.2,2016-02-09 15:00,76.3,2016-03-09 09:00,75.8,2016-03-19 09:00,75.1,2016-02-17 01:00,,,,,68.4,65.1,56.6,47.3,30.7,20.9,13.9,Bend Deschutes County Road Department (BRD),Bend Deschutes County Road Department (BRD),Oregon,Deschutes,Bend,"Bend-Redmond, OR",2016-11-21,[  44.021896 -121.260166],"{'Commercial and Services': 0.10714285714285714, 'Cropland and pasture': 0.7857142857142857, 'Evergreen forest land': 0.10714285714285714}"
41,17,122,62101,1,44.021896,-121.260166,WGS84,Outdoor Temperature,1 HOUR,,Observed Values,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,2016,Degrees Fahrenheit,No Events,2180,25,N,91,366,0,4,,,Certification not required,0,38.044495,9.060672,64.0,2016-02-08 14:00,64.0,2016-03-31 15:00,63.0,2016-02-08 15:00,63.0,2016-03-31 13:00,,,,,59.0,57.0,53.0,49.0,44.0,38.0,28.0,Bend Deschutes County Road Department (BRD),Bend Deschutes County Road Department (BRD),Oregon,Deschutes,Bend,"Bend-Redmond, OR",2016-11-21,[  44.021896 -121.260166],"{'Commercial and Services': 0.10714285714285714, 'Cropland and pasture': 0.7857142857142857, 'Evergreen forest land': 0.10714285714285714}"
41,17,122,62201,1,44.021896,-121.260166,WGS84,Relative Humidity ,1 HOUR,,Observed Values,INSTRUMENTAL - HYGROSCOPIC PLASTIC FILM,2016,Percent relative humidity,No Events,2180,25,N,91,366,0,4,,,Certification not required,0,66.663761,17.351276,98.0,2016-01-05 07:00,98.0,2016-01-05 08:00,98.0,2016-01-05 09:00,98.0,2016-01-05 21:00,,,,,98.0,97.0,93.0,88.0,79.0,69.0,41.0,Bend Deschutes County Road Department (BRD),Bend Deschutes County Road Department (BRD),Oregon,Deschutes,Bend,"Bend-Redmond, OR",2016-11-21,[  44.021896 -121.260166],"{'Commercial and Services': 0.10714285714285714, 'Cropland and pasture': 0.7857142857142857, 'Evergreen forest land': 0.10714285714285714}"
41,17,122,63301,1,44.021896,-121.260166,WGS84,Solar radiation,1 HOUR,,Observed Values,INSTRUMENTAL - PYRANOMETER,2016,Langleys/minute,No Events,2180,25,N,91,366,0,4,,,Certification not required,0,0.180193,0.277826,1.31,2016-03-07 12:00,1.29,2016-03-27 12:00,1.27,2016-03-27 11:00,1.27,2016-03-30 12:00,,,,,1.13,0.99,0.8,0.63,0.27,0.01,0.01,Bend Deschutes County Road Department (BRD),Bend Deschutes County Road Department (BRD),Oregon,Deschutes,Bend,"Bend-Redmond, OR",2016-11-21,[  44.021896 -121.260166],"{'Commercial and Services': 0.10714285714285714, 'Cropland and pasture': 0.7857142857142857, 'Evergreen forest land': 0.10714285714285714}"
41,17,122,64101,1,44.021896,-121.260166,WGS84,Barometric pressure,1 HOUR,,Observed Values,INSTRUMENTAL - ANEROID,2016,Millibars,No Events,2183,25,N,91,366,0,1,,,Certification not required,0,885.443885,7.142547,902.0,2016-02-07 19:00,902.0,2016-02-07 20:00,902.0,2016-02-07 21:00,902.0,2016-02-07 22:00,,,,,901.0,898.0,896.0,894.0,891.0,886.0,875.0,Bend Deschutes County Road Department (BRD),Bend Deschutes County Road Department (BRD),Oregon,Deschutes,Bend,"Bend-Redmond, OR",2016-11-21,[  44.021896 -121.260166],"{'Commercial and Services': 0.10714285714285714, 'Cropland and pasture': 0.7857142857142857, 'Evergreen forest land': 0.10714285714285714}"
