State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
41,25,3,11203,1,43.58925,-119.04872,WGS84,Light scatter,1 HOUR,,Observed Values,Radiance Research M903 With Heated Inlet - Nephelometry,2016,Beta Scatter,No Events,8460,96,Y,352,366,0,324,,,Certification not required,0,0.599728,0.673576,7.0,2016-11-17 06:00,6.1,2016-11-10 12:00,6.1,2016-12-29 19:00,6.1,2016-12-31 23:00,,,,,3.4,2.8,2.1,1.4,0.6,0.3,0.2,Burns - Washington Park (BWS),"458 E Washington St. , Burns, OR  97720",Oregon,Harney,Burns,,2017-04-25,[  43.58925 -119.04872],"{'Commercial and Services': 0.16666666666666666, 'Mixed urban or built-up land': 0.2222222222222222, 'Other urban or built-up land': 0.07407407407407407, 'Residential': 0.5370370370370371}"
41,25,3,61101,1,43.58925,-119.04872,WGS84,Wind Speed - Scalar,1 HOUR,,Observed Values,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,2016,Knots,No Events,2166,25,N,90,366,0,18,,,Certification not required,0,3.3253,2.545157,17.0,2016-03-29 15:00,15.2,2016-03-29 14:00,14.8,2016-03-29 08:00,14.7,2016-03-29 09:00,,,,,13.0,11.5,9.0,6.9,3.8,2.5,1.2,Burns - Washington Park (BWS),"458 E Washington St. , Burns, OR  97720",Oregon,Harney,Burns,,2016-11-21,[  43.58925 -119.04872],"{'Commercial and Services': 0.16666666666666666, 'Mixed urban or built-up land': 0.2222222222222222, 'Other urban or built-up land': 0.07407407407407407, 'Residential': 0.5370370370370371}"
41,25,3,61103,1,43.58925,-119.04872,WGS84,Wind Speed - Resultant,1 HOUR,,Observed Values,INSTRUMENTAL - VECTOR SUMMATION,2016,Knots,No Events,2065,24,N,84,366,0,119,,,Certification not required,0,2.712349,2.436702,14.0,2016-03-12 14:00,13.7,2016-03-29 15:00,13.3,2016-03-12 12:00,13.3,2016-03-13 13:00,,,,,11.4,10.3,8.3,6.3,3.2,1.9,0.7,Burns - Washington Park (BWS),"458 E Washington St. , Burns, OR  97720",Oregon,Harney,Burns,,2016-11-21,[  43.58925 -119.04872],"{'Commercial and Services': 0.16666666666666666, 'Mixed urban or built-up land': 0.2222222222222222, 'Other urban or built-up land': 0.07407407407407407, 'Residential': 0.5370370370370371}"
41,25,3,61104,1,43.58925,-119.04872,WGS84,Wind Direction - Resultant,1 HOUR,,Observed Values,INSTRUMENTAL - VECTOR SUMMATION,2016,Degrees Compass,No Events,2068,24,N,85,366,0,116,,,Certification not required,0,219.318182,92.763884,360.0,2016-01-07 10:00,360.0,2016-01-09 06:00,360.0,2016-01-24 16:00,360.0,2016-02-04 05:00,,,,,354.0,349.0,333.0,317.0,290.0,245.0,68.0,Burns - Washington Park (BWS),"458 E Washington St. , Burns, OR  97720",Oregon,Harney,Burns,,2016-11-21,[  43.58925 -119.04872],"{'Commercial and Services': 0.16666666666666666, 'Mixed urban or built-up land': 0.2222222222222222, 'Other urban or built-up land': 0.07407407407407407, 'Residential': 0.5370370370370371}"
41,25,3,61106,1,43.58925,-119.04872,WGS84,Std Dev Hz Wind Direction,1 HOUR,,Observed Values,INSTRUMENTAL - ARITHMETIC STANDARD DEVIATION,2016,Degrees Compass,No Events,2068,24,N,85,366,0,116,,,Certification not required,0,36.659623,17.937688,91.6,2016-03-21 10:00,90.4,2016-03-17 14:00,87.5,2016-03-01 11:00,86.7,2016-03-10 09:00,,,,,80.9,76.0,69.8,62.7,49.6,33.7,15.1,Burns - Washington Park (BWS),"458 E Washington St. , Burns, OR  97720",Oregon,Harney,Burns,,2016-11-21,[  43.58925 -119.04872],"{'Commercial and Services': 0.16666666666666666, 'Mixed urban or built-up land': 0.2222222222222222, 'Other urban or built-up land': 0.07407407407407407, 'Residential': 0.5370370370370371}"
41,25,3,62101,1,43.58925,-119.04872,WGS84,Outdoor Temperature,1 HOUR,,Observed Values,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,2016,Degrees Fahrenheit,No Events,2182,25,N,91,366,0,2,,,Certification not required,0,34.279102,11.317376,65.0,2016-03-31 15:00,64.0,2016-03-31 14:00,64.0,2016-03-31 16:00,63.0,2016-03-30 15:00,,,,,58.0,55.0,51.0,47.0,42.0,35.0,20.0,Burns - Washington Park (BWS),"458 E Washington St. , Burns, OR  97720",Oregon,Harney,Burns,,2016-11-21,[  43.58925 -119.04872],"{'Commercial and Services': 0.16666666666666666, 'Mixed urban or built-up land': 0.2222222222222222, 'Other urban or built-up land': 0.07407407407407407, 'Residential': 0.5370370370370371}"
41,25,3,64101,1,43.58925,-119.04872,WGS84,Barometric pressure,1 HOUR,,Observed Values,INSTRUMENTAL - ANEROID,2016,Millibars,No Events,2183,25,N,91,366,0,1,,,Certification not required,0,874.89235,6.814476,892.0,2016-02-07 20:00,892.0,2016-02-07 21:00,892.0,2016-02-07 22:00,892.0,2016-02-07 23:00,,,,,891.0,889.0,886.0,884.0,880.0,875.0,866.0,Burns - Washington Park (BWS),"458 E Washington St. , Burns, OR  97720",Oregon,Harney,Burns,,2016-11-21,[  43.58925 -119.04872],"{'Commercial and Services': 0.16666666666666666, 'Mixed urban or built-up land': 0.2222222222222222, 'Other urban or built-up land': 0.07407407407407407, 'Residential': 0.5370370370370371}"
41,25,3,68101,1,43.58925,-119.04872,WGS84,Sample Flow Rate- CV,24 HOUR,,Observed Values,Multiple Methods Used,2016,Percent,No Events,118,32,N,118,366,0,4,,,Certification not required,0,0.064407,0.115858,0.4,2016-06-23 00:00,0.4,2016-06-29 00:00,0.4,2016-07-02 00:00,0.4,2016-07-20 00:00,,,,,0.4,0.4,0.3,0.3,0.1,0.0,0.0,Burns - Washington Park (BWS),"458 E Washington St. , Burns, OR  97720",Oregon,Harney,Burns,,2017-03-29,[  43.58925 -119.04872],"{'Commercial and Services': 0.16666666666666666, 'Mixed urban or built-up land': 0.2222222222222222, 'Other urban or built-up land': 0.07407407407407407, 'Residential': 0.5370370370370371}"
41,25,3,68102,1,43.58925,-119.04872,WGS84,Sample Volume,24 HOUR,,Observed Values,Multiple Methods Used,2016,Cubic meter,No Events,118,32,N,118,366,0,4,,,Certification not required,0,24.0,0.0,24.0,2016-01-01 00:00,24.0,2016-01-04 00:00,24.0,2016-01-07 00:00,24.0,2016-01-13 00:00,,,,,24.0,24.0,24.0,24.0,24.0,24.0,24.0,Burns - Washington Park (BWS),"458 E Washington St. , Burns, OR  97720",Oregon,Harney,Burns,,2017-03-29,[  43.58925 -119.04872],"{'Commercial and Services': 0.16666666666666666, 'Mixed urban or built-up land': 0.2222222222222222, 'Other urban or built-up land': 0.07407407407407407, 'Residential': 0.5370370370370371}"
41,25,3,68105,1,43.58925,-119.04872,WGS84,Average Ambient Temperature,24 HOUR,,Observed Values,Multiple Methods Used,2016,Degrees Centigrade,No Events,118,32,N,118,366,0,4,,,Certification not required,0,9.026271,9.437192,26.8,2016-07-29 00:00,26.3,2016-06-29 00:00,26.2,2016-08-16 00:00,26.1,2016-07-26 00:00,,,,,26.3,26.2,24.1,21.4,15.8,8.9,-2.6,Burns - Washington Park (BWS),"458 E Washington St. , Burns, OR  97720",Oregon,Harney,Burns,,2017-03-29,[  43.58925 -119.04872],"{'Commercial and Services': 0.16666666666666666, 'Mixed urban or built-up land': 0.2222222222222222, 'Other urban or built-up land': 0.07407407407407407, 'Residential': 0.5370370370370371}"
