State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
41,37,1,11203,1,42.189215,-120.353969,WGS84,Light scatter,1 HOUR,,Observed Values,Radiance Research M903 With Heated Inlet - Nephelometry,2016,Beta Scatter,No Events,8657,99,Y,359,366,0,127,,,Certification not required,0,0.485099,0.558421,9.8,2016-01-10 22:00,7.8,2016-12-29 22:00,6.4,2016-02-16 08:00,6.2,2016-01-04 20:00,,,,,3.1,2.4,1.4,0.8,0.4,0.3,0.2,"Lakeview, CENTER & M ST.  (LCM)","LCM/CENTER & M ST, LAKEVIEW, OR",Oregon,Lake,Lakeview,,2017-04-25,[  42.189215 -120.353969],"{'Commercial and Services': 0.18, 'Residential': 0.46, 'Industrial': 0.08, 'Cropland and pasture': 0.02, 'Transitional areas': 0.26}"
41,37,1,61101,1,42.189215,-120.353969,WGS84,Wind Speed - Scalar,1 HOUR,,Observed Values,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,2016,Knots,No Events,2107,24,N,85,366,0,77,,,Certification not required,0,4.133792,2.39902,14.2,2016-03-28 19:00,12.7,2016-03-28 20:00,12.6,2016-03-29 13:00,12.2,2016-03-29 14:00,,,,,11.0,10.2,8.8,7.6,5.6,3.6,1.6,"Lakeview, CENTER & M ST.  (LCM)","LCM/CENTER & M ST, LAKEVIEW, OR",Oregon,Lake,Lakeview,,2016-11-21,[  42.189215 -120.353969],"{'Commercial and Services': 0.18, 'Residential': 0.46, 'Industrial': 0.08, 'Cropland and pasture': 0.02, 'Transitional areas': 0.26}"
41,37,1,61103,1,42.189215,-120.353969,WGS84,Wind Speed - Resultant,1 HOUR,,Observed Values,INSTRUMENTAL - VECTOR SUMMATION,2016,Knots,No Events,2096,24,N,84,366,0,88,,,Certification not required,0,3.816698,2.515291,13.7,2016-03-28 19:00,12.4,2016-03-28 20:00,11.8,2016-03-29 13:00,11.6,2016-01-23 04:00,,,,,10.6,9.9,8.6,7.5,5.4,3.4,1.0,"Lakeview, CENTER & M ST.  (LCM)","LCM/CENTER & M ST, LAKEVIEW, OR",Oregon,Lake,Lakeview,,2016-11-21,[  42.189215 -120.353969],"{'Commercial and Services': 0.18, 'Residential': 0.46, 'Industrial': 0.08, 'Cropland and pasture': 0.02, 'Transitional areas': 0.26}"
41,37,1,61104,1,42.189215,-120.353969,WGS84,Wind Direction - Resultant,1 HOUR,,Observed Values,INSTRUMENTAL - VECTOR SUMMATION,2016,Degrees Compass,No Events,2171,25,N,90,366,0,13,,,Certification not required,0,160.064486,77.527028,360.0,2016-02-09 03:00,360.0,2016-02-16 01:00,360.0,2016-03-29 01:00,359.0,2016-01-02 20:00,,,,,356.0,350.0,322.0,248.0,191.0,165.0,53.0,"Lakeview, CENTER & M ST.  (LCM)","LCM/CENTER & M ST, LAKEVIEW, OR",Oregon,Lake,Lakeview,,2016-11-21,[  42.189215 -120.353969],"{'Commercial and Services': 0.18, 'Residential': 0.46, 'Industrial': 0.08, 'Cropland and pasture': 0.02, 'Transitional areas': 0.26}"
41,37,1,61106,1,42.189215,-120.353969,WGS84,Std Dev Hz Wind Direction,1 HOUR,,Observed Values,INSTRUMENTAL - ARITHMETIC STANDARD DEVIATION,2016,Degrees Compass,No Events,2096,24,N,84,366,0,88,,,Certification not required,0,23.443845,15.410334,78.4,2016-02-16 23:00,75.8,2016-01-28 04:00,74.2,2016-01-02 01:00,74.1,2016-01-21 09:00,,,,,67.1,63.2,55.6,48.6,31.8,17.5,9.2,"Lakeview, CENTER & M ST.  (LCM)","LCM/CENTER & M ST, LAKEVIEW, OR",Oregon,Lake,Lakeview,,2016-11-21,[  42.189215 -120.353969],"{'Commercial and Services': 0.18, 'Residential': 0.46, 'Industrial': 0.08, 'Cropland and pasture': 0.02, 'Transitional areas': 0.26}"
41,37,1,62101,1,42.189215,-120.353969,WGS84,Outdoor Temperature,1 HOUR,,Observed Values,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,2016,Degrees Fahrenheit,No Events,2182,25,N,91,366,0,2,,,Certification not required,0,35.932172,9.724588,64.0,2016-03-18 15:00,63.0,2016-03-18 14:00,63.0,2016-03-18 16:00,62.0,2016-03-18 13:00,,,,,59.0,56.0,52.0,48.0,42.0,36.0,25.0,"Lakeview, CENTER & M ST.  (LCM)","LCM/CENTER & M ST, LAKEVIEW, OR",Oregon,Lake,Lakeview,,2016-11-21,[  42.189215 -120.353969],"{'Commercial and Services': 0.18, 'Residential': 0.46, 'Industrial': 0.08, 'Cropland and pasture': 0.02, 'Transitional areas': 0.26}"
41,37,1,64101,1,42.189215,-120.353969,WGS84,Barometric pressure,1 HOUR,,Observed Values,INSTRUMENTAL - ANEROID,2016,Millibars,No Events,2182,25,N,91,366,0,2,,,Certification not required,0,854.422548,6.449622,870.0,2016-02-07 21:00,870.0,2016-02-07 22:00,870.0,2016-02-07 23:00,869.0,2016-02-07 08:00,,,,,869.0,867.0,865.0,863.0,859.0,855.0,846.0,"Lakeview, CENTER & M ST.  (LCM)","LCM/CENTER & M ST, LAKEVIEW, OR",Oregon,Lake,Lakeview,,2016-11-21,[  42.189215 -120.353969],"{'Commercial and Services': 0.18, 'Residential': 0.46, 'Industrial': 0.08, 'Cropland and pasture': 0.02, 'Transitional areas': 0.26}"
41,37,1,68101,1,42.189215,-120.353969,WGS84,Sample Flow Rate- CV,24 HOUR,,Observed Values,Multiple Methods Used,2016,Percent,No Events,108,89,Y,108,122,0,14,,,Certification not required,0,0.243519,0.218864,0.6,2016-03-04 00:00,0.6,2016-03-19 00:00,0.6,2016-04-03 00:00,0.6,2016-04-06 00:00,,,,,0.6,0.6,0.6,0.5,0.4,0.3,0.0,"Lakeview, CENTER & M ST.  (LCM)","LCM/CENTER & M ST, LAKEVIEW, OR",Oregon,Lake,Lakeview,,2017-03-29,[  42.189215 -120.353969],"{'Commercial and Services': 0.18, 'Residential': 0.46, 'Industrial': 0.08, 'Cropland and pasture': 0.02, 'Transitional areas': 0.26}"
41,37,1,68102,1,42.189215,-120.353969,WGS84,Sample Volume,24 HOUR,,Observed Values,Multiple Methods Used,2016,Cubic meter,No Events,108,89,Y,108,122,0,14,,,Certification not required,0,24.002778,0.070324,24.1,2016-03-01 00:00,24.1,2016-03-04 00:00,24.1,2016-03-07 00:00,24.1,2016-03-10 00:00,,,,,24.1,24.1,24.1,24.1,24.0,24.0,24.0,"Lakeview, CENTER & M ST.  (LCM)","LCM/CENTER & M ST, LAKEVIEW, OR",Oregon,Lake,Lakeview,,2017-03-29,[  42.189215 -120.353969],"{'Commercial and Services': 0.18, 'Residential': 0.46, 'Industrial': 0.08, 'Cropland and pasture': 0.02, 'Transitional areas': 0.26}"
41,37,1,68105,1,42.189215,-120.353969,WGS84,Average Ambient Temperature,24 HOUR,,Observed Values,Multiple Methods Used,2016,Degrees Centigrade,No Events,108,89,Y,108,122,0,14,,,Certification not required,0,9.533333,9.187619,28.2,2016-07-29 00:00,25.7,2016-08-19 00:00,25.2,2016-08-16 00:00,24.8,2016-07-26 00:00,,,,,25.7,25.2,24.1,21.4,17.9,10.3,-2.0,"Lakeview, CENTER & M ST.  (LCM)","LCM/CENTER & M ST, LAKEVIEW, OR",Oregon,Lake,Lakeview,,2017-03-29,[  42.189215 -120.353969],"{'Commercial and Services': 0.18, 'Residential': 0.46, 'Industrial': 0.08, 'Cropland and pasture': 0.02, 'Transitional areas': 0.26}"
