State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
41,39,1007,44201,1,43.8345,-123.0353,WGS84,Ozone,1 HOUR,Ozone 1-hour Daily 2005,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET ABSORPTION,2016,Parts per million,No Events,3639,100,Y,153,153,0,33,0.0,0.0,Requested but not yet concurred,0,0.039542,0.011279,0.08,2016-08-18 17:00,0.073,2016-08-19 12:00,0.069,2016-08-13 12:00,0.064,2016-07-28 16:00,,,,,0.073,0.064,0.059,0.054,0.046,0.039,0.025,Eugene - Saginaw,"79980 DELIGHT VALLEY SCHOOL RD, SAGINAW",Oregon,Lane,,"Eugene, OR",2017-03-06,[  43.8345 -123.0353],"{'Residential': 0.47, 'Cropland and pasture': 0.43, 'Transportation, communications and services': 0.1}"
41,39,1007,44201,1,43.8345,-123.0353,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,2016,Parts per million,No Events,3663,100,Y,153,153,0,0,0.0,0.0,Requested but not yet concurred,0,0.034686,0.01008,0.065,2016-08-19 11:00,0.063,2016-08-18 11:00,0.06,2016-08-13 11:00,0.056,2016-07-28 11:00,,,,,0.063,0.056,0.052,0.048,0.041,0.034,0.022,Eugene - Saginaw,"79980 DELIGHT VALLEY SCHOOL RD, SAGINAW",Oregon,Lane,,"Eugene, OR",2017-03-06,[  43.8345 -123.0353],"{'Residential': 0.47, 'Cropland and pasture': 0.43, 'Transportation, communications and services': 0.1}"
41,39,1007,44201,1,43.8345,-123.0353,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,2016,Parts per million,No Events,3663,100,Y,153,153,0,0,0.0,0.0,Requested but not yet concurred,0,0.034686,0.01008,0.065,2016-08-19 11:00,0.063,2016-08-18 11:00,0.06,2016-08-13 11:00,0.056,2016-07-28 11:00,,,,,0.063,0.056,0.052,0.048,0.041,0.034,0.022,Eugene - Saginaw,"79980 DELIGHT VALLEY SCHOOL RD, SAGINAW",Oregon,Lane,,"Eugene, OR",2017-03-06,[  43.8345 -123.0353],"{'Residential': 0.47, 'Cropland and pasture': 0.43, 'Transportation, communications and services': 0.1}"
41,39,1007,44201,1,43.8345,-123.0353,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,2016,Parts per million,No Events,2593,99,Y,151,153,0,0,0.0,0.0,Requested but not yet concurred,0,0.034775,0.010121,0.065,2016-08-19 11:00,0.063,2016-08-18 11:00,0.06,2016-08-13 11:00,0.056,2016-07-28 11:00,,,,,0.063,0.056,0.052,0.048,0.041,0.034,0.022,Eugene - Saginaw,"79980 DELIGHT VALLEY SCHOOL RD, SAGINAW",Oregon,Lane,,"Eugene, OR",2017-03-06,[  43.8345 -123.0353],"{'Residential': 0.47, 'Cropland and pasture': 0.43, 'Transportation, communications and services': 0.1}"
41,39,2013,11203,1,43.744352,-122.480487,WGS84,Light scatter,1 HOUR,,Observed Values,Ecotech M9003/Aurora - Nephelometry,2016,Beta Scatter,No Events,8770,100,Y,366,366,0,14,,,Certification not required,0,0.392395,0.583027,8.9,2016-01-10 20:00,5.9,2016-01-22 00:00,5.8,2016-01-10 19:00,5.6,2016-01-02 00:00,,,,,3.1,2.4,1.5,0.9,0.4,0.2,0.1,Oakridge - (OAK),"47674 SCHOOL ST., OAKRIDGE",Oregon,Lane,Oakridge,"Eugene, OR",2017-03-06,[  43.744352 -122.480487],"{'Commercial and Services': 0.14507772020725387, 'Residential': 0.30569948186528495, 'Forested wetland': 0.031088082901554404, 'Evergreen forest land': 0.5181347150259067}"
41,39,2013,61101,1,43.744352,-122.480487,WGS84,Wind Speed - Scalar,1 HOUR,,Observed Values,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,2016,Knots,No Events,8774,100,Y,366,366,0,10,,,Certification not required,0,2.114862,2.103288,10.8,2016-06-08 12:00,10.3,2016-07-07 14:00,10.2,2016-04-03 22:00,10.2,2016-06-04 16:00,,,,,8.3,7.8,6.9,5.8,2.8,1.3,0.3,Oakridge - (OAK),"47674 SCHOOL ST., OAKRIDGE",Oregon,Lane,Oakridge,"Eugene, OR",2017-03-06,[  43.744352 -122.480487],"{'Commercial and Services': 0.14507772020725387, 'Residential': 0.30569948186528495, 'Forested wetland': 0.031088082901554404, 'Evergreen forest land': 0.5181347150259067}"
41,39,2013,61103,1,43.744352,-122.480487,WGS84,Wind Speed - Resultant,1 HOUR,,Observed Values,INSTRUMENTAL - VECTOR SUMMATION,2016,Knots,No Events,8774,100,Y,366,366,0,10,,,Certification not required,0,1.734899,2.017319,10.1,2016-06-08 12:00,9.8,2016-06-04 16:00,9.7,2016-06-09 15:00,9.6,2016-04-03 22:00,,,,,7.8,7.2,6.4,5.3,2.3,0.9,0.2,Oakridge - (OAK),"47674 SCHOOL ST., OAKRIDGE",Oregon,Lane,Oakridge,"Eugene, OR",2017-03-06,[  43.744352 -122.480487],"{'Commercial and Services': 0.14507772020725387, 'Residential': 0.30569948186528495, 'Forested wetland': 0.031088082901554404, 'Evergreen forest land': 0.5181347150259067}"
41,39,2013,61104,1,43.744352,-122.480487,WGS84,Wind Direction - Resultant,1 HOUR,,Observed Values,INSTRUMENTAL - VECTOR SUMMATION,2016,Degrees Compass,No Events,8774,100,Y,366,366,0,10,,,Certification not required,0,205.491794,75.278725,360.0,2016-10-21 23:00,359.0,2016-04-17 06:00,359.0,2016-06-09 05:00,358.0,2016-03-04 02:00,,,,,322.0,309.0,297.0,288.0,265.0,228.0,93.0,Oakridge - (OAK),"47674 SCHOOL ST., OAKRIDGE",Oregon,Lane,Oakridge,"Eugene, OR",2017-03-06,[  43.744352 -122.480487],"{'Commercial and Services': 0.14507772020725387, 'Residential': 0.30569948186528495, 'Forested wetland': 0.031088082901554404, 'Evergreen forest land': 0.5181347150259067}"
41,39,2013,68101,1,43.744352,-122.480487,WGS84,Sample Flow Rate- CV,24 HOUR,,Observed Values,R & P Model 2025 PM-2.5 FEM Sequential Air Sampler - Calculation,2016,Percent,No Events,120,98,Y,120,122,0,2,,,Certification not required,0,0.071667,0.116809,0.4,2016-02-03 00:00,0.4,2016-09-06 00:00,0.4,2016-09-30 00:00,0.3,2016-01-07 00:00,,,,,0.4,0.4,0.3,0.3,0.2,0.0,0.0,Oakridge - (OAK),"47674 SCHOOL ST., OAKRIDGE",Oregon,Lane,Oakridge,"Eugene, OR",2017-01-18,[  43.744352 -122.480487],"{'Commercial and Services': 0.14507772020725387, 'Residential': 0.30569948186528495, 'Forested wetland': 0.031088082901554404, 'Evergreen forest land': 0.5181347150259067}"
41,39,2013,68102,1,43.744352,-122.480487,WGS84,Sample Volume,24 HOUR,,Observed Values,R & P Model 2025 PM-2.5 FEM Sequential Air Sampler - Calculation,2016,Cubic meter,No Events,120,98,Y,120,122,0,2,,,Certification not required,0,23.904167,0.978886,24.0,2016-01-01 00:00,24.0,2016-01-04 00:00,24.0,2016-01-07 00:00,24.0,2016-01-10 00:00,,,,,24.0,24.0,24.0,24.0,24.0,24.0,24.0,Oakridge - (OAK),"47674 SCHOOL ST., OAKRIDGE",Oregon,Lane,Oakridge,"Eugene, OR",2017-01-18,[  43.744352 -122.480487],"{'Commercial and Services': 0.14507772020725387, 'Residential': 0.30569948186528495, 'Forested wetland': 0.031088082901554404, 'Evergreen forest land': 0.5181347150259067}"
