State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
41,59,121,11203,1,45.652231,-118.823033,WGS84,Light scatter,1 HOUR,,Observed Values,Radiance Research M903 With Heated Inlet - Nephelometry,2016,Beta Scatter,No Events,8761,100,Y,366,366,0,23,,,Certification not required,0,0.451124,0.330098,4.0,2016-02-01 23:00,3.2,2016-02-02 02:00,3.0,2016-02-02 00:00,3.0,2016-07-21 23:00,,,,,1.7,1.5,1.1,0.8,0.5,0.3,0.2,Pendleton - McKay Creek,"PMC/3745 SW MARSHAL PL., PENDLETON",Oregon,Umatilla,Pendleton,"Hermiston-Pendleton, OR",2017-04-25,[  45.652231 -118.823033],"{'Commercial and Services': 0.07, 'Residential': 0.62, 'Other urban or built-up land': 0.01, 'Cropland and pasture': 0.3}"
41,59,121,61101,1,45.652231,-118.823033,WGS84,Wind Speed - Scalar,1 HOUR,,Observed Values,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,2016,Knots,No Events,2179,25,N,91,366,0,5,,,Certification not required,0,2.832676,2.591871,15.8,2016-03-13 13:00,15.7,2016-01-29 13:00,15.5,2016-03-24 12:00,15.4,2016-03-24 11:00,,,,,12.6,11.3,8.4,6.5,3.5,1.7,0.9,Pendleton - McKay Creek,"PMC/3745 SW MARSHAL PL., PENDLETON",Oregon,Umatilla,Pendleton,"Hermiston-Pendleton, OR",2016-11-21,[  45.652231 -118.823033],"{'Commercial and Services': 0.07, 'Residential': 0.62, 'Other urban or built-up land': 0.01, 'Cropland and pasture': 0.3}"
41,59,121,61103,1,45.652231,-118.823033,WGS84,Wind Speed - Resultant,1 HOUR,,Observed Values,INSTRUMENTAL - VECTOR SUMMATION,2016,Knots,No Events,2170,25,N,90,366,0,14,,,Certification not required,0,2.296406,2.698067,15.5,2016-01-29 13:00,15.0,2016-03-24 11:00,15.0,2016-03-24 12:00,14.9,2016-03-24 14:00,,,,,12.2,11.0,8.2,6.3,3.0,1.2,0.3,Pendleton - McKay Creek,"PMC/3745 SW MARSHAL PL., PENDLETON",Oregon,Umatilla,Pendleton,"Hermiston-Pendleton, OR",2016-11-21,[  45.652231 -118.823033],"{'Commercial and Services': 0.07, 'Residential': 0.62, 'Other urban or built-up land': 0.01, 'Cropland and pasture': 0.3}"
41,59,121,61104,1,45.652231,-118.823033,WGS84,Wind Direction - Resultant,1 HOUR,,Observed Values,INSTRUMENTAL - VECTOR SUMMATION,2016,Degrees Compass,No Events,2170,25,N,90,366,0,14,,,Certification not required,0,207.616129,89.36003,360.0,2016-01-27 08:00,360.0,2016-01-28 03:00,360.0,2016-02-10 00:00,360.0,2016-02-25 02:00,,,,,357.0,353.0,342.0,327.0,281.0,191.0,91.0,Pendleton - McKay Creek,"PMC/3745 SW MARSHAL PL., PENDLETON",Oregon,Umatilla,Pendleton,"Hermiston-Pendleton, OR",2016-11-21,[  45.652231 -118.823033],"{'Commercial and Services': 0.07, 'Residential': 0.62, 'Other urban or built-up land': 0.01, 'Cropland and pasture': 0.3}"
41,59,121,61106,1,45.652231,-118.823033,WGS84,Std Dev Hz Wind Direction,1 HOUR,,Observed Values,INSTRUMENTAL - ARITHMETIC STANDARD DEVIATION,2016,Degrees Compass,No Events,2170,25,N,90,366,0,14,,,Certification not required,0,38.809078,18.784206,93.3,2016-01-17 08:00,90.1,2016-03-04 04:00,89.9,2016-03-18 03:00,85.1,2016-01-21 04:00,,,,,78.5,75.1,69.7,64.2,53.8,38.9,14.6,Pendleton - McKay Creek,"PMC/3745 SW MARSHAL PL., PENDLETON",Oregon,Umatilla,Pendleton,"Hermiston-Pendleton, OR",2016-11-21,[  45.652231 -118.823033],"{'Commercial and Services': 0.07, 'Residential': 0.62, 'Other urban or built-up land': 0.01, 'Cropland and pasture': 0.3}"
41,59,121,64101,1,45.652231,-118.823033,WGS84,Barometric pressure,1 HOUR,,Observed Values,INSTRUMENTAL - ANEROID,2016,Millibars,No Events,2184,25,N,91,366,0,0,,,Certification not required,0,980.813187,8.215149,1001.0,2016-01-01 00:00,1001.0,2016-01-01 01:00,1001.0,2016-01-01 02:00,1000.0,2016-01-01 03:00,,,,,999.0,998.0,993.0,991.0,987.0,981.0,970.0,Pendleton - McKay Creek,"PMC/3745 SW MARSHAL PL., PENDLETON",Oregon,Umatilla,Pendleton,"Hermiston-Pendleton, OR",2016-11-21,[  45.652231 -118.823033],"{'Commercial and Services': 0.07, 'Residential': 0.62, 'Other urban or built-up land': 0.01, 'Cropland and pasture': 0.3}"
41,59,121,88502,3,45.652231,-118.823033,WGS84,Acceptable PM2.5 AQI & Speciation Mass,1 HOUR,,Observed Values,Correlated Radiance Research M903 With Heated Inlet - Nephelometry,2016,Micrograms/cubic meter (LC),No Events,8761,100,Y,366,366,0,23,,,Certification not required,0,6.263086,5.408608,64.5,2016-02-01 23:00,51.3,2016-02-02 02:00,48.6,2016-12-10 22:00,47.9,2016-12-18 23:00,,,,,26.6,22.9,16.5,11.9,7.8,5.7,1.3,Pendleton - McKay Creek,"PMC/3745 SW MARSHAL PL., PENDLETON",Oregon,Umatilla,Pendleton,"Hermiston-Pendleton, OR",2017-04-27,[  45.652231 -118.823033],"{'Commercial and Services': 0.07, 'Residential': 0.62, 'Other urban or built-up land': 0.01, 'Cropland and pasture': 0.3}"
41,59,121,88502,3,45.652231,-118.823033,WGS84,Acceptable PM2.5 AQI & Speciation Mass,24-HR BLK AVG,,Observed Values,,2016,Micrograms/cubic meter (LC),No Events,366,100,Y,366,366,0,0,,,Certification not required,0,6.21612,3.927422,24.7,2016-01-05 00:00,24.7,2016-12-18 00:00,23.0,2016-01-06 00:00,21.5,2016-12-10 00:00,,,,,21.5,17.3,13.2,10.6,7.9,6.0,1.9,Pendleton - McKay Creek,"PMC/3745 SW MARSHAL PL., PENDLETON",Oregon,Umatilla,Pendleton,"Hermiston-Pendleton, OR",2017-04-27,[  45.652231 -118.823033],"{'Commercial and Services': 0.07, 'Residential': 0.62, 'Other urban or built-up land': 0.01, 'Cropland and pasture': 0.3}"
41,59,1003,44201,1,45.828968,-119.262991,WGS84,Ozone,1 HOUR,Ozone 1-hour Daily 2005,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),Instrumental - Ecotech Serinus 10,2016,Parts per million,No Events,3279,90,Y,137,153,0,974,0.0,0.0,Requested but not yet concurred,0,0.047489,0.010966,0.079,2016-06-07 16:00,0.073,2016-06-06 12:00,0.07,2016-07-14 16:00,0.068,2016-06-28 15:00,,,,,0.073,0.07,0.064,0.061,0.056,0.048,0.032,Hermiston - Municipal Airport (HMA),"HERMISTON MUNICIPAL AIRPORT, 1600 AIRPORT WAY, HERMISTON",Oregon,Umatilla,Hermiston,"Hermiston-Pendleton, OR",2017-05-02,[  45.828968 -119.262991],"{'Cropland and pasture': 0.6711409395973155, 'Transportation, communications and services': 0.3288590604026846}"
41,59,1003,44201,1,45.828968,-119.262991,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,2016,Parts per million,No Events,3271,88,Y,135,153,0,0,0.0,0.0,Requested but not yet concurred,0,0.043193,0.010702,0.074,2016-06-07 10:00,0.068,2016-06-06 09:00,0.065,2016-06-28 10:00,0.063,2016-07-14 11:00,,,,,0.068,0.065,0.059,0.057,0.051,0.044,0.028,Hermiston - Municipal Airport (HMA),"HERMISTON MUNICIPAL AIRPORT, 1600 AIRPORT WAY, HERMISTON",Oregon,Umatilla,Hermiston,"Hermiston-Pendleton, OR",2017-05-02,[  45.828968 -119.262991],"{'Cropland and pasture': 0.6711409395973155, 'Transportation, communications and services': 0.3288590604026846}"
