State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
41,61,10,85101,1,45.224748,-118.513962,WGS84,PM10 - LC,24 HOUR,,Observed Values,"IMPROVE Module D with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - GRAVIMETRIC",2016,Micrograms/cubic meter (LC),No Events,51,42,N,51,122,0,0,,,Certification not required,0,3.235745,3.08776,14.714,2016-04-21 00:00,12.082,2016-05-12 00:00,8.459,2016-05-03 00:00,8.165,2016-04-09 00:00,,,,,14.714,12.082,8.459,6.632,5.616,2.295,0.599,,Starkey,Oregon,Union,,"La Grande, OR",2017-04-25,[  45.224748 -118.513962],"{'Herbaceous Rangeland': 0.2366412213740458, 'Evergreen forest land': 0.7633587786259542}"
41,61,10,88103,1,45.224748,-118.513962,WGS84,Arsenic PM2.5 LC,24 HOUR,,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2016,Micrograms/cubic meter (LC),No Events,51,42,N,51,122,0,0,,,Certification not required,0,2e-05,0.00014,0.001,2016-04-12 00:00,0.0,2016-01-01 00:00,0.0,2016-01-04 00:00,0.0,2016-01-07 00:00,,,,,0.001,0.0,0.0,0.0,0.0,0.0,0.0,,Starkey,Oregon,Union,,"La Grande, OR",2017-04-25,[  45.224748 -118.513962],"{'Herbaceous Rangeland': 0.2366412213740458, 'Evergreen forest land': 0.7633587786259542}"
41,61,10,88104,1,45.224748,-118.513962,WGS84,Aluminum PM2.5 LC,24 HOUR,,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2016,Micrograms/cubic meter (LC),No Events,51,42,N,51,122,0,0,,,Certification not required,0,0.021765,0.028754,0.128,2016-04-21 00:00,0.096,2016-04-09 00:00,0.094,2016-04-06 00:00,0.092,2016-04-18 00:00,,,,,0.128,0.096,0.094,0.058,0.027,0.009,0.001,,Starkey,Oregon,Union,,"La Grande, OR",2017-04-25,[  45.224748 -118.513962],"{'Herbaceous Rangeland': 0.2366412213740458, 'Evergreen forest land': 0.7633587786259542}"
41,61,10,88109,1,45.224748,-118.513962,WGS84,Bromine PM2.5 LC,24 HOUR,,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2016,Micrograms/cubic meter (LC),No Events,51,42,N,51,122,0,0,,,Certification not required,0,0.000804,0.000749,0.003,2016-01-04 00:00,0.002,2016-01-13 00:00,0.002,2016-02-12 00:00,0.002,2016-03-31 00:00,,,,,0.003,0.002,0.002,0.002,0.001,0.001,0.0,,Starkey,Oregon,Union,,"La Grande, OR",2017-04-25,[  45.224748 -118.513962],"{'Herbaceous Rangeland': 0.2366412213740458, 'Evergreen forest land': 0.7633587786259542}"
41,61,10,88111,1,45.224748,-118.513962,WGS84,Calcium PM2.5 LC,24 HOUR,,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2016,Micrograms/cubic meter (LC),No Events,51,42,N,51,122,0,0,,,Certification not required,0,0.011667,0.013652,0.06,2016-04-21 00:00,0.048,2016-04-09 00:00,0.047,2016-04-06 00:00,0.041,2016-04-18 00:00,,,,,0.06,0.048,0.047,0.033,0.015,0.007,0.001,,Starkey,Oregon,Union,,"La Grande, OR",2017-04-25,[  45.224748 -118.513962],"{'Herbaceous Rangeland': 0.2366412213740458, 'Evergreen forest land': 0.7633587786259542}"
41,61,10,88112,1,45.224748,-118.513962,WGS84,Chromium PM2.5 LC,24 HOUR,,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2016,Micrograms/cubic meter (LC),No Events,51,42,N,51,122,0,0,,,Certification not required,0,0.0,0.0,0.0,2016-01-01 00:00,0.0,2016-01-04 00:00,0.0,2016-01-07 00:00,0.0,2016-01-10 00:00,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Starkey,Oregon,Union,,"La Grande, OR",2017-04-25,[  45.224748 -118.513962],"{'Herbaceous Rangeland': 0.2366412213740458, 'Evergreen forest land': 0.7633587786259542}"
41,61,10,88114,1,45.224748,-118.513962,WGS84,Copper PM2.5 LC,24 HOUR,,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2016,Micrograms/cubic meter (LC),No Events,51,42,N,51,122,0,0,,,Certification not required,0,2e-05,0.00014,0.001,2016-01-04 00:00,0.0,2016-01-01 00:00,0.0,2016-01-07 00:00,0.0,2016-01-10 00:00,,,,,0.001,0.0,0.0,0.0,0.0,0.0,0.0,,Starkey,Oregon,Union,,"La Grande, OR",2017-04-25,[  45.224748 -118.513962],"{'Herbaceous Rangeland': 0.2366412213740458, 'Evergreen forest land': 0.7633587786259542}"
41,61,10,88115,1,45.224748,-118.513962,WGS84,Chlorine PM2.5 LC,24 HOUR,,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2016,Micrograms/cubic meter (LC),No Events,51,42,N,51,122,0,0,,,Certification not required,0,0.005353,0.022833,0.163,2016-05-09 00:00,0.018,2016-03-07 00:00,0.015,2016-01-31 00:00,0.013,2016-01-13 00:00,,,,,0.163,0.018,0.015,0.009,0.002,0.001,0.0,,Starkey,Oregon,Union,,"La Grande, OR",2017-04-25,[  45.224748 -118.513962],"{'Herbaceous Rangeland': 0.2366412213740458, 'Evergreen forest land': 0.7633587786259542}"
41,61,10,88126,1,45.224748,-118.513962,WGS84,Iron PM2.5 LC,24 HOUR,,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2016,Micrograms/cubic meter (LC),No Events,51,42,N,51,122,0,0,,,Certification not required,0,0.016608,0.020905,0.097,2016-04-21 00:00,0.067,2016-04-09 00:00,0.065,2016-04-18 00:00,0.062,2016-05-12 00:00,,,,,0.097,0.067,0.065,0.044,0.023,0.008,0.001,,Starkey,Oregon,Union,,"La Grande, OR",2017-04-25,[  45.224748 -118.513962],"{'Herbaceous Rangeland': 0.2366412213740458, 'Evergreen forest land': 0.7633587786259542}"
41,61,10,88128,1,45.224748,-118.513962,WGS84,Lead PM2.5 LC,24 HOUR,,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2016,Micrograms/cubic meter (LC),No Events,51,42,N,51,122,0,0,,,Certification not required,0,0.000216,0.000503,0.001,2016-01-10 00:00,0.001,2016-01-13 00:00,0.001,2016-02-09 00:00,0.001,2016-02-12 00:00,,,,,0.001,0.001,0.001,0.001,0.001,0.0,0.0,,Starkey,Oregon,Union,,"La Grande, OR",2017-04-25,[  45.224748 -118.513962],"{'Herbaceous Rangeland': 0.2366412213740458, 'Evergreen forest land': 0.7633587786259542}"
