State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
41,67,4,11203,1,45.528501,-122.972398,WGS84,Light scatter,1 HOUR,,Observed Values,Radiance Research M903 With Heated Inlet - Nephelometry,2016,Beta Scatter,No Events,8722,99,Y,363,366,0,62,,,Certification not required,0,0.49648,0.346341,4.3,2016-01-07 23:00,3.9,2016-01-17 01:00,3.9,2016-12-07 00:00,3.8,2016-12-30 23:00,,,,,2.0,1.6,1.2,0.9,0.5,0.4,0.3,Hillsboro - Hare Field,"1149 NE GRANT ST HILLSBORO, OR 97124",Oregon,Washington,Hillsboro,"Portland-Vancouver-Hillsboro, OR-WA",2017-04-25,[  45.528501 -122.972398],"{'Commercial and Services': 0.1893939393939394, 'Residential': 0.7575757575757576, 'Other urban or built-up land': 0.05303030303030303}"
41,67,4,68101,1,45.528501,-122.972398,WGS84,Sample Flow Rate- CV,24 HOUR,,Observed Values,Multiple Methods Used,2016,Percent,No Events,120,98,Y,120,122,0,2,,,Certification not required,0,0.160833,0.159461,0.5,2016-06-05 00:00,0.5,2016-06-26 00:00,0.5,2016-07-29 00:00,0.5,2016-08-04 00:00,,,,,0.5,0.5,0.4,0.4,0.3,0.2,0.0,Hillsboro - Hare Field,"1149 NE GRANT ST HILLSBORO, OR 97124",Oregon,Washington,Hillsboro,"Portland-Vancouver-Hillsboro, OR-WA",2017-03-29,[  45.528501 -122.972398],"{'Commercial and Services': 0.1893939393939394, 'Residential': 0.7575757575757576, 'Other urban or built-up land': 0.05303030303030303}"
41,67,4,68102,1,45.528501,-122.972398,WGS84,Sample Volume,24 HOUR,,Observed Values,Multiple Methods Used,2016,Cubic meter,No Events,120,98,Y,120,122,0,2,,,Certification not required,0,24.0,0.0,24.0,2016-01-01 00:00,24.0,2016-01-04 00:00,24.0,2016-01-07 00:00,24.0,2016-01-10 00:00,,,,,24.0,24.0,24.0,24.0,24.0,24.0,24.0,Hillsboro - Hare Field,"1149 NE GRANT ST HILLSBORO, OR 97124",Oregon,Washington,Hillsboro,"Portland-Vancouver-Hillsboro, OR-WA",2017-03-29,[  45.528501 -122.972398],"{'Commercial and Services': 0.1893939393939394, 'Residential': 0.7575757575757576, 'Other urban or built-up land': 0.05303030303030303}"
41,67,4,68105,1,45.528501,-122.972398,WGS84,Average Ambient Temperature,24 HOUR,,Observed Values,Multiple Methods Used,2016,Degrees Centigrade,No Events,120,98,Y,120,122,0,2,,,Certification not required,0,12.660833,6.287286,27.8,2016-06-05 00:00,26.3,2016-08-13 00:00,25.9,2016-08-25 00:00,25.7,2016-07-29 00:00,,,,,26.3,25.9,24.4,21.1,17.4,12.6,4.0,Hillsboro - Hare Field,"1149 NE GRANT ST HILLSBORO, OR 97124",Oregon,Washington,Hillsboro,"Portland-Vancouver-Hillsboro, OR-WA",2017-03-29,[  45.528501 -122.972398],"{'Commercial and Services': 0.1893939393939394, 'Residential': 0.7575757575757576, 'Other urban or built-up land': 0.05303030303030303}"
41,67,4,68108,1,45.528501,-122.972398,WGS84,Average Ambient Pressure,24 HOUR,,Observed Values,Multiple Methods Used,2016,Millimeters (mercury),No Events,120,98,Y,120,122,0,2,,,Certification not required,0,755.3,4.752001,766.0,2016-02-06 00:00,765.0,2016-12-17 00:00,764.0,2016-01-01 00:00,763.0,2016-09-24 00:00,,,,,765.0,764.0,762.0,761.0,758.0,756.0,750.0,Hillsboro - Hare Field,"1149 NE GRANT ST HILLSBORO, OR 97124",Oregon,Washington,Hillsboro,"Portland-Vancouver-Hillsboro, OR-WA",2017-03-29,[  45.528501 -122.972398],"{'Commercial and Services': 0.1893939393939394, 'Residential': 0.7575757575757576, 'Other urban or built-up land': 0.05303030303030303}"
41,67,4,68109,1,45.528501,-122.972398,WGS84,Elapsed Sample Time,24 HOUR,,Observed Values,Multiple Methods Used,2016,Minutes,No Events,120,98,Y,120,122,0,2,,,Certification not required,0,1439.908333,0.289765,1440.0,2016-01-01 00:00,1440.0,2016-01-07 00:00,1440.0,2016-01-10 00:00,1440.0,2016-01-13 00:00,,,,,1440.0,1440.0,1440.0,1440.0,1440.0,1440.0,1440.0,Hillsboro - Hare Field,"1149 NE GRANT ST HILLSBORO, OR 97124",Oregon,Washington,Hillsboro,"Portland-Vancouver-Hillsboro, OR-WA",2017-03-29,[  45.528501 -122.972398],"{'Commercial and Services': 0.1893939393939394, 'Residential': 0.7575757575757576, 'Other urban or built-up land': 0.05303030303030303}"
41,67,4,88101,1,45.528501,-122.972398,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2006,Daily Mean,Multiple Methods Used,2016,Micrograms/cubic meter (LC),No Events,120,98,Y,120,122,0,2,0.0,0.0,Requested but not yet concurred,0,5.961667,4.158118,21.4,2016-12-17 00:00,18.4,2016-01-07 00:00,18.4,2016-10-12 00:00,17.9,2016-11-11 00:00,,,,,18.4,18.4,16.2,12.0,7.3,4.8,2.1,Hillsboro - Hare Field,"1149 NE GRANT ST HILLSBORO, OR 97124",Oregon,Washington,Hillsboro,"Portland-Vancouver-Hillsboro, OR-WA",2017-03-29,[  45.528501 -122.972398],"{'Commercial and Services': 0.1893939393939394, 'Residential': 0.7575757575757576, 'Other urban or built-up land': 0.05303030303030303}"
41,67,4,88101,1,45.528501,-122.972398,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,Daily Mean,Multiple Methods Used,2016,Micrograms/cubic meter (LC),No Events,120,98,Y,120,122,0,2,0.0,0.0,Requested but not yet concurred,0,5.961667,4.158118,21.4,2016-12-17 00:00,18.4,2016-01-07 00:00,18.4,2016-10-12 00:00,17.9,2016-11-11 00:00,,,,,18.4,18.4,16.2,12.0,7.3,4.8,2.1,Hillsboro - Hare Field,"1149 NE GRANT ST HILLSBORO, OR 97124",Oregon,Washington,Hillsboro,"Portland-Vancouver-Hillsboro, OR-WA",2017-03-29,[  45.528501 -122.972398],"{'Commercial and Services': 0.1893939393939394, 'Residential': 0.7575757575757576, 'Other urban or built-up land': 0.05303030303030303}"
41,67,4,88101,1,45.528501,-122.972398,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,Multiple Methods Used,2016,Micrograms/cubic meter (LC),No Events,120,98,Y,120,122,0,2,,,Requested but not yet concurred,0,5.961667,4.158118,21.4,2016-12-17 00:00,18.4,2016-01-07 00:00,18.4,2016-10-12 00:00,17.9,2016-11-11 00:00,,,,,18.4,18.4,16.2,12.0,7.3,4.8,2.1,Hillsboro - Hare Field,"1149 NE GRANT ST HILLSBORO, OR 97124",Oregon,Washington,Hillsboro,"Portland-Vancouver-Hillsboro, OR-WA",2017-03-29,[  45.528501 -122.972398],"{'Commercial and Services': 0.1893939393939394, 'Residential': 0.7575757575757576, 'Other urban or built-up land': 0.05303030303030303}"
41,67,4,88101,1,45.528501,-122.972398,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2012,Quarterly Means of Daily Means,Multiple Methods Used,2016,Micrograms/cubic meter (LC),No Events,120,98,Y,120,122,0,2,,,Requested but not yet concurred,0,5.961667,4.158118,21.4,2016-12-17 00:00,18.4,2016-01-07 00:00,18.4,2016-10-12 00:00,17.9,2016-11-11 00:00,,,,,18.4,18.4,16.2,12.0,7.3,4.8,2.1,Hillsboro - Hare Field,"1149 NE GRANT ST HILLSBORO, OR 97124",Oregon,Washington,Hillsboro,"Portland-Vancouver-Hillsboro, OR-WA",2017-03-29,[  45.528501 -122.972398],"{'Commercial and Services': 0.1893939393939394, 'Residential': 0.7575757575757576, 'Other urban or built-up land': 0.05303030303030303}"
