,Parameter Name,Site_keys,LU,ppm
0,Sulfur dioxide,[ 41.170833 -73.194722],"{'Commercial and Services': 0.14, 'Residential': 0.63, 'Industrial': 0.04, 'Transportation, communications and services': 0.19}",4.7648200000000004e-07
1,Sulfur dioxide,[ 41.195076 -73.163447],"{'Commercial and Services': 0.09, 'Residential': 0.91}",3.3338000000000004e-07
2,Sulfur dioxide,[ 41.784722 -72.631667],"{'Commercial and Services': 0.58, 'Residential': 0.38, 'Forested wetland': 0.04}",4.23044e-07
3,Sulfur dioxide,[ 41.821342 -73.297257],{'Deciduous forest land': 1.0},3.88747e-07
4,Sulfur dioxide,[ 41.3014   -72.902871],"{'Streams and canals': 0.21084337349397592, 'Bays and estuaries': 0.08433734939759036, 'Transportation, communications and services': 0.463855421686747, 'Industrial': 0.24096385542168675}",1.55389e-07
0,Sulfur dioxide,[ 41.685707 -71.169235],"{'Mixed urban or built-up land': 0.23, 'Industrial': 0.01, 'Lakes': 0.12, 'Residential': 0.64}",0.001086662
1,Sulfur dioxide,[ 42.108992 -72.590803],"{'Commercial and Services': 0.94, 'Industrial': 0.06}",0.00127174
2,Sulfur dioxide,[ 42.298493 -72.334079],"{'Commercial and Services': 0.2, 'Deciduous forest land': 0.792, 'Evergreen forest land': 0.008}",0.0007472609999999999
3,Sulfur dioxide,[ 42.348873 -71.097163],"{'Commercial and Services': 0.21465968586387435, 'Residential': 0.13089005235602094, 'Streams and canals': 0.13089005235602094, 'Transportation, communications and services': 0.5235602094240838}",0.0006509129999999999
4,Sulfur dioxide,[ 42.3295 -71.0826],"{'Commercial and Services': 0.2, 'Residential': 0.225, 'Other urban or built-up land': 0.075, 'Transportation, communications and services': 0.5}",0.000458538
5,Sulfur dioxide,[ 42.263955 -71.794322],"{'Commercial and Services': 0.43089430894308944, 'Residential': 0.06504065040650407, 'Industrial': 0.024390243902439025, 'Transportation, communications and services': 0.4796747967479675}",0.00042532400000000004
0,Sulfur dioxide,[  45.496641 -122.602877],{'Residential': 1.0},0.00020109400000000002
0,Sulfur dioxide,[  48.29786 -124.62491],{'Evergreen forest land': 1.0},0.00061928
1,Sulfur dioxide,[  47.568236 -122.308628],"{'Commercial and Services': 0.051194539249146756, 'Residential': 0.3412969283276451, 'Other urban or built-up land': 0.21843003412969283, 'Reservoirs': 0.04778156996587031, 'Transportation, communications and services': 0.3412969283276451}",0.000152199
2,Sulfur dioxide,[  48.52059 -122.61428],"{'Commercial and Services': 0.4, 'Residential': 0.4, 'Bays and estuaries': 0.2}",0.0004831460000000001
