,State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
0,41,1,4,11203,1,44.78822,-117.8446,WGS84,Light scatter,1 HOUR,,Observed Values,Radiance Research M903 With Heated Inlet - Nephelometry,2016,Beta Scatter,No Events,8708,99,Y,362,366,0,76,,,Certification not required,0,0.491663,0.33348,4.8,2016-12-07 17:00,4.3,2016-01-01 19:00,4.2,2016-01-01 18:00,3.9,2016-12-14 15:00,,,,,1.9,1.6,1.1,0.8,0.5,0.4,0.3,US FOREST SERVICE OFFICE - BAKER CITY,"3285 11TH ST, US FOREST SERVICE OFFICE - BAKER CITY",Oregon,Baker,Baker City,,2017-04-25,[  44.78822 -117.8446 ],"{'Commercial and Services': 0.27, 'Residential': 0.31, 'Industrial': 0.07, 'Cropland and pasture': 0.35}"
1,41,1,4,88502,3,44.78822,-117.8446,WGS84,Acceptable PM2.5 AQI & Speciation Mass,1 HOUR,,Observed Values,Correlated Radiance Research M903 With Heated Inlet - Nephelometry,2016,Micrograms/cubic meter (LC),No Events,8708,99,Y,362,366,0,76,,,Certification not required,0,7.032763,5.175393,73.9,2016-12-07 17:00,66.9,2016-01-01 19:00,64.4,2016-01-01 18:00,60.3,2016-12-14 15:00,,,,,28.7,23.0,15.4,11.6,8.5,6.6,2.5,US FOREST SERVICE OFFICE - BAKER CITY,"3285 11TH ST, US FOREST SERVICE OFFICE - BAKER CITY",Oregon,Baker,Baker City,,2017-04-27,[  44.78822 -117.8446 ],"{'Commercial and Services': 0.27, 'Residential': 0.31, 'Industrial': 0.07, 'Cropland and pasture': 0.35}"
2,41,1,4,88502,3,44.78822,-117.8446,WGS84,Acceptable PM2.5 AQI & Speciation Mass,24-HR BLK AVG,,Observed Values,,2016,Micrograms/cubic meter (LC),No Events,362,99,Y,362,366,0,0,,,Certification not required,0,6.994199000000001,3.498824,22.9,2016-12-18 00:00,22.2,2016-12-28 00:00,21.3,2016-11-10 00:00,18.4,2016-12-14 00:00,,,,,18.4,16.6,13.5,11.2,8.5,6.8,3.1,US FOREST SERVICE OFFICE - BAKER CITY,"3285 11TH ST, US FOREST SERVICE OFFICE - BAKER CITY",Oregon,Baker,Baker City,,2017-04-27,[  44.78822 -117.8446 ],"{'Commercial and Services': 0.27, 'Residential': 0.31, 'Industrial': 0.07, 'Cropland and pasture': 0.35}"
0,41,3,13,11203,1,44.5884,-123.2673,WGS84,Light scatter,1 HOUR,,Observed Values,Radiance Research M903 With Heated Inlet - Nephelometry,2016,Beta Scatter,No Events,4668,53,N,194,366,0,4116,,,Certification not required,0,0.428385,0.251607,3.3,2016-12-25 08:00,3.1,2016-12-16 22:00,2.7,2016-12-16 21:00,2.7,2016-12-17 00:00,,,,,1.4,1.2,0.9,0.7,0.5,0.3,0.2,NW CORNER OF ATHLETIC FIELD AT HIGHLAND VIEW INTERMEDIATE SCHOOL,1310 NW CIRCLE BLVD,Oregon,Benton,Corvallis,"Corvallis, OR",2017-04-25,[  44.5884 -123.2673],"{'Commercial and Services': 0.37, 'Residential': 0.6, 'Cropland and pasture': 0.03}"
1,41,3,13,88502,3,44.5884,-123.2673,WGS84,Acceptable PM2.5 AQI & Speciation Mass,1 HOUR,,Observed Values,Correlated Radiance Research M903 With Heated Inlet - Nephelometry,2016,Micrograms/cubic meter (LC),No Events,4668,53,N,194,366,0,4116,,,Certification not required,0,4.734662,4.4899059999999995,56.3,2016-12-25 08:00,53.2,2016-12-16 22:00,45.5,2016-12-16 21:00,45.1,2016-12-17 00:00,,,,,21.7,18.8,13.7,10.0,5.5,3.2,1.4,NW CORNER OF ATHLETIC FIELD AT HIGHLAND VIEW INTERMEDIATE SCHOOL,1310 NW CIRCLE BLVD,Oregon,Benton,Corvallis,"Corvallis, OR",2017-04-27,[  44.5884 -123.2673],"{'Commercial and Services': 0.37, 'Residential': 0.6, 'Cropland and pasture': 0.03}"
2,41,3,13,88502,3,44.5884,-123.2673,WGS84,Acceptable PM2.5 AQI & Speciation Mass,24-HR BLK AVG,,Observed Values,,2016,Micrograms/cubic meter (LC),No Events,194,53,N,194,366,0,0,,,Certification not required,0,4.680928,3.3449050000000002,18.2,2016-12-17 00:00,16.5,2016-12-16 00:00,16.5,2016-12-18 00:00,16.3,2016-12-25 00:00,,,,,16.5,16.3,11.5,9.0,5.5,3.6,1.6,NW CORNER OF ATHLETIC FIELD AT HIGHLAND VIEW INTERMEDIATE SCHOOL,1310 NW CIRCLE BLVD,Oregon,Benton,Corvallis,"Corvallis, OR",2017-04-27,[  44.5884 -123.2673],"{'Commercial and Services': 0.37, 'Residential': 0.6, 'Cropland and pasture': 0.03}"
0,41,5,102,85101,1,45.28845,-121.782775,WGS84,PM10 - LC,24 HOUR,,Observed Values,"IMPROVE Module D with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - GRAVIMETRIC",2016,Micrograms/cubic meter (LC),No Events,43,35,N,43,122,0,8,,,Certification not required,0,2.133465,2.038168,7.016,2016-04-18 00:00,6.599,2016-05-12 00:00,6.501,2016-04-09 00:00,6.406000000000001,2016-05-06 00:00,,,,,7.016,7.016,6.501,5.636,3.198,1.179,0.337,"MULTORPOR-Ski Bowl, Mt. Hood Wilderness","MULTORPOR, BOX 87, GOVT CAMP, OR 97028",Oregon,Clackamas,,"Portland-Vancouver-Hillsboro, OR-WA",2017-04-25,[  45.28845  -121.782775],{'Evergreen forest land': 1.0}
1,41,5,102,88103,1,45.28845,-121.782775,WGS84,Arsenic PM2.5 LC,24 HOUR,,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2016,Micrograms/cubic meter (LC),No Events,45,37,N,45,122,0,6,,,Certification not required,0,6.7e-05,0.000252,0.001,2016-04-09 00:00,0.001,2016-04-18 00:00,0.001,2016-05-03 00:00,0.0,2016-01-01 00:00,,,,,0.001,0.001,0.001,0.0,0.0,0.0,0.0,"MULTORPOR-Ski Bowl, Mt. Hood Wilderness","MULTORPOR, BOX 87, GOVT CAMP, OR 97028",Oregon,Clackamas,,"Portland-Vancouver-Hillsboro, OR-WA",2017-04-25,[  45.28845  -121.782775],{'Evergreen forest land': 1.0}
2,41,5,102,88104,1,45.28845,-121.782775,WGS84,Aluminum PM2.5 LC,24 HOUR,,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2016,Micrograms/cubic meter (LC),No Events,45,37,N,45,122,0,6,,,Certification not required,0,0.017178,0.028699000000000002,0.158,2016-04-06 00:00,0.098,2016-04-18 00:00,0.06,2016-04-21 00:00,0.051,2016-04-09 00:00,,,,,0.158,0.158,0.06,0.048,0.018000000000000002,0.008,0.0,"MULTORPOR-Ski Bowl, Mt. Hood Wilderness","MULTORPOR, BOX 87, GOVT CAMP, OR 97028",Oregon,Clackamas,,"Portland-Vancouver-Hillsboro, OR-WA",2017-04-25,[  45.28845  -121.782775],{'Evergreen forest land': 1.0}
3,41,5,102,88109,1,45.28845,-121.782775,WGS84,Bromine PM2.5 LC,24 HOUR,,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2016,Micrograms/cubic meter (LC),No Events,45,37,N,45,122,0,6,,,Certification not required,0,0.000489,0.000661,0.002,2016-04-03 00:00,0.002,2016-04-09 00:00,0.002,2016-04-21 00:00,0.002,2016-05-12 00:00,,,,,0.002,0.002,0.002,0.001,0.001,0.0,0.0,"MULTORPOR-Ski Bowl, Mt. Hood Wilderness","MULTORPOR, BOX 87, GOVT CAMP, OR 97028",Oregon,Clackamas,,"Portland-Vancouver-Hillsboro, OR-WA",2017-04-25,[  45.28845  -121.782775],{'Evergreen forest land': 1.0}
