,State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
0,53,1,3,11203,1,47.12,-118.3819,WGS84,Light scatter,1 HOUR,,Observed Values,Radiance Research M903 With Heated Inlet - Nephelometry,2016,Beta Scatter,No Events,8390,96,Y,346,366,0,370,,,Certification not required,0,0.08443400000000001,0.101923,2.5,2016-04-20 19:00,1.9,2016-09-18 08:00,1.6,2016-04-19 21:00,1.1,2016-08-01 01:00,,,,,0.4,0.3,0.3,0.2,0.1,0.1,0.0,RITZVILLE - ALDER ST,"109 W ALDER, RITZVILLE, WA",Washington,Adams,Ritzville,"Othello, WA",2017-02-27,[  47.12   -118.3819],"{'Residential': 0.13, 'Industrial': 0.01, 'Cropland and pasture': 0.86}"
1,53,1,3,88502,4,47.12,-118.3819,WGS84,Acceptable PM2.5 AQI & Speciation Mass,1 HOUR,,Observed Values,Correlated Radiance Research M903 With Heated Inlet - Nephelometry,2016,Micrograms/cubic meter (LC),No Events,8391,96,Y,346,366,0,369,,,Certification not required,0,3.7711360000000003,2.464852,42.0,2016-04-20 19:00,30.7,2016-09-18 08:00,28.7,2016-04-19 21:00,25.6,2016-08-01 01:00,,,,,11.6,10.4,8.4,6.7,4.9,3.2,1.4,RITZVILLE - ALDER ST,"109 W ALDER, RITZVILLE, WA",Washington,Adams,Ritzville,"Othello, WA",2017-02-27,[  47.12   -118.3819],"{'Residential': 0.13, 'Industrial': 0.01, 'Cropland and pasture': 0.86}"
2,53,1,3,88502,4,47.12,-118.3819,WGS84,Acceptable PM2.5 AQI & Speciation Mass,24-HR BLK AVG,,Observed Values,,2016,Micrograms/cubic meter (LC),No Events,346,95,Y,346,366,0,0,,,Certification not required,0,3.718208,1.867274,12.6,2016-08-01 00:00,10.4,2016-11-11 00:00,10.2,2016-10-13 00:00,9.6,2016-02-12 00:00,,,,,9.6,9.1,7.1,6.0,4.6,3.4,1.7,RITZVILLE - ALDER ST,"109 W ALDER, RITZVILLE, WA",Washington,Adams,Ritzville,"Othello, WA",2017-02-27,[  47.12   -118.3819],"{'Residential': 0.13, 'Industrial': 0.01, 'Cropland and pasture': 0.86}"
0,53,3,4,11203,1,46.425416,-117.060445,WGS84,Light scatter,1 HOUR,,Observed Values,Radiance Research M903 With Heated Inlet - Nephelometry,2016,Beta Scatter,No Events,8714,99,Y,362,366,0,6,,,Certification not required,0,0.191978,0.188663,2.3,2016-12-03 11:00,1.8,2016-12-11 21:00,1.7,2016-12-11 19:00,1.6,2016-10-13 10:00,,,,,0.9,0.7,0.6,0.4,0.2,0.1,0.0,CLARKSTON - 13TH ST,13TH ST AND PORT WAY (CLARKSTON STP),Washington,Asotin,Clarkston,"Lewiston, ID-WA",2017-02-27,[  46.425416 -117.060445],"{'Commercial and Services': 0.85, 'Residential': 0.1, 'Other urban or built-up land': 0.04, 'Reservoirs': 0.01}"
1,53,3,4,88502,4,46.425416,-117.060445,WGS84,Acceptable PM2.5 AQI & Speciation Mass,1 HOUR,,Observed Values,Correlated Radiance Research M903 With Heated Inlet - Nephelometry,2016,Micrograms/cubic meter (LC),No Events,8714,99,Y,362,366,0,6,,,Certification not required,0,7.117294,5.243046,53.7,2016-12-03 11:00,43.7,2016-12-11 21:00,42.6,2016-12-11 19:00,41.4,2016-10-27 10:00,,,,,25.2,21.6,17.4,13.9,9.2,5.8,2.0,CLARKSTON - 13TH ST,13TH ST AND PORT WAY (CLARKSTON STP),Washington,Asotin,Clarkston,"Lewiston, ID-WA",2017-02-27,[  46.425416 -117.060445],"{'Commercial and Services': 0.85, 'Residential': 0.1, 'Other urban or built-up land': 0.04, 'Reservoirs': 0.01}"
2,53,3,4,88502,4,46.425416,-117.060445,WGS84,Acceptable PM2.5 AQI & Speciation Mass,24-HR BLK AVG,,Observed Values,,2016,Micrograms/cubic meter (LC),No Events,362,99,Y,362,366,0,0,,,Certification not required,0,7.068785000000001,4.015695,31.6,2016-10-13 00:00,26.5,2016-12-11 00:00,21.4,2016-08-01 00:00,19.1,2016-07-31 00:00,,,,,19.1,17.0,14.6,12.2,8.8,6.4,2.9,CLARKSTON - 13TH ST,13TH ST AND PORT WAY (CLARKSTON STP),Washington,Asotin,Clarkston,"Lewiston, ID-WA",2017-02-27,[  46.425416 -117.060445],"{'Commercial and Services': 0.85, 'Residential': 0.1, 'Other urban or built-up land': 0.04, 'Reservoirs': 0.01}"
3,53,3,333,43502,3,46.384783,-117.10527900000001,NAD83,Formaldehyde,12 HOUR,,Observed Values,SILICA-DNPH-CART-KI O3 SCRUB - HPLC ULTRAVIOLET ABSORPTION,2016,Parts per billion Carbon,No Events,44,12,N,18,187,0,9,,,Certification not required,0,3.009091,1.064396,5.0,2016-07-01 07:00,4.9,2016-07-03 19:00,4.8,2016-07-02 07:00,4.6,2016-07-19 07:00,,,,,5.0,5.0,4.8,4.6,3.7,3.0,1.6,,"2901 6th Ave, Clarkston, WA 99403",Washington,Asotin,,"Lewiston, ID-WA",2017-01-31,[  46.384783 -117.105279],{'Cropland and pasture': 1.0}
4,53,3,333,43503,3,46.384783,-117.10527900000001,NAD83,Acetaldehyde,12 HOUR,,Observed Values,SILICA-DNPH-CART-KI O3 SCRUB - HPLC ULTRAVIOLET ABSORPTION,2016,Parts per billion Carbon,No Events,44,12,N,18,187,0,9,,,Certification not required,0,2.075,1.0423870000000002,4.8,2016-07-02 19:00,4.6,2016-06-28 19:00,4.6,2016-07-01 19:00,4.1,2016-06-30 19:00,,,,,4.8,4.8,4.6,3.7,2.6,1.8,0.9,,"2901 6th Ave, Clarkston, WA 99403",Washington,Asotin,,"Lewiston, ID-WA",2017-01-31,[  46.384783 -117.105279],{'Cropland and pasture': 1.0}
0,53,5,2,11203,1,46.21835,-119.204153,WGS84,Light scatter,1 HOUR,,Observed Values,Radiance Research M903 With Heated Inlet - Nephelometry,2016,Beta Scatter,No Events,7731,88,Y,322,366,0,1052,,,Certification not required,0,0.15755999999999998,0.173603,3.0,2016-06-30 22:00,1.6,2016-01-06 16:00,1.6,2016-07-31 13:00,1.5,2016-01-06 15:00,,,,,0.9,0.7,0.5,0.3,0.2,0.1,0.0,KENNEWICK - METALINE,5929 W METALINE (Kennewick Skills Center),Washington,Benton,Kennewick,"Kennewick-Richland, WA",2017-02-27,[  46.21835  -119.204153],"{'Residential': 0.28, 'Other urban or built-up land': 0.32, 'Mixed rangeland': 0.4}"
1,53,5,2,61101,1,46.21835,-119.204153,WGS84,Wind Speed - Scalar,1 HOUR,,Observed Values,Instrumental - RM Young Sonic Anemometer 85004,2016,Knots,No Events,8774,100,Y,366,366,0,9,,,Certification not required,0,5.5840440000000005,3.8181760000000002,22.0,2016-04-04 10:00,21.6,2016-10-14 11:00,21.3,2016-02-15 02:00,21.2,2016-02-18 18:00,,,,,17.6,16.0,13.5,11.4,7.4,4.3,1.9,KENNEWICK - METALINE,5929 W METALINE (Kennewick Skills Center),Washington,Benton,Kennewick,"Kennewick-Richland, WA",2017-02-27,[  46.21835  -119.204153],"{'Residential': 0.28, 'Other urban or built-up land': 0.32, 'Mixed rangeland': 0.4}"
2,53,5,2,61102,1,46.21835,-119.204153,WGS84,Wind Direction - Scalar,1 HOUR,,Observed Values,Instrumental - RM Young Sonic Anemometer 85004,2016,Degrees Compass,No Events,8774,100,Y,366,366,0,9,,,Certification not required,0,207.974356,90.5327,359.0,2016-01-18 19:00,359.0,2016-02-02 18:00,359.0,2016-02-17 13:00,359.0,2016-03-16 09:00,,,,,356.0,352.0,339.0,320.0,264.0,224.0,52.0,KENNEWICK - METALINE,5929 W METALINE (Kennewick Skills Center),Washington,Benton,Kennewick,"Kennewick-Richland, WA",2017-02-27,[  46.21835  -119.204153],"{'Residential': 0.28, 'Other urban or built-up land': 0.32, 'Mixed rangeland': 0.4}"
3,53,5,2,61103,1,46.21835,-119.204153,WGS84,Wind Speed - Resultant,1 HOUR,,Observed Values,RM Young Ultrasonic Wind Sensor model 85004 - Vector Average Data Logger,2016,Knots,No Events,8774,100,Y,366,366,0,9,,,Certification not required,0,5.199692,3.89604,21.7,2016-04-04 10:00,21.4,2016-10-14 11:00,21.0,2016-02-15 02:00,21.0,2016-02-18 18:00,,,,,17.3,15.7,13.3,11.1,7.1,4.0,1.4,KENNEWICK - METALINE,5929 W METALINE (Kennewick Skills Center),Washington,Benton,Kennewick,"Kennewick-Richland, WA",2017-02-27,[  46.21835  -119.204153],"{'Residential': 0.28, 'Other urban or built-up land': 0.32, 'Mixed rangeland': 0.4}"
