State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
53,5,2,11203,1,46.21835,-119.204153,WGS84,Light scatter,1 HOUR,,Observed Values,Radiance Research M903 With Heated Inlet - Nephelometry,2016,Beta Scatter,No Events,7731,88,Y,322,366,0,1052,,,Certification not required,0,0.15756,0.173603,3.0,2016-06-30 22:00,1.6,2016-01-06 16:00,1.6,2016-07-31 13:00,1.5,2016-01-06 15:00,,,,,0.9,0.7,0.5,0.3,0.2,0.1,0.0,KENNEWICK - METALINE,5929 W METALINE (Kennewick Skills Center),Washington,Benton,Kennewick,"Kennewick-Richland, WA",2017-02-27,[  46.21835  -119.204153],"{'Residential': 0.28, 'Other urban or built-up land': 0.32, 'Mixed rangeland': 0.4}"
53,5,2,61101,1,46.21835,-119.204153,WGS84,Wind Speed - Scalar,1 HOUR,,Observed Values,Instrumental - RM Young Sonic Anemometer 85004,2016,Knots,No Events,8774,100,Y,366,366,0,9,,,Certification not required,0,5.584044,3.818176,22.0,2016-04-04 10:00,21.6,2016-10-14 11:00,21.3,2016-02-15 02:00,21.2,2016-02-18 18:00,,,,,17.6,16.0,13.5,11.4,7.4,4.3,1.9,KENNEWICK - METALINE,5929 W METALINE (Kennewick Skills Center),Washington,Benton,Kennewick,"Kennewick-Richland, WA",2017-02-27,[  46.21835  -119.204153],"{'Residential': 0.28, 'Other urban or built-up land': 0.32, 'Mixed rangeland': 0.4}"
53,5,2,61102,1,46.21835,-119.204153,WGS84,Wind Direction - Scalar,1 HOUR,,Observed Values,Instrumental - RM Young Sonic Anemometer 85004,2016,Degrees Compass,No Events,8774,100,Y,366,366,0,9,,,Certification not required,0,207.974356,90.5327,359.0,2016-01-18 19:00,359.0,2016-02-02 18:00,359.0,2016-02-17 13:00,359.0,2016-03-16 09:00,,,,,356.0,352.0,339.0,320.0,264.0,224.0,52.0,KENNEWICK - METALINE,5929 W METALINE (Kennewick Skills Center),Washington,Benton,Kennewick,"Kennewick-Richland, WA",2017-02-27,[  46.21835  -119.204153],"{'Residential': 0.28, 'Other urban or built-up land': 0.32, 'Mixed rangeland': 0.4}"
53,5,2,61103,1,46.21835,-119.204153,WGS84,Wind Speed - Resultant,1 HOUR,,Observed Values,RM Young Ultrasonic Wind Sensor model 85004 - Vector Average Data Logger,2016,Knots,No Events,8774,100,Y,366,366,0,9,,,Certification not required,0,5.199692,3.89604,21.7,2016-04-04 10:00,21.4,2016-10-14 11:00,21.0,2016-02-15 02:00,21.0,2016-02-18 18:00,,,,,17.3,15.7,13.3,11.1,7.1,4.0,1.4,KENNEWICK - METALINE,5929 W METALINE (Kennewick Skills Center),Washington,Benton,Kennewick,"Kennewick-Richland, WA",2017-02-27,[  46.21835  -119.204153],"{'Residential': 0.28, 'Other urban or built-up land': 0.32, 'Mixed rangeland': 0.4}"
53,5,2,61104,1,46.21835,-119.204153,WGS84,Wind Direction - Resultant,1 HOUR,,Observed Values,RM Young Ultrasonic Wind Sensor model 85004 - Vector Average Data Logger,2016,Degrees Compass,No Events,8767,100,Y,366,366,0,16,,,Certification not required,0,208.142238,90.125116,360.0,2016-04-19 17:00,360.0,2016-04-30 10:00,360.0,2016-05-02 09:00,360.0,2016-05-04 13:00,,,,,356.0,352.0,339.0,319.0,264.0,224.0,53.0,KENNEWICK - METALINE,5929 W METALINE (Kennewick Skills Center),Washington,Benton,Kennewick,"Kennewick-Richland, WA",2017-02-27,[  46.21835  -119.204153],"{'Residential': 0.28, 'Other urban or built-up land': 0.32, 'Mixed rangeland': 0.4}"
53,5,2,62101,1,46.21835,-119.204153,WGS84,Outdoor Temperature,1 HOUR,,Observed Values,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,2016,Degrees Fahrenheit,No Events,8776,100,Y,366,366,0,7,,,Certification not required,0,58.47892,16.401501,102.0,2016-07-29 16:00,102.0,2016-07-29 17:00,101.0,2016-06-06 16:00,101.0,2016-06-06 17:00,,,,,95.0,91.0,85.0,80.0,70.0,58.0,37.0,KENNEWICK - METALINE,5929 W METALINE (Kennewick Skills Center),Washington,Benton,Kennewick,"Kennewick-Richland, WA",2017-02-27,[  46.21835  -119.204153],"{'Residential': 0.28, 'Other urban or built-up land': 0.32, 'Mixed rangeland': 0.4}"
53,5,2,81102,3,46.21835,-119.204153,WGS84,PM10 Total 0-10um STP,1 HOUR,,Observed Values,INSTRUMENTAL-R&P SA246B-INLET - TEOM-GRAVIMETRIC,2016,Micrograms/cubic meter (25 C),No Events,7941,90,Y,328,366,0,842,,,Certified,0,15.924443,19.605687,484.0,2016-02-28 15:00,467.0,2016-10-14 11:00,385.0,2016-09-29 21:00,341.0,2016-09-29 22:00,,,,,87.0,57.0,38.0,29.0,19.0,12.0,4.0,KENNEWICK - METALINE,5929 W METALINE (Kennewick Skills Center),Washington,Benton,Kennewick,"Kennewick-Richland, WA",2017-02-27,[  46.21835  -119.204153],"{'Residential': 0.28, 'Other urban or built-up land': 0.32, 'Mixed rangeland': 0.4}"
53,5,2,81102,3,46.21835,-119.204153,WGS84,PM10 Total 0-10um STP,24-HR BLK AVG,PM10 24-hour 2006,Daily Mean,,2016,Micrograms/cubic meter (25 C),No Events,328,90,Y,328,366,0,0,0.0,0.0,Certified,0,15.463415,11.687778,76.0,2016-09-29 00:00,71.0,2016-08-02 00:00,71.0,2016-08-27 00:00,70.0,2016-08-19 00:00,,,,,70.0,50.0,38.0,28.0,20.0,12.0,5.0,KENNEWICK - METALINE,5929 W METALINE (Kennewick Skills Center),Washington,Benton,Kennewick,"Kennewick-Richland, WA",2017-02-27,[  46.21835  -119.204153],"{'Residential': 0.28, 'Other urban or built-up land': 0.32, 'Mixed rangeland': 0.4}"
53,5,2,88502,4,46.21835,-119.204153,WGS84,Acceptable PM2.5 AQI & Speciation Mass,1 HOUR,,Observed Values,Correlated Radiance Research M903 With Heated Inlet - Nephelometry,2016,Micrograms/cubic meter (LC),No Events,7731,88,Y,322,366,0,1052,,,Certification not required,0,5.635985,3.798195,47.8,2016-06-30 22:00,31.2,2016-07-31 13:00,31.1,2016-01-06 16:00,30.2,2016-01-06 17:00,,,,,21.2,17.7,12.9,9.9,6.6,4.8,2.2,KENNEWICK - METALINE,5929 W METALINE (Kennewick Skills Center),Washington,Benton,Kennewick,"Kennewick-Richland, WA",2017-02-27,[  46.21835  -119.204153],"{'Residential': 0.28, 'Other urban or built-up land': 0.32, 'Mixed rangeland': 0.4}"
53,5,2,88502,4,46.21835,-119.204153,WGS84,Acceptable PM2.5 AQI & Speciation Mass,24-HR BLK AVG,,Observed Values,,2016,Micrograms/cubic meter (LC),No Events,322,88,N,322,366,0,0,,,Certification not required,0,5.590683,3.298282,25.7,2016-01-06 00:00,19.2,2016-11-05 00:00,19.1,2016-12-18 00:00,18.2,2016-01-08 00:00,,,,,18.2,16.5,11.4,9.2,6.4,4.9,2.7,KENNEWICK - METALINE,5929 W METALINE (Kennewick Skills Center),Washington,Benton,Kennewick,"Kennewick-Richland, WA",2017-02-27,[  46.21835  -119.204153],"{'Residential': 0.28, 'Other urban or built-up land': 0.32, 'Mixed rangeland': 0.4}"
