State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
53,7,7,11203,1,47.83861,-120.023076,WGS84,Light scatter,1 HOUR,,Observed Values,Radiance Research M903 With Heated Inlet - Nephelometry,2016,Beta Scatter,No Events,2799,100,Y,116,117,0,9,,,Certification not required,0,0.079778,0.074753,0.5,2016-12-16 21:00,0.4,2016-11-05 15:00,0.4,2016-11-05 17:00,0.4,2016-11-05 20:00,,,,,0.3,0.3,0.2,0.2,0.1,0.1,0.0,CHELAN - WOODIN AVE,"428 W WOODIN AVE. , CHELAN, WA (CHELAN RANGER STATION)",Washington,Chelan,Chelan,"Wenatchee, WA",2017-02-27,[  47.83861  -120.023076],"{'Commercial and Services': 0.02, 'Residential': 0.59, 'Reservoirs': 0.27, 'Orchards, groves, vineyards, nurseries..': 0.12}"
53,7,7,88502,4,47.83861,-120.023076,WGS84,Acceptable PM2.5 AQI & Speciation Mass,1 HOUR,,Observed Values,Correlated Radiance Research M903 With Heated Inlet - Nephelometry,2016,Micrograms/cubic meter (LC),No Events,2799,100,Y,116,117,0,9,,,Certification not required,0,3.534655,1.828997,14.5,2016-12-16 21:00,13.0,2016-11-05 21:00,12.1,2016-12-13 17:00,12.1,2016-12-16 20:00,,,,,9.9,8.8,7.2,5.9,4.4,3.1,1.7,CHELAN - WOODIN AVE,"428 W WOODIN AVE. , CHELAN, WA (CHELAN RANGER STATION)",Washington,Chelan,Chelan,"Wenatchee, WA",2017-02-27,[  47.83861  -120.023076],"{'Commercial and Services': 0.02, 'Residential': 0.59, 'Reservoirs': 0.27, 'Orchards, groves, vineyards, nurseries..': 0.12}"
53,7,7,88502,4,47.83861,-120.023076,WGS84,Acceptable PM2.5 AQI & Speciation Mass,24-HR BLK AVG,,Observed Values,,2016,Micrograms/cubic meter (LC),No Events,116,99,N,116,117,0,0,,,Certification not required,0,3.489655,1.459862,8.9,2016-11-05 00:00,8.3,2016-12-19 00:00,6.7,2016-12-16 00:00,6.5,2016-12-18 00:00,,,,,8.3,6.7,6.1,5.4,4.4,3.1,1.8,CHELAN - WOODIN AVE,"428 W WOODIN AVE. , CHELAN, WA (CHELAN RANGER STATION)",Washington,Chelan,Chelan,"Wenatchee, WA",2017-02-27,[  47.83861  -120.023076],"{'Commercial and Services': 0.02, 'Residential': 0.59, 'Reservoirs': 0.27, 'Orchards, groves, vineyards, nurseries..': 0.12}"
53,7,10,11203,1,47.598863,-120.664702,WGS84,Light scatter,1 HOUR,,Observed Values,Radiance Research M903 With Heated Inlet - Nephelometry,2016,Beta Scatter,No Events,7568,86,Y,314,366,0,1216,,,Certification not required,0,0.177669,0.208383,2.2,2016-10-09 10:00,1.9,2016-09-29 07:00,1.8,2016-01-06 23:00,1.8,2016-04-18 19:00,,,,,1.0,0.8,0.6,0.4,0.2,0.1,0.0,LEAVENWORTH - EVANS ST,330 EVANS ST (Cascade School District),Washington,Chelan,Leavenworth,"Wenatchee, WA",2017-02-27,[  47.598863 -120.664702],"{'Commercial and Services': 0.17, 'Residential': 0.73, 'Mixed forest land': 0.1}"
53,7,10,88502,4,47.598863,-120.664702,WGS84,Acceptable PM2.5 AQI & Speciation Mass,1 HOUR,,Observed Values,Correlated Radiance Research M903 With Heated Inlet - Nephelometry,2016,Micrograms/cubic meter (LC),No Events,7568,86,Y,314,366,0,1216,,,Certification not required,0,5.631977,5.233665,45.4,2016-10-09 10:00,44.2,2016-09-29 07:00,41.1,2016-01-06 23:00,39.9,2016-09-29 06:00,,,,,25.8,22.1,16.5,12.5,7.0,3.9,1.4,LEAVENWORTH - EVANS ST,330 EVANS ST (Cascade School District),Washington,Chelan,Leavenworth,"Wenatchee, WA",2017-02-27,[  47.598863 -120.664702],"{'Commercial and Services': 0.17, 'Residential': 0.73, 'Mixed forest land': 0.1}"
53,7,10,88502,4,47.598863,-120.664702,WGS84,Acceptable PM2.5 AQI & Speciation Mass,24-HR BLK AVG,,Observed Values,,2016,Micrograms/cubic meter (LC),No Events,314,86,N,314,366,0,0,,,Certification not required,0,5.588854,4.097155,25.4,2016-01-08 00:00,22.1,2016-01-06 00:00,20.7,2016-01-09 00:00,19.9,2016-01-05 00:00,,,,,19.9,16.4,13.8,10.8,7.7,4.3,1.6,LEAVENWORTH - EVANS ST,330 EVANS ST (Cascade School District),Washington,Chelan,Leavenworth,"Wenatchee, WA",2017-02-27,[  47.598863 -120.664702],"{'Commercial and Services': 0.17, 'Residential': 0.73, 'Mixed forest land': 0.1}"
53,7,11,61101,1,47.43061,-120.34195,WGS84,Wind Speed - Scalar,1 HOUR,,Observed Values,Instrumental - RM Young Sonic Anemometer 85004,2016,Knots,No Events,8725,99,Y,364,366,0,28,,,Certification not required,0,3.289857,2.50928,16.8,2016-02-15 04:00,16.4,2016-02-15 05:00,16.2,2016-02-15 03:00,15.8,2016-07-15 17:00,,,,,11.8,10.6,8.8,7.2,4.0,2.3,1.2,Wenatchee-Fifth St,1300 Fifth Street,Washington,Chelan,West Wenatchee,"Wenatchee, WA",2017-02-27,[  47.43061 -120.34195],"{'Commercial and Services': 0.06802721088435375, 'Residential': 0.6802721088435374, 'Orchards, groves, vineyards, nurseries..': 0.25170068027210885}"
53,7,11,61102,1,47.43061,-120.34195,WGS84,Wind Direction - Scalar,1 HOUR,,Observed Values,Instrumental - RM Young Sonic Anemometer 85004,2016,Degrees Compass,No Events,8725,99,Y,364,366,0,28,,,Certification not required,0,210.628768,88.782985,359.0,2016-01-13 23:00,359.0,2016-02-11 07:00,359.0,2016-02-23 10:00,359.0,2016-03-04 13:00,,,,,351.0,345.0,331.0,317.0,284.0,225.0,79.0,Wenatchee-Fifth St,1300 Fifth Street,Washington,Chelan,West Wenatchee,"Wenatchee, WA",2017-02-27,[  47.43061 -120.34195],"{'Commercial and Services': 0.06802721088435375, 'Residential': 0.6802721088435374, 'Orchards, groves, vineyards, nurseries..': 0.25170068027210885}"
53,7,11,61103,1,47.43061,-120.34195,WGS84,Wind Speed - Resultant,1 HOUR,,Observed Values,RM Young Ultrasonic Wind Sensor model 85004 - Vector Average Data Logger,2016,Knots,No Events,8725,99,Y,364,366,0,28,,,Certification not required,0,2.734521,2.568587,16.2,2016-02-15 04:00,15.8,2016-02-15 05:00,15.5,2016-02-15 03:00,15.5,2016-07-15 17:00,,,,,11.5,10.2,8.4,6.8,3.4,1.7,0.6,Wenatchee-Fifth St,1300 Fifth Street,Washington,Chelan,West Wenatchee,"Wenatchee, WA",2017-02-27,[  47.43061 -120.34195],"{'Commercial and Services': 0.06802721088435375, 'Residential': 0.6802721088435374, 'Orchards, groves, vineyards, nurseries..': 0.25170068027210885}"
53,7,11,61104,1,47.43061,-120.34195,WGS84,Wind Direction - Resultant,1 HOUR,,Observed Values,RM Young Ultrasonic Wind Sensor model 85004 - Vector Average Data Logger,2016,Degrees Compass,No Events,8725,99,Y,364,366,0,28,,,Certification not required,0,212.513009,88.960975,360.0,2016-05-05 16:00,360.0,2016-09-12 12:00,359.0,2016-01-05 14:00,359.0,2016-01-11 12:00,,,,,353.0,346.0,332.0,318.0,285.0,227.0,80.0,Wenatchee-Fifth St,1300 Fifth Street,Washington,Chelan,West Wenatchee,"Wenatchee, WA",2017-02-27,[  47.43061 -120.34195],"{'Commercial and Services': 0.06802721088435375, 'Residential': 0.6802721088435374, 'Orchards, groves, vineyards, nurseries..': 0.25170068027210885}"
