State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
53,11,11,44201,1,45.616667,-122.516667,WGS84,Ozone,1 HOUR,Ozone 1-hour Daily 2005,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET ABSORPTION,2016,Parts per million,No Events,3348,93,Y,142,153,0,208,0.0,0.0,Certified,0,0.038444,0.011648,0.079,2016-06-05 13:00,0.07,2016-05-13 15:00,0.065,2016-05-11 16:00,0.065,2016-08-20 13:00,,,,,0.07,0.065,0.062,0.056,0.045,0.035,0.025,VANCOUVER - BLAIRMONT DR,1500 SE BLAIRMONT DR (Mountain View High School),Washington,Clark,Vancouver,"Portland-Vancouver-Hillsboro, OR-WA",2016-12-13,[  45.616667 -122.516667],"{'Residential': 0.17355371900826447, 'Cropland and pasture': 0.8264462809917356}"
53,11,11,44201,1,45.616667,-122.516667,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,2016,Parts per million,No Events,3409,93,Y,142,153,0,0,0.0,0.0,Certified,0,0.033113,0.009864,0.064,2016-06-05 09:00,0.058,2016-08-20 11:00,0.056,2016-08-18 11:00,0.055,2016-05-12 11:00,,,,,0.058,0.056,0.051,0.047,0.041,0.031,0.022,VANCOUVER - BLAIRMONT DR,1500 SE BLAIRMONT DR (Mountain View High School),Washington,Clark,Vancouver,"Portland-Vancouver-Hillsboro, OR-WA",2016-12-13,[  45.616667 -122.516667],"{'Residential': 0.17355371900826447, 'Cropland and pasture': 0.8264462809917356}"
53,11,11,44201,1,45.616667,-122.516667,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,2016,Parts per million,No Events,3409,93,Y,142,153,0,0,0.0,0.0,Certified,0,0.033113,0.009864,0.064,2016-06-05 09:00,0.058,2016-08-20 11:00,0.056,2016-08-18 11:00,0.055,2016-05-12 11:00,,,,,0.058,0.056,0.051,0.047,0.041,0.031,0.022,VANCOUVER - BLAIRMONT DR,1500 SE BLAIRMONT DR (Mountain View High School),Washington,Clark,Vancouver,"Portland-Vancouver-Hillsboro, OR-WA",2016-12-13,[  45.616667 -122.516667],"{'Residential': 0.17355371900826447, 'Cropland and pasture': 0.8264462809917356}"
53,11,11,44201,1,45.616667,-122.516667,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,2016,Parts per million,No Events,2413,92,Y,141,153,0,0,0.0,0.0,Certified,0,0.033099,0.009926,0.064,2016-06-05 09:00,0.058,2016-08-20 11:00,0.056,2016-08-18 11:00,0.055,2016-05-12 11:00,,,,,0.058,0.056,0.051,0.047,0.041,0.031,0.022,VANCOUVER - BLAIRMONT DR,1500 SE BLAIRMONT DR (Mountain View High School),Washington,Clark,Vancouver,"Portland-Vancouver-Hillsboro, OR-WA",2016-12-13,[  45.616667 -122.516667],"{'Residential': 0.17355371900826447, 'Cropland and pasture': 0.8264462809917356}"
53,11,11,61101,1,45.616667,-122.516667,WGS84,Wind Speed - Scalar,1 HOUR,,Observed Values,Instrumental - RM Young Sonic Anemometer 85004,2016,Knots,No Events,8621,98,Y,359,366,0,47,,,Certification not required,0,3.373692,2.022139,12.1,2016-05-07 15:00,11.4,2016-03-01 13:00,11.4,2016-10-15 13:00,11.3,2016-02-28 07:00,,,,,9.4,8.6,7.4,6.3,4.5,3.0,1.1,VANCOUVER - BLAIRMONT DR,1500 SE BLAIRMONT DR (Mountain View High School),Washington,Clark,Vancouver,"Portland-Vancouver-Hillsboro, OR-WA",2017-02-27,[  45.616667 -122.516667],"{'Residential': 0.17355371900826447, 'Cropland and pasture': 0.8264462809917356}"
53,11,11,61102,1,45.616667,-122.516667,WGS84,Wind Direction - Scalar,1 HOUR,,Observed Values,Instrumental - RM Young Sonic Anemometer 85004,2016,Degrees Compass,No Events,8621,98,Y,359,366,0,47,,,Certification not required,0,198.053126,101.43893,359.0,2016-01-13 08:00,359.0,2016-02-09 06:00,359.0,2016-03-28 00:00,359.0,2016-04-17 01:00,,,,,355.0,351.0,342.0,333.0,310.0,186.0,74.0,VANCOUVER - BLAIRMONT DR,1500 SE BLAIRMONT DR (Mountain View High School),Washington,Clark,Vancouver,"Portland-Vancouver-Hillsboro, OR-WA",2017-02-27,[  45.616667 -122.516667],"{'Residential': 0.17355371900826447, 'Cropland and pasture': 0.8264462809917356}"
53,11,11,61103,1,45.616667,-122.516667,WGS84,Wind Speed - Resultant,1 HOUR,,Observed Values,RM Young Ultrasonic Wind Sensor model 85004 - Vector Average Data Logger,2016,Knots,No Events,8621,98,Y,359,366,0,47,,,Certification not required,0,3.011368,2.002548,11.6,2016-05-07 15:00,10.9,2016-02-28 07:00,10.9,2016-03-01 13:00,10.8,2016-03-13 10:00,,,,,8.9,8.2,6.9,5.9,4.2,2.6,0.8,VANCOUVER - BLAIRMONT DR,1500 SE BLAIRMONT DR (Mountain View High School),Washington,Clark,Vancouver,"Portland-Vancouver-Hillsboro, OR-WA",2017-02-27,[  45.616667 -122.516667],"{'Residential': 0.17355371900826447, 'Cropland and pasture': 0.8264462809917356}"
53,11,11,61104,1,45.616667,-122.516667,WGS84,Wind Direction - Resultant,1 HOUR,,Observed Values,RM Young Ultrasonic Wind Sensor model 85004 - Vector Average Data Logger,2016,Degrees Compass,No Events,8621,98,Y,359,366,0,47,,,Certification not required,0,200.630205,101.481662,360.0,2016-12-28 00:00,359.0,2016-01-23 18:00,359.0,2016-02-22 18:00,359.0,2016-04-07 02:00,,,,,355.0,352.0,343.0,334.0,312.0,187.0,79.0,VANCOUVER - BLAIRMONT DR,1500 SE BLAIRMONT DR (Mountain View High School),Washington,Clark,Vancouver,"Portland-Vancouver-Hillsboro, OR-WA",2017-02-27,[  45.616667 -122.516667],"{'Residential': 0.17355371900826447, 'Cropland and pasture': 0.8264462809917356}"
53,11,11,62101,1,45.616667,-122.516667,WGS84,Outdoor Temperature,1 HOUR,,Observed Values,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,2016,Degrees Fahrenheit,No Events,8660,99,Y,360,366,0,8,,,Certification not required,0,54.5694,12.004067,98.0,2016-06-04 13:00,98.0,2016-06-04 14:00,98.0,2016-08-19 15:00,97.0,2016-06-04 15:00,,,,,87.0,83.0,77.0,70.0,61.0,54.0,40.0,VANCOUVER - BLAIRMONT DR,1500 SE BLAIRMONT DR (Mountain View High School),Washington,Clark,Vancouver,"Portland-Vancouver-Hillsboro, OR-WA",2017-02-27,[  45.616667 -122.516667],"{'Residential': 0.17355371900826447, 'Cropland and pasture': 0.8264462809917356}"
53,11,22,11203,1,45.8639,-122.410889,WGS84,Light scatter,1 HOUR,,Observed Values,Radiance Research M903 With Heated Inlet - Nephelometry,2016,Beta Scatter,No Events,7915,90,Y,328,366,0,770,,,Certification not required,0,0.152369,0.196025,2.6,2016-04-06 18:00,2.5,2016-01-07 06:00,2.2,2016-04-06 20:00,2.2,2016-12-18 23:00,,,,,1.1,0.8,0.5,0.3,0.2,0.1,0.0,YACOLT - YACOLT RD,406 W YACOLT RD,Washington,Clark,Yacolt,"Portland-Vancouver-Hillsboro, OR-WA",2017-02-27,[  45.8639   -122.410889],"{'Residential': 0.64, 'Cropland and pasture': 0.04, 'Mixed forest land': 0.32}"
