State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
53,33,10,44201,1,47.5525,-122.064722,WGS84,Ozone,1 HOUR,Ozone 1-hour Daily 2005,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET ABSORPTION,2016,Parts per million,No Events,3584,99,Y,152,153,0,88,0.0,0.0,Certified,0,0.039342,0.012014,0.091,2016-08-20 13:00,0.077,2016-06-05 14:00,0.068,2016-08-13 14:00,0.065,2016-06-07 15:00,,,,,0.077,0.065,0.061,0.054,0.046,0.039,0.025,ISSAQUAH -  LAKE SAMMAMISH (Wiithin Lake Sammamish State Park),2000 NW SAMMAMISH RD,Washington,King,Issaquah,"Seattle-Tacoma-Bellevue, WA",2016-12-13,[  47.5525   -122.064722],"{'Commercial and Services': 0.1, 'Other urban or built-up land': 0.71, 'Transportation, communications and services': 0.18, 'Mixed forest land': 0.01}"
53,33,10,44201,1,47.5525,-122.064722,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,2016,Parts per million,No Events,3662,99,Y,152,153,0,0,0.0,0.0,Certified,0,0.033421,0.01014,0.07,2016-08-20 09:00,0.063,2016-06-05 10:00,0.055,2016-06-07 11:00,0.054,2016-08-13 10:00,,,,,0.063,0.054,0.051,0.046,0.04,0.034,0.021,ISSAQUAH -  LAKE SAMMAMISH (Wiithin Lake Sammamish State Park),2000 NW SAMMAMISH RD,Washington,King,Issaquah,"Seattle-Tacoma-Bellevue, WA",2016-12-13,[  47.5525   -122.064722],"{'Commercial and Services': 0.1, 'Other urban or built-up land': 0.71, 'Transportation, communications and services': 0.18, 'Mixed forest land': 0.01}"
53,33,10,44201,1,47.5525,-122.064722,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,2016,Parts per million,No Events,3662,99,Y,152,153,0,0,0.0,0.0,Certified,0,0.033421,0.01014,0.07,2016-08-20 09:00,0.063,2016-06-05 10:00,0.055,2016-06-07 11:00,0.054,2016-08-13 10:00,,,,,0.063,0.054,0.051,0.046,0.04,0.034,0.021,ISSAQUAH -  LAKE SAMMAMISH (Wiithin Lake Sammamish State Park),2000 NW SAMMAMISH RD,Washington,King,Issaquah,"Seattle-Tacoma-Bellevue, WA",2016-12-13,[  47.5525   -122.064722],"{'Commercial and Services': 0.1, 'Other urban or built-up land': 0.71, 'Transportation, communications and services': 0.18, 'Mixed forest land': 0.01}"
53,33,10,44201,1,47.5525,-122.064722,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,2016,Parts per million,No Events,2593,99,Y,151,153,0,0,0.0,0.0,Certified,0,0.033457,0.010174,0.07,2016-08-20 09:00,0.063,2016-06-05 10:00,0.055,2016-06-07 11:00,0.054,2016-08-13 10:00,,,,,0.063,0.054,0.051,0.046,0.04,0.034,0.021,ISSAQUAH -  LAKE SAMMAMISH (Wiithin Lake Sammamish State Park),2000 NW SAMMAMISH RD,Washington,King,Issaquah,"Seattle-Tacoma-Bellevue, WA",2016-12-13,[  47.5525   -122.064722],"{'Commercial and Services': 0.1, 'Other urban or built-up land': 0.71, 'Transportation, communications and services': 0.18, 'Mixed forest land': 0.01}"
53,33,24,11203,1,47.755,-122.2806,WGS84,Light scatter,1 HOUR,,Observed Values,Ecotech M9003/Aurora - Nephelometry,2016,Beta Scatter,No Events,1434,100,Y,60,60,0,6,,,Certification not required,0,0.29477,0.340222,2.3,2016-01-09 22:00,2.2,2016-01-09 21:00,2.1,2016-01-10 00:00,2.0,2016-01-03 23:00,,,,,1.6,1.4,1.0,0.7,0.4,0.2,0.0,LAKE FOREST PARK TOWNE CENTER,17171 BOTHEL WAY,Washington,King,Lake Forest Park,"Seattle-Tacoma-Bellevue, WA",2016-07-12,[  47.755  -122.2806],"{'Commercial and Services': 0.052132701421800945, 'Residential': 0.47393364928909953, 'Transportation, communications and services': 0.47393364928909953}"
53,33,24,88502,4,47.755,-122.2806,WGS84,Acceptable PM2.5 AQI & Speciation Mass,1 HOUR,,Observed Values,Correlated Ecotech M9003/ Aurora - Nephelometry,2016,Micrograms/cubic meter (LC),No Events,1434,100,Y,60,60,0,6,,,Certification not required,0,8.286192,8.706682,60.1,2016-01-09 22:00,58.0,2016-01-09 21:00,53.8,2016-01-10 00:00,52.6,2016-01-03 23:00,,,,,42.4,37.6,26.3,19.4,10.7,5.2,1.8,LAKE FOREST PARK TOWNE CENTER,17171 BOTHEL WAY,Washington,King,Lake Forest Park,"Seattle-Tacoma-Bellevue, WA",2016-07-12,[  47.755  -122.2806],"{'Commercial and Services': 0.052132701421800945, 'Residential': 0.47393364928909953, 'Transportation, communications and services': 0.47393364928909953}"
53,33,24,88502,4,47.755,-122.2806,WGS84,Acceptable PM2.5 AQI & Speciation Mass,24-HR BLK AVG,,Observed Values,,2016,Micrograms/cubic meter (LC),No Events,60,100,N,60,60,0,0,,,Certification not required,0,8.23,6.064967,28.3,2016-01-08 00:00,24.8,2016-01-01 00:00,23.8,2016-01-09 00:00,19.2,2016-01-03 00:00,,,,,28.3,24.8,23.8,18.9,10.3,6.2,2.5,LAKE FOREST PARK TOWNE CENTER,17171 BOTHEL WAY,Washington,King,Lake Forest Park,"Seattle-Tacoma-Bellevue, WA",2016-07-12,[  47.755  -122.2806],"{'Commercial and Services': 0.052132701421800945, 'Residential': 0.47393364928909953, 'Transportation, communications and services': 0.47393364928909953}"
53,33,30,17141,6,47.597222,-122.319722,WGS84,Naphthalene (TSP) STP,24 HOUR,,Observed Values,Hi Vol/PUF-XAD-2 - GCMS TO-13,2016,Nanograms/cubic meter (25 C),No Events,15,94,N,15,16,0,1,,,Certification not required,0,92.133333,32.049062,158.0,2016-10-21 00:00,131.0,2016-11-02 00:00,127.0,2016-10-27 00:00,110.0,2016-11-14 00:00,,,,,158.0,158.0,158.0,131.0,110.0,93.2,49.1,Seattle-10th & Weller,10th & Weller,Washington,King,Seattle,"Seattle-Tacoma-Bellevue, WA",2017-03-28,[  47.597222 -122.319722],"{'Commercial and Services': 0.3918918918918919, 'Residential': 0.12162162162162163, 'Transportation, communications and services': 0.4864864864864865}"
53,33,30,17147,6,47.597222,-122.319722,WGS84,Acenaphthene (TSP) STP,24 HOUR,,Observed Values,Hi Vol/PUF-XAD-2 - GCMS TO-13,2016,Nanograms/cubic meter (25 C),No Events,15,94,N,15,16,0,1,,,Certification not required,0,1.621133,0.586071,3.16,2016-10-03 00:00,2.14,2016-11-02 00:00,1.99,2016-10-21 00:00,1.95,2016-11-14 00:00,,,,,3.16,3.16,3.16,2.14,1.95,1.51,0.905,Seattle-10th & Weller,10th & Weller,Washington,King,Seattle,"Seattle-Tacoma-Bellevue, WA",2017-03-28,[  47.597222 -122.319722],"{'Commercial and Services': 0.3918918918918919, 'Residential': 0.12162162162162163, 'Transportation, communications and services': 0.4864864864864865}"
53,33,30,17148,6,47.597222,-122.319722,WGS84,Acenaphthylene (TSP) STP,24 HOUR,,Observed Values,Hi Vol/PUF-XAD-2 - GCMS TO-13,2016,Nanograms/cubic meter (25 C),No Events,15,94,N,15,16,0,1,,,Certification not required,0,0.554067,0.243134,0.917,2016-12-02 00:00,0.911,2016-11-02 00:00,0.824,2016-10-27 00:00,0.769,2016-10-21 00:00,,,,,0.917,0.917,0.917,0.911,0.769,0.504,0.205,Seattle-10th & Weller,10th & Weller,Washington,King,Seattle,"Seattle-Tacoma-Bellevue, WA",2017-03-28,[  47.597222 -122.319722],"{'Commercial and Services': 0.3918918918918919, 'Residential': 0.12162162162162163, 'Transportation, communications and services': 0.4864864864864865}"
