State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
53,37,4,85101,1,47.399815,-121.427096,WGS84,PM10 - LC,24 HOUR,,Observed Values,"IMPROVE Module D with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - GRAVIMETRIC",2016,Micrograms/cubic meter (LC),No Events,41,34,N,41,122,0,10,,,Certification not required,0,2.616878,2.291959,9.066,2016-04-21 00:00,7.983,2016-04-09 00:00,7.029,2016-05-03 00:00,6.994,2016-04-18 00:00,,,,,9.066,9.066,7.029,5.306,3.765,1.994,0.416,,Snoqualmie Pass,Washington,Kittitas,Snoqualmie Pass,"Ellensburg, WA",2017-04-25,[  47.399815 -121.427096],{'Evergreen forest land': 1.0}
53,37,4,88103,1,47.399815,-121.427096,WGS84,Arsenic PM2.5 LC,24 HOUR,,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2016,Micrograms/cubic meter (LC),No Events,42,34,N,42,122,0,9,,,Certification not required,0,4.8e-05,0.000216,0.001,2016-04-03 00:00,0.001,2016-05-03 00:00,0.0,2016-01-01 00:00,0.0,2016-01-04 00:00,,,,,0.001,0.001,0.0,0.0,0.0,0.0,0.0,,Snoqualmie Pass,Washington,Kittitas,Snoqualmie Pass,"Ellensburg, WA",2017-04-25,[  47.399815 -121.427096],{'Evergreen forest land': 1.0}
53,37,4,88104,1,47.399815,-121.427096,WGS84,Aluminum PM2.5 LC,24 HOUR,,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2016,Micrograms/cubic meter (LC),No Events,42,34,N,42,122,0,9,,,Certification not required,0,0.013762,0.021446,0.089,2016-04-18 00:00,0.078,2016-04-21 00:00,0.059,2016-04-09 00:00,0.05,2016-05-12 00:00,,,,,0.089,0.089,0.059,0.049,0.014,0.005,0.0,,Snoqualmie Pass,Washington,Kittitas,Snoqualmie Pass,"Ellensburg, WA",2017-04-25,[  47.399815 -121.427096],{'Evergreen forest land': 1.0}
53,37,4,88109,1,47.399815,-121.427096,WGS84,Bromine PM2.5 LC,24 HOUR,,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2016,Micrograms/cubic meter (LC),No Events,42,34,N,42,122,0,9,,,Certification not required,0,0.000714,0.000742,0.003,2016-04-21 00:00,0.002,2016-03-31 00:00,0.002,2016-04-09 00:00,0.002,2016-04-27 00:00,,,,,0.003,0.003,0.002,0.002,0.001,0.001,0.0,,Snoqualmie Pass,Washington,Kittitas,Snoqualmie Pass,"Ellensburg, WA",2017-04-25,[  47.399815 -121.427096],{'Evergreen forest land': 1.0}
53,37,4,88111,1,47.399815,-121.427096,WGS84,Calcium PM2.5 LC,24 HOUR,,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2016,Micrograms/cubic meter (LC),No Events,42,34,N,42,122,0,9,,,Certification not required,0,0.009214,0.010778,0.041,2016-04-21 00:00,0.038,2016-04-18 00:00,0.036,2016-04-09 00:00,0.029,2016-04-06 00:00,,,,,0.041,0.041,0.036,0.026,0.012,0.005,0.001,,Snoqualmie Pass,Washington,Kittitas,Snoqualmie Pass,"Ellensburg, WA",2017-04-25,[  47.399815 -121.427096],{'Evergreen forest land': 1.0}
53,37,4,88112,1,47.399815,-121.427096,WGS84,Chromium PM2.5 LC,24 HOUR,,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2016,Micrograms/cubic meter (LC),No Events,42,34,N,42,122,0,9,,,Certification not required,0,0.0,0.0,0.0,2016-01-01 00:00,0.0,2016-01-04 00:00,0.0,2016-01-13 00:00,0.0,2016-01-16 00:00,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Snoqualmie Pass,Washington,Kittitas,Snoqualmie Pass,"Ellensburg, WA",2017-04-25,[  47.399815 -121.427096],{'Evergreen forest land': 1.0}
53,37,4,88114,1,47.399815,-121.427096,WGS84,Copper PM2.5 LC,24 HOUR,,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2016,Micrograms/cubic meter (LC),No Events,42,34,N,42,122,0,9,,,Certification not required,0,0.000143,0.000417,0.002,2016-01-01 00:00,0.001,2016-03-31 00:00,0.001,2016-04-03 00:00,0.001,2016-04-09 00:00,,,,,0.002,0.002,0.001,0.001,0.0,0.0,0.0,,Snoqualmie Pass,Washington,Kittitas,Snoqualmie Pass,"Ellensburg, WA",2017-04-25,[  47.399815 -121.427096],{'Evergreen forest land': 1.0}
53,37,4,88115,1,47.399815,-121.427096,WGS84,Chlorine PM2.5 LC,24 HOUR,,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2016,Micrograms/cubic meter (LC),No Events,42,34,N,42,122,0,9,,,Certification not required,0,0.035571,0.08436,0.514,2016-01-28 00:00,0.152,2016-02-06 00:00,0.132,2016-03-01 00:00,0.108,2016-01-31 00:00,,,,,0.514,0.514,0.132,0.087,0.037,0.004,0.0,,Snoqualmie Pass,Washington,Kittitas,Snoqualmie Pass,"Ellensburg, WA",2017-04-25,[  47.399815 -121.427096],{'Evergreen forest land': 1.0}
53,37,4,88126,1,47.399815,-121.427096,WGS84,Iron PM2.5 LC,24 HOUR,,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2016,Micrograms/cubic meter (LC),No Events,42,34,N,42,122,0,9,,,Certification not required,0,0.012357,0.016333,0.065,2016-04-21 00:00,0.056,2016-04-18 00:00,0.045,2016-04-09 00:00,0.041,2016-03-31 00:00,,,,,0.065,0.065,0.045,0.037,0.015,0.006,0.0,,Snoqualmie Pass,Washington,Kittitas,Snoqualmie Pass,"Ellensburg, WA",2017-04-25,[  47.399815 -121.427096],{'Evergreen forest land': 1.0}
53,37,4,88128,1,47.399815,-121.427096,WGS84,Lead PM2.5 LC,24 HOUR,,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2016,Micrograms/cubic meter (LC),No Events,42,34,N,42,122,0,9,,,Certification not required,0,0.000381,0.000539,0.002,2016-04-09 00:00,0.001,2016-01-13 00:00,0.001,2016-01-16 00:00,0.001,2016-02-03 00:00,,,,,0.002,0.002,0.001,0.001,0.001,0.0,0.0,,Snoqualmie Pass,Washington,Kittitas,Snoqualmie Pass,"Ellensburg, WA",2017-04-25,[  47.399815 -121.427096],{'Evergreen forest land': 1.0}
